# cmd: gsheet_query.py idrange 2115 211562039 211562052 --id-col 2  (note: --id-col 1 returned 0 rows; with p2_title col present, A_INT_id is col[2])
[info] Table: 2115 → 1rXVuN_j2C_4D1e29Khb... / 'activity_task_master（线上）'
Found 14 rows with col[2] in [211562039, 211562052]
HEADER: [0]p2_title	[1]A_INT_group	[2]A_INT_id	[3]N_STR_comment	[4]A_MAP_showcond	[5]A_MAP_fincond	[6]A_INT_pretrace	[7]A_ARR_reward	[8]A_STR_task_desc	[9]A_MAP_task_title	[10]A_MAP_task_label_1	[11]A_MAP_task_label_2	[12]A_INT_display_order	[13]A_INT_displaykey	[14]A_MAP_filter	[15]A_INT_daily_reset	[16]A_STR_banner	[17]A_MAP_redpoint_showcond	[18]S_INT_redpoint_off	[19]A_INT_country_use_type	[20]A_INT_can_ad_reward
row 7871: 	277	211562039	复活节2025强消耗活动-1	{"op":"and", "args": [{"op":"ge", "typ":"actvstarttime","val":0},{"op":"ge", "typ":"building","id":111811,"val":5}]}	{"cat":10148028,"arg":{"ids":[21222097]},"val":5000,"op":"ge"}	0	[{"asset":{"typ":"item","id":11119278,"val":3},"setting":{"serial_number":5,"ishighlight":false}}]		{}	{}	{}	99779	0	{}	0	""	{}	0	0	0
row 7872: 	277	211562040	复活节2025强消耗活动-2	{"op":"and", "args": [{"op":"ge", "typ":"actvstarttime","val":0},{"op":"ge", "typ":"building","id":111811,"val":5}]}	{"cat":10148028,"arg":{"ids":[21222097]},"val":10000,"op":"ge"}	0	[{"asset":{"typ":"item","id":11119278,"val":3},"setting":{"serial_number":5,"ishighlight":false}}]		{}	{}	{}	99778	0	{}	0	""	{}	0	0	0
row 7873: 	277	211562041	复活节2025强消耗活动-3	{"op":"and", "args": [{"op":"ge", "typ":"actvstarttime","val":0},{"op":"ge", "typ":"building","id":111811,"val":5}]}	{"cat":10148028,"arg":{"ids":[21222097]},"val":30000,"op":"ge"}	0	[{"asset":{"typ":"item","id":11119278,"val":10},"setting":{"serial_number":5,"ishighlight":false}}]		{}	{}	{}	99777	0	{}	0	""	{}	0	0	0
row 7874: 	277	211562042	复活节2025强消耗活动-4	{"op":"and", "args": [{"op":"ge", "typ":"actvstarttime","val":0},{"op":"ge", "typ":"building","id":111811,"val":5}]}	{"cat":10148028,"arg":{"ids":[21222097]},"val":60000,"op":"ge"}	0	[{"asset":{"typ":"item","id":11119278,"val":14},"setting":{"serial_number":5,"ishighlight":false}}]		{}	{}	{}	99776	0	{}	0	""	{}	0	0	0
row 7875: 	277	211562043	复活节2025强消耗活动-5	{"op":"and", "args": [{"op":"ge", "typ":"actvstarttime","val":0},{"op":"ge", "typ":"building","id":111811,"val":5}]}	{"cat":10148028,"arg":{"ids":[21222097]},"val":100000,"op":"ge"}	0	[{"asset":{"typ":"item","id":11119278,"val":16},"setting":{"serial_number":5,"ishighlight":false}}]		{}	{}	{}	99775	0	{}	0	""	{}	0	0	0
row 7876: 	277	211562044	复活节2025强消耗活动-6	{"op":"and", "args": [{"op":"ge", "typ":"actvstarttime","val":0},{"op":"ge", "typ":"building","id":111811,"val":5}]}	{"cat":10148028,"arg":{"ids":[21222097]},"val":150000,"op":"ge"}	0	[{"asset":{"typ":"item","id":11119278,"val":18},"setting":{"serial_number":5,"ishighlight":false}}]		{}	{}	{}	99774	0	{}	0	""	{}	0	0	0
row 7877: 	277	211562045	复活节2025强消耗活动-7	{"op":"and", "args": [{"op":"ge", "typ":"actvstarttime","val":0},{"op":"ge", "typ":"building","id":111811,"val":5}]}	{"cat":10148028,"arg":{"ids":[21222097]},"val":200000,"op":"ge"}	0	[{"asset":{"typ":"item","id":11119278,"val":18},"setting":{"serial_number":5,"ishighlight":false}}]		{}	{}	{}	99773	0	{}	0	""	{}	0	0	0
row 7878: 	277	211562046	复活节2025强消耗活动-8	{"op":"and", "args": [{"op":"ge", "typ":"actvstarttime","val":0},{"op":"ge", "typ":"building","id":111811,"val":5}]}	{"cat":10148028,"arg":{"ids":[21222097]},"val":350000,"op":"ge"}	0	[{"asset":{"typ":"item","id":11119278,"val":36},"setting":{"serial_number":5,"ishighlight":false}}]		{}	{}	{}	99772	0	{}	0	""	{}	0	0	0
row 7879: 	277	211562047	复活节2025强消耗活动-9	{"op":"and", "args": [{"op":"ge", "typ":"actvstarttime","val":0},{"op":"ge", "typ":"building","id":111811,"val":5}]}	{"cat":10148028,"arg":{"ids":[21222097]},"val":500000,"op":"ge"}	0	[{"asset":{"typ":"item","id":11119278,"val":36},"setting":{"serial_number":5,"ishighlight":false}}]		{}	{}	{}	99771	0	{}	0	""	{}	0	0	0
row 7880: 	277	211562048	复活节2025强消耗活动-10	{"op":"and", "args": [{"op":"ge", "typ":"actvstarttime","val":0},{"op":"ge", "typ":"building","id":111811,"val":5}]}	{"cat":10148028,"arg":{"ids":[21222097]},"val":700000,"op":"ge"}	0	[{"asset":{"typ":"item","id":11119278,"val":48},"setting":{"serial_number":5,"ishighlight":false}}]		{}	{}	{}	99770	0	{}	0	""	{}	0	0	0
row 7881: 	277	211562049	复活节2025强消耗活动-11	{"op":"and", "args": [{"op":"ge", "typ":"actvstarttime","val":0},{"op":"ge", "typ":"building","id":111811,"val":5}]}	{"cat":10148028,"arg":{"ids":[21222097]},"val":900000,"op":"ge"}	0	[{"asset":{"typ":"item","id":11119278,"val":48},"setting":{"serial_number":5,"ishighlight":false}}]		{}	{}	{}	99769	0	{}	0	""	{}	0	0	0
row 7882: 	277	211562050	复活节2025强消耗活动-12	{"op":"and", "args": [{"op":"ge", "typ":"actvstarttime","val":0},{"op":"ge", "typ":"building","id":111811,"val":5}]}	{"cat":10148028,"arg":{"ids":[21222097]},"val":1200000,"op":"ge"}	0	[{"asset":{"typ":"item","id":11119278,"val":60},"setting":{"serial_number":5,"ishighlight":false}}]		{}	{}	{}	99768	0	{}	0	""	{}	0	0	0
row 7883: 	277	211562051	复活节2025强消耗活动-13	{"op":"and", "args": [{"op":"ge", "typ":"actvstarttime","val":0},{"op":"ge", "typ":"building","id":111811,"val":5}]}	{"cat":10148028,"arg":{"ids":[21222097]},"val":1500000,"op":"ge"}	0	[{"asset":{"typ":"item","id":11119278,"val":60},"setting":{"serial_number":5,"ishighlight":false}}]		{}	{}	{}	99767	0	{}	0	""	{}	0	0	0
row 7884: 	277	211562052	复活节2025强消耗活动-14	{"op":"and", "args": [{"op":"ge", "typ":"actvstarttime","val":0},{"op":"ge", "typ":"building","id":111811,"val":5}]}	{"cat":10148028,"arg":{"ids":[21222097]},"val":1800000,"op":"ge"}	0	[{"asset":{"typ":"item","id":11119278,"val":60},"setting":{"serial_number":5,"ishighlight":false}}]		{}	{}	{}	99766	0	{}	0	""	{}	1	0	0
