# cmd: gsheet_query.py search 2122 21222097  (row 2122 21222097 with default id-col failed: id is in col[2], col[1] is A_INT_group=242)
[info] Table: 2122 → 1P5bHlZdhuRlpYkJA6tv... / 'activity_rank_rule（QA）'
Found 1 rows matching '21222097'
HEADER: [0]p2_title	[1]A_INT_group	[2]A_INT_id	[3]N_STR_comment	[4]A_ARR_score_rule	[5]A_MAP_start_time	[6]A_INT_rank_unit	[7]A_INT_rank_scope	[8]A_INT_rank_components	[9]A_STR_section_lc	[10]A_STR_rank_title	[11]A_INT_icon_display_key	[12]A_INT_min_score	[13]A_ARR_rule_desc	[14]A_ARR_rule_extra	[15]A_INT_retain_rank	[16]A_MAP_score_req	[17]A_INT_score_change_tips	[18]A_INT_rank_type
row 633: 	242	21222097	2024-节日通用-强消耗活动-排名	[{"cat":10148028,"ids":[21222091,21222092,21222093,21222094,21222095,21222096],"val":1,"score":1},{"rule":1,"cat":101426089,"val":1,"score":30000,"ids":[4]},{"rule":2,"cat":101410007,"val":1,"score":10000,"ids":[11111048]},{"rule":3,"cat":101410007,"val":1,"score":10000,"ids":[11111055]},{"rule":4,"cat":101410007,"val":1,"score":800,"ids":[11116604]},{"rule":5,"cat":101410007,"val":1,"score":30,"ids":[11117068]},{"rule":6,"cat":101410007,"val":1,"score":800,"ids":[11117069]},{"rule":7,"cat":101412128,"val":1000,"score":10},{"rule":8,"cat":101412129,"val":1,"score":10000,"ids":[4]},{"rule":9,"cat":101410007,"val":1,"score":6000,"ids":[11118501]},{"rule":10,"cat":101410007,"val":1,"score":30,"ids":[111110026]},{"rule":11,"cat":10147016,"val":60000,"score":3,"ids":[1,2,0,16,17]}]	{"typ":"overall"}	1	5	271	LC_EVENT_rank_total	LC_EVENT_rank_total	15112516	3000	["LC_EVENT_hts_use_hero_star_up","LC_EVENT_hts_use_hero_star_up","LC_EVENT_hts_use_hero_skill_book_world","LC_EVENT_hts_use_hero_skill_book_card","LC_EVENT_hts_use_star_stones","LC_EVENT_hts_use_arms_material_1","LC_EVENT_hts_use_arms_material_2","LC_EVENT_event_mecha_rank_get_more1","LC_EVENT_event_mecha_rank_get_more2","LC_EVENT_event_mecha_rank_get_more4","LC_EVENT_summer_2025_gold_feather_consume_title_rule","LC_EVENT_summer_2025_gold_speed_up_consume_title_rule"]	[]	1	{}	22311156	0

# cmd: gsheet_query.py filter 2118 1 271  (2122.rank_components=271 -> activity_rank_rewards group; appended to rank chain)
[info] Table: 2118 → 1bAwu8A-N4j0Wub6wQQ2... / 'activity_rank_rewards'
Found 12 rows with col[1] == '271'
HEADER: [0]p2_title	[1]A_INT_group	[2]N_STR_comment	[3]A_INT_id	[4]A_INT_rank_start	[5]A_INT_rank_end	[6]A_ARR_reward
row 2151: 	271	节日通用2024-强消耗排名	21185065	1	1	[{"asset":{"typ":"item","id":11116304,"val":50},"setting":{"serial_number":5,"ishighlight":false}},{"asset":{"typ":"item","id":11111022,"val":4},"setting":{"serial_number":4,"ishighlight":false}},{"asset":{"typ":"item","id":11111055,"val":15},"setting":{"serial_number":3,"ishighlight":false}},{"asset":{"typ":"item","id":11114329,"val":100},"setting":{"serial_number":2,"ishighlight":false}}]
row 2152: 	271	节日通用2024-强消耗排名	21185066	2	2	[{"asset":{"typ":"item","id":11116304,"val":30},"setting":{"serial_number":5,"ishighlight":false}},{"asset":{"typ":"item","id":11111021,"val":6},"setting":{"serial_number":4,"ishighlight":false}},{"asset":{"typ":"item","id":11111055,"val":12},"setting":{"serial_number":3,"ishighlight":false}},{"asset":{"typ":"item","id":11114329,"val":50},"setting":{"serial_number":2,"ishighlight":false}}]
row 2153: 	271	节日通用2024-强消耗排名	21185067	3	3	[{"asset":{"typ":"item","id":11116304,"val":20},"setting":{"serial_number":5,"ishighlight":false}},{"asset":{"typ":"item","id":11111021,"val":4},"setting":{"serial_number":4,"ishighlight":false}},{"asset":{"typ":"item","id":11111055,"val":10},"setting":{"serial_number":3,"ishighlight":false}},{"asset":{"typ":"item","id":11114329,"val":40},"setting":{"serial_number":2,"ishighlight":false}}]
row 2154: 	271	节日通用2024-强消耗排名	21185068	4	4	[{"asset":{"typ":"item","id":11116304,"val":15},"setting":{"serial_number":5,"ishighlight":false}},{"asset":{"typ":"item","id":11111020,"val":15},"setting":{"serial_number":4,"ishighlight":false}},{"asset":{"typ":"item","id":11111055,"val":8},"setting":{"serial_number":3,"ishighlight":false}},{"asset":{"typ":"item","id":11114329,"val":30},"setting":{"serial_number":2,"ishighlight":false}}]
row 2155: 	271	节日通用2024-强消耗排名	21185069	5	5	[{"asset":{"typ":"item","id":11116304,"val":10},"setting":{"serial_number":5,"ishighlight":false}},{"asset":{"typ":"item","id":11111020,"val":13},"setting":{"serial_number":4,"ishighlight":false}},{"asset":{"typ":"item","id":11111055,"val":6},"setting":{"serial_number":3,"ishighlight":false}},{"asset":{"typ":"item","id":11114329,"val":24},"setting":{"serial_number":2,"ishighlight":false}}]
row 2156: 	271	节日通用2024-强消耗排名	21185070	6	6	[{"asset":{"typ":"item","id":11116304,"val":8},"setting":{"serial_number":5,"ishighlight":false}},{"asset":{"typ":"item","id":11111019,"val":56},"setting":{"serial_number":4,"ishighlight":false}},{"asset":{"typ":"item","id":11111055,"val":5},"setting":{"serial_number":3,"ishighlight":false}},{"asset":{"typ":"item","id":11114329,"val":22},"setting":{"serial_number":2,"ishighlight":false}}]
row 2157: 	271	节日通用2024-强消耗排名	21185071	7	7	[{"asset":{"typ":"item","id":11116304,"val":5},"setting":{"serial_number":5,"ishighlight":false}},{"asset":{"typ":"item","id":11111019,"val":52},"setting":{"serial_number":4,"ishighlight":false}},{"asset":{"typ":"item","id":11111055,"val":4},"setting":{"serial_number":3,"ishighlight":false}},{"asset":{"typ":"item","id":11114329,"val":20},"setting":{"serial_number":2,"ishighlight":false}}]
row 2158: 	271	节日通用2024-强消耗排名	21185072	8	10	[{"asset":{"typ":"item","id":11116304,"val":3},"setting":{"serial_number":5,"ishighlight":false}},{"asset":{"typ":"item","id":11111019,"val":48},"setting":{"serial_number":4,"ishighlight":false}},{"asset":{"typ":"item","id":11111055,"val":3},"setting":{"serial_number":3,"ishighlight":false}},{"asset":{"typ":"item","id":11114329,"val":16},"setting":{"serial_number":2,"ishighlight":false}}]
row 2159: 	271	节日通用2024-强消耗排名	21185073	11	15	[{"asset":{"typ":"item","id":11116304,"val":2},"setting":{"serial_number":5,"ishighlight":false}},{"asset":{"typ":"item","id":11111019,"val":44},"setting":{"serial_number":4,"ishighlight":false}},{"asset":{"typ":"item","id":11111055,"val":2},"setting":{"serial_number":3,"ishighlight":false}},{"asset":{"typ":"item","id":11114329,"val":15},"setting":{"serial_number":2,"ishighlight":false}}]
row 2160: 	271	节日通用2024-强消耗排名	21185074	16	25	[{"asset":{"typ":"item","id":11116304,"val":1},"setting":{"serial_number":5,"ishighlight":false}},{"asset":{"typ":"item","id":11111019,"val":40},"setting":{"serial_number":4,"ishighlight":false}},{"asset":{"typ":"item","id":11111055,"val":1},"setting":{"serial_number":3,"ishighlight":false}},{"asset":{"typ":"item","id":11114329,"val":14},"setting":{"serial_number":2,"ishighlight":false}}]
