cs	cs	cs	cs		cs	cs	cs	cs	c	cs	c	cs	cs	
int	int	int	int		int	int	int	int	int	bool	string	int	int[]	
			Item			Item							Item	
		"1=道具
2=食谱蓝图"			单次兑换获得的数量			0=不限制兑换次数	数字越大排序越靠前	英雄碎片兑换活动中，判定是否为特惠商品使用	通用兑换活动使用	1.每天UTC0点刷新兑换次数		
	BD_活动ID	奖励类型	道具ID		REQUIRED_道具数量	REQUIRED_货币道具ID	REQUIRED_货币数量	兑换次数	排序	特惠商品	TXT_标签	刷新类型	折扣券	
ID	ContentID	ItemType	ChangeItem	道具名	ChangeItemNum	NeedItem	NeedItemNum	Limit	Sort	SpecialOffers	Label	RefreshType	DiscountCoupon	
1001	1301	1	51017	信物-赛米拉	1	1001	500000	10	999		-50%			
1002	1301	1	51017	信物-赛米拉	1	1001	1000000	10	998					
1003	1301	1	7001	英雄美酒	1	1001	600000	10	997					
1004	1301	1	19003	传奇技能书	1	1001	150000	10	996					
1005	1301	1	19002	史诗技能书	1	1001	75000	20	995					
1006	1301	1	160303	Ⅲ阶船只装备蓝图	1	1001	250000	3	994					
1007	1301	1	19001	稀有技能书	1	1001	20000	50	993					
1008	1301	1	1008	冒险阅历	1000	1001	5000	9999	992					
1101	1302	1	51035	信物-阿什顿	1	1001	1875000	20	999		超值			
1102	1302	1	7001	英雄美酒	1	1001	1125000	10	997					
1103	1302	1	1022	永生玫瑰	1	1001	750000	10	996					
1104	1302	1	11026	8小时招募加速	1	1001	1600000	5	995					
1105	1302	1	11046	8小时治疗加速	1	1001	1600000	5	994					
1106	1302	1	19003	传奇技能书	1	1001	300000	10	993					
1107	1302	1	19002	史诗技能书	1	1001	125000	20	992					
1108	1302	1	19001	稀有技能书	1	1001	37500	50	991					
1109	1302	1	5003	祝福银币	1	1001	25000	100	990					
1110	1302	1	4101	材料票	1	1001	12500	100	989					
1115	1302	1	1008	冒险阅历	1000	1001	10000	9999	985					
1301	1304	1	166004	传奇英雄装备宝箱	1	1035	1200	1	999		超值			
1302	1304	1	80051	瑞蛇迎春（永久）	1	1035	300	1	998		专属			
1303	1304	1	20004	饺子	1	1035	1	999	992		食谱			
1304	1304	1	180012	浪漫烟花（纪念卡）	1	1035	100	520	996		专属			
1305	1304	1	52003	万能传奇信物	1	1035	100	10	995					
1306	1304	1	19003	传奇技能书	1	1035	20	10	994					
1307	1304	1	1008	冒险阅历	1000	1035	1	9999	993					
130501	1305	1	51015	信物-海泽尔	1	1001	50000	10	999		超值			
130502	1305	1	1018	胡萝卜纪念币	1	1001	10000	30	997					
130503	1305	1	93003	3阶传奇人鱼香料	1	1001	10000	3	996					
130504	1305	1	92003	3阶史诗人鱼香料	1	1001	5000	10	995					
130601	1306	1	166004	传奇英雄装备宝箱	1	1037	1200	3	999		超值			
130602	1306	1	80061	爱意缠绕（永久）	1	1037	300	1	998		专属			
130603	1306	1	180013	浪漫之夜（纪念卡）	1	1037	200	520	997		专属			
130604	1306	1	93009	9阶传奇人鱼香料	1	1037	200	10	996					
130605	1306	1	52003	万能传奇信物	1	1037	100	30	995					
130606	1306	1	7001	英雄美酒	1	1037	60	30	994					
130607	1306	1	19003	传奇技能书	1	1037	20	50	993					
130608	1306	1	20005	玫瑰香槟	1	1037	5	999	992					
130609	1306	1	1015	硬木板	1000	1037	1	9999	991					
130610	1306	1	1008	冒险阅历	1000	1037	1	9999	990					
130701	1307	1	166004	传奇英雄装备宝箱	1	1043	800	3	999		超值			
130702	1307	1	80091	滑稽舞台（永久）	1	1043	300	1	998		专属			
130703	1307	1	180016	松鼠的演出（纪念卡）	1	1043	200	9999	997		专属			
130704	1307	1	93009	9阶传奇人鱼香料	1	1043	200	5	996					
130705	1307	1	52003	万能传奇信物	1	1043	100	30	995					
130706	1307	1	7001	英雄美酒	1	1043	60	30	994					
130707	1307	1	19003	传奇技能书	1	1043	20	50	993					
130708	1307	1	20006	小丑棉花糖	1	1043	5	999	992					
130709	1307	1	1015	硬木板	1000	1043	1	9999	991					
130710	1307	1	1008	冒险阅历	1000	1043	1	9999	990					
1401	1308	1	51035	信物-阿什顿	1	1001	5000000	10	999		-50%			
1402	1308	1	51035	信物-阿什顿	1	1001	10000000	10	998					
1403	1308	1	7001	英雄美酒	1	1001	2000000	10	997					
1404	1308	1	1022	永生玫瑰	1	1001	1000000	10	996					
1405	1308	1	11006	8小时通用加速	1	1001	3000000	3	995					
1406	1308	1	19003	传奇技能书	1	1001	500000	30	994					
1407	1308	1	19002	史诗技能书	1	1001	250000	50	993					
