cs	cs	cs	cs	cs	cs	cs	cs	cs	cs	cs	cs	cs	c	c	c			
int	bool	int	int	int	int	int	int	int	int	int	int	int	string	string	string			
		Item			ActvLuckyWheelOtherReward.Group	ActvLuckyWheelReward.Group					Pack	RankCfg						
				配置为空则不显示按钮	配置为空则不显示额外奖励			玩家个人	当前服务器	活动期间内，抽卡达到配置次数，则触发后面的礼包		仅支持本服排行榜			不填隐藏节点：Root/Animation/Turntable/Img			
编号	关闭每日免费	抽奖消耗道具	单抽消耗数量	10连抽消耗数量	额外奖励组	奖励池	单日抽奖次数上限	超级大奖次数	超级大奖次数(每天)	累计抽卡次数	触发礼包	本服排行榜	DK_转盘图片	DK_转盘指针图标	DK_底部背景图			
ID	CloseDailyFree	Consume	ItemNum	ItemNum10	OtherRewardGroup	RewardGroup	OneDayMax	SRewardNum	SRewardSeverNum	DrawCardNum	PackID	ServerRank	DK_Turntable	DK_TurntablePointer	DK_BG			
1001		1002	2000	18000	1000	100	150	1	3	300	1000007		DK_img_ui_turntable_bg1	DK_img_ui_turntable_bg2	DK_img_ui_turntable_bg4			
1003		1026	1	10	3000	300	9999	1	3				DK_img_ui_turntable_bg1	DK_img_ui_turntable_bg2	DK_img_ui_turntable_bg4	万圣节		
1004		1030	20	200	3001	301	9999	3	10				DK_img_ui_turntable_bg1	DK_img_ui_turntable_bg2	DK_img_ui_turntable_bg4	圣诞		
1005		1036	1	10	3002	302	9999	3	10				DK_img_ui_turntable_bg1	DK_img_ui_turntable_bg2	DK_img_ui_turntable_bg4	情人节		
1006		1042	1	10	3003	303	9999	3	99				DK_img_Activity_bg_AFD_2	DK_img_Activity_bg_AFD_9	DK_img_ui_turntable_bg4	愚人节		
1007		1048	1	10	3004	304	9999	3	10				DK_img_queen_bg_3	DK_img_queen_bg_4	DK_img_ui_turntable_bg4	蔷薇庆典		
1008		1054	1	10	3005	305	9999	3	10				DK_img_Activity_bg_children'sday_9	DK_img_Activity_bg_children'sday_10		儿童节		
1009		1061	1	10	3006	306	9999	3	10				DK_img_Activity_bbq_bg_13	DK_img_ui_turntable_bg2	DK_img_Activity_bbq_bg_12	烧烤节		
1010		1067	1	9	3007	307	99999	99999	999999				DK_img_queen_bg_3	DK_img_queen_bg_4		马琳娜-30留		
1012		1081	1	10	3008	308	99999	99999	999999				DK_img_Activity_DOTD_bg_11	DK_img_Activity_DOTD_bg_12		亡灵祭		
1013		1087	1	10	3009	309	99999	99999	999999				DK_img_Activity_whale_bg_7	DK_img_Activity_whale_bg_8		望帆节		
1015		1090	1	9	3011	311	99999	99999	999999				DK_img_Activity_kvk_bg_1	DK_img_Activity_kvk_bg_2	DK_img_research_bg17	S1远征-第3周-拉维耶		1027
1019		1096	1	10	3015	315	99999	99999	999999				DK_img_Activity_bbq_bg_13	DK_img_Activity_dragon_bg_5	DK_img_ui_turntable_bg4	炎龙苏醒		
1020		1106	1	10	3016	316	99999	99999	999999				DK_img_Activity_halloween_bg_5	DK_img_Activity_halloween_bg_6	DK_img_Activity_halloween_bg_15	魔女之夜		
1021		1112	1	10	3017	317	99999	10	999999				DK_img_Activity_nun_bg_6	DK_img_Activity_nun_bg_8	DK_img_Activity_nun_bg_7	修女-维奥莱特（英雄信物-已关闭）		
1022		1114	1	10	3018	318	99999	99999	999999				DK_img_Activity_ice_bg_6	DK_img_Activity_ice_bg_7	DK_img_Activity_ice_bg_5	凛冬补给战		
1023		1128	1	10	3019	319	99999	99999	999999			169	DK_img_Activity_Egypt_bg_12	DK_img_Activity_Egypt_bg_13	DK_img_Activity_Egypt_bg_11	尼罗之辉		
1024	1	1002	50000			320	10	99999	3				DK_img_Activity_Egypt_bg_12	DK_img_Activity_Egypt_bg_13	DK_img_Activity_Egypt_bg_11	折扣券		
1025		1200	1	10	3020	321	99999	99999	999999			2000	DK_img_Activity_deepsea_turntable	DK_img_Activity_deepsea_turntable_pointer	DK_img_Activity_deepsea_bg_wheel	尼罗之辉		
