cs	cs	cs		cs	cs	cs	cs			
int	int	int		int	int	bool	int			
		Item								
						1=是；0=否	从小至大的顺序排			
编号	BD_组	道具id		道具数量	权重	是否为超级大奖	界面排序			
ID	Group	ItemID	备注	ItemNum	Weight	SReward	Order			
10000	100	51008	信物-克里斯塔尔	100	10	1	1			
10001	100	1008	冒险阅历	10000	2000	0	2			
10002	100	51008	信物-克里斯塔尔	5	100	0	3			
10003	100	1008	冒险阅历	30000	2000	0	4			
10004	100	5003	祝福银币	2	2000	0	5			
10005	100	1008	冒险阅历	200000	100	0	6			
10006	100	51008	信物-克里斯塔尔	2	200	0	7			
10007	100	1008	冒险阅历	100000	200	0	8			
10008	100	51008	信物-克里斯塔尔	1	2000	0	9			
10009	100	1008	冒险阅历	50000	1000	0	10			
10200	300	1026	万圣节糖果	100	10	1	1			
10201	300	51026	信物-海瑞克斯	3	300	0	2			
10202	300	40003	南瓜蛋糕	1	1590	0	3			
10203	300	7001	英雄美酒	1	900	0	4			
10204	300	1022	永生玫瑰	1	1200	0	5			
10205	300	19003	传奇技能书	1	1300	0	6			
10206	300	51026	信物-海瑞克斯	1	600	0	7			
10207	300	19002	史诗技能书	1	1500	0	8			
10208	300	40042	杰克推荐果酱	1	1000	0	9			
10209	300	19001	稀有技能书	1	1600	0	10			
10300	301	1030	圣诞糖果	100	10	1	1			
10301	301	51021	信物-贝拉	3	300	0	2			
10302	301	20001	凉凉雪人	1	1590	0	3			
10303	301	7001	英雄美酒	1	900	0	4			
10304	301	1022	永生玫瑰	1	1200	0	5			
10305	301	19003	传奇技能书	1	1300	0	6			
10306	301	51021	信物-贝拉	1	600	0	7			
10307	301	19002	史诗技能书	1	1500	0	8			
10308	301	11002	5分钟通用加速	1	1000	0	9			
10309	301	19001	稀有技能书	1	1600	0	10			
30201	302	1037	浪漫玫瑰	500	10	1	1			
30202	302	5003	祝福银币	2	1350	0	2			
30203	302	1037	浪漫玫瑰	20	200	0	3			
30204	302	4101	材料票	5	1100	0	4			
30205	302	1022	永生玫瑰	1	300	0	5			
30206	302	1037	浪漫玫瑰	200	20	0	6			
30207	302	19003	传奇技能书	1	600	0	7			
30208	302	10034	宝石礼炮	1	700	0	8			
30209	302	1037	浪漫玫瑰	1	2000	0	9			
30210	302	11002	5分钟通用加速	1	3720	0	10			
30301	303	1043	狂欢币	500	10	1	1			
30302	303	5003	祝福银币	2	1350	0	2			
30303	303	1043	狂欢币	20	200	0	3			
30304	303	4101	材料票	5	1100	0	4			
30305	303	7002	异国美酒	1	150	0	5			
30306	303	1043	狂欢币	200	20	0	6			
30307	303	19003	传奇技能书	1	600	0	7			
30308	303	20006	小丑棉花糖	1	700	0	8			
30309	303	1043	狂欢币	1	2150	0	9			
30310	303	11002	5分钟通用加速	1	3720	0	10			
30401	304	1049	紫金徽章	1000	10	1	1			
30402	304	5003	祝福银币	5	1000	0	2			
30403	304	1049	紫金徽章	20	300	0	3			
30404	304	4101	材料票	5	1200	0	4			
30405	304	1022	永生玫瑰	1	500	0	5			
30406	304	1049	紫金徽章	200	20	0	6			
30407	304	19003	传奇技能书	1	500	0	7			
30408	304	11003	30分钟通用加速	1	1000	0	8			
30409	304	1049	紫金徽章	1	2000	0	9			
30410	304	11002	5分钟通用加速	1	3470	0	10			
30501	305	1055	冰淇淋币	1000	30	1	1			
30502	305	5003	祝福银币	5	1000	0	2			
30503	305	1055	冰淇淋币	20	300	0	3			
