cs	cs	cs	cs	cs	cs		
int	bool	int[]	int	int	int		
		Pack	Reward				
填写活动内容id	"#所有表的IsOn用法应相同
0/填空=不导出该行数据
1=开启"	填写该活动中的五个礼包	填写最终奖励的奖励id	1：活动2：礼包商场	活动期间弹窗弹几次		
编号	是否开启	礼包	最终奖励	最终奖励	最终奖励		
ID	IsOn	PackList	FinalReward	ShowTarget	PopTimes		
2901	1	800000|800001|800002|800003|800004	9999997				
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
2920	1	894191|894201	291102				
2976	1	894260|894240	291102				
2921	1	894481|894251	291102				
2922	1	894301|894141	291102				
2923	1	894051|894281	291102				
2977	1	894480|894250	291102				
2924	1	894061|894021	291102				
2925	1	894471|894181	291102				
2926	1	894231|894311	291102				
2978	1	894060|894020	291102				
2927	1	894191|894171	291102				
2928	1	894121|894091	291102				
2929	1	894131|894431	291102				
2979	1	894190|894170	291102				
2930	1	894111|894451	291102				
2931	1	894221|894351	291102				
2932	1	894441|894341	291102				
2980	1	894110|894450	291102				
2933	1	894381|894101	291102				
2934	1	894041|894031	291102				
2935	1	894201|894011	291102				
2981	1	894380|894100	291102				
2936	1	894261|894481	291102				
2937	1	894262|894482	291102				
2938	1	894301|894051	291102				
2939	1	894302|894052	291102				
2982	1	894260|894480	291102				
2940	1	894061|894471	291102				
2941	1	894062|894472	291102				
2942	1	894231|894191	291102				
2943	1	894232|894192	291102				
2983	1	894060|894470	291102				
2944	1	894121|894131	291102				
2945	1	894122|894132	291102				
2946	1	894111|894221	291102				
2947	1	894112|894222	291102				
2984	1	894120|894130	291102				
2948	1	894441|894381	291102				
2949	1	894442|894382	291102				
2950	1	894041|894201	291102				
2951	1	894042|894202	291102				
2985	1	894440|894380	291102				
2952	1	894261|894301	291102				
2953	1	894262|894302	291102				
2954	1	894263|894303	291102				
2986	1	894260|894300	291102				
2955	1	894061|894231	291102				
2956	1	894062|894232	291102				
2957	1	894063|894233	291102				
2987	1	894060|894230	291102				
2958	1	894121|894111	291102				
2959	1	894122|894112	291102				
2960	1	894123|894113	291102				
2961	1	894441|894041	291102				
2962	1	894442|894042	291102				
2963	1	894443|894043	291102				
2988	1	894120|894110	291102				
2964	1	894261|894061	291102				
2965	1	894262|894062	291102				
2966	1	894263|894063	291102				
2989	1	894260|894060	291102				
2967	1	894121|894441	291102				
2968	1	894122|894442	291102				
2969	1	894123|894443	291102				
2990	1	894120|894440	291102				
2970	1	894061|894441	291102				
2971	1	894062|894442	291102				
2972	1	894063|894443	291102				
2991	1	894060|894440	291102				
2973	1	894261|894121	291102				
2974	1	894262|894122	291102				
2975	1	894263|894123	291102				
2992	1	894260|894120	291102				
2902	1	19156|19157
2903	1						
3001	1	2025003|2025004|2025005|2025006		2	3		
3002	1	800005|800006|800007|800008|800009	40600				
