cs	cs	c	c	cs	cs	cs
int	int	string	string	int	int	int
				BlackMarketSeriesWelfare		
	"1=头饰
2=耳环
3=项链
4=面饰
5=戒指"			"1=黄金国度
2=屠龙部落
3=深渊秘宝
4=海洋遗产
取自BlackMarketSeriesWelfare.ID"		填写鉴定时的随机权重
编号	商品品类	TXT_名字	DK_图标	商品系列	商品星级	随机权重
ID	Type	Name	DK_Icon	Series	Star	Weight
14000	1	破损的金辉之冠	DK_im_bm_icon_gold_1	1	0	4000
14001	2	破损的金辉项链	DK_im_bm_icon_gold_2	1	0	4000
14002	3	破损的金辉铠甲	DK_im_bm_icon_gold_3	1	0	4000
14003	4	破损的金辉权杖	DK_im_bm_icon_gold_4	1	0	4000
14004	5	破损的金辉护腕	DK_im_bm_icon_gold_5	1	0	4000
14006	1	普通的金辉之冠	DK_im_bm_icon_gold_1	1	1	2200
14007	2	普通的金辉项链	DK_im_bm_icon_gold_2	1	1	2200
14008	3	普通的金辉铠甲	DK_im_bm_icon_gold_3	1	1	2200
14009	4	普通的金辉权杖	DK_im_bm_icon_gold_4	1	1	2200
14010	5	普通的金辉护腕	DK_im_bm_icon_gold_5	1	1	2200
14012	1	精致的金辉之冠	DK_im_bm_icon_gold_1	1	2	1500
14013	2	精致的金辉项链	DK_im_bm_icon_gold_2	1	2	1500
14014	3	精致的金辉铠甲	DK_im_bm_icon_gold_3	1	2	1500
14015	4	精致的金辉权杖	DK_im_bm_icon_gold_4	1	2	1500
14016	5	精致的金辉护腕	DK_im_bm_icon_gold_5	1	2	1500
14018	1	绝佳的金辉之冠	DK_im_bm_icon_gold_1	1	3	1000
14019	2	绝佳的金辉项链	DK_im_bm_icon_gold_2	1	3	1000
14020	3	绝佳的金辉铠甲	DK_im_bm_icon_gold_3	1	3	1000
14021	4	绝佳的金辉权杖	DK_im_bm_icon_gold_4	1	3	1000
14022	5	绝佳的金辉护腕	DK_im_bm_icon_gold_5	1	3	1000
14024	1	完美的金辉之冠	DK_im_bm_icon_gold_1	1	4	700
14025	2	完美的金辉项链	DK_im_bm_icon_gold_2	1	4	700
14026	3	完美的金辉铠甲	DK_im_bm_icon_gold_3	1	4	700
14027	4	完美的金辉权杖	DK_im_bm_icon_gold_4	1	4	700
14028	5	完美的金辉护腕	DK_im_bm_icon_gold_5	1	4	700
14030	1	璀璨的金辉之冠	DK_im_bm_icon_gold_1	1	5	600
14031	2	璀璨的金辉项链	DK_im_bm_icon_gold_2	1	5	600
14032	3	璀璨的金辉铠甲	DK_im_bm_icon_gold_3	1	5	600
14033	4	璀璨的金辉权杖	DK_im_bm_icon_gold_4	1	5	600
14034	5	璀璨的金辉护腕	DK_im_bm_icon_gold_5	1	5	600
14036	1	破损的龙角冠	DK_im_bm_icon_black_1	2	0	4000
14037	2	破损的龙息项链	DK_im_bm_icon_black_2	2	0	4000
14038	3	破损的龙爪铠甲	DK_im_bm_icon_black_3	2	0	4000
14039	4	破损的龙牙匕首	DK_im_bm_icon_black_4	2	0	4000
14040	5	破损的龙鳞护腕	DK_im_bm_icon_black_5	2	0	4000
14042	1	普通的龙角冠	DK_im_bm_icon_black_1	2	1	2200
14043	2	普通的龙息项链	DK_im_bm_icon_black_2	2	1	2200
14044	3	普通的龙爪铠甲	DK_im_bm_icon_black_3	2	1	2200
14045	4	普通的龙牙匕首	DK_im_bm_icon_black_4	2	1	2200
14046	5	普通的龙鳞护腕	DK_im_bm_icon_black_5	2	1	2200
14048	1	精致的龙角冠	DK_im_bm_icon_black_1	2	2	1500
14049	2	精致的龙息项链	DK_im_bm_icon_black_2	2	2	1500
14050	3	精致的龙爪铠甲	DK_im_bm_icon_black_3	2	2	1500
14051	4	精致的龙牙匕首	DK_im_bm_icon_black_4	2	2	1500
