cs	cs		c	cs	cs	cs	cs	cs	cs	cs	c	cs	cs	cs	cs	cs	cs	cs	cs	c	c	c	c	c	cs	cs	cs	c	cs	cs	cs	cs	cs	cs							
int	string		string	int	int	int	int	int[]	bool	int[]	string	int	long	int	int	int	int	int	int	string	string	string	string	string	int	int	int	int	int	int	int	int	time	string							
										ItemObtain					Blueprints											Building															
		shoptitans 原名		"1=虚拟资产
2=公会虚拟资产
3=原材料
4=稀有材料
5=加速道具
6=商店折扣券
9=普通道具
10=产品
11=宝箱
12=品质提升道具
13=英雄招募道具
14=黑市商品
15=迁城道具
16=旗舰传送
17=船只装备蓝图
18=船只装备强化材料
19=英雄装备
20=自选道具
21=英雄皮肤
23=技能冷却恢复
99=假道具"	"在Type下划分子类型，已用区间：
5：1-5"	"0=不可主动使用
1=获取后自动使用
2=主动单个使用
3=主动批量使用"	"1=Property
2=Reward
3=Hero
4=头像框
5=Soldier
6=保护罩时长（s）
7=减少队列时间
8=Vip激活时长
9=船只皮肤
10=召回道具
11=回忆
12=家具
13=船装备(程序用不需要填)
14=玩家装扮
15=纪念卡
16=英雄装备
17=家具皮肤
18=头衔
19=FurnitureSkin ID
20=自选道具
21=限时增益
22=英雄皮肤
23=界面跳转
24=表情包
25=治疗受伤英雄
26=技能冷却恢复
27=折扣券
28=GVGBuff
29=获得一艘幽灵船"	"根据UseEffect判断：
1：填 BUFF ID | 数值
2：填Reward ID
3：填Hero ID
4：填 ID | 时间（s）
5：填士兵 ID
6：填时间（s）
7：填时间（s）
8：填时间（s）
9：填 ID | 时间（s）
11：填回忆id
12：家具id
14：装扮id|类型|时间s（类型：1=有效时长，2=指定日期）
15：纪念卡ID
16：英雄装备ID
17：家具皮肤ID
18：头衔ID
19：FurnitureSkin ID
20：Reward ID
21：BUFF ID | 数值|时间s
23:填写ItemObtain
26：填写时间（小时）
27：折扣比例（%）
28:填 BUFF ID | 数值"	"道具在使用时是否计数（任务需要）
#默认全部计数的话性能消耗较大"		【ObtainID】为空，or 快捷获取渠道都没有开启时的飘字提示	道具是否可主动删除								DK_	"DK_
在使用小图标的场合，如果没有配置，则读常规尺寸图标"	DK_	"白：DK_Bg_CM_Item0
绿：DK_Bg_CM_Item1
蓝：DK_Bg_CM_Item2
紫：DK_Bg_CM_Item3
金：DK_Bg_CM_Item4
英雄装备特殊品质框：DK_img_cm_bg_special
船只装备龙族品质框：
DK_img_cm_bg_iconkuang_dragon"	填写什么显示什么，不填不显示标签	"用于提升建筑升级的金币折扣：
每消耗一个资源可以获取X熟练度"		道具的重量，部队托运时候，一个道具需要消耗多少士兵载重	数字越大越靠前	每一个钻石、采集材料捐献可兑换的公会银币	每一个钻石、采集材料捐献可获得的公会贡献	每一个钻石、采集材料捐献可获得的士兵演练道具	每一个钻石、采集材料捐献可获得的领主粮秣（不在UnionKVKDonate中配置的话，表明该道具消耗后，公会获得MP）	道具获取后，持续一段时间有效	道具在指定日期前有效	策划参考价格						
编号	TXT_名字	备注	TXT_描述	道具类型	子类型	使用类型	使用效果类型	使用效果参数	使用是否计数	获取途径	TXT_获取方式提示	删除	金币价格	商品品阶	对应蓝图	打折返还体力	加价消耗体力	建议消耗体力	加速消耗体力	DK_图标	DK_小图标	DK_模型	DK_道具背景框	TXT_标签	熟练度	资源建筑	消耗载重	排序优先级	材料兑换比例	单次捐献贡献	单次捐献啤酒	单次捐赠MP	道具有效期	道具有效期2	钻石价格						
ID	Name		Desc	Type	SubType	UseType	UseEffect	UseParameter	IsCount	ObtainID	ObtainTips	IsDelete	Value	Tier	Blueprint	DiscountEnergy	SurchargeEnergy	SuggestEnergy	SpeedUpEnergy	DK_Icon	DK_MiniIcon	DK_Prefab	DK_Background	Subtitle	DiscountScore	ResourceBuilding	ItemWeight	Order	GuildDonateCoin	GuildDonateAward2	GuildDonateBeer	GuildDonateMP	ItemLife	ItemLife2							
1001	金币		主要的流通货币。	1		0			1	101|102|103|104|233|301|507|502|503|710|305										DK_icon_global_gold	DK_img_cm_icon_gold		DK_Bg_CM_Item0				1	100							0.04						
1002	钻石		价值更高的货币，用途广泛。	1		0			1	501|503|504|509|510|511|512|513|514|515										DK_icon_global_gem	DK_img_cm_icon_gem		DK_Bg_CM_Item4					100	1	10	2	1			1						
1003	人气		与顾客讨价还价可以获得和消耗人气，英雄和家具可以提高酒馆的人气上限。	1		0			1											DK_icon_global_dizan	DK_img_cm_icon_Popularity		DK_Bg_CM_Item0					100													
1004	玩家经验	废弃		1		0																	DK_Bg_CM_Item0					100													
1005	研究卷轴	废弃	研发新图纸必不可少	1		0														DK_bp_unlock			DK_Bg_CM_Item0					100													
1006	信用值	废弃	英雄在神秘商店的信用值，可在船长商店买到不错的货物。	1		0																	DK_Bg_CM_Item0					100													
1007	声望		体现酒馆的实力，越强大声望越高！	1		0			1											DK_img_cm_bg_icon_reputation			DK_Bg_CM_Item0					100													
