cs							cs	cs	cs	cs	cs	cs	cs	cs	cs	cs	cs	cs	cs	cs	cs	cs	cs	cs	c	cs	cs	c	c	c	c	c	c	c	cs	c	cs	c	c	cs	cs	cs	cs	cs	c	c	c	cs	cs	cs	cs	cs	cs
int							string	int	int	int	int	bool	int	int	string	int	string	bool	int	int	int	int	int[]	time	string	int	string	string	string	string	string	string	string	string	string	string	int[]	string	int	int	int	int	int	bool	string	string	string	int[]	int	int	int[]	bool	bool
							PackPrice						Reward						TimeCycle				Pack			TimeCycle														UnionGiftCfg		PackRally							PackAllowance	ActvOnline			
							"对应GiftPriceCfg表中id
价格和钻石价格字段皆不配置时，则判定该礼包为免费礼包（目前就链式礼包在用）"	价格字段配置为空，钻石价格配置不为空时，礼包使用钻石购买	"根据礼包类型决定使用的UI界面（类型定好则勿动，没特殊情况只可新加）
1=通用礼包
2=Vip
3=常规礼包
4=周卡月卡
5=钻石充值
6=成长基金
7=每日礼包
8=治疗礼包
9=士兵补偿礼包
10=相册礼包
11=链式礼包
13=BattlePass
14=竞技场回忆礼包id
15=道具获取弹窗的礼包
16=活动礼包（活动涉及到的礼包都使用这个类型）
17.周礼包
18.积分BP
19.自选礼包
21.存钱罐快捷购买礼包
22.登陆养成手册
23.赛季BP专用
24.技能冷却礼包
25.GvG变强礼包
26.海妖成就礼包
27.海妖周经验礼包"	"默认是根据PackType进行礼包分类
但是有一些是相同的PackType但是显示不同，以及有不同的规则
1、黑市幸运自选礼包
2、破冰礼包专用
3、英雄晋升礼包
4、聊天表情礼包"	"填对应配置表的id
周卡月卡=WeeklyCard.ID"	"#所有表的IsOn用法应相同
0/填空=不导出该行数据
1=开启"	RewardID	"1=使用timecycle推送
2=玩家达到N级
3=解锁某商品蓝图
4=解锁某冒险关卡
5=购买指定礼包
6=今日在线N分钟
7=连续N天未上线
8=指定功能开启
9=获得指定英雄
10=指定英雄达到指定星级星阶
11=完成某个个人科技触发
12=任务计数，完成某个任务的计数，则触发
20=海妖等级升级触发（TrigParam=""海妖ID|等级""）
21=海妖技能升级触发（TrigParam=""海妖ID|技能等级""）
22=海妖经验耗尽触发（TrigParam=海妖ID）
100=指定船只达到等级
101=指定船只装备达到强化等级
102=指定船只改造达到指定等级"	"根据TriggerType判断：
1：填TimeCycle ID
2：填等级
3：填蓝图ID
4：填关卡ID
5：填礼包ID
6：填时长，如15m
7：填时长，如30d
8：填FunctionUnlock.ID
9：填英雄id
10：填英雄id|星阶|星级
11：科技表的id
12：礼包任务id
100：船只id|等级
101：船只装备ID|强化等级
102：船只ID|改造部位ID|改造等级"	"1=达到触发条件后，延迟至绝对时间（举例：第二天6点）
2=达到触发条件后，延迟至相对时间（举例：延迟10分钟）"	"触发后延迟时间，创建礼包
延迟后的第X天后的具体时分秒
   如2d 00:00:00（延迟第48h那天的UTC 0点）
   如2d 18:00:00（延迟后48h那天的UTC 18点）"	"控制是否给达成触发条件的老玩家推送该礼包
Ps：针对PackType=1、3类型的礼包；其余类型默认都是会推送的
0=不推送（如果是0的话，可以不填）
1=推送"	"礼包的售卖时间，循环周期等配置
填写TimeCycle.ID"	0=不限购	解锁条件	解锁条件	解锁条件，需要购买所有前置礼包		DK_	"填写TimeCycle.ID
空，则该礼包没有主界面入口
该字段也决定礼包是否拥有弹窗界面"		DK_		DK_	DK_	DK_			"必填项，主数据表要用
如果功能上不显示礼包名字，这一项就写明你是个什么礼包，禁止填空格"		"1=登录弹出
2=首次触发时弹出
空/0则该礼包没有拍脸
3=气泡提示"	"为空则不显示标签
例：热门、1700%"	主界面排序，数字越大，排序越靠前		"礼包触发时，检查玩家累计充值是否达到此额度，达到了则推送该礼包
（单位：美元）
真实美金价格需要除100"		同组的礼包只能存在一个，后续触发的会把前面你的顶掉，不填则意味着该礼包不需要	"是否拦截礼包购买数据回传买量引擎
1=拦截
0=不拦截"	PopUp=3时，礼包的提示是界面上弹出气泡，此处填写气泡显示的图片	PopUp=3时，礼包的提示是界面上弹出气泡，此处填写气泡显示的文本内容	用来控制主界面礼包在界面中的切换按钮底板的	仅PackType=1 通用礼包生效，给礼包配置特权，关联特权表	礼包拥有该表配置的道具时，可以再此折扣	礼包购买后，触发一个活动	同意序号为一组，与KvkTemplate关联（-1:所有赛季都生效）	1=可以赠送	仅条件触发类型可填，在礼包过期后1=可以多次触发
编号		备注					价格	钻石价格	礼包类型	UI类型	礼包内容配置	是否开启	礼包内容	触发方式	触发参数1	延迟时间类型	延迟时间	触发检查	礼包循环售卖id	周期内限购次数	玩家等级	Vip等级	前置礼包	礼包冷却时间	DK_主界面图标	主界面入口显示有效期	DK_图标	DK_角色立绘	DK_立绘Spine	DK_背景图	DK_底框背景图	DK_底框遮盖图	DK_售卖部分底图	DK_商城售卖部分底图	TXT_礼包名字	TXT_描述	主动弹出方式	TXT_标签文本	排序优先级	公会礼物	累计充值额度	触发集结怪	BD_组	数据拦截	DK_弹出气泡图	TXT_弹出文本	DK_主界面礼包按钮底板	特权		触发活动	赛季礼包组	是否可以赠送	礼包过期后可继续触发
ID	ID检查	列1	列2	列3	列4	列5	Price	GemPrice	PackType	UIType	ContentID	IsOn	Content	TriggerType	TriggerParameter	TriggerDelayType	TriggerDelayTime	TriggerExamine	TimeCycleID	BuyCount	PlayerLv	VipLv	Prepack	ColdTime	Head	HeadShowTime	Icon	RoleImg	UseSpine	MainBg	BottomBg	OtherBottomBg	ContentBg	MallContentBg	Name	Desc	PopUp	Tag	Priority	GuildGift	RechargeAmount	Rally	Group	DataInterception	PopUpImg	PopUpDialogue	MainPackBtnBg	Privilege	Allowance	OpenActv	KvkSeasonGroup	Gift	RepeatTrigger
1001		钻石充值-1				0.99	101		5			1	8000														DK_icon_global_gem								1档钻石充值	充值500钻石			99	201													
1002		钻石充值-2				4.99	105		5			1	8001														DK_img_found_lv1								2档钻石充值	充值2500钻石			99	202													
1003		钻石充值-3				14.99	109		5			1	8002														DK_img_found_lv2								3档钻石充值	充值5000钻石			99	203													
1004		钻石充值-4				29.99	112		5			1	8003														DK_img_found_lv3								4档钻石充值	充值10000钻石			99	204													
1005		钻石充值-5				59.99	114		5			1	8004														DK_img_found_lv4								5档钻石充值	充值25000钻石			99	205													
1006		钻石充值-6				99.99	115		5			1	8005														DK_img_found_icon								6档钻石充值	充值50000钻石			99	205													
10000		首充A组-新手礼包（对照测试礼包）	主界面推	永久	限购1次	2.99	103		1	2		1	8301	2	3				6001	1	1				DK_img_gift_icon_6	6101	DK_img_gift_icon_6		DK_Role_Spine_34	DK_img_gift_bg_29	DK_img_gift_bg_tc_8	DK_img_gift_bg_tc_3	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	酒馆狂欢	礼包价值<color=#FFBB51>180000钻石</color>！解锁超值惊喜\n限定英雄【<color=#FFBB51>霍普金斯</color>】强势登场，战力巅峰！\n获得【<color=#FFBB51>霍普金斯</color>】之后，经常会给你带来<color=#FFBB51>钻石</color>哦！\n一次购买，<size=50><color=#FDE427>连领三天</color></size>好礼！	1	120倍	999				1001	1						102901			
10001		首充A组-新手礼包	主界面推	永久	限购1次	2.99	103		1	2		1	8301	2	3				6001	1	1				DK_img_gift_icon_6	6101	DK_img_gift_icon_6		DK_Role_Spine_34	DK_img_gift_bg_29	DK_img_gift_bg_tc_8	DK_img_gift_bg_tc_3	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	酒馆狂欢	礼包价值<color=#FFBB51>180000钻石</color>！解锁超值惊喜\n限定英雄【<color=#FFBB51>霍普金斯</color>】强势登场，战力巅峰！\n获得【<color=#FFBB51>霍普金斯</color>】之后，经常会给你带来<color=#FFBB51>钻石</color>哦！\n一次购买，<size=50><color=#FDE427>连领三天</color></size>好礼！	1	120倍	999				1001	1						102901			
10002		建造&订单队列	主界面推	永久	限购1次	4.99	105		1			1	8302	8	1009			1	6001	1	1				DK_img_shop_icon_8	6103	DK_img_shop_icon_8	DK_img_gift_bg_51		DK_img_gift_bg_21	DK_img_gift_bg_tc_8	DK_img_gift_bg_tc_3	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	建造队列	建筑升级队列被占用了，购买该礼包以永久获得第二个建筑升级队列！	1	5430%	997	202							DK_img_Main_gift_bg_6						
10003		船只队列	主界面推	永久	限购1次	9.99	107		1			1	8303	8	1060			1	6001	1	1				DK_img_shop_icon_9	6104	DK_img_shop_icon_9	DK_img_gift_bg_52		DK_img_gift_bg_20	DK_img_gift_bg_tc_8	DK_img_gift_bg_tc_3	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	冒险船只	永久获得一个额外的冒险队列！	1	5166%	996	203							DK_img_Main_gift_bg_7						
10004		制造队列	主界面推	永久	限购1次	2.99	103		1			1	8304	2	3			1	6001	1	1				DK_img_shop_icon_7	6102	DK_img_shop_icon_7	DK_img_gift_bg_53		DK_img_gift_bg_19	DK_img_gift_bg_tc_8	DK_img_gift_bg_tc_3	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	制作队列	永久获得一个额外的制作队列！	1	7260%	998	201				1			DK_img_Main_gift_bg_8						
10005		蓝图礼包	商城	1天	限购1次	4.99	105		1			0	8305	5	10004			1	6003	1	1		10004				DK_sweets901	DK_img_gift_bg_55		DK_img_gift_bg_13	DK_img_gift_bg_tc_8	DK_img_gift_bg_tc_3	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	水果魔方	水果魔方深受大家的欢迎，因为其奇特的造型，顾客愿意花更多的钱来购买它！		4800%	994	202				1									
10006		金币礼包	商城	限时2天	限购1次	4.99	105		1			1	8306	2	3			1	6004	1	1						DK_icon_shengjihuikui	DK_img_gift_bg_54		DK_img_gift_bg_11	DK_img_gift_bg_tc_8	DK_img_gift_bg_tc_3	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	金币多多	更多的金币，就能更快速的扩大商铺经营， 在开始则领先！		3500%	993	202													
10007		第二制造队列礼包	商城	永久	限购1次	9.99	107		1			1	8307	5	10004			1	6001	1	1		10004				DK_img_shop_icon_7	DK_img_gift_bg_53		DK_img_gift_bg_19	DK_img_gift_bg_tc_8	DK_img_gift_bg_tc_3	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	扩大经营	更多的制作队列，能让你的制作效率更快，远远领先别人一步！		5100%	995	203				1									
10008		英雄装备	常规	一周	限购1次	9.99	107		3			1	8308	2	10			1	6014	1	1						DK_im_icon_heros_equipment_Favor1			DK_img_gift_bg_28	DK_img_gift_bg_9_1				英雄装备	大家万众一心才能变得更加强大！		3300%	992	203													
10013		金币鸡仔	常规	永久	限购1次	19.99	111		3			1	8314	2	5			1	6001	1	1						DK_icon_jiaju_statue_13			DK_img_gift_bg_22	DK_img_gift_bg_9_1				金币鸡仔	咯咯哒~咯咯哒~我下的不是鸡蛋是金币\n每分钟可产出<color=#FAF19B>300</color>金币，一次最多可累计<color=#FAF19B>144K</color>金币		7200%	990	204	499			1									
10017		船只改装-初级礼包	主界面	1天	限购1次	2.99	103		1			1	8317	8	1085			1	6003	1	1				DK_icon_global_ship_alloy	6003	DK_icon_global_ship_alloy	DK_img_gift_bg_40		DK_img_gift_bg_12	DK_img_gift_bg_tc_8	DK_img_gift_bg_tc_3	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	神秘金属	可用于强化船只改装，增强船队实力！		3340%	993	201													
10018		船只改装-中级礼包	主界面	1天	限购1次	19.99	111		1			1	8318	5	10017			1	6003	1	1		10017		DK_icon_global_ship_alloy	6003	DK_icon_global_ship_alloy	DK_img_gift_bg_41		DK_img_gift_bg_12	DK_img_gift_bg_tc_8	DK_img_gift_bg_tc_3	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	神秘金属好礼	可用于强化船只改装，增强船队实力！		3700%	993	204													
