cs		c	cs	cs	c	cs	c	c	cs	cs	cs	c	cs	cs	cs	cs	cs	cs
int		string	int	int	string	int	string	string	bool	int	int	int	bool	int	int	int	int	int
										MailTemplate		RuleTips			SpecialRewardSettlement.GroupId	MailTemplate	SpecialRewardSettlement.GroupId	MailTemplate
"id：1~9999
和程序对好定死
900编号的id给英雄留着"			"1.公会排行
2.个人荣誉排行榜
3.公会荣誉排行榜
4.黑市排行榜
5.海兽陷阱伤害榜
6.活动本服排行榜
7.竞技场排行榜
8.公会活动排行榜
9.爬塔排行榜
10.KVK个人排行榜
11.KVK公会排行榜
12.跨服排行榜
13.单服赛季战力排行榜
14.同组赛季服务器赛季战力排行榜
15.大KVK公会排行榜
16.活动期间联盟内部玩家排名
17.英雄排名
18.GVG排行榜
19.巢穴公会排名
20.海妖排行榜"	从小到达依次排序		最大排行榜个数							仅RankType=2、3生效	"个人积分达到指定值才可上榜，支持不填
适用类型：
6=活动排行榜
8=公会活动排行榜
12=跨服排行榜"	特殊奖励结算关联SpecialRewardSettlement		特殊奖励结算关联SpecialRewardSettlement	
编号	备注	TXT_名字	排行榜类型	排序id	DK_图标	排行榜最大长度	TXT_奖励弹窗标题	TXT_奖励弹窗页签名	是否发送奖励	奖励邮件	奖励邮件排名数	说明	是否点赞	上榜条件	每日结算奖励分组	每日奖励邮件	每周结算奖励分组	每周奖励邮件
ID		RankName	RankType	Sort	RankScoreIcon	MaxRankSize	RankRewardTitle	RankRewardTab	NeedSendMailReward	MailID	MailMaxRankNum	RuleTip	Upvate	RankCondition	DailyRewardGroup	DailyMailID	WeekRewardGroup	WeekMailID
3	荣耀-个人	食谱精通	2	15	DK_img_cm_bg_icon_caidan1	999							1					
4	荣耀-个人	钓鱼关卡	2	17	DK_img_cm_icon_fishing	999												
5	公会	击杀榜	1	2	DK_img_cm_icon_kill	99												
6	公会	声望榜	1	1	DK_img_cm_bg_icon_reputation	99												
7	公会	每日贡献榜	1	3	DK_icon_global_guild_coin	99	排名奖励	每日贡献	1	1002011	3	6002						
8	公会	每周贡献榜	1	4	DK_icon_global_guild_coin	99	排名奖励	每周贡献	1	1002010	3	6001						
9	公会	总贡献榜	1	5	DK_icon_global_guild_coin	99												
10	荣耀-个人	声望榜	2	10	DK_img_cm_bg_icon_reputation	999							1					
12	荣耀-个人	击杀榜	2	12	DK_img_cm_icon_kill	999												
14	荣耀-个人	净利润榜	2	14	DK_icon_global_gold	999												
15	荣耀-个人	人气榜	2	16	DK_icon_global_energy	999												
17	荣耀-公会	公会声望榜	3	19	DK_img_cm_bg_icon_reputation	999							1					
18	荣耀-公会	公会击杀榜	3	20	DK_img_cm_icon_kill	999												
19	黑市	黑市排行榜	4	99	DK_icon_global_gold	100	排名奖励		1	2003000	3							
20	公会	陷阱伤害榜	5	99	DK_img_cm_icon_Damage	99												
21	荣耀-个人	点赞榜	2	18	DK_img_dz_icon_dizan	999												
22	荣耀-公会	旗舰战力榜	3	21	DK_img_cm_bg_icon_zhanli1	999												
23	荣耀-活动-远征	本服赛季声望榜	13	3	DK_img_icon_property_57	99	赛季排名奖励	本服赛季声望	1	1001026	3	30017	1					
24	荣耀-活动-远征	战区赛季声望榜	14	2	DK_img_icon_property_57	99	赛季排名奖励	战区赛季声望	1	1001028	3	30017	1				202	1001027
25	荣耀-活动-远征	公会领地价值榜	15	1	DK_img_cm_icon_land	99	赛季排名奖励	公会领地价值	1	1000026	3	30018	1					
102	活动-集结排名-怒海争锋	积分榜	6	99	DK_img_cm_icon_integral	100	排名奖励		1	1000018	3			1000				
103	活动-售卖排名-生意兴隆	积分榜	6	99	DK_icon_global_gold	100	排名奖励		1	1000018	3			5000				
104	活动-新手声望-女仆嘉奖	积分榜	6	99	DK_img_cm_bg_icon_reputation	100	排名奖励		1	1000018	3			50000				
109	活动-永恒之主	积分榜	6	99	DK_img_cm_icon_integral	100	排名奖励		1	1000018	3			1000				
110	活动-声望排名-运营大师	积分榜	6	99	DK_img_cm_bg_icon_reputation	100	排名奖励		1	1000018	3			3000				
114	活动-巢穴争霸-赛季1-新	积分榜	8	99	DK_img_cm_icon_integral	10	排名奖励		1	1000026	3			100				
115	活动-巢穴争霸-赛季2-新	积分榜	8	99	DK_img_cm_icon_integral	10	排名奖励		1	1000026	3			100				
116	活动-巢穴争霸-赛季3-新	积分榜	8	99	DK_img_cm_icon_integral	10	排名奖励		1	1000026	3			100				
119	活动-公会崛起	积分榜	8	99	DK_img_cm_icon_integral	10	排名奖励		1	1000026	3			1000				
121	活动-船只改装强化	积分榜	6	99	DK_img_cm_icon_integral	100	排名奖励		1	1000018	3			300				
124	活动-通用跨服节庆抽奖排行榜	积分榜	12	99	DK_img_cm_icon_integral	100	排名奖励		1	1000018	3							
129	活动-秋酿大赛-积分排名	排名奖励	6	99	DK_img_cm_icon_integral	100	排名奖励		1	1000018	3							
130	活动-骑士荣光-抽奖	排名奖励	12	99	DK_img_cm_icon_integral	100	排名奖励		1	1000018	3							
