cs	cs	cs	cs	cs	
int	int	int	int	int	
	RankCfg			Reward	
				填写奖励id	
编号	排行榜ID	起始排名	结束排名	排行榜奖励	
ID	RankType	RankSlotBegin	RankSlotEnd	RewardID	备注
70001	7	1	1	402001	每日贡献榜
70002	7	2	2	402002	
70003	7	3	3	402003	
70004	7	4	10	402004	
70005	7	11	99	402005	
80001	8	1	1	401001	每周贡献榜
80002	8	2	2	401002	
80003	8	3	3	401003	
80004	8	4	10	401004	
80005	8	11	99	401005	
10001	10	1	1	500201	天下大势-战力榜
10002	10	2	2	500202	
10003	10	3	3	500203	
10004	10	4	10	500204	
10005	10	11	20	500205	
10006	10	21	100	500206	
17001	17	1	1	500301	天下大势-公会战力榜
17002	17	2	2	500302	
17003	17	3	3	500303	
17004	17	4	10	500304	
17005	17	11	20	500305	
19001	19	1	1	600001	黑市排行榜
19002	19	2	2	600002	
19003	19	3	3	600003	
19004	19	4	10	600004	
19005	19	11	20	600005	
19006	19	21	50	600006	
19007	19	51	100	600007	
23001	23	1	1	4020101	本服赛季声望排行榜
23002	23	2	2	4020102	
23003	23	3	3	4020103	
23004	23	4	5	4020104	
23005	23	6	10	4020105	
23006	23	11	20	4020106	
23007	23	21	50	4020107	
24001	24	1	1	4020201	同组赛季声望排行榜
24002	24	2	2	4020202	
24003	24	3	3	4020203	
24004	24	4	5	4020204	
24005	24	6	10	4020205	
24006	24	11	20	4020206	
24007	24	21	50	4020207	
25001	25	1	1	4020301	大KVK赛季排行榜
25002	25	2	2	4020302	
25003	25	3	3	4020303	
25004	25	4	5	4020304	
25005	25	6	10	4020305	
25006	25	11	20	4020306	
10201	102	1	1	723201	活动-集结排名
10202	102	2	2	723202	
10203	102	3	3	723203	
10204	102	4	5	723204	
10205	102	6	10	723205	
10206	102	11	20	723206	
10207	102	21	50	723207	
10208	102	51	100	723208	
10301	103	1	1	724201	活动-售卖排名
10302	103	2	2	724202	
10303	103	3	3	724203	
10304	103	4	5	724204	
10305	103	6	10	724205	
10306	103	11	20	724206	
10307	103	21	50	724207	
10308	103	51	100	724208	
10401	104	1	1	720201	活动-女仆嘉奖
10402	104	2	2	720202	
10403	104	3	3	720203	
10404	104	4	5	720204	
10405	104	6	10	720205	
10406	104	11	20	720206	
10407	104	21	50	720207	
10408	104	51	100	720208	
10901	109	1	1	745301	活动-永恒之主
10902	109	2	2	745302	
10903	109	3	3	745303	
10904	109	4	5	745304	
10905	109	6	10	745305	
10906	109	11	20	745306	
10907	109	21	50	745307	
10908	109	51	100	745308	
11001	110	1	1	722201	活动-战力排名
11002	110	2	2	722202	
11003	110	3	3	722203	
11004	110	4	5	722204	
11005	110	6	10	722205	
11006	110	11	20	722206	
11007	110	21	50	722207	
11008	110	51	100	722208	
11401	114	1	1	765201	活动-巢穴争霸-赛季1-新
11402	114	2	2	765202	
11403	114	3	3	765203	
11404	114	4	5	765204	
11405	114	6	10	765205	
11501	115	1	1	765301	活动-巢穴争霸-赛季2-新
11502	115	2	2	765302	
11503	115	3	3	765303	
11504	115	4	5	765304	
11505	115	6	10	765305	
11601	116	1	1	765401	活动-巢穴争霸-赛季3-新
11602	116	2	2	765402	
11603	116	3	3	765403	
11604	116	4	5	765404	
11605	116	6	10	765405	
11901	119	1	1	766201	活动-公会崛起
11902	119	2	2	766202	
11903	119	3	3	766203	
11904	119	4	5	766204	
11905	119	6	10	766205	
12101	121	1	1	14001200	活动-船只改装强化
12102	121	2	2	14001201	
12103	121	3	3	14001202	
12104	121	4	5	14001203	
12105	121	6	10	14001204	
12106	121	11	20	14001205	
12107	121	21	50	14001206	
12108	121	51	100	14001207	
12401	124	1	1	30321	活动-通用跨服节庆抽奖总排名
12402	124	2	2	30322	
12403	124	3	3	30323	
12404	124	4	5	30324	
12405	124	6	10	30325	
12406	124	11	20	30326	
12407	124	21	50	30327	
12408	124	51	100	30328	
12901	129	1	1	30391	活动-秋酿大赛-积分排名
12902	129	2	2	30392	
12903	129	3	3	30393	
12904	129	4	5	30394	
12905	129	6	10	30395	
12906	129	11	20	30396	
12907	129	21	50	30397	
12908	129	51	100	30398	
13001	130	1	1	30411	活动-骑士荣光-开箱抽奖
13002	130	2	2	30412	
13003	130	3	3	30413	
13004	130	4	5	30414	
13005	130	6	10	30415	
13006	130	11	20	30416	
13007	130	21	50	30417	
13008	130	51	100	30418	
13101	131	1	1	30391	活动-通用跨服节庆酒馆总排名
13102	131	2	2	30392	
13103	131	3	3	30393	
13104	131	4	5	30394	
13105	131	6	10	30395	
13106	131	11	20	30396	
13107	131	21	50	30397	
13108	131	51	100	30398	
13201	132	1	1	30431	活动-审判之光大转盘排名
13202	132	2	2	30432	
13203	132	3	3	30433	
13204	132	4	5	30434	
13205	132	6	10	30435	
13206	132	11	20	30436	
13207	132	21	50	30437	
13208	132	51	100	30438	
13301	133	1	1	30441	活动-冬幕补给战抽奖排名
13302	133	2	2	30442	
13303	133	3	3	30443	
13304	133	4	5	30444	
13305	133	6	10	30445	
13306	133	11	20	30446	
13307	133	21	50	30447	
13308	133	51	100	30448	
13601	136	1	1	731301	活动-远征酒馆-S1-总榜（拉维耶）
13602	136	2	2	731302	
13603	136	3	3	731303	
13604	136	4	5	731304	
13605	136	6	10	731305	
13606	136	11	20	731306	
13607	136	21	50	731307	
13608	136	51	100	731308	
13701	137	1	1	137001	活动-挑战活动
13702	137	2	2	137002	
13703	137	3	3	137003	
13704	137	4	5	137004	
13705	137	6	10	137005	
13706	137	11	20	137006	
13707	137	21	50	137007	
13708	137	51	100	137008	
13801	138	1	1	138001	活动-挑战活动
13802	138	2	2	138002	
13803	138	3	3	138003	
13804	138	4	5	138004	
13805	138	6	10	138005	
13806	138	11	20	138006	
13807	138	21	50	138007	
13808	138	51	100	138008	
13901	139	1	1	139001	活动-挑战活动
13902	139	2	2	139002	
13903	139	3	3	139003	
13904	139	4	5	139004	
13905	139	6	10	139005	
13906	139	11	20	139006	
13907	139	21	50	139007	
13908	139	51	100	139008	
