cs	cs	cs	cs		cs	cs	cs	cs	c	cs		cs	cs	cs
int	int	int	int		int	int	int	string	int	int		int[]	int[]	int
														
该列仅保证不重复即可	"相同ID为同一个掉落包
8000-付费使用
9000-每日特惠礼包占用
10000-治疗礼包占用
13000~20000-链式礼包"	"1=道具
2=食谱蓝图
3=嵌套子包"			在 [MinNum,MaxNum] 区间内随机一个数，MaxNum留空表示固定掉落MinNum的数量		"1=单独计算概率
2=同组抽取，随机一个（权重）"	"根据DropType判定：
1：填概率，万分比
2：填权重
"	填空则读取ItemID，用于点击界面上的图片展示奖励包内容	"仅配置的道具是商品时生效（道具类型=10）
1/2/3/4对应绿/蓝/紫/橙"		根据不同的item_type有不同的用法		
编号	包ID	奖励类型	道具/蓝图/包ID	备注	最小道具数量	最大道具数量	掉落类型	条件参数	指定的显示	商品品质	备注	额外参数1	额外参数2	显示顺序
ID	RewardID	ItemType	ItemID	列1	MinNum	MaxNum	DropType	DropPara	PreviewItem	GoodsQuality	列2	ExtParams1	ExtParams2	DisplayOrder
1	100	1	1002	钻石	500		1	10000			留存邮件奖励-day1			1
2	101	1	1002	钻石	500		1	10000			留存邮件奖励-day2			2
3	102	1	1002	钻石	1000		1	10000			留存邮件奖励-day3			3
4	103	1	1002	钻石	1000		1	10000			留存邮件奖励-day4			4
5	104	1	1002	钻石	1000		1	10000			留存邮件奖励-day5			5
6	105	1	1002	钻石	1000		1	10000			留存邮件奖励-day6			6
7	106	1	1002	钻石	3000		1	10000			留存邮件奖励-day7			7
8	106	1	80007	浪涛之巅（永久）	1		1	10000			留存邮件奖励-day7			8
9	106	1	81004	南瓜灯岬（7天）	1		1	10000			留存邮件奖励-day7			9
10	301	1	1002	钻石	10		1	10000			章节任务奖励-1			10
11	301	1	110101	新手猎人	20		1	10000			章节任务奖励-1			11
12	302	1	1002	钻石	20		1	10000			章节任务奖励-2			12
13	303	1	1002	钻石	30		1	10000			章节任务奖励-3			13
14	303	1	11011	1分钟建造加速	6		1	10000			章节任务奖励-3			14
15	304	1	1002	钻石	50		1	10000			章节任务奖励-4			15
16	304	1	11012	5分钟建造加速	2		1	10000			章节任务奖励-4			16
17	305	1	1002	钻石	100		1	10000			章节任务奖励-5			17
18	305	1	2011	舰船	1		1	10000			章节任务奖励-5-引导情报-第二冒险队列			18
19	305	1	110101	新手猎人	1000		1	10000			章节任务奖励-5-引导情报--水手			19
20	305	1	110201	新手射手	1000		1	10000			章节任务奖励-5-引导情报--水手			20
21	305	1	110301	新手斗士	1000		1	10000			章节任务奖励-5-引导情报--水手			21
22	306	1	1002	钻石	150		1	10000			章节任务奖励-6			22
23	306	1	11012	5分钟建造加速	6		1	10000			章节任务奖励-6			23
24	306	1	11022	5分钟招募加速	6		1	10000			章节任务奖励-6			24
25	307	1	1002	钻石	200		1	10000			章节任务奖励-7			25
26	307	1	11012	5分钟建造加速	9		1	10000			章节任务奖励-7			26
27	307	1	11022	5分钟招募加速	9		1	10000			章节任务奖励-7			27
28	308	1	1002	钻石	300		1	10000			章节任务奖励-8			28
29	308	1	8002	公会迁移	1		1	10000			章节任务奖励-8			29
30	308	1	11002	5分钟通用加速	12		1	10000			章节任务奖励-8			30
31	309	1	1002	钻石	400		1	10000			章节任务奖励-9			31
32	309	1	11012	5分钟建造加速	12		1	10000			章节任务奖励-9			32
33	309	1	11032	5分钟研究加速	12		1	10000			章节任务奖励-9			33
34	310	1	1002	钻石	500		1	10000			章节任务奖励-10			34
35	310	1	91003	3阶无暇人鱼香料	3		1	10000			章节任务奖励-10			35
36	310	1	11002	5分钟通用加速	12		1	10000			章节任务奖励-10			36
37	311	1	1002	钻石	600		1	10000			章节任务奖励-11			37
38	311	1	11003	30分钟通用加速	3		1	10000			章节任务奖励-11			38
39	311	1	3101	基础资源袋	2		1	10000			章节任务奖励-11			39
40	312	1	1002	钻石	700		1	10000			章节任务奖励-12			40
41	312	1	11004	1小时通用加速	2		1	10000			章节任务奖励-12			41
42	312	1	3101	基础资源袋	2		1	10000			章节任务奖励-12			42
43	313	1	1002	钻石	800		1	10000			章节任务奖励-13			43
44	313	1	11004	1小时通用加速	2		1	10000			章节任务奖励-13			44
45	313	1	3101	基础资源袋	2		1	10000			章节任务奖励-13			45
46	314	1	1002	钻石	900		1	10000			章节任务奖励-14			46
47	314	1	11004	1小时通用加速	2		1	10000			章节任务奖励-14			47
48	314	1	3101	基础资源袋	2		1	10000			章节任务奖励-14			48
49	315	1	1002	钻石	1000		1	10000			章节任务奖励-15			49
50	315	1	7001	英雄美酒	1		1	10000			章节任务奖励-15			50
51	315	1	11004	1小时通用加速	2		1	10000			章节任务奖励-15			51
52	315	1	3101	基础资源袋	2		1	10000			章节任务奖励-15			52
53	316	1	1002	钻石	1000		1	10000			章节任务奖励-16			53
54	316	1	11004	1小时通用加速	2		1	10000			章节任务奖励-16			54
55	316	1	3101	基础资源袋	2		1	10000			章节任务奖励-16			55
56	317	1	1002	钻石	1000		1	10000			章节任务奖励-17			56
57	317	1	11004	1小时通用加速	2		1	10000			章节任务奖励-17			57
58	317	1	3101	基础资源袋	2		1	10000			章节任务奖励-17			58
59	318	1	1002	钻石	1000		1	10000			章节任务奖励-18			59
60	318	1	11004	1小时通用加速	2		1	10000			章节任务奖励-18			60
61	318	1	3101	基础资源袋	2		1	10000			章节任务奖励-18			61
62	319	1	1002	钻石	1000		1	10000			章节任务奖励-19			62
63	319	1	11004	1小时通用加速	2		1	10000			章节任务奖励-19			63
64	319	1	3101	基础资源袋	2		1	10000			章节任务奖励-19			64
65	320	1	1002	钻石	1000		1	10000			章节任务奖励-20			65
66	320	1	11004	1小时通用加速	3		1	10000			章节任务奖励-20			66
67	320	1	3101	基础资源袋	3		1	10000			章节任务奖励-20			67
68	321	1	1002	钻石	1200		1	10000			章节任务奖励-21			68
69	321	1	11004	1小时通用加速	3		1	10000			章节任务奖励-21			69
70	321	1	3101	基础资源袋	3		1	10000			章节任务奖励-21			70
71	322	1	1002	钻石	1200		1	10000			章节任务奖励-22			71
72	322	1	11004	1小时通用加速	3		1	10000			章节任务奖励-22			72
73	322	1	3101	基础资源袋	3		1	10000			章节任务奖励-22			73
74	323	1	1002	钻石	1200		1	10000			章节任务奖励-23			74
75	323	1	11004	1小时通用加速	3		1	10000			章节任务奖励-23			75
76	323	1	3101	基础资源袋	3		1	10000			章节任务奖励-23			76
77	324	1	1002	钻石	1200		1	10000			章节任务奖励-24			77
78	324	1	11004	1小时通用加速	3		1	10000			章节任务奖励-24			78
79	324	1	3101	基础资源袋	3		1	10000			章节任务奖励-24			79
80	325	1	1002	钻石	1200		1	10000			章节任务奖励-25			80
81	325	1	11004	1小时通用加速	3		1	10000			章节任务奖励-25			81
82	325	1	3101	基础资源袋	3		1	10000			章节任务奖励-25			82
83	326	1	1002	钻石	1400		1	10000			章节任务奖励-26			83
84	326	1	11004	1小时通用加速	3		1	10000			章节任务奖励-26			84
85	326	1	3101	基础资源袋	3		1	10000			章节任务奖励-26			85
86	327	1	1002	钻石	1400		1	10000			章节任务奖励-27			86
87	327	1	11004	1小时通用加速	3		1	10000			章节任务奖励-27			87
88	327	1	3101	基础资源袋	3		1	10000			章节任务奖励-27			88
89	328	1	1002	钻石	1400		1	10000			章节任务奖励-28			89
90	328	1	11004	1小时通用加速	3		1	10000			章节任务奖励-28			90
91	328	1	3101	基础资源袋	3		1	10000			章节任务奖励-28			91
92	329	1	1002	钻石	1400		1	10000			章节任务奖励-29			92
93	329	1	11004	1小时通用加速	3		1	10000			章节任务奖励-29			93
94	329	1	3101	基础资源袋	3		1	10000			章节任务奖励-29			94
95	330	1	1002	钻石	1400		1	10000			章节任务奖励-30			95
96	330	1	11004	1小时通用加速	4		1	10000			章节任务奖励-30			96
97	330	1	3101	基础资源袋	4		1	10000			章节任务奖励-30			97
98	331	1	1002	钻石	1600		1	10000			章节任务奖励-31			98
99	331	1	11004	1小时通用加速	4		1	10000			章节任务奖励-31			99
100	331	1	3101	基础资源袋	4		1	10000			章节任务奖励-31			100
101	332	1	1002	钻石	1600		1	10000			章节任务奖励-32			101
102	332	1	11004	1小时通用加速	4		1	10000			章节任务奖励-32			102
103	332	1	3101	基础资源袋	4		1	10000			章节任务奖励-32			103
