cs	cs		cs	cs	cs	cs	cs	cs	cs	cs			cs	cs	cs	cs	cs	cs	cs	cs	cs	cs	cs	cs	cs	cs
int	int		bool	int	bool	bool	int	int	int	int			int	int	int	int[]	int	string	int	int	int	int	int	int	bool	CExpression
	ShopCfg														Item	Item										
"不能删id，程序会出问题
钻石商店的ID和程序对好定死"	填写Shop id		"#所有表的IsOn用法应相同
0/填空=不导出该行数据
1=开启"	"vip商店：从小到大
其他：从大到小"	"0=不可购买
1=开放"	"0=不显示
1=显示"	"玩家达到该等级后，则商品显示出来&且可以购买
需要包含填写的等级"	达到该Vip等级后才可购买	"1=道具
2=蓝图"	填写商品对应的道具id		#钻石商店中：同一个道具只能有一个配置	每份商品的道具数量	填写消耗道具的数量				填写什么显示什么	控制购买弹窗上滑动条单次最多能买的数量	填空或0：无购买数量限制	"1=完成指定的任务
3=公会旗舰达到指定等级（仅公会商店)
4=累计充值积分（商店开启后统计）"	"1=任务id(FunctionUnlockTask.id)
3=等级"	"1=历史购买前置商品
2=完成指定的任务
3=指定时间显示
4=大于指定远征赛季显示"	"1=商品id
2=FunctionUnlockTask.id
3=Timecycle id
4=赛季序列（Sequence）"	货架容量不随着商店刷新	购买条件
编号	商店类型	备注	是否导出	排序id	开放	上架	显示等级	Vip等级	奖励类型	道具ID	备注		REQUIRED_每份道具数量	REQUIRED_价格	REQUIRED_货币ID	折扣券	TXT_原价	TXT_折扣	单次购买上限	货架容量	解锁条件	解锁参数	显示条件	显示参数	货架容量不刷新	道具显示条件
ID	ShopType	列1	IsOn	Sort	Open	Show	ShowLevel	VipLevel	ItemType	ItemID	列2	item 查询	BuyNum	Price	ConsumeItem	DiscountCoupon	OriginalPrice	Discount	BuyMax	Limit	UnlockType	UnlockValue	ShowType	ShowValue	FixedCapacity	RequirementPurchase
20001	1021	公会-每日特供	1	101	1	1	1		1	8002		公会迁移	1	4800	1009			-70%	1	1						{}
20002	1021		1	89	1	1	1		1	9001		船队召回	1	26000	1009				1	1						{}
20003	1021		1	100	1	1	1		1	8002		公会迁移	1	16000	1009				5	5						{}
20004	1021		1	88	1	1	1		1	9002		航行加速I	1	13000	1009				3	3						{}
20005	1021		1	87	1	1	1		1	9003		航行加速II	1	65000	1009				3	3						{}
20006	1021		1	79	1	1	1		1	11012		5分钟建造加速	1	2200	1009				30	30						{}
20007	1021		1	77	1	1	1		1	11022		5分钟招募加速	1	2200	1009				30	30						{}
20008	1021		1	78	1	1	1		1	11032		5分钟研究加速	1	2200	1009				30	30						{}
20009	1021		1	76	1	1	1		1	11042		5分钟治疗加速	1	2200	1009				30	30						{}
20012	1021		1	99	1	1	1		1	120001		2h保护	1	13000	1009				3	3						{}
20014	1021		1	86	1	1	1		1	9011		旗舰加速	1	60000	1009				3	3						{}
21003	1022	公会-每周特供	1	100	1	1	1		1	52003		万能传奇信物	1	100000	1009			-70%	5	5	3	5				{}
21004	1022		1	99	1	1	1		1	55000		通用技能碎片	1	100000	1009			-70%	5	5	3	3				{}
21001	1022		1	98	1	1	1		1	50004		英雄-鲁比	1	100000	1009			-70%	1	1						{}
21014	1022		1	97	1	1	1		1	500041		英雄-传奇鲁比	1	1000000	1009				1	1	3	4	1	21001	1	{}
21015	1022		1	96	1	1	1		1	500042		英雄-传奇鲁比	1	2000000	1009				1	1	3	7	1	21014	1	{}
21002	1022		1	95	1	1	1		1	51004		信物-鲁比	1	30000	1009				100	100						{}
21012	1022		1	94	1	1	1		1	530041		初妆·鲁比	1	500000	1009				1	1	3	3			1	{}
21013	1022		1	93	1	1	1		1	530042		钢羽战衣·鲁比	1	1500000	1009				1	1	3	5			1	{}
21009	1022		1	92	1	1	1		1	8001		自由岛屿迁移	1	10000	1009			-99%	1	1						{}
21010	1022		1	91	1	1	1		1	8001		自由岛屿迁移	1	1000000	1009				2	2						{}
21006	1022		1	90	1	1	1		1	55101		神秘金属	1	40000	1009				10	10	3	1				{}
21005	1022		1	89	1	1	1		1	55100		高级木板	1	13000	1009				30	30	3	1				{}
21011	1022		1	88	1	1	1		1	165905		英雄装备材料袋	1	10000	1009				100	100						{}
21008	1022		1	87	1	1	1		1	120003		24h保护	1	160000	1009				1	1						{}
21007	1022		1	86	1	1	1		1	120002		8h保护	1	40000	1009				3	3						{}
21017	1022		1	85	1	1	1		1	245004		推币机银币	100	32000	1009				1	1						{}
30001	1031	会员优惠	1	1	1	0	1	1	1	15005		烈焰红（7d）	1	3000	1002			-50%	1	1						{}
30002	1031		1	2	1	1	1	1	1	15006		银河灰（7d）	1	3000	1002			-50%	1	1						{}
30003	1031		1	3	1	0	1	1	1	15004		星辰紫（7d）	1	3000	1002			-50%	1	1						{}
30004	1031		1	4	1	1	1	1	1	15003		翡翠绿（7d）	1	3000	1002			-50%	1	1						{}
30005	1031		1	5	1	1	1	1	1	15002		阳光黄（7d）	1	3000	1002			-50%	1	1						{}
30006	1031		1	6	1	1	1	1	1	120002		8h保护	1	600	1002			-50%	3	3						{}
30007	1031		1	9	1	1	1	2	1	8002		公会迁移	1	200	1002			-60%	5	5						{}
30008	1031		1	8	1	1	1	2	1	5003		祝福银币	1	50	1002			-50%	100	100						{}
30009	1031		1	7	1	1	1	1	1	8001		自由岛屿迁移	1	1500	1002			-95%	2	2						{}
30010	1031		1	11	1	1	1	3	1	19001		稀有技能书	1	75	1002			-50%	30	30						{}
30012	1031		1	12	1	1	1	4	1	93003		3阶传奇人鱼香料	1	150	1002			-50%	20	20						{}
30013	1031		1	13	1	1	1	4	1	1008		冒险阅历	5000	75	1002			-50%	20	20						{}
30014	1031		1	14	1	1	1	5	1	11002		5分钟通用加速	1	40	1002			-40%	20	20						{}
30015	1031		1	15	1	1	1	5	1	93005		5阶传奇人鱼香料	1	500	1002			-50%	10	10						{}
30016	1031		1	16	1	1	1	6	1	19002		史诗技能书	1	250	1002			-50%	20	20						{}
30018	1031		1	18	1	1	1	7	1	11004		1小时通用加速	1	400	1002			-50%	2	2						{}
30019	1031		1	19	1	1	1	7	1	1015		硬木板	10000	150	1002			-50%	20	20						{}
30020	1031		1	20	1	1	1	8	1	11005		3小时通用加速	1	1200	1002			-50%	1	1						{}
30021	1031		1	21	1	1	1	8	1	55100		高级木板	1	300	1002			-25%	50	50						{}
30022	1031		1	23	1	1	1	9	1	7001		英雄美酒	1	1500	1002			-50%	5	5						{}
30023	1031		1	24	1	1	1	9	1	55101		神秘金属	1	600	1002			-50%	20	20						{}
30024	1031		1	26	1	1	1	10	1	11006		8小时通用加速	1	3200	1002			-50%	1	1						{}
30025	1031		1	27	1	1	1	10	1	93007		7阶传奇人鱼香料	1	1500	1002			-50%	5	5						{}
30026	1031		1	28	1	1	1	11	1	120003		24h保护	1	2400	1002			-50%	1	1						{}
30027	1031		1	29	1	1	1	12	1	93009		9阶传奇人鱼香料	1	5000	1002			-50%	5	5						{}
30028	1031		1	10	1	1	1	3	1	160301		Ⅰ阶船只装备蓝图	1	1600	1002			-20%	20	20						{}
30029	1031		1	17	1	1	1	7	1	160302		Ⅱ阶船只装备蓝图	1	7000	1002			-30%	10	10						{}
30030	1031		1	22	1	1	1	9	1	160303		Ⅲ阶船只装备蓝图	1	32500	1002			-35%	3	3						{}
30031	1031		1	25	1	1	1	10	1	160304		Ⅳ阶船只装备蓝图	1	150000	1002			-40%	1	1						{}
40001	1051	船长商店	1	1	1	1	1		1	4001		脆珊瑚	10	1	4101				99							{}
40002	1051		1	2	1	1	1		1	4002		大白虾	10	1	4101				99							{}
40003	1051		1	3	1	1	1		1	4003		甜甜贝	10	1	4101				99							{}
40004	1051		1	4	1	1	5		1	4004		林鸟蛋	10	3	4101				99							{}
40005	1051		1	5	1	1	5		1	4005		水妖果	10	3	4101				99							{}
40006	1051		1	6	1	1	5		1	4006		芥末菇	10	3	4101				99							{}
40007	1051		1	7	1	1	8		1	4007		岩盘鱼	10	5	4101				99							{}
40008	1051		1	8	1	1	8		1	4008		烫嘴浆果	10	5	4101				99							{}
40009	1051		1	9	1	1	8		1	4009		炫彩岩盐	10	5	4101				99							{}
40010	1051		1	10	1	1	10		1	4010		花壁虎尾	10	8	4101				99							{}
40011	1051		1	11	1	1	10		1	4011		冰枝	10	8	4101				99							{}
40012	1051		1	12	1	1	10		1	4012		果冻石	10	8	4101				99							{}
40013	1051		1	13	1	1	12		1	4013		高速海马	10	15	4101				99							{}
40014	1051		1	14	1	1	12		1	4014		飞空钻	10	15	4101				99							{}
40015	1051		1	15	1	1	12		1	4015		钻石海星	10	15	4101				99							{}
40016	1051		1	16	1	1	14		1	4016		黄金扇贝	10	23	4101				99							{}
40017	1051		1	17	1	1	14		1	4017		活体海草	10	23	4101				99							{}
40018	1051		1	18	1	1	14		1	4018		海床蛋白	10	23	4101				99							{}
40021	1051		1	19	1	1	17		1	4021		肉菌团	10	30	4101				99							{}
40022	1051		1	20	1	1	17		1	4022		冥界菇	10	30	4101				99							{}
40023	1051		1	21	1	1	17		1	4023		红海螺	10	30	4101				99							{}
40024	1051		1	22	1	1	20		1	4024		海棉絮	10	37	4101				99							{}
40025	1051		1	23	1	1	20		1	4025		太阳花	10	37	4101				99							{}
40026	1051		1	24	1	1	20		1	4026		破冰葡萄	10	37	4101				99							{}
40027	1051		1	25	1	1	23		1	4027		弹跳菇	10	67	4101				99							{}
40028	1051		1	26	1	1	23		1	4028		开心果	10	67	4101				99							{}
40029	1051		1	27	1	1	23		1	4029		岩浆果	10	67	4101				99							{}
40030	1051		1	28	1	1	26		1	4030		黄金种子	10	100	4101				99							{}
40031	1051		1	29	1	1	26		1	4031		蜜糖虫	10	100	4101				99							{}
40032	1051		1	30	1	1	26		1	4032		恶魔果	10	100	4101				99							{}
40033	1051		1	31	1	1	26		1	4201		饿魔果实	1	50	4101				99							{}
51001	1061		1	55	1	1	1		1	51001		信物-格蕾丝	1	3	1017				50	50						{}
51002	1061		1	58	1	1	1		1	51002		信物-莉莉	1	3	1017				50	50						{}
51003	1061		1	98	1	1	1		1	51003		信物-斯嘉丽	1	7	1017				30	30						{}
51005	1061		1	52	1	1	1		1	51005		信物-黛西	1	3	1017				50	50						{}
51006	1061		1	57	1	1	1		1	51006		信物-茉莉	1	3	1017				50	50						{}
51007	1061		1	79	1	1	1		1	51007		信物-奥利芙	1	7	1017				30	30						{}
51011	1061		1	54	1	1	1		1	51011		信物-哈珀	1	3	1017				50	50						{}
