Found 14 rows with col[1] in [21242000, 21242013]
HEADER: [0]p2_title	[1]A_INT_id	[2]N_STR_comment	[3]A_STR_action	[4]A_ARR_action_ids	[5]S_MAP_counter_ids	[6]A_MAP_drop	[7]A_ARR_action_time	[8]S_INT_mail_id	[9]A_ARR_display_drop	[10]S_INT_day_refresh	[11]S_ARR_action_use	[12]S_STR_type	[13]C_MAP_desc	[14]S_INT_base	[15]S_ARR_refresh	[16]A_MAP_filter	[17]S_MAP_asset_limit	[18]S_STR_action_desc	[19]C_INT_display_key
row 795: 	21242000	巨猿金蛋-1	actv_wonder_egg_drop	[]	{}	{"typ":"single_random","num":1,"args":[{"typ":"item","id":11111102,"num":2,"wgt":80},{"typ":"item","id":11119497,"num":2,"wgt":35},{"typ":"item","id":11116005,"num":1,"wgt":30},{"typ":"item","id":11114328,"num":5,"wgt":60},{"typ":"item","id":11117068,"num":2,"wgt":50},{"typ":"item","id":11118002,"num":1,"wgt":30},{"typ":"item","id":11111082,"num":1,"wgt":15},{"typ":"item","id":11117024,"num":1,"wgt":20}]}	[1,999]	0	[]	0	[]	bag	{}	1	[]	{}	{}	""	0
row 796: 	21242001	巨猿金蛋-2	actv_wonder_egg_drop	[]	{}	{"typ":"single_random","num":1,"args":[{"typ":"item","id":11111102,"num":3,"wgt":80},{"typ":"item","id":11119497,"num":4,"wgt":35},{"typ":"item","id":11116005,"num":2,"wgt":30},{"typ":"item","id":11114328,"num":10,"wgt":60},{"typ":"item","id":11117068,"num":5,"wgt":50},{"typ":"item","id":11118002,"num":2,"wgt":30},{"typ":"item","id":11111082,"num":1,"wgt":15},{"typ":"item","id":11117024,"num":1,"wgt":20}]}	[1,999]	0	[]	0	[]	bag	{}	1	[]	{}	{}	""	0
row 797: 	21242002	巨猿金蛋-3	actv_wonder_egg_drop	[]	{}	{"typ":"single_random","num":1,"args":[{"typ":"item","id":11111102,"num":5,"wgt":80},{"typ":"item","id":11119497,"num":6,"wgt":35},{"typ":"item","id":11116005,"num":5,"wgt":30},{"typ":"item","id":11114329,"num":15,"wgt":60},{"typ":"item","id":11117068,"num":8,"wgt":50},{"typ":"item","id":11118002,"num":5,"wgt":30},{"typ":"item","id":11111082,"num":2,"wgt":15},{"typ":"item","id":11117024,"num":2,"wgt":20}]}	[1,999]	0	[]	0	[]	bag	{}	1	[]	{}	{}	""	0
row 798: 	21242003	巨猿金蛋-4	actv_wonder_egg_drop	[]	{}	{"typ":"single_random","num":1,"args":[{"typ":"item","id":11111102,"num":10,"wgt":80},{"typ":"item","id":11119497,"num":8,"wgt":35},{"typ":"item","id":11116007,"num":2,"wgt":30},{"typ":"item","id":11114329,"num":10,"wgt":60},{"typ":"item","id":11117068,"num":12,"wgt":50},{"typ":"item","id":11118004,"num":2,"wgt":30},{"typ":"item","id":11111082,"num":2,"wgt":15},{"typ":"item","id":11117024,"num":2,"wgt":20}]}	[1,999]	0	[]	0	[]	bag	{}	1	[]	{}	{}	""	0
row 799: 	21242004	巨猿金蛋-5	actv_wonder_egg_drop	[]	{}	{"typ":"single_random","num":1,"args":[{"typ":"item","id":11111102,"num":15,"wgt":80},{"typ":"item","id":11119497,"num":10,"wgt":35},{"typ":"item","id":11116007,"num":5,"wgt":30},{"typ":"item","id":11114329,"num":15,"wgt":60},{"typ":"item","id":11117068,"num":15,"wgt":50},{"typ":"item","id":11118004,"num":5,"wgt":30},{"typ":"item","id":11111082,"num":3,"wgt":15},{"typ":"item","id":11117024,"num":3,"wgt":20}]}	[1,999]	0	[]	0	[]	bag	{}	1	[]	{}	{}	""	0
row 800: 	21242005	巨猿金蛋-6	actv_wonder_egg_drop	[]	{}	{"typ":"single_random","num":1,"args":[{"typ":"item","id":11111105,"num":2,"wgt":80},{"typ":"item","id":11114330,"num":10,"wgt":60},{"typ":"item","id":11112498,"num":4,"wgt":30},{"typ":"item","id":11116304,"num":2,"wgt":20},{"typ":"item","id":11119497,"num":12,"wgt":30},{"typ":"item","id":11111082,"num":4,"wgt":15},{"typ":"item","id":11117024,"num":4,"wgt":20}]}	[1,999]	0	[]	0	[]	bag	{}	1	[]	{}	{}	""	0
row 801: 	21242006	巨猿金蛋-7	actv_wonder_egg_drop	[]	{}	{"typ":"single_random","num":1,"args":[{"typ":"item","id":11111105,"num":5,"wgt":80},{"typ":"item","id":11114330,"num":15,"wgt":60},{"typ":"item","id":11112498,"num":10,"wgt":30},{"typ":"item","id":11116304,"num":5,"wgt":20},{"typ":"item","id":11119497,"num":15,"wgt":30},{"typ":"item","id":11111082,"num":5,"wgt":15},{"typ":"item","id":11117024,"num":5,"wgt":20}]}	[1,999]	0	[]	0	[]	bag	{}	1	[]	{}	{}	""	0
row 802: 	21242007	占星节巨猿砸金蛋-全量-1	actv_wonder_egg_drop	[]	{}	{"typ": "single_all", "num": 1, "args": [{"typ": "item", "id": 11111102, "num": 2}, {"typ": "item", "id": 11119497, "num": 2}, {"typ": "item", "id": 11116005, "num": 1}, {"typ": "item", "id": 11114328, "num": 5}, {"typ": "item", "id": 11117068, "num": 2}, {"typ": "item", "id": 11118002, "num": 1}, {"typ": "item", "id": 11111082, "num": 1}, {"typ": "item", "id": 11117024, "num": 1}]}	[1,999]	0	[]	0	[]	bag	{}	1	[]	{}	{}	""	0
row 803: 	21242008	占星节巨猿砸金蛋-全量-2	actv_wonder_egg_drop	[]	{}	{"typ": "single_all", "num": 1, "args": [{"typ": "item", "id": 11111102, "num": 3}, {"typ": "item", "id": 11119497, "num": 4}, {"typ": "item", "id": 11116005, "num": 2}, {"typ": "item", "id": 11114328, "num": 10}, {"typ": "item", "id": 11117068, "num": 5}, {"typ": "item", "id": 11118002, "num": 2}, {"typ": "item", "id": 11111082, "num": 1}, {"typ": "item", "id": 11117024, "num": 1}]}	[1,999]	0	[]	0	[]	bag	{}	1	[]	{}	{}	""	0
row 804: 	21242009	占星节巨猿砸金蛋-全量-3	actv_wonder_egg_drop	[]	{}	{"typ": "single_all", "num": 1, "args": [{"typ": "item", "id": 11111102, "num": 5}, {"typ": "item", "id": 11119497, "num": 6}, {"typ": "item", "id": 11116005, "num": 5}, {"typ": "item", "id": 11114329, "num": 15}, {"typ": "item", "id": 11117068, "num": 8}, {"typ": "item", "id": 11118002, "num": 5}, {"typ": "item", "id": 11111082, "num": 2}, {"typ": "item", "id": 11117024, "num": 2}]}	[1,999]	0	[]	0	[]	bag	{}	1	[]	{}	{}	""	0
