Found 25 rows matching '21300132'
HEADER: [0]fwcli_name	[1]Id	[2]BpID	[3]Comment	[4]Level	[5]FreeRewards	[6]PayRewards	[7]PayRewards2	[8]Exp	[9]ShowType
row 3252: 	21313302	21300132	2025占星节	1	[{"typ":"item","id":11114018,"val":2}]	[{"typ":"item","id":11119506,"val":1}]	[{"typ":"item","id":11116304,"val":10},{"typ":"item","id":11111048,"val":20}]	15	-1
row 3253: 	21313303	21300132	2025占星节	2	[{"typ":"item","id":11112498,"val":5}]	[{"typ":"item","id":11114018,"val":4}]	[{"typ":"item","id":11114018,"val":8},{"typ":"item","id":11114018,"val":8}]	20	-1
row 3254: 	21313304	21300132	2025占星节	3	[{"typ":"item","id":11111156,"val":1}]	[{"typ":"item","id":11117069,"val":5}]	[{"typ":"item","id":11117069,"val":5},{"typ":"item","id":11117069,"val":5}]	25	-1
row 3255: 	21313305	21300132	2025占星节	4	[{"typ":"item","id":11119498,"val":1}]	[{"typ":"item","id":11117068,"val":100}]	[{"typ":"item","id":11117068,"val":100},{"typ":"item","id":11117068,"val":100}]	30	-1
row 3256: 	21313306	21300132	2025占星节	5	[{"typ":"item","id":11119517,"val":5}]	[{"typ":"item","id":11119517,"val":10}]	[{"typ":"item","id":11119517,"val":10},{"typ":"item","id":11119517,"val":10}]	30	-1
row 3257: 	21313307	21300132	2025占星节	6	[{"typ":"item","id":11114018,"val":2}]	[{"typ":"item","id":11114018,"val":4}]	[{"typ":"item","id":11114018,"val":8},{"typ":"item","id":11114018,"val":8}]	30	-1
row 3258: 	21313308	21300132	2025占星节	7	[{"typ":"item","id":11111105,"val":1}]	[{"typ":"item","id":11116402,"val":2}]	[{"typ":"item","id":11116402,"val":1},{"typ":"item","id":11116402,"val":1}]	30	-1
row 3259: 	21313309	21300132	2025占星节	8	[{"typ":"item","id":11114018,"val":2}]	[{"typ":"item","id":11114018,"val":4}]	[{"typ":"item","id":11114018,"val":8},{"typ":"item","id":11114018,"val":8}]	30	-1
row 3260: 	21313310	21300132	2025占星节	9	[{"typ":"item","id":11116004,"val":3}]	[{"typ":"item","id":11117068,"val":100}]	[{"typ":"item","id":11117068,"val":100},{"typ":"item","id":11117068,"val":100}]	30	-1
row 3261: 	21313311	21300132	2025占星节	10	[{"typ":"item","id":11112498,"val":5}]	[{"typ":"item","id":11117024,"val":2}]	[{"typ":"item","id":11117024,"val":2},{"typ":"item","id":11117024,"val":2}]	30	-1
row 3262: 	21313312	21300132	2025占星节	11	[{"typ":"item","id":11114018,"val":2}]	[{"typ":"item","id":11114018,"val":4}]	[{"typ":"item","id":11114018,"val":8},{"typ":"item","id":11114018,"val":8}]	30	-1
row 3263: 	21313313	21300132	2025占星节	12	[{"typ":"item","id":11111156,"val":1}]	[{"typ":"item","id":11111008,"val":1}]	[{"typ":"item","id":11111008,"val":1},{"typ":"item","id":11111008,"val":1}]	30	-1
row 3264: 	21313314	21300132	2025占星节	13	[{"typ":"item","id":11114018,"val":2}]	[{"typ":"item","id":11114018,"val":4}]	[{"typ":"item","id":11114018,"val":8},{"typ":"item","id":11114018,"val":8}]	30	-1
row 3265: 	21313315	21300132	2025占星节	14	[{"typ":"item","id":11116004,"val":5}]	[{"typ":"item","id":11116007,"val":1}]	[{"typ":"item","id":11116007,"val":1},{"typ":"item","id":11116007,"val":1}]	30	-1
row 3266: 	21313316	21300132	2025占星节	15	[{"typ":"item","id":11112498,"val":5}]	[{"typ":"item","id":11119517,"val":10}]	[{"typ":"item","id":11119517,"val":10},{"typ":"item","id":11119517,"val":10}]	30	-1
row 3267: 	21313317	21300132	2025占星节	16	[{"typ":"item","id":11116402,"val":2}]	[{"typ":"item","id":11116402,"val":5}]	[{"typ":"item","id":11116007,"val":1},{"typ":"item","id":11116007,"val":1}]	30	-1
row 3268: 	21313318	21300132	2025占星节	17	[{"typ":"item","id":11114018,"val":2}]	[{"typ":"item","id":11114018,"val":4}]	[{"typ":"item","id":11114018,"val":8},{"typ":"item","id":11114018,"val":8}]	30	-1
row 3269: 	21313319	21300132	2025占星节	18	[{"typ":"item","id":11117024,"val":1}]	[{"typ":"item","id":11117069,"val":1}]	[{"typ":"item","id":11117069,"val":1},{"typ":"item","id":11117069,"val":1}]	30	-1
row 3270: 	21313320	21300132	2025占星节	19	[{"typ":"item","id":11116005,"val":4}]	[{"typ":"item","id":11117068,"val":1}]	[{"typ":"item","id":11117068,"val":1},{"typ":"item","id":11117068,"val":1}]	30	-1
row 3271: 	21313321	21300132	2025占星节	20	[{"typ":"item","id":11114018,"val":5}]	[{"typ":"item","id":11114018,"val":4}]	[{"typ":"item","id":11114018,"val":8},{"typ":"item","id":11114018,"val":8}]	30	-1
