21242053	拓荒节2024掉落活动-采集	gather_normal	[]	{}	{"typ":"single_random","num":1,"args":[{"typ":"item","id":111111314,"num":0,"wgt":500},{"typ":"item","id":111111314,"num":1,"wgt":400},{"typ":"item","id":111111314,"num":3,"wgt":100}]}	[1,50]	17119030	[]	0	[]	mail	{"title":"LC_EVENT_christmas_drop_1","desc":"LC_EVENT_astro_2025_drop_1"}	100000	[]	{"op":"and", "args": [{"op":"ge","typ":"building","id":111811,"val":1},{"op":"le", "typ":"building","id":111811,"val":35}]}	{"op":"and", "args": [{"op":"ge","typ":"actv_drop_item_cnt","arg2":"item","id":111111314,"val":10}]}	LC_MAIL_mail_actv_gather	0
21242040	拓荒节2024掉落活动-pve（1-17级）0-25	pve_class_counter	[13630001]	{}	{"typ":"single_all","num":1,"args":[{"typ":"single_random","num":1,"args":[{"typ":"item","id":11111001,"num":1,"wgt":200},{"typ":"item","id":11111005,"num":1,"wgt":200},{"typ":"item","id":11111153,"num":1,"wgt":300},{"typ":"item","id":11111143,"num":1,"wgt":300}]},{"typ":"single_random","num":1,"args":[{"typ":"item","id":111111314,"num":0,"wgt":100},{"typ":"item","id":111111314,"num":1,"wgt":100},{"typ":"item","id":111111314,"num":3,"wgt":300},{"typ":"item","id":111111314,"num":4,"wgt":500}]}]}	[1,25]	17119030	[]	0	[]	mail	{"title":"LC_EVENT_christmas_drop_3","desc":"LC_EVENT_astro_2025_drop_2"}	1	[]	{"op":"and", "args": [{"op":"ge","typ":"building","id":111811,"val":1},{"op":"le", "typ":"building","id":111811,"val":17}]}	{"op":"and", "args": [{"op":"ge","typ":"actv_drop_item_cnt","arg2":"item","id":111111314,"val":120}]}	LC_MAIL_mail_actv_pve	0
21242041	拓荒节2024掉落活动-pve（1-17级）51-200	pve_class_counter	[13630001]	{}	{"typ":"single_all","num":1,"args":[{"typ":"single_random","num":1,"args":[{"typ":"item","id":11111001,"num":1,"wgt":200},{"typ":"item","id":11111005,"num":1,"wgt":200},{"typ":"item","id":11111153,"num":1,"wgt":300},{"typ":"item","id":11111143,"num":1,"wgt":300}]},{"typ":"single_random","num":1,"args":[{"typ":"item","id":111111314,"num":0,"wgt":600},{"typ":"item","id":111111314,"num":1,"wgt":200},{"typ":"item","id":111111314,"num":3,"wgt":150},{"typ":"item","id":111111314,"num":4,"wgt":50}]}]}	[51,500]	17119030	[]	0	[]	mail	{"title":"LC_EVENT_christmas_drop_3","desc":"LC_EVENT_astro_2025_drop_3"}	1	[]	{"op":"and", "args": [{"op":"ge","typ":"building","id":111811,"val":1},{"op":"le", "typ":"building","id":111811,"val":17}]}	{"op":"and", "args": [{"op":"ge","typ":"actv_drop_item_cnt","arg2":"item","id":111111314,"val":120}]}	LC_MAIL_mail_actv_pve	0
21242042	拓荒节2024掉落活动-gve（1-17级）0-25	pve_class_counter	[13630002]	{}	{"typ":"single_all","num":1,"args":[{"typ":"single_random","num":1,"args":[{"typ":"item","id":11111002,"num":1,"wgt":700},{"typ":"item","id":11111002,"num":3,"wgt":300}]},{"typ":"single_random","num":1,"args":[{"typ":"item","id":11111006,"num":1,"wgt":700},{"typ":"item","id":11111006,"num":3,"wgt":300}]},{"typ":"single_random","num":1,"args":[{"typ":"item","id":11111155,"num":1,"wgt":500},{"typ":"item","id":11111145,"num":1,"wgt":500}]},{"typ":"single_random","num":1,"args":[{"typ":"item","id":111111314,"num":0,"wgt":50},{"typ":"item","id":111111314,"num":2,"wgt":50},{"typ":"item","id":111111314,"num":4,"wgt":300},{"typ":"item","id":111111314,"num":6,"wgt":600}]}]}	[1,25]	17119030	[]	0	[]	mail	{"title":"LC_EVENT_christmas_drop_5","desc":"LC_EVENT_astro_2025_drop_3"}	1	[]	{"op":"and", "args": [{"op":"ge","typ":"building","id":111811,"val":1},{"op":"le", "typ":"building","id":111811,"val":17}]}	{"op":"and", "args": [{"op":"ge","typ":"actv_drop_item_cnt","arg2":"item","id":111111314,"val":120}]}	LC_MAIL_mail_actv_gve	0
21242043	拓荒节2024掉落活动-gve（1-17级）51-200	pve_class_counter	[13630002]	{}	{"typ":"single_all","num":1,"args":[{"typ":"single_random","num":1,"args":[{"typ":"item","id":11111002,"num":1,"wgt":700},{"typ":"item","id":11111002,"num":3,"wgt":300}]},{"typ":"single_random","num":1,"args":[{"typ":"item","id":11111006,"num":1,"wgt":700},{"typ":"item","id":11111006,"num":3,"wgt":300}]},{"typ":"single_random","num":1,"args":[{"typ":"item","id":11111155,"num":1,"wgt":500},{"typ":"item","id":11111145,"num":1,"wgt":500}]},{"typ":"single_random","num":1,"args":[{"typ":"item","id":111111314,"num":0,"wgt":550},{"typ":"item","id":111111314,"num":2,"wgt":300},{"typ":"item","id":111111314,"num":4,"wgt":100},{"typ":"item","id":111111314,"num":6,"wgt":50}]}]}	[51,500]	17119030	[]	0	[]	mail	{"title":"LC_EVENT_christmas_drop_5","desc":"LC_EVENT_astro_2025_drop_3"}	1	[]	{"op":"and", "args": [{"op":"ge","typ":"building","id":111811,"val":1},{"op":"le", "typ":"building","id":111811,"val":17}]}	{"op":"and", "args": [{"op":"ge","typ":"actv_drop_item_cnt","arg2":"item","id":111111314,"val":120}]}	LC_MAIL_mail_actv_gve	0
21242044	拓荒节2024掉落活动-pve-2	pve_class_counter	[13630001]	{}	{"typ":"single_all","num":1,"args":[{"typ":"single_random","num":1,"args":[{"typ":"item","id":11111001,"num":2,"wgt":200},{"typ":"item","id":11111005,"num":2,"wgt":200},{"typ":"item","id":11111153,"num":1,"wgt":300},{"typ":"item","id":11111143,"num":1,"wgt":300}]},{"typ":"single_random","num":1,"args":[{"typ":"item","id":111111314,"num":0,"wgt":400},{"typ":"item","id":111111314,"num":1,"wgt":250},{"typ":"item","id":111111314,"num":3,"wgt":300},{"typ":"item","id":111111314,"num":4,"wgt":50}]}]}	[1,50]	17119030	[]	0	[]	mail	{"title":"LC_EVENT_christmas_drop_3","desc":"LC_EVENT_astro_2025_drop_2"}	1	[]	{"op":"and", "args": [{"op":"ge","typ":"building","id":111811,"val":18},{"op":"le", "typ":"building","id":111811,"val":24}]}	{"op":"and", "args": [{"op":"ge","typ":"actv_drop_item_cnt","arg2":"item","id":111111314,"val":120}]}	LC_MAIL_mail_actv_pve	0
21242045	拓荒节2024掉落活动-pve-2	pve_class_counter	[13630001]	{}	{"typ":"single_all","num":1,"args":[{"typ":"single_random","num":1,"args":[{"typ":"item","id":11111001,"num":2,"wgt":200},{"typ":"item","id":11111005,"num":2,"wgt":200},{"typ":"item","id":11111153,"num":1,"wgt":300},{"typ":"item","id":11111143,"num":1,"wgt":300}]},{"typ":"single_random","num":1,"args":[{"typ":"item","id":111111314,"num":0,"wgt":800},{"typ":"item","id":111111314,"num":1,"wgt":100},{"typ":"item","id":111111314,"num":3,"wgt":50},{"typ":"item","id":111111314,"num":4,"wgt":50}]}]}	[51,500]	17119030	[]	0	[]	mail	{"title":"LC_EVENT_christmas_drop_3","desc":"LC_EVENT_astro_2025_drop_2"}	1	[]	{"op":"and", "args": [{"op":"ge","typ":"building","id":111811,"val":18},{"op":"le", "typ":"building","id":111811,"val":24}]}	{"op":"and", "args": [{"op":"ge","typ":"actv_drop_item_cnt","arg2":"item","id":111111314,"val":120}]}	LC_MAIL_mail_actv_pve	0
21242046	拓荒节2024掉落活动-gve-2	pve_class_counter	[13630002]	{}	{"typ":"single_all","num":1,"args":[{"typ":"single_random","num":1,"args":[{"typ":"item","id":11111002,"num":1,"wgt":700},{"typ":"item","id":11111002,"num":3,"wgt":300}]},{"typ":"single_random","num":1,"args":[{"typ":"item","id":11111006,"num":1,"wgt":700},{"typ":"item","id":11111006,"num":3,"wgt":300}]},{"typ":"single_random","num":1,"args":[{"typ":"item","id":11111155,"num":1,"wgt":500},{"typ":"item","id":11111145,"num":1,"wgt":500}]},{"typ":"single_random","num":1,"args":[{"typ":"item","id":111111314,"num":0,"wgt":500},{"typ":"item","id":111111314,"num":2,"wgt":350},{"typ":"item","id":111111314,"num":4,"wgt":100},{"typ":"item","id":111111314,"num":6,"wgt":50}]}]}	[1,50]	17119030	[]	0	[]	mail	{"title":"LC_EVENT_christmas_drop_5","desc":"LC_EVENT_astro_2025_drop_3"}	1	[]	{"op":"and", "args": [{"op":"ge","typ":"building","id":111811,"val":18},{"op":"le", "typ":"building","id":111811,"val":24}]}	{"op":"and", "args": [{"op":"ge","typ":"actv_drop_item_cnt","arg2":"item","id":111111314,"val":120}]}	LC_MAIL_mail_actv_gve	0
21242047	拓荒节2024掉落活动-gve-2	pve_class_counter	[13630002]	{}	{"typ":"single_all","num":1,"args":[{"typ":"single_random","num":1,"args":[{"typ":"item","id":11111002,"num":1,"wgt":700},{"typ":"item","id":11111002,"num":3,"wgt":300}]},{"typ":"single_random","num":1,"args":[{"typ":"item","id":11111006,"num":1,"wgt":700},{"typ":"item","id":11111006,"num":3,"wgt":300}]},{"typ":"single_random","num":1,"args":[{"typ":"item","id":11111155,"num":1,"wgt":500},{"typ":"item","id":11111145,"num":1,"wgt":500}]},{"typ":"single_random","num":1,"args":[{"typ":"item","id":111111314,"num":0,"wgt":800},{"typ":"item","id":111111314,"num":2,"wgt":150},{"typ":"item","id":111111314,"num":4,"wgt":30},{"typ":"item","id":111111314,"num":6,"wgt":20}]}]}	[51,500]	17119030	[]	0	[]	mail	{"title":"LC_EVENT_christmas_drop_5","desc":"LC_EVENT_astro_2025_drop_3"}	1	[]	{"op":"and", "args": [{"op":"ge","typ":"building","id":111811,"val":18},{"op":"le", "typ":"building","id":111811,"val":24}]}	{"op":"and", "args": [{"op":"ge","typ":"actv_drop_item_cnt","arg2":"item","id":111111314,"val":120}]}	LC_MAIL_mail_actv_gve	0
21242048	拓荒节2024掉落活动-pve-3	pve_class_counter	[13630001]	{}	{"typ":"single_all","num":1,"args":[{"typ":"single_random","num":1,"args":[{"typ":"item","id":11111001,"num":2,"wgt":300},{"typ":"item","id":11111005,"num":2,"wgt":300},{"typ":"item","id":11111153,"num":1,"wgt":200},{"typ":"item","id":11111143,"num":1,"wgt":200}]},{"typ":"single_random","num":1,"args":[{"typ":"item","id":111111314,"num":0,"wgt":600},{"typ":"item","id":111111314,"num":1,"wgt":300},{"typ":"item","id":111111314,"num":3,"wgt":50},{"typ":"item","id":111111314,"num":4,"wgt":50}]}]}	[1,50]	17119030	[]	0	[]	mail	{"title":"LC_EVENT_christmas_drop_3","desc":"LC_EVENT_astro_2025_drop_2"}	1	[]	{"op":"and", "args": [{"op":"ge","typ":"building","id":111811,"val":25},{"op":"le", "typ":"building","id":111811,"val":35}]}	{"op":"and", "args": [{"op":"ge","typ":"actv_drop_item_cnt","arg2":"item","id":111111314,"val":120}]}	LC_MAIL_mail_actv_pve	0
21242049	拓荒节2024掉落活动-pve-3	pve_class_counter	[13630001]	{}	{"typ":"single_all","num":1,"args":[{"typ":"single_random","num":1,"args":[{"typ":"item","id":11111001,"num":2,"wgt":300},{"typ":"item","id":11111005,"num":2,"wgt":300},{"typ":"item","id":11111153,"num":1,"wgt":200},{"typ":"item","id":11111143,"num":1,"wgt":200}]},{"typ":"single_random","num":1,"args":[{"typ":"item","id":111111314,"num":0,"wgt":800},{"typ":"item","id":111111314,"num":1,"wgt":100},{"typ":"item","id":111111314,"num":3,"wgt":50},{"typ":"item","id":111111314,"num":4,"wgt":50}]}]}	[51,500]	17119030	[]	0	[]	mail	{"title":"LC_EVENT_christmas_drop_3","desc":"LC_EVENT_astro_2025_drop_2"}	1	[]	{"op":"and", "args": [{"op":"ge","typ":"building","id":111811,"val":25},{"op":"le", "typ":"building","id":111811,"val":35}]}	{"op":"and", "args": [{"op":"ge","typ":"actv_drop_item_cnt","arg2":"item","id":111111314,"val":120}]}	LC_MAIL_mail_actv_pve	0
