语言,标题,正文
zh-CN,🏆 世界杯竞猜命中奖励,恭喜您押中本场胜方！特此加送【世界杯冠军抽奖券】，快去世界杯开箱赢取限定英雄与足球宝贝皮肤！
en,🏆 World Cup Oracle Win!,Congrats on predicting the winner! Here are bonus World Cup Draw Tickets — open the World Cup chest for limited heroes and skins!
zh-TW,🏆 世界盃競猜命中獎勵,恭喜您押中本場勝方！特此加送【世界盃冠軍抽獎券】，快去世界盃開箱贏取限定英雄與足球寶貝造型！
es,🏆 ¡Acierto en el Oráculo!,¡Felicidades por acertar al ganador! Recibe Tickets de Sorteo del Mundial; ¡abre el cofre por héroes y skins limitados!
fr,🏆 Pronostic gagnant !,Bravo d'avoir prédit le vainqueur ! Voici des Tickets de Tirage de la Coupe du Monde — ouvrez le coffre pour des héros et skins limités !
de,🏆 Orakel-Treffer!,Glückwunsch zur richtigen Vorhersage! Hier sind Bonus-WM-Lose — öffne die WM-Truhe für limitierte Helden und Skins!
pt,🏆 Palpite certeiro!,Parabéns por acertar o vencedor! Receba Bilhetes de Sorteio da Copa — abra o baú por heróis e skins limitados!
id,🏆 Tebakan Tepat!,Selamat menebak pemenang! Ini Tiket Undian Piala Dunia — buka peti untuk hero dan skin terbatas!
ko,🏆 승부 예언 적중!,승자를 맞히신 것을 축하합니다! 월드컵 추첨권을 드립니다 — 월드컵 상자를 열어 한정 영웅과 스킨을 획득하세요!
ja,🏆 勝敗予想的中！,勝者の予想的中おめでとう！ワールドカップ抽選券を進呈します。宝箱を開けて限定ヒーローとスキンをゲット！
ru,🏆 Точный прогноз!,Поздравляем с верным прогнозом! Вот бонусные билеты розыгрыша ЧМ — откройте сундук ради лимитированных героев и скинов!
th,🏆 ทายผลแม่นยำ!,ยินดีด้วยที่ทายผู้ชนะถูก! รับตั๋วจับรางวัลฟุตบอลโลก เปิดกล่องเพื่อรับฮีโร่และสกินสุดพิเศษ!
