1570,843718,[1146*5],,,
1420,697083,[1146*5],,,
1580,880231,[1146*5],,,
1620,1024090,[1146*5],,,
2090,1885027,[1146*5],,,
1950,1765805,[1146*5],,,
2240,2049513,[1146*5],,,
1980,1788630,[1146*5],,,
2030,1836992,[1146*5],,,
1790,1473930,[1146*5],,,
1620,1061893,[1146*5],,,
1620,1037100,[1146*5],,,
2060,1874116,[1146*5],,,
2080,1879062,[1146*5],,,
2170,1964436,[1146*5],,,
1510,776132,[1146*5],,,
2220,2016741,[1146*5],,,
1990,1798927,[1146*5],,,
1910,1689054,[1146*5],,,
1510,769912,[1146*5],,,
1950,1759344,[1146*5],,,
2050,1844461,[1146*5],,,
1390,644917,[1146*5],,,
2180,1993558,[1146*5],,,
2020,1822069,[1146*5],,,
2170,1976861,[1146*5],,,
2020,1830061,[1146*5],,,
1510,762870,[1146*5],,,
2160,1967066,[1146*5],,,
1930,1738506,[1146*5],,,
2140,1948892,[1146*5],,,
1700,1346439,[1146*5],,,
2230,2023514,[1146*5],,,
2000,1812123,[1146*5],,,
1870,1608186,[1146*5],,,
2250,2031567,[1146*5],,,
1950,1765852,[1146*5],,,
2130,1918229,[1146*5],,,
1910,1671168,[1146*5],,,
2240,2043081,[1146*5],,,
2250,2040045,[1146*5],,,
2000,1820273,[1146*5],,,
1640,1118785,[1146*5],,,
1550,811865,[1146*5],,,
2180,1991447,[1146*5],,,
2090,1890493,[1146*5],,,
1940,1755311,[1146*5],,,
2080,1892069,[1146*5],,,
2210,2011311,[1146*5],,,
2250,2038727,[1146*5],,,
2170,1967464,[1146*5],,,
1600,982908,[1146*5],,,
2120,1920895,[1146*5],,,
1400,673597,[1146*5],,,
1670,1230342,[1146*5],,,
2000,1806780,[1146*5],,,
2060,1873129,[1146*5],,,
2220,2017047,[1146*5],,,
2150,1943490,[1146*5],,,
2060,1861042,[1146*5],,,
1620,1033664,[1146*5],,,
1510,739670,[1146*5],,,
2170,1961304,[1146*5],,,
1550,811852,[1146*5],,,
1930,1730119,[1146*5],,,
1390,651124,[1146*5],,,
1980,1785688,[1146*5],,,
2080,1882551,[1146*5],,,
2240,2038172,[1146*5],,,
2180,1993992,[1146*5],,,
1990,1796243,[1146*5],,,
1440,719661,[1146*5],,,
1510,760621,[1146*5],,,
1620,1039010,[1146*5],,,
2110,1910540,[1146*5],,,
1420,685930,[1146*5],,,
1990,1793288,[1146*5],,,
1530,794061,[1146*5],,,
1840,1571229,[1146*5],,,
1910,1692898,[1146*5],,,
2110,1899851,[1146*5],,,
2180,1994568,[1146*5],,,
2140,1940448,[1146*5],,,
2100,1908095,[1146*5],,,
1570,835776,[1146*5],,,
1950,1764935,[1146*5],,,
1510,749354,[1146*5],,,
1910,1701848,[1146*5],,,
1840,1559370,[1146*5],,,
1660,1193989,[1146*5],,,
2080,1890795,[1146*5],,,
1910,1698779,[1146*5],,,
1720,1384088,[1146*5],,,
2080,1898647,[1146*5],,,
2160,1958886,[1146*5],,,
2150,1951227,[1146*5],,,
2120,1931515,[1146*5],,,
2140,1936517,[1146*5],,,
2230,2018506,[1146*5],,,
2070,1859178,[1146*5],,,
2230,2029229,[1146*5],,,
2170,1963665,[1146*5],,,
1870,1612601,[1146*5],,,
1610,1004819,[1146*5],,,
2180,1986425,[1146*5],,,
1930,1729681,[1146*5],,,
2080,1894697,[1146*5],,,
2000,1809121,[1146*5],,,
2210,2009212,[1146*5],,,
1940,1750887,[1146*5],,,
1980,1789579,[1146*5],,,
2070,1870980,[1146*5],,,
2240,2033253,[1146*5],,,
2030,1833104,[1146*5],,,
1600,1131083,[1146*5],,,
