1270,235478,[1146*5],,,
2160,1961601,[1146*5],,,
1670,1244103,[1146*5],,,
2170,1963816,[1146*5],,,
1970,1778365,[1146*5],,,
2240,2049364,[1146*5],,,
1910,1691738,[1146*5],,,
1270,219801,[1146*5],,,
1170,20759,[1146*5],,,
1730,1388830,[1146*5],,,
1910,1686535,[1146*5],,,
1510,1970372,[1146*5],,,
1390,653211,[1146*5],,,
2240,2046229,[1146*5],,,
2110,1899671,[1146*5],,,
2180,1992354,[1146*5],,,
1980,1790235,[1146*5],,,
2110,1907255,[1146*5],,,
2050,1842598,[1146*5],,,
1890,1641011,[1146*5],,,
1590,917738,[1146*5],,,
1890,1638621,[1146*5],,,
2220,2019886,[1146*5],,,
2040,1856768,[1146*5],,,
1650,1183720,[1146*5],,,
1940,1753943,[1146*5],,,
2000,1828708,[1146*5],,,
1620,1061433,[1146*5],,,
1440,714451,[1146*5],,,
2180,1998523,[1146*5],,,
2080,1881346,[1146*5],,,
2060,1861446,[1146*5],,,
2040,1855209,[1146*5],,,
1960,1772835,[1146*5],,,
1890,1635959,[1146*5],,,
1920,1709521,[1146*5],,,
2160,1971311,[1146*5],,,
1930,1727732,[1146*5],,,
1400,661224,[1146*5],,,
1580,899257,[1146*5],,,
1530,784029,[1146*5],,,
2010,1805331,[1146*5],,,
1850,1586101,[1146*5],,,
2170,1976766,[1146*5],,,
1510,1855648,[1146*5],,,
1990,1796965,[1146*5],,,
2190,1983837,[1146*5],,,
2030,1819585,[1146*5],,,
1910,1687986,[1146*5],,,
2230,2021755,[1146*5],,,
1910,1681539,[1146*5],,,
1910,1667895,[1146*5],,,
2240,2032936,[1146*5],,,
1680,1297086,[1146*5],,,
2100,1903082,[1146*5],,,
1530,786432,[1146*5],,,
2130,1924013,[1146*5],,,
1940,1748979,[1146*5],,,
2120,1927110,[1146*5],,,
1760,1428272,[1146*5],,,
1570,845823,[1146*5],,,
2180,1990662,[1146*5],,,
1930,1732345,[1146*5],,,
2220,2026548,[1146*5],,,
2170,1955269,[1146*5],,,
1960,1766952,[1146*5],,,
2220,2024576,[1146*5],,,
1510,741675,[1146*5],,,
1310,413155,[1146*5],,,
2150,1948641,[1146*5],,,
2180,1981331,[1146*5],,,
1970,1777719,[1146*5],,,
1790,1475989,[1146*5],,,
1800,1490972,[1146*5],,,
2150,1935704,[1146*5],,,
1760,1425062,[1146*5],,,
1270,225126,[1146*5],,,
1760,1427677,[1146*5],,,
1780,1742892,[1146*5],,,
2240,2050880,[1146*5],,,
1390,1652053,[1146*5],,,
2070,1875046,[1146*5],,,
2110,1909419,[1146*5],,,
2060,1861042,[1146*5],,,
1920,1709529,[1146*5],,,
1980,1791814,[1146*5],,,
2090,1896835,[1146*5],,,
1580,875773,[1146*5],,,
1970,1778768,[1146*5],,,
1940,1753743,[1146*5],,,
1660,1204765,[1146*5],,,
1940,1748403,[1146*5],,,
1270,393949,[1146*5],,,
1930,1729044,[1146*5],,,
1990,1793135,[1146*5],,,
1640,1137457,[1146*5],,,
2050,1852792,[1146*5],,,
1510,746887,[1146*5],,,
2180,1979680,[1146*5],,,
1910,1697829,[1146*5],,,
2240,2035289,[1146*5],,,
2240,2047519,[1146*5],,,
2240,2045208,[1146*5],,,
2160,1958586,[1146*5],,,
1910,1699357,[1146*5],,,
1910,1698779,[1146*5],,,
2140,1938020,[1146*5],,,
2140,1949686,[1146*5],,,
2000,1812123,[1146*5],,,
1510,769774,[1146*5],,,
2040,1847296,[1146*5],,,
1940,1751799,[1146*5],,,
2000,1816751,[1146*5],,,
1550,806352,[1146*5],,,
1510,777483,[1146*5],,,
1760,1431745,[1146*5],,,
1550,808548,[1146*5],,,
1600,978075,[1146*5],,,
1700,1347470,[1146*5],,,
2160,1966472,[1146*5],,,
2050,1851204,[1146*5],,,
2150,1942357,[1146*5],,,
2080,1880704,[1146*5],,,
2000,1816033,[1146*5],,,
1950,1766407,[1146*5],,,
1170,72387,[1146*5],,,
2100,1908021,[1146*5],,,
1750,1413281,[1146*5],,,
1950,1766332,[1146*5],,,
1960,1771054,[1146*5],,,
1170,817602,[1146*5],,,
2130,1923918,[1146*5],,,
1930,1733435,[1146*5],,,
1770,1445617,[1146*5],,,
1390,637855,[1146*5],,,
1910,1683685,[1146*5],,,
1910,1696835,[1146*5],,,
2200,2007038,[1146*5],,,
1400,980651,[1146*5],,,
2090,1883726,[1146*5],,,
1580,860012,[1146*5],,,
1880,1626391,[1146*5],,,
1860,1589395,[1146*5],,,
1170,62449,[1146*5],,,
2080,1895880,[1146*5],,,
1840,1559370,[1146*5],,,
1510,737756,[1146*5],,,
2080,1885847,[1146*5],,,
2020,1836270,[1146*5],,,
2170,1962723,[1146*5],,,
1910,1675899,[1146*5],,,
2170,1972751,[1146*5],,,
2160,1963081,[1146*5],,,
2050,1844009,[1146*5],,,
1650,1182870,[1146*5],,,
1650,1158653,[1146*5],,,
2060,1866433,[1146*5],,,
1740,1395249,[1146*5],,,
1600,971199,[1146*5],,,
1970,1781088,[1146*5],,,
1580,863503,[1146*5],,,
1850,1585020,[1146*5],,,
2020,1817946,[1146*5],,,
1930,1731776,[1146*5],,,
1620,1050994,[1146*5],,,
1710,1369394,[1146*5],,,
2160,1961967,[1146*5],,,
2050,1844113,[1146*5],,,
1940,1749899,[1146*5],,,
1650,1183957,[1146*5],,,
1650,1145228,[1146*5],,,
1890,1637431,[1146*5],,,
1390,592200,[1146*5],,,
1910,1684189,[1146*5],,,
1960,1771369,[1146*5],,,
1780,1458737,[1146*5],,,
1650,1158863,[1146*5],,,
1980,1789506,[1146*5],,,
2080,1893222,[1146*5],,,
1630,1090710,[1146*5],,,
2210,2008663,[1146*5],,,
2210,2009610,[1146*5],,,
1910,1689674,[1146*5],,,
1600,979206,[1146*5],,,
2000,1802936,[1146*5],,,
2160,1970780,[1146*5],,,
1910,1700561,[1146*5],,,
1950,1766059,[1146*5],,,
2080,1878588,[1146*5],,,
1650,1183972,[1146*5],,,
1920,1725185,[1146*5],,,
1640,1133359,[1146*5],,,
2070,1868577,[1146*5],,,
1420,682027,[1146*5],,,
2120,1932207,[1146*5],,,
1620,1038325,[1146*5],,,
1980,1789398,[1146*5],,,
2100,1903299,[1146*5],,,
1920,1722649,[1146*5],,,
2220,2026406,[1146*5],,,
2110,1900198,[1146*5],,,
1910,1667267,[1146*5],,,
1600,965524,[1146*5],,,
1990,1792919,[1146*5],,,
2190,1983533,[1146*5],,,
1910,1703559,[1146*5],,,
2250,2032919,[1146*5],,,
1930,1740672,[1146*5],,,
1690,1322085,[1146*5],,,
1310,444036,[1146*5],,,
1990,1794538,[1146*5],,,
2180,1984595,[1146*5],,,
2020,1836585,[1146*5],,,
1420,684185,[1146*5],,,
2190,1991120,[1146*5],,,
2230,2022411,[1146*5],,,
1600,976998,[1146*5],,,
1780,1463317,[1146*5],,,
1910,1675539,[1146*5],,,
1750,1421441,[1146*5],,,
1860,1593011,[1146*5],,,
1310,424591,[1146*5],,,
1990,1797995,[1146*5],,,
1600,961287,[1146*5],,,
1510,744982,[1146*5],,,
1730,1390362,[1146*5],,,
1990,1799081,[1146*5],,,
2060,1864165,[1146*5],,,
2020,1821218,[1146*5],,,
1560,823478,[1146*5],,,
2090,1894845,[1146*5],,,
1730,1386763,[1146*5],,,
1780,1467360,[1146*5],,,
2020,1831826,[1146*5],,,
2050,1844980,[1146*5],,,
1940,1747246,[1146*5],,,
1900,1645592,[1146*5],,,
1750,1411484,[1146*5],,,
1170,180569,[1146*5],,,
2250,2040045,[1146*5],,,
1830,1541355,[1146*5],,,
2080,1897129,[1146*5],,,
2090,1878240,[1146*5],,,
2050,1847569,[1146*5],,,
2010,1807910,[1146*5],,,
1930,1735142,[1146*5],,,
2210,2009646,[1146*5],,,
1910,1689389,[1146*5],,,
1930,1727259,[1146*5],,,
1910,1675802,[1146*5],,,
1980,1786106,[1146*5],,,
2040,1843956,[1146*5],,,
1810,1516903,[1146*5],,,
1930,1734921,[1146*5],,,
1530,792508,[1146*5],,,
1400,670481,[1146*5],,,
2150,1935619,[1146*5],,,
1970,1778275,[1146*5],,,
1920,1726125,[1146*5],,,
1610,1005109,[1146*5],,,
1900,1650714,[1146*5],,,
2080,1898104,[1146*5],,,
1900,1660540,[1146*5],,,
2240,2064623,[1146*5],,,
1980,1786054,[1146*5],,,
2060,1875592,[1146*5],,,
2180,1981180,[1146*5],,,
2120,1930794,[1146*5],,,
2150,1937580,[1146*5],,,
2110,1911626,[1146*5],,,
1920,1720269,[1146*5],,,
2130,1932863,[1146*5],,,
1890,1634918,[1146*5],,,
1620,1475436,[1146*5],,,
2220,2025259,[1146*5],,,
1930,1732442,[1146*5],,,
2250,2047358,[1146*5],,,
1270,329349,[1146*5],,,
2100,1912389,[1146*5],,,
2050,1844070,[1146*5],,,
2160,1960492,[1146*5],,,
1960,1772231,[1146*5],,,
1680,1292282,[1146*5],,,
2240,2035671,[1146*5],,,
1760,1433875,[1146*5],,,
1630,1081799,[1146*5],,,
1980,1790968,[1146*5],,,
1660,1218176,[1146*5],,,
1460,1499961,[1146*5],,,
1870,1612131,[1146*5],,,
1650,1144896,[1146*5],,,
1980,1788588,[1146*5],,,
1750,1407638,[1146*5],,,
2120,1927966,[1146*5],,,
1460,724987,[1146*5],,,
2080,1887706,[1146*5],,,
1900,1656918,[1146*5],,,
2210,2005051,[1146*5],,,
2130,1918687,[1146*5],,,
2100,1904146,[1146*5],,,
1900,1644957,[1146*5],,,
1630,1104127,[1146*5],,,
2130,1921931,[1146*5],,,
2200,2000990,[1146*5],,,
2090,1882052,[1146*5],,,
1930,1733299,[1146*5],,,
1930,1740870,[1146*5],,,
2140,1950336,[1146*5],,,
1270,215260,[1146*5],,,
1440,708303,[1146*5],,,
1800,1490887,[1146*5],,,
1610,1001544,[1146*5],,,
1870,1616066,[1146*5],,,
1510,768208,[1146*5],,,
1640,1114570,[1146*5],,,
2080,1896481,[1146*5],,,
2240,2039501,[1146*5],,,
1920,1721470,[1146*5],,,
1620,1029492,[1146*5],,,
1980,1787836,[1146*5],,,
1930,1737256,[1146*5],,,
1620,1036900,[1146*5],,,
2080,1881069,[1146*5],,,
1950,1759334,[1146*5],,,
2220,2025591,[1146*5],,,
1940,1746505,[1146*5],,,
2120,1928422,[1146*5],,,
2090,1879881,[1146*5],,,
2160,1971723,[1146*5],,,
1270,342804,[1146*5],,,
1580,865899,[1146*5],,,
1910,1672379,[1146*5],,,
1770,1448110,[1146*5],,,
1950,1759559,[1146*5],,,
1840,1558629,[1146*5],,,
1170,72603,[1146*5],,,
1910,1691088,[1146*5],,,
2020,1829444,[1146*5],,,
2040,1858455,[1146*5],,,
2000,1815080,[1146*5],,,
1830,1554365,[1146*5],,,
2240,2037161,[1146*5],,,
2160,1958447,[1146*5],,,
2220,2027930,[1146*5],,,
2250,2033654,[1146*5],,,
2240,2064660,[1146*5],,,
1740,1400398,[1146*5],,,
1510,756967,[1146*5],,,
2240,2035593,[1146*5],,,
1940,1749972,[1146*5],,,
2010,1809433,[1146*5],,,
1650,1161924,[1146*5],,,
1790,1475721,[1146*5],,,
2030,1836657,[1146*5],,,
2050,1839460,[1146*5],,,
2160,1975918,[1146*5],,,
1640,1129908,[1146*5],,,
2020,1837537,[1146*5],,,
1650,1188016,[1146*5],,,
1910,1690653,[1146*5],,,
2180,1978879,[1146*5],,,
2110,1902091,[1146*5],,,
1910,1680583,[1146*5],,,
1750,1414989,[1146*5],,,
1610,1005820,[1146*5],,,
1890,1631435,[1146*5],,,
1740,1403026,[1146*5],,,
2170,1961572,[1146*5],,,
1860,1601005,[1146*5],,,
1510,777226,[1146*5],,,
2180,1982449,[1146*5],,,
2210,1998928,[1146*5],,,
