2170,1973690,[1146*5],,,
1510,777360,[1146*5],,,
1640,1107233,[1146*5],,,
1900,1649862,[1146*5],,,
1640,1118980,[1146*5],,,
2220,2022625,[1146*5],,,
2210,2003728,[1146*5],,,
2160,1975696,[1146*5],,,
1940,1750575,[1146*5],,,
1920,1723216,[1146*5],,,
2240,2043734,[1146*5],,,
1930,1734566,[1146*5],,,
2100,1900659,[1146*5],,,
2200,2007328,[1146*5],,,
2160,1968012,[1146*5],,,
2090,1895114,[1146*5],,,
2050,1848848,[1146*5],,,
2230,2013885,[1146*5],,,
1950,1761025,[1146*5],,,
1900,1657550,[1146*5],,,
2210,2002429,[1146*5],,,
1920,1717608,[1146*5],,,
1840,1565775,[1146*5],,,
2250,2050645,[1146*5],,,
1910,1675767,[1146*5],,,
1350,465986,[1146*5],,,
2000,1812764,[1146*5],,,
2000,1810763,[1146*5],,,
2090,1877451,[1146*5],,,
1920,1710514,[1146*30],,,
1750,1414989,[1146*5],,,
2190,1991628,[1146*5],,,
1460,723667,[1146*5],,,
1730,1392643,[1146*5],,,
1920,1707996,[1146*5],,,
2220,2022985,[1146*5],,,
1540,798582,[1146*5],,,
1850,1587099,[1146*5],,,
2240,2045731,[1146*5],,,
2240,2046377,[1146*5],,,
1400,662395,[1146*5],,,
2100,1906877,[1146*5],,,
2160,1970417,[1146*5],,,
2250,2050305,[1146*5],,,
2120,1919517,[1146*5],,,
2230,2012906,[1146*5],,,
1680,1270989,[1146*5],,,
2090,1892808,[1146*5],,,
2170,1971097,[1146*5],,,
1170,96506,[1146*5],,,
2220,2026802,[1146*5],,,
1910,1698570,[1146*5],,,
1460,733503,[1146*5],,,
2020,1835696,[1146*5],,,
2200,2008630,[1146*5],,,
1870,1605126,[1146*5],,,
1270,323805,[1146*5],,,
1560,818411,[1146*5],,,
1930,1727343,[1146*5],,,
2120,1921981,[1146*5],,,
2040,1855679,[1146*5],,,
2220,2016249,[1146*5],,,
1700,1346439,[1146*5],,,
2030,1821172,[1146*5],,,
1900,1655401,[1146*5],,,
2050,1844070,[1146*5],,,
2070,1868094,[1146*5],,,
2040,1845229,[1146*5],,,
2240,2031277,[1146*5],,,
2080,1879144,[1146*5],,,
1610,985134,[1146*5],,,
2070,1860215,[1146*5],,,
1940,1750798,[1146*5],,,
1920,1724748,[1146*5],,,
1990,1794383,[1146*5],,,
2100,1904154,[1146*5],,,
2000,1816483,[1146*5],,,
1630,1078075,[1146*5],,,
1570,854134,[1146*5],,,
2080,1894963,[1146*5],,,
1970,1774242,[1146*5],,,
1310,455240,[1146*5],,,
2220,2015362,[1146*5],,,
1840,1571229,[1146*5],,,
2120,1922794,[1146*5],,,
1650,1147754,[1146*5],,,
1620,1049573,[1146*5],,,
2080,1892995,[1146*5],,,
2180,1980953,[1146*5],,,
1830,1544941,[1146*5],,,
2140,1935938,[1146*5],,,
1940,1750394,[1146*5],,,
2210,2008653,[1146*5],,,
2200,1997474,[1146*5],,,
1960,1769831,[1146*5],,,
2180,1995235,[1146*5],,,
1700,1362274,[1146*5],,,
2000,1821359,[1146*5],,,
1980,1790968,[1146*5],,,
1820,1524822,[1146*5],,,
1910,1703163,[1146*5],,,
1600,1131083,[1146*5],,,
2160,1958908,[1146*5],,,
2240,2047684,[1146*5],,,
2120,1929699,[1146*5],,,
2220,2018354,[1146*5],,,
2080,1898475,[1146*5],,,
1910,1683963,[1146*5],,,
1980,1786317,[1146*5],,,
2170,1964862,[1146*5],,,
2180,1977375,[1146*5],,,
2060,1870215,[1146*5],,,
2080,1891345,[1146*5],,,
2100,1903841,[1146*5],,,
1510,756967,[1146*5],,,
2140,1937348,[1146*5],,,
2180,1986074,[1146*5],,,
1970,1778352,[1146*5],,,
1930,1740003,[1146*5],,,
2120,1920140,[1146*5],,,
2130,1922400,[1146*5],,,
1870,1611917,[1146*5],,,
2180,1986050,[1146*5],,,
1940,1753537,[1146*5],,,
1420,680601,[1146*5],,,
2240,2039845,[1146*5],,,
1910,1686533,[1146*5],,,
1800,1630904,[1146*5],,,
1920,1710124,[1146*5],,,
1900,1660208,[1146*5],,,
1510,777545,[1146*5],,,
1760,1423022,[1146*5],,,
2160,1958185,[1146*5],,,
1860,1595933,[1146*5],,,
2110,1902091,[1146*5],,,
1510,764547,[1146*5],,,
2130,1928664,[1146*5],,,
2120,1932742,[1146*5],,,
2000,1813191,[1146*5],,,
1580,883275,[1146*5],,,
1890,1632916,[1146*5],,,
2160,1971069,[1146*5],,,
2110,1916846,[1146*5],,,
1910,1668026,[1146*5],,,
2040,1854208,[1146*5],,,
2050,1844461,[1146*5],,,
2000,1812508,[1146*5],,,
2060,1872819,[1146*5],,,
1990,1799726,[1146*5],,,
2160,1964300,[1146*5],,,
2050,1845995,[1146*5],,,
1930,1765802,[1146*5],,,
2250,2042487,[1146*5],,,
1920,1710906,[1146*5],,,
1970,1775683,[1146*5],,,
2060,1866107,[1146*5],,,
2160,1968002,[1146*5],,,
1600,1465841,[1146*5],,,
2080,1893222,[1146*5],,,
2020,1824578,[1146*5],,,
2060,1861042,[1146*5],,,
2240,2041285,[1146*5],,,
2240,2039330,[1146*5],,,
2100,1906520,[1146*5],,,
2020,1829207,[1146*5],,,
2020,1833910,[1146*5],,,
2220,2017151,[1146*5],,,
2220,2017277,[1146*5],,,
1950,1766059,[1146*5],,,
2190,1984285,[1146*5],,,
2220,2019429,[1146*5],,,
2030,2024948,[1146*5],,,
2080,1896481,[1146*5],,,
2170,1954629,[1146*5],,,
2200,2009223,[1146*5],,,
1790,1479160,[1146*5],,,
1970,1777587,[1146*5],,,
2110,1911626,[1146*5],,,
2080,1890395,[1146*5],,,
2240,2050654,[1146*5],,,
2230,2019483,[1146*5],,,
1440,703978,[1146*5],,,
2070,1876652,[1146*5],,,
2040,1856070,[1146*5],,,
2140,1937102,[1146*5],,,
2020,1835003,[1146*5],,,
2000,1801810,[1146*5],,,
2100,1915101,[1146*5],,,
1950,1760313,[1146*5],,,
1620,1025435,[1146*5],,,
2230,2022862,[1146*5],,,
2140,1951991,[1146*5],,,
2140,1969886,[1146*5],,,
1700,1346877,[1146*5],,,
2070,1871660,[1146*5],,,
1940,1748437,[1146*5],,,
2240,2035289,[1146*5],,,
2120,2018551,[1146*5],,,
1540,797457,[1146*5],,,
2190,1989642,[1146*5],,,
1600,975640,[1146*5],,,
1830,1547639,[1146*5],,,
2200,1996585,[1146*5],,,
2140,1935760,[1146*5],,,
1890,1632121,[1146*5],,,
1510,737820,[1146*5],,,
1170,118271,[1146*5],,,
2210,1997194,[1146*5],,,
1530,786116,[1146*5],,,
1930,1742664,[1146*5],,,
2200,2007169,[1146*5],,,
2200,2001543,[1146*5],,,
1590,932220,[1146*5],,,
2110,1899623,[1146*5],,,
1580,886629,[1146*5],,,
1740,1402598,[1146*5],,,
1780,1457752,[1146*5],,,
1930,1729368,[1146*5],,,
1550,804459,[1146*5],,,
2010,1811139,[1146*5],,,
2220,2018461,[1146*5],,,
2160,1967854,[1146*5],,,
1950,1760964,[1146*5],,,
1400,662703,[1146*5],,,
1530,795479,[1146*5],,,
2240,2035605,[1146*5],,,
1700,1352863,[1146*5],,,
1990,1796062,[1146*5],,,
2100,1903185,[1146*5],,,
1620,1036769,[1146*5],,,
1950,1758894,[1146*5],,,
1960,1772415,[1146*5],,,
2070,1870067,[1146*5],,,
1310,417330,[1146*5],,,
1920,1720005,[1146*5],,,
2080,1895812,[1146*5],,,
2020,1837547,[1146*5],,,
2210,1997736,[1146*5],,,
1810,1515153,[1146*5],,,
2140,1954012,[1146*5],,,
1980,1786095,[1146*5],,,
1910,1671183,[1146*5],,,
2190,1984652,[1146*5],,,
1510,750934,[1146*5],,,
2250,2039822,[1146*5],,,
2160,1969004,[1146*5],,,
2210,2010430,[1146*5],,,
2090,1887152,[1146*5],,,
1890,1631435,[1146*5],,,
2020,1825419,[1146*5],,,
2120,1931066,[1146*5],,,
2240,2035023,[1146*5],,,
2130,1930774,[1146*5],,,
1620,1036900,[1146*5],,,
2230,2023393,[1146*5],,,
2200,2002521,[1146*5],,,
2040,1844207,[1146*5],,,
2020,1821162,[1146*5],,,
2180,1982924,[1146*5],,,
1880,1626391,[1146*5],,,
2140,1950329,[1146*5],,,
2090,1898919,[1146*5],,,
1980,1785710,[1146*5],,,
1850,1572785,[1146*5],,,
2060,1874289,[1146*5],,,
2120,1924295,[1146*5],,,
1770,1448110,[1146*5],,,
1390,579997,[1146*5],,,
2120,1924805,[1146*5],,,
2030,1836992,[1146*5],,,
1870,1608721,[1146*5],,,
2200,1999580,[1146*5],,,
2160,1961502,[1146*5],,,
1960,1767096,[1146*5],,,
2080,1890153,[1146*5],,,
2230,2023514,[1146*5],,,
1970,1779644,[1146*5],,,
2180,1991307,[1146*5],,,
1670,1232636,[1146*5],,,
2010,1803953,[1146*5],,,
2230,2013103,[1146*5],,,
1610,1784588,[1146*5],,,
1460,727569,[1146*5],,,
2020,1818140,[1146*5],,,
1740,1782192,[1146*5],,,
2250,2044282,[1146*5],,,
2240,2064623,[1146*5],,,
2200,2011850,[1146*5],,,
