2240,2032320,[1146*5],,,
1940,1748529,[1146*5],,,
2240,2046842,[1146*5],,,
2120,1924295,[1146*5],,,
2170,1963017,[1146*5],,,
1840,1558629,[1146*5],,,
2040,1857528,[1146*5],,,
1770,1451972,[1146*5],,,
2120,1925236,[1146*5],,,
2220,2019627,[1146*5],,,
2160,1962068,[1146*5],,,
1920,1715675,[1146*5],,,
1850,1581225,[1146*5],,,
2080,1886422,[1146*5],,,
2170,1955360,[1146*5],,,
1640,1109187,[1146*5],,,
2180,1995235,[1146*5],,,
1930,1728267,[1146*5],,,
1610,995245,[1146*5],,,
2080,1881879,[1146*5],,,
2240,2037839,[1146*5],,,
2160,1973248,[1146*5],,,
2080,1881284,[1146*5],,,
1930,1732768,[1146*5],,,
2060,1874454,[1146*5],,,
1980,1782978,[1146*5],,,
1630,1103392,[1146*5],,,
2060,1868120,[1146*5],,,
2120,1918306,[1146*5],,,
1720,1378340,[1146*5],,,
2240,2044798,[1146*5],,,
2080,1890201,[1146*5],,,
1550,808967,[1146*5],,,
2150,1937237,[1146*5],,,
2180,1993013,[1146*5],,,
2030,1837643,[1146*5],,,
2140,1952557,[1146*5],,,
1390,592200,[1146*5],,,
2210,2005057,[1146*5],,,
2170,1955131,[1146*5],,,
2130,1928391,[1146*5],,,
1420,681146,[1146*5],,,
2150,1942357,[1146*5],,,
2050,1850969,[1146*5],,,
1460,733488,[1146*5],,,
2200,1997598,[1146*5],,,
2090,1894071,[1146*5],,,
2250,2064648,[1146*5],,,
2000,1811986,[1146*5],,,
2200,2003588,[1146*5],,,
2080,1893531,[1146*5],,,
2090,1877531,[1146*5],,,
1910,1696274,[1146*5],,,
2160,1966201,[1146*5],,,
1930,1741611,[1146*5],,,
1530,790072,[1146*5],,,
1970,1778358,[1146*5],,,
1960,1772429,[1146*5],,,
1390,566146,[1146*5],,,
2080,1883554,[1146*5],,,
2040,1856536,[1146*5],,,
1930,1734687,[1146*5],,,
1850,1578811,[1146*5],,,
2110,1902091,[1146*5],,,
1620,1057760,[1146*5],,,
1530,783200,[1146*5],,,
1980,1791361,[1146*5],,,
1970,1774560,[1146*5],,,
1540,797773,[1146*5],,,
1740,1402632,[1146*5],,,
2220,2018790,[1146*5],,,
1850,1584817,[1146*5],,,
1390,640881,[1146*5],,,
2180,1990997,[1146*5],,,
2180,1980190,[1146*5],,,
1620,1051644,[1146*5],,,
1510,739036,[1146*5],,,
1620,1039010,[1146*5],,,
1910,1687485,[1146*5],,,
1610,1006201,[1146*5],,,
2120,1927924,[1146*5],,,
2060,1866792,[1146*5],,,
2150,1949239,[1146*5],,,
2000,1807298,[1146*5],,,
1980,1782980,[1146*5],,,
1910,1667375,[1146*5],,,
2060,1876028,[1146*5],,,
1820,1525109,[1146*5],,,
2000,1816751,[1146*5],,,
2120,1933113,[1146*5],,,
1980,1785236,[1146*5],,,
2240,2040391,[1146*5],,,
2200,2006923,[1146*5],,,
2120,1927824,[1146*5],,,
1950,1766091,[1146*5],,,
1600,957291,[1146*5],,,
1570,847121,[1146*5],,,
2210,2001601,[1146*5],,,
1810,1512157,[1146*5],,,
1800,1498662,[1146*5],,,
1980,1787752,[1146*5],,,
2240,2051120,[1146*5],,,
1900,1662644,[1146*5],,,
1960,1767273,[1146*5],,,
1910,1685974,[1146*5],,,
2070,1876335,[1146*5],,,
1930,1734199,[1146*5],,,
2150,1943170,[1146*5],,,
1910,1671117,[1146*5],,,
2000,1809864,[1146*5],,,
2100,1913813,[1146*5],,,
2160,1961803,[1146*5],,,
2000,1815832,[1146*5],,,
2010,1808699,[1146*5],,,
1980,1786382,[1146*5],,,
2220,2025452,[1146*5],,,
2220,2020305,[1146*5],,,
1750,1411240,[1146*5],,,
2100,1912806,[1146*5],,,
2240,2038569,[1146*5],,,
1980,1783016,[1146*5],,,
2140,1950725,[1146*5],,,
