2180,1981480,[1146*5],,,
2050,1847492,[1146*5],,,
1990,1852088,[1146*5],,,
2140,1936785,[1146*5],,,
2140,1953651,[1146*5],,,
1770,1455727,[1146*5],,,
1510,739188,[1146*5],,,
1970,1782103,[1146*5],,,
1640,1118246,[1146*5],,,
1930,1740784,[1146*5],,,
1540,801974,[1146*5],,,
1640,1116537,[1146*5],,,
2140,1936789,[1146*5],,,
1620,1023513,[1146*5],,,
2180,1989248,[1146*5],,,
1740,1399506,[1146*5],,,
2080,1892995,[1146*5],,,
2140,1951088,[1146*5],,,
1610,1018055,[1146*5],,,
2060,1876531,[1146*5],,,
1400,669062,[1146*5],,,
2060,1869290,[1146*5],,,
2120,1918353,[1146*5],,,
2200,2003670,[1146*5],,,
2060,1873770,[1146*5],,,
2080,1879729,[1146*5],,,
2120,1933694,[1146*5],,,
1910,1676777,[1146*5],,,
2080,1881346,[1146*5],,,
2220,2030210,[1146*5],,,
2160,1966138,[1146*5],,,
2040,1852880,[1146*5],,,
1440,711717,[1146*5],,,
1870,1616461,[1146*5],,,
1970,1777719,[1146*5],,,
1980,1786652,[1146*5],,,
1570,1402989,[1146*5],,,
1920,1723216,[1146*5],,,
1750,1408748,[1146*5],,,
1700,1362601,[1146*5],,,
1590,926982,[1146*5],,,
1930,1744935,[1146*5],,,
1930,1744290,[1146*5],,,
1850,1584817,[1146*5],,,
1910,1685489,[1146*5],,,
1550,804002,[1146*5],,,
1610,996255,[1146*5],,,
1960,1768971,[1146*5],,,
1680,1279052,[1146*5],,,
1440,705567,[1146*5],,,
1310,452114,[1146*5],,,
2120,1920121,[1146*5],,,
1440,709902,[1146*5],,,
1400,665872,[1146*5],,,
1900,1652100,[1146*5],,,
1930,1741251,[1146*5],,,
1640,1119205,[1146*5],,,
1960,1768067,[1146*5],,,
1390,656140,[1146*5],,,
1960,1766774,[1146*5],,,
1460,727569,[1146*5],,,
1510,764777,[1146*5],,,
1600,966548,[1146*5],,,
1740,1561689,[1146*5],,,
1170,83928,[1146*5],,,
1970,1778276,[1146*5],,,
1690,1328564,[1146*5],,,
1390,644917,[1146*5],,,
1830,1539227,[1146*5],,,
1930,1731820,[1146*5],,,
1930,1744934,[1146*5],,,
1440,711818,[1146*5],,,
2050,1847428,[1146*5],,,
1950,1765817,[1146*5],,,
1690,1329375,[1146*5],,,
1640,1753580,[1146*5],,,
1920,1708011,[1146*5],,,
1270,251786,[1146*5],,,
1790,1473897,[1146*5],,,
1310,417330,[1146*5],,,
1570,846110,[1146*5],,,
1630,1079624,[1146*5],,,
1870,1615834,[1146*5],,,
1510,1120898,[1146*5],,,
2000,1824960,[1146*5],,,
1960,1772783,[1146*5],,,
2100,1904774,[1146*5],,,
1970,1776533,[1146*5],,,
1660,1338385,[1146*5],,,
1610,987534,[1146*5],,,
2160,1967136,[1146*5],,,
1910,1687179,[1146*5],,,
