1920,1718561,[1146*5],,,
2070,1868655,[1146*5],,,
1770,1445050,[1146*5],,,
1860,1589402,[1146*5],,,
1960,1771631,[1146*5],,,
2140,1948481,[1146*5],,,
2060,1870590,[1146*5],,,
2100,1916699,[1146*5],,,
2130,1928342,[1146*5],,,
1910,1672133,[1146*5],,,
2250,2046246,[1146*5],,,
1980,1785236,[1146*5],,,
2020,2074180,[1146*5],,,
1980,1790217,[1146*5],,,
1970,1782597,[1146*5],,,
2250,2038768,[1146*5],,,
2020,1820437,[1146*5],,,
1540,799783,[1146*5],,,
2170,1954624,[1146*5],,,
1540,798531,[1146*5],,,
1960,1769527,[1146*5],,,
1950,1761482,[1146*5],,,
1310,403822,[1146*5],,,
2080,1880564,[1146*5],,,
1600,978216,[1146*5],,,
1900,1652596,[1146*5],,,
1610,987237,[1146*5],,,
2040,1852076,[1146*5],,,
2190,1978509,[1146*5],,,
2120,1918472,[1146*5],,,
1620,1048541,[1146*5],,,
2140,1935517,[1146*5],,,
1740,1915709,[1146*5],,,
2060,1861005,[1146*5],,,
2220,2014799,[1146*5],,,
2240,2033253,[1146*5],,,
2240,2032572,[1146*5],,,
2200,2012302,[1146*5],,,
1990,1844470,[1146*5],,,
1910,1679323,[1146*5],,,
1910,1677718,[1146*5],,,
2030,1831071,[1146*5],,,
1910,1676514,[1146*5],,,
2050,1851588,[1146*5],,,
2190,1978073,[1146*5],,,
1870,1615657,[1146*5],,,
1650,1163432,[1146*5],,,
2000,1816447,[1146*5],,,
1940,1751532,[1146*5],,,
1990,1794040,[1146*5],,,
1560,814140,[1146*5],,,
2060,1867348,[1146*5],,,
1960,1766811,[1146*5],,,
1920,1716048,[1146*5],,,
2090,1893501,[1146*5],,,
2210,2010253,[1146*5],,,
2220,2018921,[1146*5],,,
1910,1666967,[1146*5],,,
2250,2031497,[1146*5],,,
2050,1845121,[1146*5],,,
1390,654354,[1146*5],,,
2030,1834847,[1146*5],,,
1650,1169674,[1146*5],,,
2180,1993558,[1146*5],,,
2120,1927824,[1146*5],,,
1910,1695348,[1146*5],,,
2090,1878643,[1146*5],,,
1940,1747458,[1146*5],,,
1950,1763371,[1146*5],,,
1960,1770737,[1146*5],,,
1980,1786839,[1146*5],,,
1940,1751902,[1146*5],,,
2080,1896017,[1146*5],,,
1660,1195541,[1146*5],,,
1540,801431,[1146*5],,,
1510,759472,[1146*5],,,
1530,780878,[1146*5],,,
1510,918318,[1146*5],,,
2190,1980455,[1146*5],,,
2240,2038730,[1146*5],,,
2090,1898358,[1146*5],,,
2010,1816730,[1146*5],,,
2140,1949815,[1146*5],,,
1740,1536207,[1146*5],,,
1900,1659697,[1146*5],,,
1970,1777863,[1146*5],,,
1840,1571902,[1146*5],,,
1590,928715,[1146*5],,,
1900,1662191,[1146*5],,,
1570,852312,[1146*5],,,
1930,1743610,[1146*5],,,
1510,741837,[1146*5],,,
1910,1701848,[1146*5],,,
1890,1631569,[1146*5],,,
1740,1404956,[1146*5],,,
1900,1661353,[1146*5],,,
1670,1240204,[1146*5],,,
1970,1776172,[1146*5],,,
1950,1760346,[1146*5],,,
1440,709902,[1146*5],,,
1930,1729449,[1146*5],,,
1950,1759774,[1146*5],,,
1960,1769892,[1146*5],,,
1940,1751322,[1146*5],,,
1880,1626080,[1146*5],,,
1680,1269505,[1146*5],,,
1390,588523,[1146*5],,,
1970,1774334,[1146*5],,,
2050,1845682,[1146*5],,,
1640,1137306,[1146*5],,,
1620,1048318,[1146*5],,,
1940,1747817,[1146*5],,,
2020,1830061,[1146*5],,,
1840,1569308,[1146*15],,,
2070,1868046,[1146*5],,,
2170,1973327,[1146*5],,,
1720,1384088,[1146*5],,,
2140,1939088,[1146*5],,,
1980,1784523,[1146*5],,,
2190,1985731,[1146*5],,,
1510,751937,[1146*5],,,
2230,2028191,[1146*5],,,
1920,1714352,[1146*5],,,
1900,1652649,[1146*5],,,
1530,780264,[1146*5],,,
2190,1993459,[1146*5],,,
2230,2012828,[1146*5],,,
2110,1899465,[1146*5],,,
2210,1996061,[1146*5],,,
2060,1860636,[1146*5],,,
1950,1764792,[1146*5],,,
1930,1740265,[1146*5],,,
1390,561078,[1146*5],,,
2150,1942496,[1146*5],,,
2240,2038031,[1146*5],,,
2220,2014733,[1146*5],,,
2030,1836657,[1146*5],,,
1400,661571,[1146*5],,,
2160,1967995,[1146*5],,,
2210,2010385,[1146*5],,,
2180,1982430,[1146*5],,,
1920,1720248,[1146*5],,,
2070,1859039,[1146*5],,,
1920,1715703,[1146*5],,,
1920,1721381,[1146*5],,,
1660,1215338,[1146*5],,,
1640,1120402,[1146*5],,,
1840,1569308,[1146*5],,,
2130,1928575,[1146*5],,,
2020,1829444,[1146*5],,,
1930,1741865,[1146*5],,,
2190,1986620,[1146*5],,,
2160,1957019,[1146*5],,,
1620,1060734,[1146*5],,,
2140,1940933,[1146*5],,,
2190,1977338,[1146*5],,,
2060,1875261,[1146*5],,,
2000,1801843,[1146*5],,,
1170,1411536,[1146*5],,,
2240,2038134,[1146*5],,,
2120,1919226,[1146*5],,,
1700,1343267,[1146*5],,,
1930,1744311,[1146*5],,,
2090,1902325,[1146*5],,,
2200,2002684,[1146*5],,,
1420,691501,[1146*5],,,
1590,916186,[1146*5],,,
1920,1717004,[1146*5],,,
1700,1365152,[1146*5],,,
2180,1979630,[1146*5],,,
2150,1939244,[1146*5],,,
2020,1823311,[1146*5],,,
1990,1799507,[1146*5],,,
1910,1701221,[1146*5],,,
2140,1943339,[1146*5],,,
1170,134797,[1146*5],,,
2080,1888594,[1146*5],,,
1510,746842,[1146*5],,,
1620,1023513,[1146*5],,,
1640,1108689,[1146*5],,,
1600,970282,[1146*5],,,
1910,1691791,[1146*5],,,
2020,1818092,[1146*5],,,
1930,1733786,[1146*5],,,
2060,1865792,[1146*5],,,
1970,1774217,[1146*5],,,
1750,1413096,[1146*5],,,
2170,1955131,[1146*5],,,
2200,1997917,[1146*5],,,
2200,2010272,[1146*5],,,
2170,1972498,[1146*5],,,
2220,2018780,[1146*5],,,
2050,1844685,[1146*5],,,
2220,2029254,[1146*5],,,
2000,1815268,[1146*5],,,
2160,1958393,[1146*5],,,
2110,1905426,[1146*5],,,
1930,1730555,[1146*5],,,
1660,1200065,[1146*5],,,
1510,777483,[1146*5],,,
1950,1760834,[1146*5],,,
1570,827991,[1146*5],,,
1910,1704829,[1146*5],,,
1540,796106,[1146*5],,,
2100,1901844,[1146*5],,,
2090,1893789,[1146*5],,,
2130,1930886,[1146*5],,,
1600,974603,[1146*5],,,
1440,714646,[1146*5],,,
1900,1654503,[1146*5],,,
1640,1118656,[1146*5],,,
1650,1169007,[1146*5],,,
1510,764777,[1146*5],,,
1940,1756337,[1146*5],,,
1590,912293,[1146*5],,,
1920,1715721,[1146*5],,,
1670,1232282,[1146*5],,,
2140,1951022,[1146*5],,,
1680,1275787,[1146*5],,,
1970,1782312,[1146*5],,,
1910,1688177,[1146*5],,,
2060,1875732,[1146*5],,,
1510,753270,[1146*5],,,
1270,210915,[1146*5],,,
1640,1112207,[1146*5],,,
1930,1728754,[1146*5],,,
1530,789543,[1146*5],,,
1620,1058472,[1146*5],,,
2020,1824945,[1146*5],,,
2060,1875460,[1146*5],,,
1920,1719564,[1146*5],,,
1620,1047801,[1146*5],,,
1170,1697088,[1146*5],,,
1650,1185305,[1146*5],,,
1900,1660753,[1146*5],,,
1580,875605,[1146*5],,,
1910,1679686,[1146*5],,,
1510,764031,[1146*5],,,
2000,1825272,[1146*5],,,
1270,440170,[1146*5],,,
1700,1769759,[1146*5],,,
1960,1768021,[1146*5],,,
1900,1664062,[1146*5],,,
1670,1259165,[1146*5],,,
1170,844755,[1146*5],,,
2160,1968148,[1146*5],,,
2190,1991120,[1146*5],,,
2080,1897480,[1146*5],,,
2040,1855209,[1146*5],,,
2180,1993931,[1146*5],,,
1670,1224940,[1146*5],,,
2050,1851071,[1146*5],,,
1620,1032547,[1146*5],,,
2180,1982440,[1146*5],,,
1980,1786054,[1146*5],,,
1970,1775794,[1146*5],,,
1510,739216,[1146*5],,,
1510,1976851,[1146*5],,,
2170,1968684,[1146*5],,,
2040,1854475,[1146*5],,,
1600,974270,[1146*5],,,
1890,1636873,[1146*5],,,
1980,1785265,[1146*5],,,
1680,1274644,[1146*5],,,
1890,1632602,[1146*5],,,
2150,1945643,[1146*5],,,
2200,2006174,[1146*5],,,
2170,1963358,[1146*5],,,
1930,1733198,[1146*5],,,
1970,1778577,[1146*5],,,
2140,1941286,[1146*5],,,
1870,1611460,[1146*5],,,
1390,648458,[1146*5],,,
2190,1994389,[1146*5],,,
2000,1817150,[1146*5],,,
2020,1836282,[1146*5],,,
1960,1771833,[1146*5],,,
1630,1457876,[1146*5],,,
1350,476687,[1146*5],,,
2020,1817946,[1146*5],,,
2050,1858487,[1146*5],,,
2250,2041810,[1146*5],,,
1910,1705020,[1146*5],,,
2050,1839377,[1146*5],,,
2160,1975471,[1146*5],,,
1990,1797807,[1146*5],,,
2090,1883952,[1146*5],,,
1310,426449,[1146*5],,,
2000,1814576,[1146*5],,,
2050,1838971,[1146*5],,,
2090,1878001,[1146*5],,,
2020,1818430,[1146*5],,,
2100,1914492,[1146*5],,,
2140,1939097,[1146*5],,,
1990,1795354,[1146*5],,,
2090,1888967,[1146*5],,,
1930,1729323,[1146*5],,,
2140,1947377,[1146*5],,,
1900,1644726,[1146*5],,,
1310,1048696,[1146*5],,,
2020,1832330,[1146*5],,,
2020,1819561,[1146*5],,,
1780,1460399,[1146*5],,,
1910,1702084,[1146*5],,,
2130,1925121,[1146*5],,,
2180,1988277,[1146*5],,,
2190,1983720,[1146*5],,,
1510,1459983,[1146*5],,,
1930,1728922,[1146*5],,,
2100,1910833,[1146*5],,,
2200,2004700,[1146*5],,,
1590,940209,[1146*5],,,
1850,1581422,[1146*5],,,
2100,1903265,[1146*5],,,
2240,2038038,[1146*5],,,
2050,1846352,[1146*5],,,
2160,1969398,[1146*5],,,
1970,1779820,[1146*5],,,
2140,1936244,[1146*5],,,
2140,1942219,[1146*5],,,
2170,1974684,[1146*5],,,
2080,1879729,[1146*5],,,
2100,1912851,[1146*30],,,
2020,1837907,[1146*5],,,
2200,2005937,[1146*5],,,
2040,1847296,[1146*5],,,
2180,1998519,[1146*5],,,
2080,1880255,[1146*5],,,
1920,1722748,[1146*5],,,
1890,1637973,[1146*5],,,
1920,1706156,[1146*5],,,
1910,1699537,[1146*5],,,
1920,1725896,[1146*5],,,
1510,1772356,[1146*5],,,
1860,1598525,[1146*5],,,
1960,1767451,[1146*5],,,
1910,1701307,[1146*5],,,
2200,2011499,[1146*5],,,
2120,1918105,[1146*5],,,
2180,1980197,[1146*5],,,
2160,1956081,[1146*5],,,
2090,1897194,[1146*5],,,
1440,712543,[1146*5],,,
2130,1922887,[1146*5],,,
1610,987080,[1146*5],,,
1800,1500592,[1146*5],,,
1570,829805,[1146*5],,,
1270,244947,[1146*5],,,
1440,713328,[1146*5],,,
1440,700092,[1146*5],,,
2240,2049776,[1146*5],,,
1970,1780104,[1146*5],,,
1730,1391678,[1146*5],,,
2100,1912005,[1146*5],,,
1640,1753580,[1146*5],,,
1420,697033,[1146*5],,,
1310,455276,[1146*5],,,
2200,2009607,[1146*5],,,
1510,777471,[1146*5],,,
1910,1681005,[1146*5],,,
1970,1781711,[1146*5],,,
1950,1760166,[1146*5],,,
1270,242668,[1146*5],,,
1950,1764587,[1146*5],,,
1600,950505,[1146*5],,,
1580,873969,[1146*5],,,
2090,1877813,[1146*5],,,
1920,1719802,[1146*5],,,
1590,908434,[1146*5],,,
1640,1118785,[1146*5],,,
1950,1764521,[1146*5],,,
1660,1195271,[1146*5],,,
1940,1753814,[1146*5],,,
1690,1330139,[1146*5],,,
1580,861404,[1146*5],,,
2240,2043463,[1146*5],,,
2160,1968886,[1146*5],,,
1970,1774553,[1146*5],,,
2250,2048734,[1146*5],,,
1930,1739151,[1146*5],,,
1770,1447144,[1146*5],,,
2140,1947826,[1146*5],,,
2240,2044311,[1146*5],,,
2050,1855976,[1146*5],,,
1760,1423346,[1146*5],,,
2180,1982168,[1146*5],,,
2000,1821982,[1146*5],,,
2060,1863374,[1146*5],,,
1510,761394,[1146*5],,,
1660,1217148,[1146*5],,,
2160,1970833,[1146*5],,,
1510,742548,[1146*5],,,
1530,792508,[1146*5],,,
2200,2010422,[1146*5],,,
2080,1895929,[1146*5],,,
2100,1899263,[1146*5],,,
1610,1335533,[1146*5],,,
2120,1929280,[1146*5],,,
2180,1981414,[1146*5],,,
1950,1758020,[1146*5],,,
2080,1888435,[1146*5],,,
1730,1387581,[1146*5],,,
1970,1786114,[1146*5],,,
2100,1912366,[1146*5],,,
2090,1885508,[1146*5],,,
1510,740748,[1146*5],,,
1920,1721428,[1146*5],,,
1650,1157741,[1146*5],,,
1600,962939,[1146*5],,,
1850,1581559,[1146*5],,,
2080,1894281,[1146*5],,,
1970,1776868,[1146*5],,,
1910,1683585,[1146*5],,,
2240,2040771,[1146*5],,,
2000,1816611,[1146*5],,,
2200,2000926,[1146*5],,,
1990,1792686,[1146*5],,,
1900,1659491,[1146*5],,,
1990,1794107,[1146*5],,,
1850,1576758,[1146*5],,,
1910,1700647,[1146*5],,,
1950,1761083,[1146*5],,,
2140,1950725,[1146*5],,,
1900,1663578,[1146*5],,,
2230,2019600,[1146*5],,,
2210,2011964,[1146*5],,,
1630,1088654,[1146*5],,,
2060,1862819,[1146*5],,,
1840,1561576,[1146*5],,,
1270,326443,[1146*5],,,
1390,654477,[1146*5],,,
1510,757772,[1146*5],,,
2100,1905579,[1146*5],,,
1860,1597832,[1146*5],,,
1690,1313731,[1146*5],,,
2080,1879634,[1146*5],,,
2080,1891671,[1146*5],,,
1690,1305462,[1146*5],,,
2120,1920999,[1146*5],,,
1630,1080363,[1146*5],,,
1920,1709603,[1146*5],,,
2000,1828806,[1146*5],,,
2200,1997577,[1146*5],,,
1510,751521,[1146*5],,,
2140,1948505,[1146*5],,,
1900,1651148,[1146*5],,,
1980,1785919,[1146*5],,,
2050,1856352,[1146*5],,,
2040,1856702,[1146*5],,,
2020,1824556,[1146*5],,,
2160,1956797,[1146*5],,,
2250,2039775,[1146*5],,,
2180,1978530,[1146*5],,,
1990,1792010,[1146*5],,,
2060,1870877,[1146*5],,,
2000,1827387,[1146*5],,,
2110,1900769,[1146*5],,,
2060,1871287,[1146*5],,,
2170,1955330,[1146*5],,,
1930,1739296,[1146*5],,,
1890,1631609,[1146*5],,,
1940,1756085,[1146*5],,,
1950,1765403,[1146*5],,,
1550,811645,[1146*5],,,
2050,1841390,[1146*5],,,
2050,1847765,[1146*5],,,
2020,1825453,[1146*5],,,
2220,2018694,[1146*5],,,
2150,1945396,[1146*5],,,
1860,1601005,[1146*5],,,
1460,720340,[1146*5],,,
1920,1717643,[1146*5],,,
1550,805138,[1146*5],,,
1910,1670510,[1146*5],,,
1590,917127,[1146*5],,,
1960,1767339,[1146*5],,,
1650,1170275,[1146*5],,,
