1620,1026770,[1146*5],,,
1910,1689714,[1146*5],,,
1530,779177,[1146*5],,,
1930,1737975,[1146*5],,,
1620,1034570,[1146*5],,,
1990,1799726,[1146*60],,,
2140,1943441,[1146*5],,,
2050,1844393,[1146*5],,,
1840,1556622,[1146*5],,,
1440,712483,[1146*5],,,
2180,1983907,[1146*5],,,
1590,912293,[1146*5],,,
2140,1952879,[1146*5],,,
1400,902365,[1146*5],,,
1690,1334892,[1146*5],,,
2110,1900081,[1146*5],,,
2110,1915769,[1146*5],,,
1580,896761,[1146*5],,,
2090,1887579,[1146*5],,,
2110,1907255,[1146*5],,,
1630,1104127,[1146*5],,,
1930,1740288,[1146*5],,,
2220,2017894,[1146*5],,,
2100,1905374,[1146*5],,,
2080,1879362,[1146*5],,,
2160,1955761,[1146*5],,,
1910,1689389,[1146*5],,,
2040,1853219,[1146*5],,,
1720,1378201,[1146*5],,,
2250,2031212,[1146*5],,,
2030,1837643,[1146*5],,,
2250,2033171,[1146*5],,,
2110,1913471,[1146*5],,,
1930,1731275,[1146*5],,,
2060,1863996,[1146*5],,,
2050,1840461,[1146*5],,,
2050,1838925,[1146*5],,,
1780,1742892,[1146*5],,,
2120,1932207,[1146*5],,,
2040,1842120,[1146*5],,,
1930,1731905,[1146*5],,,
2090,1879881,[1146*5],,,
1900,1645592,[1146*5],,,
2170,1956210,[1146*5],,,
2120,1924076,[1146*5],,,
1940,1753907,[1146*5],,,
1580,892585,[1146*5],,,
2250,2033654,[1146*5],,,
1690,1336837,[1146*5],,,
2020,1821162,[1146*5],,,
1780,1479465,[1146*5],,,
1910,1694015,[1146*5],,,
1930,1740681,[1146*5],,,
1510,751054,[1146*5],,,
1920,1719841,[1146*5],,,
1920,1725185,[1146*5],,,
1920,1714564,[1146*5],,,
1510,737820,[1146*5],,,
1400,675419,[1146*5],,,
1930,1741845,[1146*5],,,
2050,1844113,[1146*5],,,
2060,1866958,[1146*5],,,
2090,1878385,[1146*5],,,
2200,2007328,[1146*5],,,
1910,1686775,[1146*5],,,
1920,1706311,[1146*5],,,
1910,1670584,[1146*5],,,
1920,1711899,[1146*5],,,
2060,1866792,[1146*5],,,
2060,1860895,[1146*5],,,
1560,820389,[1146*5],,,
2000,1803038,[1146*5],,,
2130,1920225,[1146*5],,,
1910,1675767,[1146*5],,,
1920,1709876,[1146*5],,,
2170,1973327,[1146*5],,,
2150,1941313,[1146*5],,,
2100,1899952,[1146*5],,,
1270,204176,[1146*5],,,
1930,1739578,[1146*5],,,
1630,1100494,[1146*5],,,
2100,1903265,[1146*5],,,
2150,1946724,[1146*5],,,
1540,801974,[1146*5],,,
2130,1926210,[1146*5],,,
1570,831696,[1146*5],,,
2140,1936789,[1146*5],,,
2210,2012076,[1146*5],,,
1670,1232743,[1146*5],,,
2120,1919126,[1146*5],,,
2020,1832058,[1146*5],,,
2060,1875149,[1146*5],,,
1580,889497,[1146*5],,,
1550,804875,[1146*5],,,
2250,2031567,[1146*5],,,
1910,1695005,[1146*5],,,
2020,1823334,[1146*5],,,
1680,1263110,[1146*5],,,
2050,1841846,[1146*5],,,
1510,746885,[1146*5],,,
1980,1790113,[1146*5],,,
2100,1908800,[1146*5],,,
1590,917389,[1146*5],,,
2080,1888435,[1146*5],,,
2110,1899284,[1146*5],,,
1640,1111093,[1146*5],,,
1910,1689377,[1146*5],,,
1960,1768854,[1146*5],,,
1970,1776868,[1146*5],,,
1510,748095,[1146*5],,,
1910,1676777,[1146*5],,,
1970,1774853,[1146*5],,,
1880,1626080,[1146*5],,,
1870,1616461,[1146*5],,,
1820,1522950,[1146*5],,,
1610,990383,[1146*5],,,
1650,1190371,[1146*5],,,
1610,995000,[1146*5],,,
2050,1856442,[1146*5],,,
1780,1469895,[1146*5],,,
1540,798290,[1146*5],,,
1390,656437,[1146*5],,,
1400,675567,[1146*5],,,
1870,1617835,[1146*5],,,
1530,786860,[1146*5],,,
1600,980666,[1146*5],,,
1640,1129513,[1146*5],,,
2230,2014506,[1146*5],,,
2100,1901092,[1146*5],,,
1400,665872,[1146*5],,,
2060,1876549,[1146*5],,,
1670,1257544,[1146*5],,,
1800,1512066,[1146*5],,,
1950,1765936,[1146*5],,,
1170,20759,[1146*5],,,
2040,1851596,[1146*5],,,
1890,1637819,[1146*5],,,
2160,1972397,[1146*5],,,
2110,1908935,[1146*5],,,
2020,1821314,[1146*5],,,
1580,897448,[1146*5],,,
2120,1920999,[1146*5],,,
2210,2008448,[1146*5],,,
