2020,1817946,[1146*5],,,
2220,2023985,[1146*5],,,
2220,2015409,[1146*5],,,
2170,1955906,[1146*5],,,
2130,1932811,[1146*5],,,
2120,1924014,[1146*5],,,
2050,1858487,[1146*5],,,
2050,1849063,[1146*5],,,
2060,1862190,[1146*5],,,
2000,1802026,[1146*5],,,
2250,2041810,[1146*5],,,
2020,1825640,[1146*5],,,
2050,1847982,[1146*5],,,
1620,1050758,[1146*5],,,
2240,2064629,[1146*5],,,
2050,1851204,[1146*5],,,
2110,1908935,[1146*5],,,
2000,1813192,[1146*5],,,
2180,1993631,[1146*5],,,
1910,1667407,[1146*5],,,
1850,1577948,[1146*5],,,
1950,1762709,[1146*5],,,
1870,1617682,[1146*5],,,
1620,1036090,[1146*5],,,
1570,829805,[1146*5],,,
1970,1782497,[1146*5],,,
1950,1761150,[1146*5],,,
1830,1544413,[1146*5],,,
1940,1749777,[1146*5],,,
1640,1108781,[1146*5],,,
1640,1128900,[1146*5],,,
1740,1402680,[1146*5],,,
1600,976728,[1146*5],,,
2060,1866896,[1146*5],,,
2210,1996134,[1146*5],,,
2160,1963520,[1146*5],,,
2210,2009594,[1146*5],,,
2080,1888670,[1146*5],,,
2080,1888723,[1146*5],,,
2190,1980758,[1146*5],,,
1510,1380008,[1146*5],,,
1390,573268,[1146*5],,,
1650,1188866,[1146*5],,,
1910,1688039,[1146*5],,,
2170,1971266,[1146*5],,,
1710,1368131,[1146*5],,,
1750,1542005,[1146*5],,,
1960,1768326,[1146*5],,,
1540,796456,[1146*5],,,
1910,1685161,[1146*5],,,
1530,785325,[1146*5],,,
1910,1701892,[1146*5],,,
1620,1029009,[1146*5],,,
1530,786860,[1146*5],,,
1640,1113208,[1146*5],,,
1510,736624,[1146*5],,,
1460,730875,[1146*5],,,
1900,1661435,[1146*5],,,
1850,1587719,[1146*5],,,
1570,830605,[1146*5],,,
1580,869544,[1146*5],,,
1900,1659491,[1146*5],,,
1530,790359,[1146*5],,,
1970,1781933,[1146*5],,,
1800,1494082,[1146*5],,,
1420,692823,[1146*5],,,
1840,1561576,[1146*5],,,
1510,742380,[1146*5],,,
1600,970294,[1146*5],,,
1810,1516342,[1146*5],,,
1910,1682811,[1146*5],,,
1460,733757,[1146*5],,,
1510,1772356,[1146*5],,,
1970,1778008,[1146*5],,,
1530,780878,[1146*5],,,
1910,1691722,[1146*5],,,
1620,1033980,[1146*5],,,
1530,789433,[1146*5],,,
1880,1618995,[1146*5],,,
1960,1769527,[1146*5],,,
2250,2044778,[1146*5],,,
2060,1858808,[1146*5],,,
2250,2032954,[1146*5],,,
2000,1823724,[1146*5],,,
2120,1926312,[1146*5],,,
1920,1720059,[1146*5],,,
1660,1202482,[1146*5],,,
1650,1150673,[1146*5],,,
1670,1290741,[1146*5],,,
2100,2074411,[1146*5],,,
