2110,1916969,[1146*5],,,
1630,1090488,[1146*5],,,
2200,1998115,[1146*5],,,
2160,1955957,[1146*5],,,
1920,1719011,[1146*5],,,
1440,719062,[1146*5],,,
2150,1953611,[1146*5],,,
2090,1878599,[1146*5],,,
2220,2017598,[1146*5],,,
2100,1908170,[1146*5],,,
2180,1978911,[1146*5],,,
2080,1886827,[1146*5],,,
2210,2009927,[1146*5],,,
2000,1815933,[1146*5],,,
2200,2009346,[1146*5],,,
1570,837306,[1146*5],,,
2060,1873240,[1146*5],,,
1800,1491892,[1146*5],,,
1690,1338056,[1146*5],,,
1580,869069,[1146*5],,,
1760,1424346,[1146*5],,,
2160,1960197,[1146*5],,,
2030,1836657,[1146*5],,,
2000,1806289,[1146*5],,,
2180,1991287,[1146*5],,,
1550,808778,[1146*5],,,
2230,2025575,[1146*5],,,
1870,1608434,[1146*5],,,
2250,2048061,[1146*5],,,
1570,846751,[1146*5],,,
1690,1315669,[1146*5],,,
2190,1994393,[1146*5],,,
2130,1933583,[1146*5],,,
2010,1809953,[1146*5],,,
2230,2023393,[1146*5],,,
2170,1960804,[1146*5],,,
1920,1708994,[1146*5],,,
1680,2072890,[1146*5],,,
1770,1438187,[1146*5],,,
2200,2008580,[1146*5],,,
2220,2020747,[1146*5],,,
2020,1837298,[1146*5],,,
2130,2191065,[1146*5],,,
1950,1766182,[1146*5],,,
1910,1703576,[1146*5],,,
2090,1878240,[1146*5],,,
2100,1908872,[1146*5],,,
2230,2020628,[1146*5],,,
1510,756967,[1146*5],,,
1610,989031,[1146*5],,,
1640,1107595,[1146*5],,,
2100,1904252,[1146*5],,,
1350,488627,[1146*5],,,
1540,800927,[1146*5],,,
1910,1680956,[1146*5],,,
2110,1913639,[1146*5],,,
1610,1017215,[1146*5],,,
1950,1763896,[1146*5],,,
1600,947869,[1146*5],,,
2140,1951916,[1146*5],,,
2070,1859225,[1146*5],,,
2190,1987402,[1146*5],,,
1970,1779478,[1146*5],,,
2180,1991307,[1146*5],,,
2250,2044791,[1146*5],,,
1900,1657550,[1146*5],,,
1960,1769291,[1146*5],,,
2060,1873313,[1146*5],,,
2050,1842381,[1146*5],,,
2030,1819790,[1146*5],,,
1690,1336837,[1146*5],,,
1930,1727791,[1146*5],,,
1860,1588110,[1146*5],,,
1570,842517,[1146*5],,,
1880,1618569,[1146*5],,,
1850,1578977,[1146*5],,,
2060,1873996,[1146*5],,,
1550,811011,[1146*5],,,
1920,1712742,[1146*5],,,
2090,1894587,[1146*5],,,
1420,694363,[1146*5],,,
1740,1566405,[1146*5],,,
1920,1708085,[1146*5],,,
2250,2042189,[1146*5],,,
1910,1670974,[1146*5],,,
2020,1818140,[1146*5],,,
1910,1698319,[1146*5],,,
2040,1847551,[1146*5],,,
2030,1830106,[1146*5],,,
2240,2038831,[1146*5],,,
1790,1473897,[1146*5],,,
2150,1945643,[1146*5],,,
1630,1068371,[1146*5],,,
2060,1861373,[1146*5],,,
1620,1047495,[1146*5],,,
1560,813685,[1146*5],,,
2000,1815909,[1146*5],,,
1910,1670638,[1146*5],,,
2180,1994111,[1146*5],,,
2170,1963816,[1146*5],,,
1390,654477,[1146*5],,,
2190,1978041,[1146*5],,,
1990,1797355,[1146*5],,,
2200,2008061,[1146*5],,,
1590,1872561,[1146*5],,,
2190,1983837,[1146*5],,,
2180,1988735,[1146*5],,,
1170,36738,[1146*5],,,
2080,1893420,[1146*5],,,
1530,790779,[1146*5],,,
1720,1378800,[1146*5],,,
2210,2012661,[1146*5],,,
1540,797773,[1146*5],,,
2130,1928942,[1146*5],,,
1390,650824,[1146*5],,,
1940,1753448,[1146*5],,,
1580,860920,[1146*5],,,
