2110,1911223,[1146*3],,,
2240,2034319,[1146*3],,,
1930,1739330,[1146*3],,,
1940,1747582,[1146*3],,,
1940,1752781,[1146*3],,,
2180,1977882,[1146*3],,,
1690,1323151,[1146*3],,,
2020,1834415,[1146*3],,,
2000,1812890,[1146*3],,,
1390,597711,[1146*3],,,
1920,1726842,[1146*3],,,
1760,1431978,[1146*3],,,
1270,307094,[1146*3],,,
2040,1851060,[1146*3],,,
1820,1529418,[1146*3],,,
2210,2001098,[1146*3],,,
2130,1921773,[1146*3],,,
1950,1760102,[1146*3],,,
2050,1845682,[1146*3],,,
2120,1929638,[1146*3],,,
2150,1941551,[1146*3],,,
2060,1867348,[1146*3],,,
2250,2042853,[1146*3],,,
1970,1777257,[1146*3],,,
2120,1924541,[1146*3],,,
1910,1689674,[1146*3],,,
1920,1708337,[1146*3],,,
2090,1879017,[1146*3],,,
1350,539002,[1146*3],,,
2100,1910517,[1146*3],,,
2200,2010986,[1146*3],,,
1640,1109711,[1146*3],,,
2090,1898241,[1146*3],,,
2170,1960154,[1146*3],,,
2000,1812817,[1146*3],,,
1660,1216234,[1146*3],,,
2190,1993805,[1146*3],,,
1900,1663739,[1146*3],,,
1940,1754586,[1146*3],,,
2180,1990663,[1146*3],,,
1890,1637819,[1146*3],,,
1570,1019909,[1146*3],,,
2050,1844655,[1146*3],,,
1990,1797171,[1146*3],,,
2130,1924360,[1146*3],,,
1400,664475,[1146*3],,,
1420,682169,[1146*3],,,
2110,1915636,[1146*3],,,
2170,1958519,[1146*3],,,
2200,1999289,[1146*3],,,
1840,1564624,[1146*3],,,
1910,1693617,[1146*3],,,
1600,965524,[1146*3],,,
2050,1852216,[1146*3],,,
1460,730357,[1146*3],,,
2180,1977303,[1146*3],,,
2090,1895114,[1146*3],,,
1510,754506,[1146*3],,,
1940,1751857,[1146*3],,,
1740,1404956,[1146*3],,,
2070,1876495,[1146*3],,,
2080,1879109,[1146*3],,,
2160,1974981,[1146*3],,,
1600,960481,[1146*3],,,
2080,1887008,[1146*3],,,
1270,306892,[1146*3],,,
1510,757494,[1146*3],,,
1310,437647,[1146*3],,,
1960,1768878,[1146*3],,,
1310,405272,[1146*3],,,
1770,1443930,[1146*3],,,
1980,1790235,[1146*3],,,
2160,1957553,[1146*3],,,
1270,239729,[1146*3],,,
1940,1748745,[1146*3],,,
2220,2021271,[1146*3],,,
1870,1605445,[1146*3],,,
2090,1878804,[1146*3],,,
1910,1700037,[1146*3],,,
1890,1634918,[1146*3],,,
2070,1873838,[1146*3],,,
1910,1676971,[1146*3],,,
2130,1917633,[1146*3],,,
2130,1925774,[1146*3],,,
2110,1916008,[1146*3],,,
2220,2024225,[1146*3],,,
2100,1901108,[1146*3],,,
1890,1638081,[1146*3],,,
2240,2038899,[1146*3],,,
2120,1926519,[1146*3],,,
1910,1684901,[1146*3],,,
1920,1706311,[1146*3],,,
1910,1681005,[1146*3],,,
2060,1868799,[1146*3],,,
2220,2025423,[1146*3],,,
2150,1945475,[1146*3],,,
2160,1969723,[1146*3],,,
2230,2028600,[1146*3],,,
2220,2022662,[1146*3],,,
1970,1778408,[1146*3],,,
1610,987971,[1146*3],,,
2060,1873432,[1146*3],,,
1980,1786173,[1146*3],,,
1690,1334590,[1146*3],,,
1980,1786839,[1146*3],,,
2220,2014904,[1146*3],,,
2160,1967441,[1146*3],,,
2030,1834167,[1146*3],,,
2240,2045684,[1146*3],,,
1420,698839,[1146*3],,,
1550,808303,[1146*3],,,
1670,1605105,[1146*3],,,
1910,1684189,[1146*3],,,
1910,1702065,[1146*3],,,
1900,1650122,[1146*3],,,
1620,1052820,[1146*3],,,
1170,82700,[1146*3],,,
1580,876929,[1146*3],,,
1910,1690308,[1146*3],,,
1270,215252,[1146*3],,,
2100,1915504,[1146*3],,,
2240,2033596,[1146*3],,,
1640,1115062,[1146*3],,,
1920,1710390,[1146*3],,,
1540,799358,[1146*3],,,
1400,665897,[1146*3],,,
1650,1174428,[1146*3],,,
2120,1919608,[1146*3],,,
1970,1777332,[1146*3],,,
2160,1968521,[1146*3],,,
2170,1976861,[1146*3],,,
1310,787069,[1146*3],,,
2100,1902643,[1146*3],,,
1790,1483996,[1146*3],,,
2000,1814884,[1146*3],,,
1920,1719890,[1146*3],,,
1930,1736848,[1146*3],,,
1750,1411240,[1146*3],,,
2080,1893420,[1146*3],,,
2170,1956019,[1146*3],,,
1920,1719801,[1146*3],,,
2160,1959527,[1146*3],,,
2230,2013962,[1146*3],,,
2020,1835725,[1146*3],,,
1310,451795,[1146*3],,,
1830,1543679,[1146*3],,,
2080,1889895,[1146*3],,,
2240,2046729,[1146*3],,,
1600,954941,[1146*3],,,
2000,1811670,[1146*3],,,
1610,992323,[1146*3],,,
1590,939364,[1146*3],,,
2220,2026182,[1146*3],,,
1540,798958,[1146*3],,,
1680,1269873,[1146*3],,,
2060,1874888,[1146*3],,,
1820,1536215,[1146*3],,,
2060,1868087,[1146*3],,,
2100,1911860,[1146*3],,,
2060,1875165,[1146*3],,,
2240,2038831,[1146*3],,,
2080,1886723,[1146*3],,,
1510,757480,[1146*3],,,
1860,1595735,[1146*3],,,
2140,1951788,[1146*3],,,
2160,1973172,[1146*3],,,
2110,1910156,[1146*3],,,
1400,663170,[1146*3],,,
1840,1557516,[1146*3],,,
2180,1990498,[1146*3],,,
1640,1112804,[1146*3],,,
1690,1324256,[1146*3],,,
1610,995927,[1146*3],,,
1890,1641652,[1146*3],,,
1920,1723788,[1146*3],,,
1570,854080,[1146*3],,,
2080,1898714,[1146*3],,,
2020,1834079,[1146*3],,,
2170,1965394,[1146*3],,,
2250,2037515,[1146*3],,,
1640,1110558,[1146*3],,,
1920,1710772,[1146*3],,,
1580,878790,[1146*3],,,
1420,696033,[1146*3],,,
2140,1949496,[1146*3],,,
1900,1661402,[1146*3],,,
2070,1869653,[1146*3],,,
1400,663005,[1146*3],,,
2020,1834659,[1146*3],,,
2050,1851588,[1146*3],,,
2230,2014532,[1146*3],,,
1510,762025,[1146*3],,,
1510,773969,[1146*3],,,
2240,2031310,[1146*3],,,
1350,487631,[1146*3],,,
1930,1739151,[1146*3],,,
1820,1532945,[1146*3],,,
2070,1872685,[1146*3],,,
2080,1883074,[1146*3],,,
1400,674303,[1146*3],,,
2240,2045208,[1146*3],,,
1810,1506989,[1146*3],,,
2190,1995216,[1146*3],,,
2200,2010662,[1146*3],,,
1880,1624575,[1146*3],,,
1440,717728,[1146*3],,,
2050,1850346,[1146*3],,,
1570,831696,[1146*3],,,
2060,1873413,[1146*3],,,
2020,1839095,[1146*3],,,
1930,1731110,[1146*3],,,
2160,1968686,[1146*3],,,
1770,1438395,[1146*3],,,
1960,1767096,[1146*3],,,
2150,1944035,[1146*3],,,
1270,323805,[1146*3],,,
2230,2025575,[1146*3],,,
2080,1879300,[1146*3],,,
1680,1290417,[1146*3],,,
2160,1956919,[1146*3],,,
2220,2023409,[1146*3],,,
2060,1874902,[1146*3],,,
1940,1747458,[1146*3],,,
2160,1960702,[1146*3],,,
2020,1836497,[1146*3],,,
1600,957779,[1146*3],,,
2060,1870566,[1146*3],,,
2090,1883650,[1146*3],,,
1600,958639,[1146*3],,,
2170,1976767,[1146*3],,,
1640,1139634,[1146*3],,,
2140,1941833,[1146*3],,,
2220,2020314,[1146*3],,,
1990,1798365,[1146*3],,,
1640,1123348,[1146*3],,,
2080,1885891,[1146*3],,,
2080,1893315,[1146*3],,,
2090,1879717,[1146*3],,,
2080,1898639,[1146*3],,,
1580,894899,[1146*3],,,
2210,2002035,[1146*3],,,
2250,2032722,[1146*3],,,
2090,1894935,[1146*3],,,
1560,815767,[1146*3],,,
2000,1813569,[1146*3],,,
2080,1892418,[1146*3],,,
2100,1908192,[1146*3],,,
1660,1215338,[1146*3],,,
1920,1711002,[1146*3],,,
2140,1939390,[1146*3],,,
2230,2025695,[1146*3],,,
1860,1588338,[1146*3],,,
2080,1891390,[1146*3],,,
2060,1874388,[1146*3],,,
1960,1771411,[1146*3],,,
2100,1916699,[1146*3],,,
1420,698438,[1146*3],,,
1940,1747371,[1146*3],,,
2020,1834557,[1146*3],,,
2130,1923399,[1146*3],,,
2110,1909705,[1146*3],,,
2020,1826440,[1146*3],,,
1870,1611993,[1146*3],,,
2200,2009223,[1146*3],,,
1860,1593605,[1146*3],,,
2090,1887830,[1146*3],,,
2110,1910540,[1146*3],,,
1920,1707217,[1146*3],,,
1980,1784677,[1146*3],,,
2240,2040391,[1146*3],,,
1510,1380008,[1146*3],,,
2080,1892670,[1146*3],,,
2160,1961601,[1146*3],,,
2190,1987256,[1146*3],,,
1400,675816,[1146*3],,,
1980,1782978,[1146*3],,,
2240,2045300,[1146*3],,,
1310,397179,[1146*3],,,
2140,1944727,[1146*3],,,
2000,1807434,[1146*3],,,
2090,1888242,[1146*3],,,
2130,1933583,[1146*3],,,
2050,1858235,[1146*3],,,
1510,760556,[1146*3],,,
2040,1841179,[1146*3],,,
2080,1888403,[1146*3],,,
1900,1650890,[1146*3],,,
2000,1804140,[1146*3],,,
1920,1707996,[1146*3],,,
1800,1499583,[1146*3],,,
2080,1898251,[1146*3],,,
2200,1999898,[1146*3],,,
1790,1487458,[1146*3],,,
1610,1003342,[1146*3],,,
2070,1860253,[1146*3],,,
2000,1820841,[1146*3],,,
1420,1127298,[1146*3],,,
1650,1158653,[1146*3],,,
2240,2043769,[1146*3],,,
2070,1868018,[1146*3],,,
1930,1734921,[1146*3],,,
1860,1591341,[1146*3],,,
1630,1070741,[1146*3],,,
1940,1756757,[1146*3],,,
2240,2037184,[1146*3],,,
1970,1774242,[1146*3],,,
1620,1035213,[1146*3],,,
2070,1868729,[1146*3],,,
1390,613758,[1146*3],,,
1420,693710,[1146*3],,,
2180,1979680,[1146*3],,,
2000,1806542,[1146*3],,,
1680,1285757,[1146*3],,,
1780,1465303,[1146*3],,,
1390,638120,[1146*3],,,
1910,1675764,[1146*3],,,
1940,1753456,[1146*3],,,
1910,1665330,[1146*3],,,
1770,1447089,[1146*3],,,
1900,1654691,[1146*3],,,
1510,755115,[1146*3],,,
1940,1749764,[1146*3],,,
1930,1742180,[1146*3],,,
1650,1183957,[1146*3],,,
1690,1308975,[1146*3],,,
1570,842517,[1146*3],,,
1540,798123,[1146*3],,,
2170,1961453,[1146*3],,,
2190,1977679,[1146*3],,,
1870,1607804,[1146*3],,,
1510,739568,[1146*3],,,
1460,735495,[1146*3],,,
1910,1686145,[1146*3],,,
1930,1743819,[1146*3],,,
1830,1550060,[1146*3],,,
2240,2035845,[1146*3],,,
1930,1730379,[1146*3],,,
1460,728627,[1146*3],,,
1870,1605067,[1146*3],,,
1910,1664871,[1146*3],,,
1950,1761519,[1146*3],,,
1810,1512721,[1146*3],,,
1940,1756734,[1146*3],,,
2170,1961971,[1146*3],,,
1910,1701816,[1146*3],,,
2220,2030646,[1146*3],,,
2240,2033795,[1146*3],,,
2060,1864165,[1146*3],,,
1600,965296,[1146*3],,,
2250,2038682,[1146*3],,,
2220,2021447,[1146*3],,,
1920,1712392,[1146*3],,,
2150,1946020,[1146*3],,,
2080,1894951,[1146*3],,,
2030,1832005,[1146*3],,,
1910,1701307,[1146*3],,,
1960,1768979,[1146*3],,,
1980,1786602,[1146*3],,,
1940,1750394,[1146*3],,,
1440,707120,[1146*3],,,
2050,1845996,[1146*3],,,
1620,1021358,[1146*3],,,
1630,2157213,[1146*3],,,
2190,1983533,[1146*3],,,
1990,1793515,[1146*3],,,
1790,1479109,[1146*3],,,
1970,1782003,[1146*3],,,
1630,1097964,[1146*3],,,
2130,1919302,[1146*3],,,
2030,1832377,[1146*3],,,
1730,1389583,[1146*3],,,
1390,627565,[1146*3],,,
2130,1930855,[1146*3],,,
1700,1341164,[1146*3],,,
1910,1678535,[1146*3],,,
1670,1236687,[1146*3],,,
1930,1730662,[1146*3],,,
2180,1993570,[1146*3],,,
1910,1700590,[1146*3],,,
2080,1890903,[1146*3],,,
2030,1825664,[1146*3],,,
2050,1851523,[1146*3],,,
2080,1898475,[1146*3],,,
1510,749345,[1146*3],,,
2230,2026905,[1146*3],,,
2050,1847499,[1146*3],,,
1620,1033211,[1146*3],,,
1170,116013,[1146*3],,,
1720,1383991,[1146*3],,,
2170,1964868,[1146*3],,,
1510,765295,[1146*3],,,
2040,1856587,[1146*3],,,
2130,1931100,[1146*3],,,
1750,1409770,[1146*3],,,
1910,1676136,[1146*3],,,
2200,2002105,[1146*3],,,
2090,1897813,[1146*3],,,
1940,1756900,[1146*3],,,
2030,1821172,[1146*3],,,
1580,895181,[1146*3],,,
2240,2041047,[1146*3],,,
1540,799495,[1146*3],,,
1540,796776,[1146*3],,,
2250,2042305,[1146*3],,,
1910,1674114,[1146*3],,,
1530,788280,[1146*3],,,
1510,759818,[1146*3],,,
2200,2010007,[1146*3],,,
1910,1699987,[1146*3],,,
2250,2049727,[1146*3],,,
1820,1522853,[1146*3],,,
2000,1816147,[1146*3],,,
1840,1772597,[1146*3],,,
1910,1700821,[1146*3],,,
1580,889948,[1146*3],,,
2020,1821579,[1146*3],,,
1990,1792628,[1146*3],,,
1510,773080,[1146*3],,,
1440,703948,[1146*3],,,
2140,1950336,[1146*3],,,
1890,1638823,[1146*3],,,
1170,81695,[1146*3],,,
1910,1672152,[1146*3],,,
1930,1745554,[1146*3],,,
1600,970994,[1146*3],,,
2060,1869969,[1146*3],,,
2100,1904291,[1146*3],,,
1770,1449268,[1146*3],,,
1510,743866,[1146*3],,,
2020,1823806,[1146*3],,,
1620,1048615,[1146*3],,,
2200,2009301,[1146*3],,,
2120,1924293,[1146*3],,,
1880,1627644,[1146*3],,,
1990,1794525,[1146*3],,,
2170,1972607,[1146*3],,,
1610,2105344,[1146*3],,,
1640,1141872,[1146*3],,,
1930,1741611,[1146*3],,,
1620,1038279,[1146*3],,,
1920,1726612,[1146*3],,,
2040,1856226,[1146*3],,,
1980,1791785,[1146*3],,,
2120,1921981,[1146*3],,,
2210,2001861,[1146*3],,,
1820,1525109,[1146*3],,,
2170,1963665,[1146*3],,,
