server_id,user_id,买齐5档时间(北京),是否已领终奖,应补道具,应补数量
1390,588523,2026-07-07 08:56:32.893000,未领,Item_1200 深海藏宝图,100
1390,653314,2026-07-07 08:05:34.588000,未领,Item_1200 深海藏宝图,100
1390,653840,2026-07-07 08:08:27.505000,未领,Item_1200 深海藏宝图,100
1440,714451,2026-07-07 08:35:34.968000,未领,Item_1200 深海藏宝图,100
1510,753850,2026-07-07 08:59:11.127000,未领,Item_1200 深海藏宝图,100
1510,764881,2026-07-07 08:28:24.250000,未领,Item_1200 深海藏宝图,100
1530,788273,2026-07-07 08:07:42.623000,未领,Item_1200 深海藏宝图,100
1580,878282,2026-07-07 08:05:32.766000,未领,Item_1200 深海藏宝图,100
1660,1206917,2026-07-07 08:18:40.719000,未领,Item_1200 深海藏宝图,100
1910,1687265,2026-07-07 08:07:01.614000,未领,Item_1200 深海藏宝图,100
1910,1691722,2026-07-07 08:15:23.918000,未领,Item_1200 深海藏宝图,100
1910,1694975,2026-07-07 08:22:41.216000,未领,Item_1200 深海藏宝图,100
1960,1766684,2026-07-07 08:03:21.278000,未领,Item_1200 深海藏宝图,100
1980,1787788,2026-07-07 08:54:42.696000,未领,Item_1200 深海藏宝图,100
1980,1791477,2026-07-07 08:09:22.056000,未领,Item_1200 深海藏宝图,100
1990,1799726,2026-07-07 08:02:32.220000,未领,Item_1200 深海藏宝图,100
