# 字段:	ID	ContentID	ItemType	ChangeItem	道具名	ChangeItemNum	NeedItem	NeedItemNum	Limit	Sort	SpecialOffers	Label	RefreshType	DiscountCoupon	
# 模板=ContentID1337(15行,货币1135→1201,兑换品养成料/外显复用不变):
134000	1340	1	52003	万能传奇信物	1	1201	100	5	999		"<size=40>50%</size>
每日刷新"	1		
134001	1340	1	1080	头像框自选礼包	1	1201	1000	1	998		专属			
134002	1340	1	180077	我对你的誓言（纪念卡）	1	1201	400	99	997		专属			
134003	1340	1	154002	幸运家具木匣	1	1201	1000	1	996					
134004	1340	1	2077	随机传说折扣券	1	1201	4000	1	995					
134005	1340	1	2079	随机折扣券	1	1201	3000	1	994					
134006	1340	1	166004	传奇英雄装备宝箱	1	1201	700	3	993					
134007	1340	1	55000	通用技能碎片	1	1201	200	100	992					
134008	1340	1	52003	万能传奇信物	1	1201	200	100	991					
134009	1340	1	166006	幸运英雄装备宝箱	1	1201	50	300	990		83%			
134010	1340	1	19003	传奇技能书	1	1201	20	300	989					
134011	1340	1	55101	神秘金属	1	1201	25	100	988					
134012	1340	1	55100	高级木板	1	1201	8	300	987					
134013	1340	1	1015	硬木板	1000	1201	1	9999	986					
134014	1340	1	1008	冒险阅历	1000	1201	1	9999	985					
