# 字段:	ID(续Reward表max+1)	RewardID	ItemType	ItemID	名	MinNum	MaxNum	DropType	DropPara
# 模板=尼罗169档(30481-88);铭牌82005给Top3;深海宝珠1201;加速镜像169梯度;DropPara必填10000
★		30910	1	82005	航者徽记（头衔）	1		1	10000
★		30910	1	1201	深海宝珠	500		1	10000
★		30910	1	11014	1小时建造加速	30		1	10000
★		30910	1	11024	1小时招募加速	30		1	10000
★		30910	1	11034	1小时研究加速	30		1	10000
★		30911	1	82005	航者徽记（头衔）	1		1	10000
★		30911	1	1201	深海宝珠	300		1	10000
★		30911	1	11014	1小时建造加速	20		1	10000
★		30911	1	11024	1小时招募加速	20		1	10000
★		30911	1	11034	1小时研究加速	20		1	10000
★		30912	1	82005	航者徽记（头衔）	1		1	10000
★		30912	1	1201	深海宝珠	200		1	10000
★		30912	1	11014	1小时建造加速	15		1	10000
★		30912	1	11024	1小时招募加速	15		1	10000
★		30912	1	11034	1小时研究加速	15		1	10000
★		30913	1	1201	深海宝珠	100		1	10000
★		30913	1	11014	1小时建造加速	11		1	10000
★		30913	1	11024	1小时招募加速	11		1	10000
★		30913	1	11034	1小时研究加速	11		1	10000
★		30914	1	1201	深海宝珠	60		1	10000
★		30914	1	11014	1小时建造加速	8		1	10000
★		30914	1	11024	1小时招募加速	8		1	10000
★		30914	1	11034	1小时研究加速	8		1	10000
★		30915	1	1201	深海宝珠	40		1	10000
★		30915	1	11014	1小时建造加速	6		1	10000
★		30915	1	11024	1小时招募加速	6		1	10000
★		30915	1	11034	1小时研究加速	6		1	10000
★		30916	1	1201	深海宝珠	20		1	10000
★		30916	1	11014	1小时建造加速	4		1	10000
★		30916	1	11024	1小时招募加速	4		1	10000
★		30916	1	11034	1小时研究加速	4		1	10000
★		30917	1	1201	深海宝珠	10		1	10000
★		30917	1	11014	1小时建造加速	3		1	10000
★		30917	1	11024	1小时招募加速	3		1	10000
★		30917	1	11034	1小时研究加速	3		1	10000
