user_id,次数,总增量,最大单次,最小单次,Old起始值,New最终值
55531402,4159,62824,794,2,800383,181639
43780156,3234,59378,3324,2,3628,39123
19893734,82,36736,3000,10,31004,52549
44931151,404,28412,3064,2,82272,149675
38095618,211,19096,2068,2,79521,51563
11534557,1433,18646,392,2,651872,303968
26453322,1724,18154,50,2,33458,12432
58146064,228,17974,300,2,18171,22542
63778994,1150,17038,394,2,155816,427663
25225869,731,14466,2060,2,7392,8455
23865614,1207,12376,70,2,1499,1418
4200722,118,12126,2796,2,82184,20186
7473273,198,12060,1682,2,4248,4698
30122349,732,11528,2756,2,252110,55812
82069472,67,10870,2668,2,30132,19574
63799212,683,10388,1868,2,5636,13793
211904728,470,10322,3680,2,212992,99913
208769033,55,9626,7142,2,255515,255515
48891507,136,9448,608,2,30370,25574
42743959,43,8846,4560,2,117984,106333
38319980,424,8438,1700,2,6163,19399
43694202,64,8298,2192,2,111455,80058
19928862,47,8150,1060,2,29955,3490
22901682,850,7818,40,2,37622,37304
218155358,103,7774,726,2,52787,46595
84278456,90,7752,242,2,7195,7267
52436180,113,7336,6268,2,378895,379195
17676293,880,7246,40,2,17205,21484
16303419,523,6876,60,2,65732,71317
37311632,42,6604,3560,2,506047,594021
73474771,193,6600,2704,2,82361,84341
53138586,52,6506,2284,2,36596,5735
56756635,79,6446,2000,2,3002,5378
42280415,113,6378,1690,2,16712,23895
38749156,757,6210,40,2,386,483
27853630,73,6164,3488,2,42652,36066
215520292,123,6068,2016,2,316999,316969
48300940,571,5814,40,2,18227,19915
7378760,402,5536,174,2,145148,36581
82629288,312,5520,1524,2,515,3125
58987288,585,5500,30,2,2876,687
17920625,84,5280,840,2,3547,2626
22438308,338,5104,1966,2,80480,39890
56667850,5,5024,4976,6,555111,555123
201518206,84,4966,236,2,3931,2541
50494222,139,4642,3010,2,82287,82647
35875544,461,4418,1936,2,19970,20125
72456468,40,4196,1634,2,17748,16106
84957257,292,4170,1602,2,16217,17291
85219672,619,4160,94,2,18303,18367
80744637,357,4054,110,2,482819,263746
22627293,16,4040,3662,2,10369,9634
79782981,603,4036,40,2,5763,3806
214679593,17,4010,3702,2,220535,1980
2985676,78,3962,426,2,4976,330
40934163,11,3826,3444,2,14569,14952
11173023,28,3814,3184,2,9617,14732
202176747,361,3704,100,2,6072,36193
35549372,25,3666,1934,4,61251,122933
82785902,473,3620,30,2,46385,51955
37279442,107,3574,1986,2,10557,13192
6865857,87,3458,2976,2,3004,3331
218666368,39,3438,2322,2,19035,18978
13173590,128,3372,1428,2,44511,86113
31997232,65,3272,272,2,637,1935
19535546,852,3250,88,2,1186,18162
8815955,219,3200,206,2,42808,42046
86778802,10,3182,2658,2,47761,47334
8159597,395,3126,30,2,1074,4109
71916001,211,2818,418,2,75215,74617
80491185,718,2814,20,2,4346,4466
80312485,261,2810,34,2,4783,5780
22184453,10,2794,2090,32,5364,6379
56305413,192,2754,1708,2,3420,9913
13074595,20,2744,2228,2,64351,60260
211423534,302,2698,30,2,22947,38441
53324485,64,2686,148,2,29082,4867
20223159,13,2672,2552,2,41968,37470
23109672,19,2636,2414,2,49548,11186
9692226,391,2570,30,2,1778,1863
46074887,121,2556,92,2,276,248
