服务器 ID,玩家 ID,玩家信息,标题信息,附件资产信息,自定义
2000808,219335478,,,,"[{""assetType"":""item"",""id"":11117303,""amount"":3},{""assetType"":""item"",""id"":11117297,""amount"":10}]"
2000808,219414478,,,,"[{""assetType"":""item"",""id"":11117303,""amount"":3},{""assetType"":""item"",""id"":11117297,""amount"":10}]"
2000808,219521262,,,,"[{""assetType"":""item"",""id"":11117303,""amount"":3},{""assetType"":""item"",""id"":11117297,""amount"":10}]"
2000808,219571788,,,,"[{""assetType"":""item"",""id"":11117303,""amount"":3},{""assetType"":""item"",""id"":11117297,""amount"":10}]"
2000808,219637912,,,,"[{""assetType"":""item"",""id"":11117303,""amount"":3},{""assetType"":""item"",""id"":11117297,""amount"":10}]"
2000808,219692862,,,,"[{""assetType"":""item"",""id"":11117303,""amount"":3},{""assetType"":""item"",""id"":11117297,""amount"":10}]"
2000808,219915914,,,,"[{""assetType"":""item"",""id"":11117303,""amount"":3},{""assetType"":""item"",""id"":11117297,""amount"":10}]"
2000808,219962568,,,,"[{""assetType"":""item"",""id"":11117303,""amount"":3},{""assetType"":""item"",""id"":11117297,""amount"":10}]"
2000808,219986123,,,,"[{""assetType"":""item"",""id"":11117303,""amount"":3},{""assetType"":""item"",""id"":11117297,""amount"":10}]"
2000808,220145729,,,,"[{""assetType"":""item"",""id"":11117303,""amount"":3},{""assetType"":""item"",""id"":11117297,""amount"":10}]"
2006102,10724076,,,,"[{""assetType"":""item"",""id"":11117303,""amount"":3},{""assetType"":""item"",""id"":11117297,""amount"":10}]"
2006102,13063004,,,,"[{""assetType"":""item"",""id"":11117303,""amount"":3},{""assetType"":""item"",""id"":11117297,""amount"":10}]"
2006102,3513023,,,,"[{""assetType"":""item"",""id"":11117303,""amount"":3},{""assetType"":""item"",""id"":11117297,""amount"":10}]"
2006102,3595937,,,,"[{""assetType"":""item"",""id"":11117303,""amount"":3},{""assetType"":""item"",""id"":11117297,""amount"":10}]"
2006102,3977558,,,,"[{""assetType"":""item"",""id"":11117303,""amount"":3},{""assetType"":""item"",""id"":11117297,""amount"":10}]"
2006102,3993456,,,,"[{""assetType"":""item"",""id"":11117303,""amount"":3},{""assetType"":""item"",""id"":11117297,""amount"":10}]"
2006102,4442310,,,,"[{""assetType"":""item"",""id"":11117303,""amount"":3},{""assetType"":""item"",""id"":11117297,""amount"":10}]"
2006102,4984657,,,,"[{""assetType"":""item"",""id"":11117303,""amount"":3},{""assetType"":""item"",""id"":11117297,""amount"":10}]"
2006102,5003925,,,,"[{""assetType"":""item"",""id"":11117303,""amount"":3},{""assetType"":""item"",""id"":11117297,""amount"":10}]"
2006102,5485659,,,,"[{""assetType"":""item"",""id"":11117303,""amount"":3},{""assetType"":""item"",""id"":11117297,""amount"":10}]"
2006102,5971370,,,,"[{""assetType"":""item"",""id"":11117303,""amount"":3},{""assetType"":""item"",""id"":11117297,""amount"":10}]"
2006102,5986546,,,,"[{""assetType"":""item"",""id"":11117303,""amount"":3},{""assetType"":""item"",""id"":11117297,""amount"":10}]"
2006102,6151149,,,,"[{""assetType"":""item"",""id"":11117303,""amount"":3},{""assetType"":""item"",""id"":11117297,""amount"":10}]"
2006102,62553613,,,,"[{""assetType"":""item"",""id"":11117303,""amount"":3},{""assetType"":""item"",""id"":11117297,""amount"":10}]"
2006102,6454041,,,,"[{""assetType"":""item"",""id"":11117303,""amount"":3},{""assetType"":""item"",""id"":11117297,""amount"":10}]"
2006102,7536707,,,,"[{""assetType"":""item"",""id"":11117303,""amount"":3},{""assetType"":""item"",""id"":11117297,""amount"":10}]"
2006102,7837058,,,,"[{""assetType"":""item"",""id"":11117303,""amount"":3},{""assetType"":""item"",""id"":11117297,""amount"":10}]"
2006402,11095281,,,,"[{""assetType"":""item"",""id"":11117303,""amount"":3},{""assetType"":""item"",""id"":11117297,""amount"":10}]"
2006402,3432326,,,,"[{""assetType"":""item"",""id"":11117303,""amount"":3},{""assetType"":""item"",""id"":11117297,""amount"":10}]"
2006402,3835444,,,,"[{""assetType"":""item"",""id"":11117303,""amount"":3},{""assetType"":""item"",""id"":11117297,""amount"":10}]"
2006402,6128945,,,,"[{""assetType"":""item"",""id"":11117303,""amount"":3},{""assetType"":""item"",""id"":11117297,""amount"":10}]"
2006402,6149384,,,,"[{""assetType"":""item"",""id"":11117303,""amount"":3},{""assetType"":""item"",""id"":11117297,""amount"":10}]"
2006402,7196041,,,,"[{""assetType"":""item"",""id"":11117303,""amount"":3},{""assetType"":""item"",""id"":11117297,""amount"":10}]"
2006402,7489386,,,,"[{""assetType"":""item"",""id"":11117303,""amount"":3},{""assetType"":""item"",""id"":11117297,""amount"":10}]"
2006402,8190086,,,,"[{""assetType"":""item"",""id"":11117303,""amount"":3},{""assetType"":""item"",""id"":11117297,""amount"":10}]"
2006402,8198074,,,,"[{""assetType"":""item"",""id"":11117303,""amount"":3},{""assetType"":""item"",""id"":11117297,""amount"":10}]"
2006502,2796424,,,,"[{""assetType"":""item"",""id"":11117303,""amount"":3},{""assetType"":""item"",""id"":11117297,""amount"":10}]"
2006502,2845298,,,,"[{""assetType"":""item"",""id"":11117303,""amount"":3},{""assetType"":""item"",""id"":11117297,""amount"":10}]"
2006502,2959905,,,,"[{""assetType"":""item"",""id"":11117303,""amount"":3},{""assetType"":""item"",""id"":11117297,""amount"":10}]"
2006502,2985676,,,,"[{""assetType"":""item"",""id"":11117303,""amount"":3},{""assetType"":""item"",""id"":11117297,""amount"":10}]"
2006502,3005757,,,,"[{""assetType"":""item"",""id"":11117303,""amount"":3},{""assetType"":""item"",""id"":11117297,""amount"":10}]"
2006502,3029048,,,,"[{""assetType"":""item"",""id"":11117303,""amount"":3},{""assetType"":""item"",""id"":11117297,""amount"":10}]"
2006502,3068897,,,,"[{""assetType"":""item"",""id"":11117303,""amount"":3},{""assetType"":""item"",""id"":11117297,""amount"":10}]"
2006502,4417230,,,,"[{""assetType"":""item"",""id"":11117303,""amount"":3},{""assetType"":""item"",""id"":11117297,""amount"":10}]"
2006502,4596249,,,,"[{""assetType"":""item"",""id"":11117303,""amount"":3},{""assetType"":""item"",""id"":11117297,""amount"":10}]"
2006502,4793309,,,,"[{""assetType"":""item"",""id"":11117303,""amount"":3},{""assetType"":""item"",""id"":11117297,""amount"":10}]"
2006502,4861422,,,,"[{""assetType"":""item"",""id"":11117303,""amount"":3},{""assetType"":""item"",""id"":11117297,""amount"":10}]"
2006502,5067374,,,,"[{""assetType"":""item"",""id"":11117303,""amount"":3},{""assetType"":""item"",""id"":11117297,""amount"":10}]"
2006502,5227772,,,,"[{""assetType"":""item"",""id"":11117303,""amount"":3},{""assetType"":""item"",""id"":11117297,""amount"":10}]"
2006702,3915443,,,,"[{""assetType"":""item"",""id"":11117303,""amount"":3},{""assetType"":""item"",""id"":11117297,""amount"":10}]"
2006702,4304786,,,,"[{""assetType"":""item"",""id"":11117303,""amount"":3},{""assetType"":""item"",""id"":11117297,""amount"":10}]"
2006702,4313324,,,,"[{""assetType"":""item"",""id"":11117303,""amount"":3},{""assetType"":""item"",""id"":11117297,""amount"":10}]"
2006702,4915991,,,,"[{""assetType"":""item"",""id"":11117303,""amount"":3},{""assetType"":""item"",""id"":11117297,""amount"":10}]"
2006702,7399506,,,,"[{""assetType"":""item"",""id"":11117303,""amount"":3},{""assetType"":""item"",""id"":11117297,""amount"":10}]"
2006702,8612335,,,,"[{""assetType"":""item"",""id"":11117303,""amount"":3},{""assetType"":""item"",""id"":11117297,""amount"":10}]"
2007202,18209125,,,,"[{""assetType"":""item"",""id"":11117303,""amount"":3},{""assetType"":""item"",""id"":11117297,""amount"":10}]"
2007202,19535546,,,,"[{""assetType"":""item"",""id"":11117303,""amount"":3},{""assetType"":""item"",""id"":11117297,""amount"":10}]"
2007202,22568975,,,,"[{""assetType"":""item"",""id"":11117303,""amount"":3},{""assetType"":""item"",""id"":11117297,""amount"":10}]"
2007202,22728403,,,,"[{""assetType"":""item"",""id"":11117303,""amount"":3},{""assetType"":""item"",""id"":11117297,""amount"":10}]"
2007202,23709193,,,,"[{""assetType"":""item"",""id"":11117303,""amount"":3},{""assetType"":""item"",""id"":11117297,""amount"":10}]"
2007202,24505327,,,,"[{""assetType"":""item"",""id"":11117303,""amount"":3},{""assetType"":""item"",""id"":11117297,""amount"":10}]"
2007202,2762768,,,,"[{""assetType"":""item"",""id"":11117303,""amount"":3},{""assetType"":""item"",""id"":11117297,""amount"":10}]"
2007202,39977184,,,,"[{""assetType"":""item"",""id"":11117303,""amount"":3},{""assetType"":""item"",""id"":11117297,""amount"":10}]"
2007202,5197394,,,,"[{""assetType"":""item"",""id"":11117303,""amount"":3},{""assetType"":""item"",""id"":11117297,""amount"":10}]"
2007202,5298070,,,,"[{""assetType"":""item"",""id"":11117303,""amount"":3},{""assetType"":""item"",""id"":11117297,""amount"":10}]"
2007202,5300589,,,,"[{""assetType"":""item"",""id"":11117303,""amount"":3},{""assetType"":""item"",""id"":11117297,""amount"":10}]"
