日期,服务器ID,玩家ID,变动数量,余额,来源,时间
2026-04-27,2043802,35164602,1,1,iap_pack,2026-04-27 11:47:02.978
2026-04-27,2079402,201541869,1,1,iap_pack,2026-04-27 11:41:41.359
2026-04-27,2077102,79782981,1,1,iap_pack,2026-04-27 09:22:53.777
2026-04-27,2006402,11074843,1,1,iap_pack,2026-04-27 04:39:35.703
2026-04-27,2041002,31952856,1,1,inner_iap_pack,2026-04-27 02:58:52.910
2026-04-26,2062602,66718790,1,1,inner_iap_pack,2026-04-26 23:36:25.944
2026-04-26,2051002,37925278,1,1,iap_pack,2026-04-26 22:10:04.386
2026-04-26,2077102,202863679,1,1,inner_iap_pack,2026-04-26 21:01:18.217
2026-04-26,2073702,73474771,1,1,inner_iap_pack,2026-04-26 20:58:42.883
2026-04-26,2058402,51791042,1,1,inner_iap_pack,2026-04-26 16:45:30.570
2026-04-26,2007202,7473273,1,1,inner_iap_pack,2026-04-26 15:31:50.035
2026-04-26,2041002,28501715,1,1,iap_pack,2026-04-26 15:02:49.876
2026-04-26,2078702,34512599,1,1,inner_iap_pack,2026-04-26 13:23:07.549
2026-04-26,2088302,213149047,1,1,iap_pack,2026-04-26 09:58:51.480
2026-04-26,2058402,55921654,1,1,inner_iap_pack,2026-04-26 09:04:59.115
2026-04-26,2041002,23984226,1,1,inner_iap_pack,2026-04-26 09:03:36.480
2026-04-26,2089202,213056175,1,1,iap_pack,2026-04-26 06:02:44.822
2026-04-25,2006702,7363968,1,1,iap_pack,2026-04-25 18:18:16.124
2026-04-25,2061402,58866450,1,1,inner_iap_pack,2026-04-25 13:21:22.945
2026-04-25,2023502,13173406,1,1,inner_iap_pack,2026-04-25 08:18:12.123
2026-04-25,2054002,45548775,1,1,inner_iap_pack,2026-04-25 07:17:59.321
2026-04-25,2055302,42321634,1,1,inner_iap_pack,2026-04-25 04:45:48.527
2026-04-24,2041002,35494962,1,1,inner_iap_pack,2026-04-24 23:42:42.483
2026-04-24,2018502,12735607,1,1,iap_pack,2026-04-24 20:18:49.235
2026-04-24,2012402,5517812,1,1,inner_iap_pack,2026-04-24 20:08:25.549
2026-04-24,2093102,221031529,1,1,inner_iap_pack,2026-04-24 17:46:23.854
2026-04-24,2054202,47842355,1,1,iap_pack,2026-04-24 12:24:17.372
2026-04-24,2062602,13083476,1,1,inner_iap_pack,2026-04-24 12:08:27.343
2026-04-24,2012302,8257034,1,1,iap_pack,2026-04-24 10:52:54.943
2026-04-24,2031402,24196485,1,1,inner_iap_pack,2026-04-24 10:24:35.746
2026-04-24,2088802,213378898,1,1,inner_iap_pack,2026-04-24 09:08:16.495
2026-04-24,2060302,65696708,1,1,inner_iap_pack,2026-04-24 08:52:59.863
2026-04-24,2026002,36607525,1,1,inner_iap_pack,2026-04-24 08:22:09.816
2026-04-24,2055302,47480486,1,1,iap_pack,2026-04-24 06:51:14.301
2026-04-24,2023502,13173590,1,1,iap_pack,2026-04-24 04:31:45.282
2026-04-24,2024702,18609775,1,1,iap_pack,2026-04-24 03:48:30.480
2026-04-24,2007202,19650940,1,1,inner_iap_pack,2026-04-24 02:57:29.384
