服务器 ID,玩家 ID,玩家信息,标题信息,附件资产信息,自定义
2043802,35164602,,,,"[{""assetType"":""item"",""id"":111111023,""amount"":1}]"
2079402,201541869,,,,"[{""assetType"":""item"",""id"":111111023,""amount"":1}]"
2077102,79782981,,,,"[{""assetType"":""item"",""id"":111111023,""amount"":1}]"
2006402,11074843,,,,"[{""assetType"":""item"",""id"":111111023,""amount"":1}]"
2041002,31952856,,,,"[{""assetType"":""item"",""id"":111111023,""amount"":1}]"
2062602,66718790,,,,"[{""assetType"":""item"",""id"":111111023,""amount"":1}]"
2051002,37925278,,,,"[{""assetType"":""item"",""id"":111111023,""amount"":1}]"
2077102,202863679,,,,"[{""assetType"":""item"",""id"":111111023,""amount"":1}]"
2073702,73474771,,,,"[{""assetType"":""item"",""id"":111111023,""amount"":1}]"
2058402,51791042,,,,"[{""assetType"":""item"",""id"":111111023,""amount"":1}]"
2007202,7473273,,,,"[{""assetType"":""item"",""id"":111111023,""amount"":1}]"
2041002,28501715,,,,"[{""assetType"":""item"",""id"":111111023,""amount"":1}]"
2078702,34512599,,,,"[{""assetType"":""item"",""id"":111111023,""amount"":1}]"
2088302,213149047,,,,"[{""assetType"":""item"",""id"":111111023,""amount"":1}]"
2058402,55921654,,,,"[{""assetType"":""item"",""id"":111111023,""amount"":1}]"
2041002,23984226,,,,"[{""assetType"":""item"",""id"":111111023,""amount"":1}]"
2089202,213056175,,,,"[{""assetType"":""item"",""id"":111111023,""amount"":1}]"
2006702,7363968,,,,"[{""assetType"":""item"",""id"":111111023,""amount"":1}]"
2061402,58866450,,,,"[{""assetType"":""item"",""id"":111111023,""amount"":1}]"
2023502,13173406,,,,"[{""assetType"":""item"",""id"":111111023,""amount"":1}]"
2054002,45548775,,,,"[{""assetType"":""item"",""id"":111111023,""amount"":1}]"
2055302,42321634,,,,"[{""assetType"":""item"",""id"":111111023,""amount"":1}]"
2041002,35494962,,,,"[{""assetType"":""item"",""id"":111111023,""amount"":1}]"
2018502,12735607,,,,"[{""assetType"":""item"",""id"":111111023,""amount"":1}]"
2012402,5517812,,,,"[{""assetType"":""item"",""id"":111111023,""amount"":1}]"
2093102,221031529,,,,"[{""assetType"":""item"",""id"":111111023,""amount"":1}]"
2054202,47842355,,,,"[{""assetType"":""item"",""id"":111111023,""amount"":1}]"
2062602,13083476,,,,"[{""assetType"":""item"",""id"":111111023,""amount"":1}]"
2012302,8257034,,,,"[{""assetType"":""item"",""id"":111111023,""amount"":1}]"
2031402,24196485,,,,"[{""assetType"":""item"",""id"":111111023,""amount"":1}]"
2088802,213378898,,,,"[{""assetType"":""item"",""id"":111111023,""amount"":1}]"
2060302,65696708,,,,"[{""assetType"":""item"",""id"":111111023,""amount"":1}]"
2026002,36607525,,,,"[{""assetType"":""item"",""id"":111111023,""amount"":1}]"
2055302,47480486,,,,"[{""assetType"":""item"",""id"":111111023,""amount"":1}]"
2023502,13173590,,,,"[{""assetType"":""item"",""id"":111111023,""amount"":1}]"
2024702,18609775,,,,"[{""assetType"":""item"",""id"":111111023,""amount"":1}]"
2007202,19650940,,,,"[{""assetType"":""item"",""id"":111111023,""amount"":1}]"
2039502,31564145,,,,"[{""assetType"":""item"",""id"":111111023,""amount"":1}]"
2041002,18528711,,,,"[{""assetType"":""item"",""id"":111111023,""amount"":1}]"
2025502,18163099,,,,"[{""assetType"":""item"",""id"":111111023,""amount"":1}]"
2007202,7182003,,,,"[{""assetType"":""item"",""id"":111111023,""amount"":1}]"
2030502,23829638,,,,"[{""assetType"":""item"",""id"":111111023,""amount"":1}]"
2052502,43780156,,,,"[{""assetType"":""item"",""id"":111111023,""amount"":1}]"
2047502,38095618,,,,"[{""assetType"":""item"",""id"":111111023,""amount"":1}]"
2037402,35627759,,,,"[{""assetType"":""item"",""id"":111111023,""amount"":1}]"
