服务器ID,玩家ID,消耗11112725数量
2020108,55531402,4592
2020108,63778994,2182
2020108,11534557,2090
2020208,43780156,1221
2021008,211904728,1103
2020608,6454041,722
2020908,202176747,680
2020608,44931151,645
2090002,215520292,645
2020808,80744637,575
2090402,216198135,472
2020108,16303419,445
2020908,82785902,414
2020408,38749156,390
2020108,19981811,373
2020608,24196485,369
2020408,14597583,345
2020408,22901682,338
2020808,85219672,301
2020608,42367164,280
2020708,24608076,270
2020108,35216582,265
2020108,8815955,260
2020608,38095618,260
2021108,43060407,255
2020708,13173590,251
2021108,37744135,251
2021008,211423534,245
2020208,17676293,245
2021108,7378760,245
2020708,23305159,238
2020708,21369105,236
2021108,26453322,229
2020408,38743885,218
2020208,11129004,213
2021108,63082603,206
2021108,13083476,203
2020108,8151531,201
2603302,124187554,200
2021008,210993055,200
2020408,22438308,190
2020408,63799212,190
2020108,32281739,186
2020408,71916001,177
2020208,12735607,169
2020108,35875544,168
2020208,17757619,163
2020408,299630,162
2020908,80758401,162
2021108,54937851,161
2020108,35936585,155
2020208,2968081,152
2020808,80312485,151
2021108,22435751,150
2020408,27777369,150
2020108,8673338,149
2606502,214679593,147
2020608,53950953,147
2021108,56305413,145
2020408,8257034,136
2021208,19338868,135
2021108,38319980,130
2020108,47200242,130
2020708,17655371,129
2020108,83456158,128
2021108,64771681,120
2020608,40671256,120
2020608,37311632,120
2020408,8883313,119
2020608,29972957,118
2021108,37279442,117
2020608,37784995,111
2020708,13186631,110
2020108,43953490,110
2020908,80491185,110
2021208,13540193,107
2020108,169859,104
2021108,56888148,103
2021108,58866450,101
2020408,21185947,100
2001408,218610415,100
2020808,83457219,100
2020608,8654000,100
2021108,59231397,100
2020608,38007973,100
2021108,12301610,96
2021108,12346315,96
2021008,218733227,95
2021008,209538568,94
2021208,53207534,92
2020708,13255167,91
2020608,50008487,90
2020808,82629288,90
2020108,29339355,90
2020708,50681822,87
2021208,13054661,86
2020608,48205250,85
2020608,46290546,85
2020608,42280415,85
2020108,33022488,85
2020208,40712395,81
2020608,42817421,80
2020108,16237920,80
2020608,73660558,80
2020708,16152700,78
2020808,77953241,77
2020808,203236673,77
2020708,7658111,77
2021108,19928862,76
2020208,17730425,76
2021108,25225869,75
2020808,79702191,75
2020608,7473273,75
2020108,8873732,75
2020108,46662749,75
2020808,81827083,72
2021108,7046415,71
2020108,11969620,70
2021008,206316838,70
2020108,37962654,69
2020908,78174244,68
2020208,19448494,67
2020608,67836518,67
2020708,48056970,66
2020608,7794408,66
2021108,61658100,65
2021108,13270858,65
2020908,80513657,65
2020108,43351980,64
2020208,8159597,64
2001408,218155358,63
2020608,59961124,62
2021208,13755035,62
2021108,65324859,61
2020408,23033741,60
2021008,213149047,60
2021108,37781144,60
2020708,5732467,60
2021108,9658942,60
2020608,50416621,60
2020808,81972838,59
2020108,58683447,57
2020608,73276609,56
2020108,48300940,55
2020408,51765158,54
2020408,26186173,53
2020108,17576281,53
2020608,40514320,53
2020708,23973385,53
2020408,28268584,52
2021108,14808266,51
2020408,8980498,51
2021108,20302898,51
2020108,120956657,51
2021108,9597825,50
