服务器ID,玩家ID,消耗11112725数量
2090402,216198135,4222
2020108,63778994,3971
2020108,55531402,3800
2020108,11534557,3057
2020908,202176747,2700
2020608,6454041,2513
2020808,80744637,2375
2606502,214679593,2360
2090002,215520292,2059
2021108,7378760,1238
2020608,24196485,1141
2020608,44931151,1110
2021008,211904728,1021
2020108,50494222,885
2001408,218155358,867
2020408,38749156,852
2021108,37744135,850
2020108,19981811,766
2020208,43780156,753
2021108,56667850,737
2020808,84490801,701
2020608,37311632,669
2020208,17412891,655
2020208,52436180,655
2020808,85219672,648
2021108,41618935,605
2020408,71916001,560
2020708,13173590,559
2021008,208769033,555
2020608,38095618,549
2089202,213078289,528
2020108,8815955,497
2020408,22901682,485
2020108,35216582,444
2020608,24524264,435
2020108,33022488,415
2020808,80312485,415
2020408,14597583,405
2021108,66019170,405
2020208,12735607,379
2021108,38319980,356
2021108,25225869,346
2020108,16303419,340
2092602,220365014,339
2020408,27777369,335
2020908,80496126,335
2020608,42367164,329
2090002,215468836,328
2020808,35549372,327
2021108,9658942,317
2092802,220553191,306
2020408,37925278,275
2092102,221086305,265
2020908,82785902,256
2091102,217397009,218
2020708,13186631,218
2020108,30122349,216
2020108,8673338,208
2020608,29972957,207
2020808,81827083,206
2020608,7473273,205
2021108,54937851,204
2020208,17757619,202
2021108,65661392,202
2603302,124187554,200
2020808,85532021,200
2089802,215212281,200
2020108,124010515,195
2020808,23865614,190
2020208,41008032,188
2088902,213710005,185
2021008,211423534,182
2021108,26453322,179
2020808,79023038,176
2020608,8654000,175
2021108,43060407,175
2020108,48300940,169
2020608,53950953,169
2020208,11129004,168
2062602,64442454,167
2020208,2968081,165
2020208,43694202,165
2089802,216143452,164
2020608,4200722,160
2020108,35875544,159
2021008,213149047,155
2020808,81093831,154
2090002,216595247,152
2092302,219626763,152
2020108,35936585,151
2020108,64019260,151
2020108,33904862,150
2092202,222452520,148
2038602,36380670,148
2020408,25599199,144
2021208,13054661,143
2021108,56305413,141
2020408,22438308,140
2020408,8883313,134
2021108,37279442,133
2020108,8151531,131
2020108,169859,131
2021108,58164604,130
2020108,37962654,128
2089202,213759320,128
2020708,5732467,126
2020808,83376996,125
2021108,56888148,125
2023502,17137448,124
2021208,13540193,122
2001408,218109905,120
2021108,67403237,115
2608202,220807674,115
2092802,220619734,108
