服务器ID,玩家ID,消耗11112725数量
2020108,63778994,2386
2020108,55531402,1943
2090402,216198135,1938
2020608,6454041,1561
2606502,214679593,1547
2020108,11534557,1510
2020908,202176747,1327
2020808,80744637,1056
2021108,7378760,1001
2090002,215520292,942
2021008,211904728,770
2020608,24196485,729
2020208,43780156,608
2020208,52436180,500
2020808,85219672,496
2020608,44931151,490
2001408,218155358,452
2021108,37744135,420
2020108,33022488,415
2021108,56667850,400
2020708,13173590,385
2020108,50494222,375
2021108,41618935,370
2020108,19981811,351
2020108,8815955,349
2020408,14597583,340
2020908,80496126,325
2020408,38749156,297
2020608,37311632,278
2020208,17412891,250
2020608,38095618,240
2092802,220553191,239
2021108,66019170,235
2020808,80312485,235
2020408,27777369,231
2020108,35216582,222
2089202,213078289,208
2021108,65661392,202
2020208,12735607,202
2603302,124187554,200
2020808,85532021,200
2020408,71916001,200
2020108,124010515,195
2020608,24524264,188
2021108,25225869,185
2090002,215468836,183
2088902,213710005,180
2020808,35549372,180
2020808,23865614,176
2021108,43060407,175
2020608,42367164,175
2021108,38319980,170
2020608,4200722,160
2092602,220365014,158
2020208,2968081,156
2021108,54937851,155
2089802,215212281,155
2020108,35936585,151
2020608,29972957,146
2092102,221086305,143
2020208,11129004,132
2038602,36380670,127
2020708,13186631,125
2021108,56888148,125
2091102,217397009,124
2021208,13540193,122
2020108,169859,121
2020208,41008032,116
2020108,48300940,115
2020808,84490801,115
2089802,216143452,115
2020608,7473273,115
2020108,8673338,112
2062602,64442454,106
2021008,213149047,105
2608202,220807674,105
2020908,82785902,105
2020808,80653261,105
2089202,213759320,105
2020108,8151531,104
2020108,30122349,101
2088902,213623183,100
2020608,24512843,100
2023502,17137448,100
2021008,210993055,100
2020408,22438308,95
2020108,33904862,95
2020408,22901682,95
2021108,26453322,93
2089802,215190739,90
2021108,12301610,88
2020608,37784995,85
2020608,50008487,85
2021008,208769033,85
2020108,43953490,85
2021208,13054661,84
2020108,33641525,83
2020608,53950953,80
2090002,216595247,80
2021008,218733227,79
2021108,56305413,78
2092202,222452520,78
2021008,211423534,76
2021008,208392743,73
2020108,37962654,73
2020808,81093831,73
2089802,215164277,72
2020108,35875544,70
2021108,74426538,70
2020208,43694202,70
2020208,26747971,70
2021108,13270858,69
2021108,61658100,68
2020608,38007973,65
2021208,4915991,65
2089802,215412086,64
2020108,30854386,63
2091302,217734820,62
2020108,54315742,62
2020108,34683790,61
2020808,79023038,61
2021108,9658942,60
2091302,217853892,59
2020408,8883313,56
2021108,55843654,56
2020608,22627293,56
2088802,213378898,55
2020608,73604891,55
2021008,208909340,55
2020808,84303672,55
2021108,12346315,55
2020808,82629288,54
2021008,209538568,53
2020708,26102531,52
2021108,66874900,51
2021108,14808266,51
2020408,299630,50
2021108,59231397,50
2020808,74493708,50
2021108,19013130,50
2020808,83940666,50
2020108,23563391,50
2020108,43351980,50
2020108,8574091,50
2038602,34362317,50
2021108,58790686,50
2020608,48194534,50
2021208,8763321,50
2020908,80758401,50
2077102,79757567,49
2021108,67391495,48
2020108,71532491,48
2020608,45715010,48
2020708,34840972,48
2020408,25599199,48
2020708,23973385,47
2092302,219796247,46
2020408,21431723,46
2020608,47842355,45
2020608,42724579,45
2020608,67835639,43
2092502,220148221,43
2020808,77953241,42
2020708,6084170,41
2030002,27009377,41
2020208,3074918,40
2092802,220619734,40
2092002,219021254,40
2021208,13603777,40
2020808,81827083,40
2021108,58164604,40
2021208,19338868,40
2020108,79620375,39
2020108,58683447,39
2020708,5732467,39
2021108,20302898,39
2020208,4861422,39
2020808,83376996,39
2020808,84957257,39
2020408,14735155,38
2020608,37250473,38
2020708,7651372,38
2020108,70971660,37
2020608,48352269,37
2092102,219378732,37
2020608,40671256,37
2018602,11494648,37
2020608,45629654,36
2020708,13255167,36
2092802,220856232,36
2020108,76395205,36
2091202,217585873,36
2006102,7536707,36
2020408,23033741,36
2020808,77112661,35
2001408,218109905,35
2020608,41910339,35
2020608,4472194,35
2020608,67836518,35
2092702,220484191,35
2020208,19448494,35
2021108,38980177,34
2092202,219535131,34
2020808,83676575,34
2020708,8688734,34
