服务器ID,玩家ID,道具ID,道具名称,获取数量
2001408,217904852,111110306,绿色保底卡包-复活节,1
2001408,217966708,111110306,绿色保底卡包-复活节,2
2001408,217966708,111110307,蓝色保底卡包-复活节,1
2001408,218749835,111110306,绿色保底卡包-复活节,1
2001408,218976887,111110306,绿色保底卡包-复活节,1
2001408,222519925,111110306,绿色保底卡包-复活节,3
2001408,222519925,111110307,蓝色保底卡包-复活节,1
2006102,212332453,111110307,蓝色保底卡包-复活节,1
2006102,4002538,111110306,绿色保底卡包-复活节,2
2006402,4037920,111110305,白色保底卡包-复活节,6
2006402,4037920,111110306,绿色保底卡包-复活节,12
2006402,4037920,111110307,蓝色保底卡包-复活节,8
2006402,4037920,111110308,紫色保底卡包-复活节,2
2006402,4037920,111110309,橙色保底卡包-复活节,2
2006402,7563384,111110306,绿色保底卡包-复活节,2
2006402,7563384,111110307,蓝色保底卡包-复活节,1
2006402,8017547,111110305,白色保底卡包-复活节,5
2006402,8017547,111110306,绿色保底卡包-复活节,3
2006402,8050958,111110306,绿色保底卡包-复活节,1
2006402,8050958,111110307,蓝色保底卡包-复活节,1
2006502,223111476,111110305,白色保底卡包-复活节,2
2006502,2966605,111110306,绿色保底卡包-复活节,1
2006502,4703514,111110307,蓝色保底卡包-复活节,1
2006502,4799734,111110307,蓝色保底卡包-复活节,1
2006702,4922166,111110305,白色保底卡包-复活节,1
2006702,4922166,111110306,绿色保底卡包-复活节,1
2006702,7287206,111110306,绿色保底卡包-复活节,2
2006702,7341810,111110305,白色保底卡包-复活节,1
2006702,7369321,111110305,白色保底卡包-复活节,2
2007202,174855,111110305,白色保底卡包-复活节,5
2007202,217443317,111110306,绿色保底卡包-复活节,2
2007202,217443317,111110307,蓝色保底卡包-复活节,1
2007202,22218647,111110305,白色保底卡包-复活节,3
2007202,22218647,111110306,绿色保底卡包-复活节,4
2007202,22218647,111110307,蓝色保底卡包-复活节,1
2007202,2586190,111110306,绿色保底卡包-复活节,4
2007202,2586190,111110307,蓝色保底卡包-复活节,1
2007202,2787512,111110306,绿色保底卡包-复活节,1
2007202,330394,111110306,绿色保底卡包-复活节,3
2007202,45250068,111110305,白色保底卡包-复活节,2
2007202,7156815,111110306,绿色保底卡包-复活节,1
2007202,7780621,111110305,白色保底卡包-复活节,1
2007202,8102855,111110306,绿色保底卡包-复活节,3
2007202,8142338,111110306,绿色保底卡包-复活节,2
2008502,5885697,111110305,白色保底卡包-复活节,1
2008502,6453689,111110305,白色保底卡包-复活节,5
2008502,6453689,111110306,绿色保底卡包-复活节,4
2008502,6453689,111110307,蓝色保底卡包-复活节,1
2008502,6484161,111110305,白色保底卡包-复活节,5
2008502,6484161,111110306,绿色保底卡包-复活节,4
2008502,6484161,111110307,蓝色保底卡包-复活节,1
2008502,8711862,111110306,绿色保底卡包-复活节,1
2010102,10002932,111110305,白色保底卡包-复活节,1
2010102,10502979,111110305,白色保底卡包-复活节,1
2010102,6953478,111110305,白色保底卡包-复活节,2
2010102,9461979,111110305,白色保底卡包-复活节,3
2010102,9480504,111110305,白色保底卡包-复活节,2
2010102,9490543,111110306,绿色保底卡包-复活节,3
2010108,213515987,111110305,白色保底卡包-复活节,1
2010108,213515987,111110306,绿色保底卡包-复活节,2
2010108,214014543,111110307,蓝色保底卡包-复活节,1
2010108,220289286,111110305,白色保底卡包-复活节,2
2010302,31731600,111110305,白色保底卡包-复活节,1
2010302,5977875,111110306,绿色保底卡包-复活节,1
2010302,9278306,111110305,白色保底卡包-复活节,2
2012102,8604639,111110306,绿色保底卡包-复活节,2
2012102,8731877,111110306,绿色保底卡包-复活节,1
2012102,8916741,111110306,绿色保底卡包-复活节,2
2012102,9814013,111110305,白色保底卡包-复活节,1
2012102,9819997,111110305,白色保底卡包-复活节,1
2012302,3198508,111110306,绿色保底卡包-复活节,1
2012302,3198508,111110307,蓝色保底卡包-复活节,1
2012302,7884187,111110305,白色保底卡包-复活节,4
2012402,16169848,111110306,绿色保底卡包-复活节,1
2012402,16169848,111110307,蓝色保底卡包-复活节,1
2012402,203144118,111110305,白色保底卡包-复活节,4
2012402,219167956,111110305,白色保底卡包-复活节,3
2012402,219167956,111110306,绿色保底卡包-复活节,1
2012402,3787878,111110307,蓝色保底卡包-复活节,1
2012402,5402087,111110306,绿色保底卡包-复活节,1
2012402,5402087,111110307,蓝色保底卡包-复活节,1
2012402,5568819,111110305,白色保底卡包-复活节,5
2012402,5568819,111110306,绿色保底卡包-复活节,4
2012402,5568819,111110307,蓝色保底卡包-复活节,1
2012402,57323078,111110305,白色保底卡包-复活节,3
2012402,57323078,111110306,绿色保底卡包-复活节,4
2012402,57323078,111110307,蓝色保底卡包-复活节,1
2012402,84823621,111110306,绿色保底卡包-复活节,2
2012402,9172727,111110305,白色保底卡包-复活节,2
2013402,7084445,111110306,绿色保底卡包-复活节,1
2013402,80485564,111110306,绿色保底卡包-复活节,1
2013402,80485564,111110307,蓝色保底卡包-复活节,1
2013402,9368232,111110306,绿色保底卡包-复活节,4
2013402,9368232,111110307,蓝色保底卡包-复活节,1
2013402,9557395,111110305,白色保底卡包-复活节,1
2013402,9594681,111110305,白色保底卡包-复活节,1
2013402,9611548,111110305,白色保底卡包-复活节,4
2013402,9611548,111110306,绿色保底卡包-复活节,15
2013402,9611548,111110307,蓝色保底卡包-复活节,9
2013402,9611548,111110308,紫色保底卡包-复活节,2
2013402,9611548,111110309,橙色保底卡包-复活节,1
2013602,10179841,111110306,绿色保底卡包-复活节,1
2013602,10185722,111110305,白色保底卡包-复活节,5
2013602,10185722,111110306,绿色保底卡包-复活节,4
