iap_id_num,full_iap_id,iap_name,price,buy_count,buyer_count,actual_charge_total,pay_price_total
2013501999,2013501999_normal,2026复活节-行军表情,4.99,1500,1500,468773,7485
2013505026,2013505026_normal,挖孔小游戏礼包,2.99,1388,1388,243709,4150
2013501506,2013501506_normal,25感恩节每日补给升级礼包,1.99,1100,1100,136648,2189
2013501508,2013501508_normal,25感恩节每日补给升级礼包,1.99,1038,1038,138719,2066
2013450100,2013450100_normal,异族大富翁集结礼包解锁,4.99,1013,1013,307829,5055
2013501507,2013501507_normal,25感恩节每日补给升级礼包,1.99,935,935,121594,1861
201390130,201390130_battle_pass,复活节初级通行证_2025,9.99,923,923,420929,6452
2013500830,2013500830_normal,节日大富翁,2.99,898,898,168290,2685
2013101244,2013101244_normal,2026复活节集结奖励解锁礼包,4.99,857,857,247896,4276
2013505027,2013505027_normal,挖孔小游戏礼包,4.99,849,849,226483,4237
2013501500,2013501500_battle_pass,挂机BP,9.99,678,678,443778,6773
2013450038,2013450038_normal,节日大富翁,1.99,676,676,85016,1345
2013510469,2013510469_normal,节日挖矿-砍价礼包-折扣5,1.99,613,613,63915,1220
2013230006,2013230006_metro_special,挖矿小游戏活动,2.99,608,608,89443,1818
2013450077,2013450077_normal,复活节彩蛋交换-锚点礼包,4.99,602,368,81488,1198
2013505000,2013505000_normal,挖孔小游戏礼包,0.99,549,300,36114,544
2013510995,2013510995_normal,2026复活节-行军特效,19.99,534,534,599226,10675
2013505010,2013505010_normal,挖孔小游戏礼包,1.99,516,516,66499,1027
2013510347,2013510347_normal,2025异族大富翁,1.99,459,459,56471,913
201390131,201390131_battle_pass,复活节高级通行证_2025,29.99,451,451,544403,9015
2013450086,2013450086_battle_pass,节日集卡册bp,9.99,437,437,265139,4366
2013505011,2013505011_normal,挖孔小游戏礼包,4.99,436,436,136926,2176
2013230308,2013230308_normal,挖矿小游戏活动,1.99,430,429,41376,856
2013501509,2013501509_normal,25感恩节每日补给升级礼包,1.99,407,407,58068,810
2013510479,2013510479_normal,,,375,375,93975,1871
2013510338,2013510338_normal,节日-异族大富翁存钱罐礼包,2.99,361,361,66598,1079
2013510383,2013510383_normal,异族大富翁每日礼包,4.99,353,353,107198,1761
2013510384,2013510384_normal,异族大富翁每日礼包,4.99,335,335,100019,1672
2013505012,2013505012_normal,挖孔小游戏礼包,9.99,329,329,203041,3287
2013510385,2013510385_normal,异族大富翁每日礼包,4.99,314,314,96830,1567
2013510387,2013510387_normal,异族大富翁每日礼包,4.99,307,307,94263,1532
2013510386,2013510386_normal,异族大富翁每日礼包,4.99,299,299,90769,1492
2013480009,2013480009_normal,情人节BP,4.99,275,275,78235,1372
2013450043,2013450043_normal,节日大富翁,4.99,265,265,89592,1322
2013360114,2013360114_random,万圣节小连锁随机礼包,2.99,263,263,42306,786
2013505013,2013505013_normal,挖孔小游戏礼包,19.99,257,257,340138,5137
2013450042,2013450042_normal,节日大富翁,9.99,248,247,156695,2478
2013505001,2013505001_normal,挖孔小游戏礼包,2.99,242,159,39600,724
2013450041,2013450041_normal,节日大富翁,19.99,232,232,263817,4638
201390133,201390133_battle_pass,对对碰,6.99,211,211,73211,1475
2013450044,2013450044_normal,节日大富翁,4.99,204,204,70091,1018
2013360115,2013360115_random,万圣节小连锁随机礼包,2.99,193,193,32678,577
2013450078,2013450078_normal,复活节彩蛋交换-锚点礼包,9.99,180,138,57683,898
2013100897,2013100897_normal,对对碰,4.99,178,178,42985,888
2013450045,2013450045_normal,节日大富翁,4.99,176,176,58832,878
2013560001,2013560001_scene,,,164,164,130395,1638
2013510528,2013510528_metro_normal,挖矿小游戏-卡包礼包-节日版本,4.99,158,77,47750,788
2013450046,2013450046_normal,节日大富翁,9.99,152,152,102946,1518
2013510357,2013510357_scene,2025异族大富翁,4.99,151,151,46931,753
2013560000,2013560000_scene,,,140,140,113351,1399
2013510360,2013510360_scene,2025异族大富翁,4.99,138,137,44284,689
2013505014,2013505014_normal,挖孔小游戏礼包,49.99,136,136,527524,6799
2013500355,2013500355_normal,限时抢购,9.99,136,136,176424,2719
2013480010,2013480010_normal,情人节BP,9.99,130,130,83257,1299
2013230309,2013230309_normal,挖矿小游戏活动,4.99,124,124,29597,619
2013510480,2013510480_normal,,,117,117,61608,1169
2013505016,2013505016_normal,挖孔小游戏礼包,99.99,115,115,858820,11499
2013360116,2013360116_random,万圣节小连锁随机礼包,4.99,115,115,33852,574
2013450047,2013450047_normal,节日大富翁,29.99,109,109,218003,3269
2013230108,2013230108_scene,挖矿小游戏,4.99,108,92,20508,539
2013510352,2013510352_normal,2025异族大富翁,4.99,104,104,32910,519
2013500354,2013500354_normal,限时抢购,4.99,104,103,67174,1039
2013505002,2013505002_normal,挖孔小游戏礼包,4.99,103,103,29476,514
2013500832,2013500832_normal,周年庆预购连锁_schema6,99.99,102,102,644629,10199
2013100898,2013100898_normal,对对碰,9.99,98,98,39384,979
2013101136,2013101136_normal,拓荒节2025新七日活动-付费礼包,4.99,98,98,27059,489
2013510350,2013510350_normal,2025异族大富翁,19.99,92,92,115764,1839
2013360117,2013360117_random,万圣节小连锁随机礼包,4.99,89,89,29869,444
2013510351,2013510351_normal,2025异族大富翁,9.99,86,86,54600,859
2013450079,2013450079_normal,复活节彩蛋交换-锚点礼包,19.99,86,65,39205,859
2013505028,2013505028_normal,挖孔小游戏礼包,99.99,85,85,585492,8499
2013505006,2013505006_normal,挖孔小游戏礼包,99.99,80,27,429121,7999
2013101137,2013101137_normal,拓荒节2025新七日活动-付费礼包,4.99,80,80,22903,399
2013510353,2013510353_normal,2025异族大富翁,4.99,77,77,26841,384
2013510339,2013510339_random,异族大富翁随机礼包,19.99,77,50,68826,1539
2013510361,2013510361_scene,2025异族大富翁,19.99,74,72,89224,1479
2013450082,2013450082_normal,节日大富翁组队礼包,9.99,72,68,37852,719
2013101140,2013101140_normal,拓荒节2025新七日活动-付费礼包,4.99,70,70,22847,349
2013505003,2013505003_normal,挖孔小游戏礼包,9.99,70,70,37055,699
2013101138,2013101138_normal,拓荒节2025新七日活动-付费礼包,4.99,70,70,19009,349
2013450050,2013450050_normal,节日大富翁,99.99,66,66,410191,6599
201390132,201390132_battle_pass,对对碰,2.99,64,64,7157,191
2013510354,2013510354_normal,2025异族大富翁,4.99,62,62,24903,309
2013500356,2013500356_normal,限时抢购,19.99,61,61,87401,1219
2013360118,2013360118_random,万圣节小连锁随机礼包,6.99,60,60,27956,419
2013101139,2013101139_normal,拓荒节2025新七日活动-付费礼包,4.99,60,60,19453,299
2013500359,2013500359_normal,限时抢购,99.99,58,58,381962,5799
2013510388,2013510388_normal,异族大富翁-体验卡礼包,19.99,57,57,67545,1139
2013450052,2013450052_normal,节日大富翁,99.99,55,55,359596,5499
2013450084,2013450084_normal,节日大富翁组队礼包,9.99,55,53,28991,549
2013500358,2013500358_normal,限时抢购,49.99,54,54,164898,2699
2013450083,2013450083_normal,节日大富翁组队礼包,9.99,51,47,30931,509
