服务器 ID,玩家 ID,玩家信息,标题信息,附件资产信息,自定义
2006102,3977558,,,,"[{""assetType"":""item"",""id"":11112091,""amount"":18}]"
2006102,3977558,,,,"[{""assetType"":""item"",""id"":11112498,""amount"":6}]"
2006102,3977558,,,,"[{""assetType"":""item"",""id"":111110264,""amount"":1}]"
2006102,4200722,,,,"[{""assetType"":""item"",""id"":11112091,""amount"":18}]"
2006102,4200722,,,,"[{""assetType"":""item"",""id"":11112498,""amount"":6}]"
2006102,4200722,,,,"[{""assetType"":""item"",""id"":111110264,""amount"":1}]"
2006102,52645449,,,,"[{""assetType"":""item"",""id"":11112091,""amount"":18}]"
2006102,52645449,,,,"[{""assetType"":""item"",""id"":11112498,""amount"":6}]"
2006102,52645449,,,,"[{""assetType"":""item"",""id"":111110264,""amount"":1}]"
2006102,6454041,,,,"[{""assetType"":""item"",""id"":11112091,""amount"":18}]"
2006102,6454041,,,,"[{""assetType"":""item"",""id"":11112498,""amount"":6}]"
2006102,6454041,,,,"[{""assetType"":""item"",""id"":111110264,""amount"":1}]"
2006102,8338915,,,,"[{""assetType"":""item"",""id"":11112091,""amount"":18}]"
2006102,8338915,,,,"[{""assetType"":""item"",""id"":11112498,""amount"":6}]"
2006102,8338915,,,,"[{""assetType"":""item"",""id"":111110264,""amount"":1}]"
2006402,11074843,,,,"[{""assetType"":""item"",""id"":11112091,""amount"":18}]"
2006402,11074843,,,,"[{""assetType"":""item"",""id"":11112498,""amount"":6}]"
2006402,11074843,,,,"[{""assetType"":""item"",""id"":111110264,""amount"":1}]"
2006402,11173023,,,,"[{""assetType"":""item"",""id"":11112091,""amount"":18}]"
2006402,11173023,,,,"[{""assetType"":""item"",""id"":11112498,""amount"":6}]"
2006402,11173023,,,,"[{""assetType"":""item"",""id"":111110264,""amount"":1}]"
2006402,3871154,,,,"[{""assetType"":""item"",""id"":11112091,""amount"":18}]"
2006402,3871154,,,,"[{""assetType"":""item"",""id"":11112498,""amount"":6}]"
2006402,3871154,,,,"[{""assetType"":""item"",""id"":111110264,""amount"":1}]"
2006402,4239086,,,,"[{""assetType"":""item"",""id"":11112091,""amount"":18}]"
2006402,4239086,,,,"[{""assetType"":""item"",""id"":11112498,""amount"":6}]"
2006402,4239086,,,,"[{""assetType"":""item"",""id"":111110264,""amount"":1}]"
2006402,7412544,,,,"[{""assetType"":""item"",""id"":11112091,""amount"":18}]"
2006402,7412544,,,,"[{""assetType"":""item"",""id"":11112498,""amount"":6}]"
2006402,7412544,,,,"[{""assetType"":""item"",""id"":111110264,""amount"":1}]"
2006402,7450591,,,,"[{""assetType"":""item"",""id"":11112091,""amount"":18}]"
2006402,7450591,,,,"[{""assetType"":""item"",""id"":11112498,""amount"":6}]"
2006402,7450591,,,,"[{""assetType"":""item"",""id"":111110264,""amount"":1}]"
2006402,8159597,,,,"[{""assetType"":""item"",""id"":11112091,""amount"":18}]"
2006402,8159597,,,,"[{""assetType"":""item"",""id"":11112498,""amount"":6}]"
2006402,8159597,,,,"[{""assetType"":""item"",""id"":111110264,""amount"":1}]"
2006502,2802036,,,,"[{""assetType"":""item"",""id"":11112091,""amount"":18}]"
2006502,2802036,,,,"[{""assetType"":""item"",""id"":11112498,""amount"":6}]"
2006502,2802036,,,,"[{""assetType"":""item"",""id"":111110264,""amount"":1}]"
2006502,2968081,,,,"[{""assetType"":""item"",""id"":11112091,""amount"":18}]"
2006502,2968081,,,,"[{""assetType"":""item"",""id"":11112498,""amount"":6}]"
2006502,2968081,,,,"[{""assetType"":""item"",""id"":111110264,""amount"":1}]"
2006502,4588369,,,,"[{""assetType"":""item"",""id"":11112091,""amount"":18}]"
2006502,4588369,,,,"[{""assetType"":""item"",""id"":11112498,""amount"":6}]"
2006502,4588369,,,,"[{""assetType"":""item"",""id"":111110264,""amount"":1}]"
2006502,4596249,,,,"[{""assetType"":""item"",""id"":11112091,""amount"":18}]"
2006502,4596249,,,,"[{""assetType"":""item"",""id"":11112498,""amount"":6}]"
2006502,4596249,,,,"[{""assetType"":""item"",""id"":111110264,""amount"":1}]"
2006502,4829598,,,,"[{""assetType"":""item"",""id"":11112091,""amount"":18}]"
2006502,4829598,,,,"[{""assetType"":""item"",""id"":11112498,""amount"":6}]"
2006502,4829598,,,,"[{""assetType"":""item"",""id"":111110264,""amount"":1}]"
2006502,4842836,,,,"[{""assetType"":""item"",""id"":11112091,""amount"":18}]"
2006502,4842836,,,,"[{""assetType"":""item"",""id"":11112498,""amount"":6}]"
2006502,4842836,,,,"[{""assetType"":""item"",""id"":111110264,""amount"":1}]"
2006502,5058136,,,,"[{""assetType"":""item"",""id"":11112091,""amount"":18}]"
2006502,5058136,,,,"[{""assetType"":""item"",""id"":11112498,""amount"":6}]"
2006502,5058136,,,,"[{""assetType"":""item"",""id"":111110264,""amount"":1}]"
2007202,1073511,,,,"[{""assetType"":""item"",""id"":11112091,""amount"":18}]"
2007202,1073511,,,,"[{""assetType"":""item"",""id"":11112498,""amount"":6}]"
2007202,1073511,,,,"[{""assetType"":""item"",""id"":111110264,""amount"":1}]"
2007202,22627293,,,,"[{""assetType"":""item"",""id"":11112091,""amount"":18}]"
2007202,22627293,,,,"[{""assetType"":""item"",""id"":11112498,""amount"":6}]"
2007202,22627293,,,,"[{""assetType"":""item"",""id"":111110264,""amount"":1}]"
