user_id,task_cnt,task_group
11001270,21,16-21
9500698,21,16-21
37775357,21,16-21
17398189,21,16-21
123555645,21,16-21
207807661,21,16-21
9806659,21,16-21
220753530,21,16-21
206129955,21,16-21
55821371,21,16-21
70725754,21,16-21
78466334,21,16-21
36259084,21,16-21
67942570,21,16-21
12370472,21,16-21
41317398,21,16-21
5181320,21,16-21
48132490,21,16-21
31219051,21,16-21
61063326,21,16-21
55921654,21,16-21
20302898,21,16-21
85400830,21,16-21
85123999,21,16-21
215424942,21,16-21
29985573,21,16-21
13270858,21,16-21
32974628,21,16-21
206635020,21,16-21
32308209,21,16-21
40606596,21,16-21
47478138,21,16-21
71979422,21,16-21
60749441,21,16-21
17067081,21,16-21
7460872,21,16-21
31611737,21,16-21
40560523,21,16-21
3428762,21,16-21
87033267,21,16-21
53766963,21,16-21
36360564,21,16-21
35936585,21,16-21
14983329,21,16-21
39338581,21,16-21
201515673,21,16-21
42817421,21,16-21
38934000,21,16-21
220796189,21,16-21
50309095,21,16-21
124094872,21,16-21
217110616,21,16-21
59596147,21,16-21
13649660,21,16-21
20391259,21,16-21
69442044,21,16-21
10790442,21,16-21
23514668,21,16-21
40812677,21,16-21
21887607,21,16-21
22582467,21,16-21
32234563,21,16-21
22166129,21,16-21
205002773,21,16-21
14884462,21,16-21
84810734,21,16-21
23936740,21,16-21
79159148,21,16-21
21515516,21,16-21
75251153,21,16-21
4759666,21,16-21
84744859,21,16-21
40247006,21,16-21
41848668,21,16-21
10523393,21,16-21
214972540,21,16-21
30984493,21,16-21
29144219,21,16-21
21980924,21,16-21
50003577,21,16-21
29749865,21,16-21
16412828,21,16-21
25252045,21,16-21
204626739,21,16-21
33400334,21,16-21
19338868,21,16-21
12210316,21,16-21
26265480,21,16-21
202060491,21,16-21
18778674,21,16-21
15175281,21,16-21
204206921,21,16-21
57301584,21,16-21
23563391,21,16-21
41265442,21,16-21
5710392,21,16-21
206452675,21,16-21
83788628,21,16-21
40591450,21,16-21
20302734,21,16-21
34545169,21,16-21
59762393,21,16-21
13333275,21,16-21
22911908,21,16-21
6242301,21,16-21
216039818,21,16-21
217947367,21,16-21
210075566,21,16-21
25721465,21,16-21
219007866,21,16-21
20520033,21,16-21
15366106,21,16-21
16349187,21,16-21
4394443,21,16-21
84710559,21,16-21
7541172,21,16-21
41785617,21,16-21
55465673,21,16-21
22641752,21,16-21
35231184,21,16-21
22096891,21,16-21
21862744,21,16-21
212873640,21,16-21
79815782,21,16-21
6439020,21,16-21
49629438,21,16-21
56810472,21,16-21
37198820,21,16-21
76604874,21,16-21
120571315,21,16-21
13325040,21,16-21
35887715,21,16-21
22769480,21,16-21
20360147,21,16-21
77962730,21,16-21
30034713,21,16-21
47645491,21,16-21
32002545,21,16-21
43717191,21,16-21
37597387,21,16-21
25188993,21,16-21
69194372,21,16-21
5227865,21,16-21
30124161,21,16-21
120907074,21,16-21
8359098,21,16-21
7045817,21,16-21
67919423,21,16-21
73416515,21,16-21
33511518,21,16-21
69703492,21,16-21
19301934,21,16-21
83667652,21,16-21
213665512,21,16-21
78191829,21,16-21
42738287,21,16-21
17484312,21,16-21
47189453,21,16-21
6910783,21,16-21
6137693,21,16-21
23053983,21,16-21
70188030,21,16-21
35830611,21,16-21
21824215,21,16-21
19444259,21,16-21
213470269,21,16-21
82814703,21,16-21
35906699,21,16-21
37272649,21,16-21
72258475,21,16-21
7769335,21,16-21
84713368,21,16-21
53035421,21,16-21
86252946,21,16-21
43485666,21,16-21
17524973,21,16-21
14605759,21,16-21
220133101,21,16-21
22592045,21,16-21
17253955,21,16-21
205379785,21,16-21
9692970,21,16-21
37784995,21,16-21
11182746,21,16-21
220673118,21,16-21
16732755,21,16-21
52385318,21,16-21
59115255,21,16-21
4501842,21,16-21
5765266,21,16-21
23315198,21,16-21
206495329,21,16-21
8821445,21,16-21
33024369,21,16-21
5514291,21,16-21
74000207,21,16-21
83951192,21,16-21
2860795,21,16-21
47877446,21,16-21
121289528,21,16-21
42023074,21,16-21
51127580,21,16-21
9453157,21,16-21
38521147,21,16-21
82726526,21,16-21
1191852,21,16-21
11377220,21,16-21
40851416,21,16-21
13797441,21,16-21
22568975,21,16-21
211904728,21,16-21
57828513,21,16-21
38163657,21,16-21
46272825,21,16-21
10666923,21,16-21
83319984,21,16-21
86024483,21,16-21
83451234,21,16-21
64543350,21,16-21
60825698,21,16-21
18369515,21,16-21
80595379,21,16-21
57503448,21,16-21
64960650,21,16-21
84290777,21,16-21
9888847,21,16-21
59239258,21,16-21
7886969,21,16-21
6821575,21,16-21
79022680,21,16-21
61658100,21,16-21
20644534,21,16-21
218645501,21,16-21
48205250,21,16-21
35494962,21,16-21
14210401,21,16-21
69867462,21,16-21
19682470,21,16-21
41790442,21,16-21
7647882,21,16-21
212692533,21,16-21
9428992,21,16-21
85200682,21,16-21
40108810,21,16-21
202725283,21,16-21
53995935,21,16-21
47842355,21,16-21
10241303,21,16-21
4915991,21,16-21
22517491,21,16-21
10624162,21,16-21
120402648,21,16-21
18449975,21,16-21
219898797,21,16-21
34839533,21,16-21
39479328,21,16-21
208032196,21,16-21
23918644,21,16-21
38938460,21,16-21
26328561,21,16-21
36486502,21,16-21
30344310,21,16-21
52621737,21,16-21
80572980,21,16-21
30679517,21,16-21
87988740,21,16-21
30219879,21,16-21
17629114,21,16-21
205775862,21,16-21
22835734,21,16-21
19603014,21,16-21
5971370,21,16-21
63894710,21,16-21
202509411,21,16-21
68977666,21,16-21
34765190,21,16-21
80703188,21,16-21
46533224,21,16-21
10339843,21,16-21
7432598,21,16-21
18661613,21,16-21
24542609,21,16-21
5565704,21,16-21
28165463,21,16-21
31568183,21,16-21
79904426,21,16-21
86263593,21,16-21
4447232,21,16-21
25376793,21,16-21
42746753,21,16-21
207050052,21,16-21
86833054,21,16-21
15138155,21,16-21
8158302,21,16-21
38237897,21,16-21
47518534,21,16-21
200492241,21,16-21
11296566,21,16-21
205892883,21,16-21
49708319,21,16-21
46728214,21,16-21
74759902,21,16-21
3222401,21,16-21
218662304,21,16-21
6989584,21,16-21
24512843,21,16-21
23243041,21,16-21
9131403,21,16-21
6382754,21,16-21
48891507,21,16-21
4061048,21,16-21
35833980,21,16-21
41669235,21,16-21
13123022,21,16-21
210290432,21,16-21
73638673,21,16-21
33103912,21,16-21
49786543,21,16-21
16371371,21,16-21
30594758,21,16-21
206762042,21,16-21
120860544,21,16-21
75109234,21,16-21
32144540,21,16-21
23267449,21,16-21
48444334,21,16-21
27853630,21,16-21
62313079,21,16-21
37973357,21,16-21
52739420,21,16-21
214023255,21,16-21
7394435,21,16-21
21603225,21,16-21
20294421,21,16-21
4158726,21,16-21
36877230,21,16-21
23849729,21,16-21
15124745,21,16-21
23127774,21,16-21
29043898,21,16-21
40761300,21,16-21
72542246,21,16-21
45739069,21,16-21
8638444,21,16-21
8253598,21,16-21
21513924,21,16-21
60826119,21,16-21
64659737,21,16-21
20725462,21,16-21
17829930,21,16-21
83891348,21,16-21
16181251,21,16-21
40912299,21,16-21
12070385,21,16-21
35168575,21,16-21
212357601,21,16-21
25069339,21,16-21
77075536,21,16-21
40136225,21,16-21
61997154,21,16-21
38321941,21,16-21
19096695,21,16-21
50457286,21,16-21
19463693,21,16-21
25599201,21,16-21
3012990,21,16-21
32297253,21,16-21
27733812,21,16-21
50827188,21,16-21
6598612,21,16-21
30479035,21,16-21
53038420,21,16-21
20540315,21,16-21
19254018,21,16-21
24936400,21,16-21
5330633,21,16-21
4811497,21,16-21
36529576,21,16-21
213382998,21,16-21
47569781,21,16-21
47420217,21,16-21
203724727,21,16-21
37250473,21,16-21
55747241,21,16-21
78628624,21,16-21
14467546,21,16-21
20153891,21,16-21
218991535,21,16-21
207033072,21,16-21
13527354,21,16-21
55063087,21,16-21
22073736,21,16-21
206322082,21,16-21
44979938,21,16-21
70062115,21,16-21
8854291,21,16-21
48263493,21,16-21
19355065,21,16-21
46174468,21,16-21
17593825,21,16-21
211361169,21,16-21
76995583,21,16-21
207378987,21,16-21
205308784,21,16-21
81417241,21,16-21
82118067,21,16-21
69203571,21,16-21
218990017,21,16-21
13943989,21,16-21
54971168,21,16-21
216526119,21,16-21
9657846,21,16-21
205162694,21,16-21
26238937,21,16-21
85312030,21,16-21
83940666,21,16-21
22982139,21,16-21
219430018,21,16-21
