服务器 ID,玩家 ID,玩家信息,标题信息,附件资产信息,自定义
2037402,34627750,,,,"[{""assetType"":""item"",""id"":11117402,""amount"":29}]"
2006402,6124490,,,,"[{""assetType"":""item"",""id"":11117402,""amount"":14}]"
2006502,4407911,,,,"[{""assetType"":""item"",""id"":11117402,""amount"":29}]"
2013602,9643670,,,,"[{""assetType"":""item"",""id"":11117402,""amount"":14}]"
2018602,14488113,,,,"[{""assetType"":""item"",""id"":11117402,""amount"":4}]"
2018602,17673321,,,,"[{""assetType"":""item"",""id"":11117402,""amount"":29}]"
2018602,12498936,,,,"[{""assetType"":""item"",""id"":11117402,""amount"":14}]"
2022002,16213463,,,,"[{""assetType"":""item"",""id"":11117402,""amount"":14}]"
2022002,16506490,,,,"[{""assetType"":""item"",""id"":11117402,""amount"":29}]"
2022002,14614719,,,,"[{""assetType"":""item"",""id"":11117402,""amount"":14}]"
2024502,22628917,,,,"[{""assetType"":""item"",""id"":11117402,""amount"":14}]"
2024502,17392012,,,,"[{""assetType"":""item"",""id"":11117402,""amount"":25}]"
2024502,19454327,,,,"[{""assetType"":""item"",""id"":11117402,""amount"":15}]"
2024502,19600077,,,,"[{""assetType"":""item"",""id"":11117402,""amount"":29}]"
2024502,17680915,,,,"[{""assetType"":""item"",""id"":11117402,""amount"":29}]"
2024502,18322119,,,,"[{""assetType"":""item"",""id"":11117402,""amount"":29}]"
2024502,22539562,,,,"[{""assetType"":""item"",""id"":11117402,""amount"":4}]"
2024502,17390838,,,,"[{""assetType"":""item"",""id"":11117402,""amount"":14}]"
2024502,23171811,,,,"[{""assetType"":""item"",""id"":11117402,""amount"":14}]"
2024502,19721325,,,,"[{""assetType"":""item"",""id"":11117402,""amount"":14}]"
2024702,21447831,,,,"[{""assetType"":""item"",""id"":11117402,""amount"":10}]"
2024702,18580605,,,,"[{""assetType"":""item"",""id"":11117402,""amount"":29}]"
2024702,18570546,,,,"[{""assetType"":""item"",""id"":11117402,""amount"":14}]"
2024702,18580605,,,,"[{""assetType"":""item"",""id"":11117402,""amount"":15}]"
2024702,18480221,,,,"[{""assetType"":""item"",""id"":11117402,""amount"":14}]"
2033202,24868058,,,,"[{""assetType"":""item"",""id"":11117402,""amount"":29}]"
2050502,39828626,,,,"[{""assetType"":""item"",""id"":11117402,""amount"":29}]"
2052502,42556470,,,,"[{""assetType"":""item"",""id"":11117402,""amount"":4}]"
2052502,43557374,,,,"[{""assetType"":""item"",""id"":11117402,""amount"":29}]"
2052502,42926142,,,,"[{""assetType"":""item"",""id"":11117402,""amount"":14}]"
2052502,43655670,,,,"[{""assetType"":""item"",""id"":11117402,""amount"":29}]"
2013602,9435357,,,,"[{""assetType"":""item"",""id"":11117402,""amount"":29}]"
2018502,17864318,,,,"[{""assetType"":""item"",""id"":11117402,""amount"":14}]"
2018602,11493440,,,,"[{""assetType"":""item"",""id"":11117402,""amount"":29}]"
2024502,18234799,,,,"[{""assetType"":""item"",""id"":11117402,""amount"":29}]"
2024702,20722504,,,,"[{""assetType"":""item"",""id"":11117402,""amount"":29}]"
2050502,37342330,,,,"[{""assetType"":""item"",""id"":11117402,""amount"":14}]"
2052502,44745855,,,,"[{""assetType"":""item"",""id"":11117402,""amount"":14}]"
2091302,217737747,,,,"[{""assetType"":""item"",""id"":11117402,""amount"":10}]"
2001408,218903908,,,,"[{""assetType"":""item"",""id"":11117402,""amount"":29}]"
2006102,4518794,,,,"[{""assetType"":""item"",""id"":11117402,""amount"":10}]"
2006702,4301088,,,,"[{""assetType"":""item"",""id"":11117402,""amount"":10}]"
2007202,5307260,,,,"[{""assetType"":""item"",""id"":11117402,""amount"":14}]"
2008502,5736251,,,,"[{""assetType"":""item"",""id"":11117402,""amount"":4}]"
2008502,5862327,,,,"[{""assetType"":""item"",""id"":11117402,""amount"":4}]"
2008502,5673671,,,,"[{""assetType"":""item"",""id"":11117402,""amount"":29}]"
2010102,7668124,,,,"[{""assetType"":""item"",""id"":11117402,""amount"":28}]"
2010302,9156507,,,,"[{""assetType"":""item"",""id"":11117402,""amount"":10}]"
2010302,9271340,,,,"[{""assetType"":""item"",""id"":11117402,""amount"":29}]"
2010302,9162646,,,,"[{""assetType"":""item"",""id"":11117402,""amount"":4}]"
2012302,9000939,,,,"[{""assetType"":""item"",""id"":11117402,""amount"":14}]"
2012302,9037759,,,,"[{""assetType"":""item"",""id"":11117402,""amount"":29}]"
2012402,3565461,,,,"[{""assetType"":""item"",""id"":11117402,""amount"":29}]"
2012402,5430097,,,,"[{""assetType"":""item"",""id"":11117402,""amount"":29}]"
2012402,8937243,,,,"[{""assetType"":""item"",""id"":11117402,""amount"":14}]"
2013402,10071274,,,,"[{""assetType"":""item"",""id"":11117402,""amount"":29}]"
2013402,8327556,,,,"[{""assetType"":""item"",""id"":11117402,""amount"":14}]"
2013402,9557395,,,,"[{""assetType"":""item"",""id"":11117402,""amount"":7}]"
2013402,10085104,,,,"[{""assetType"":""item"",""id"":11117402,""amount"":14}]"
2013402,10069996,,,,"[{""assetType"":""item"",""id"":11117402,""amount"":29}]"
2014502,10233130,,,,"[{""assetType"":""item"",""id"":11117402,""amount"":29}]"
2015702,14911843,,,,"[{""assetType"":""item"",""id"":11117402,""amount"":29}]"
2015702,14101623,,,,"[{""assetType"":""item"",""id"":11117402,""amount"":4}]"
2016902,12209582,,,,"[{""assetType"":""item"",""id"":11117402,""amount"":29}]"
2016902,11344811,,,,"[{""assetType"":""item"",""id"":11117402,""amount"":4}]"
2017802,14679869,,,,"[{""assetType"":""item"",""id"":11117402,""amount"":29}]"
2018202,12609680,,,,"[{""assetType"":""item"",""id"":11117402,""amount"":10}]"
2018202,12321169,,,,"[{""assetType"":""item"",""id"":11117402,""amount"":10}]"
2018602,14433089,,,,"[{""assetType"":""item"",""id"":11117402,""amount"":14}]"
2020108,73030486,,,,"[{""assetType"":""item"",""id"":11117402,""amount"":4}]"
2020408,38613945,,,,"[{""assetType"":""item"",""id"":11117402,""amount"":4}]"
2020608,26125860,,,,"[{""assetType"":""item"",""id"":11117402,""amount"":11}]"
2020808,76730242,,,,"[{""assetType"":""item"",""id"":11117402,""amount"":10}]"
2020808,82350476,,,,"[{""assetType"":""item"",""id"":11117402,""amount"":10}]"
2020908,205166332,,,,"[{""assetType"":""item"",""id"":11117402,""amount"":10}]"
