服务器ID,玩家ID,礼包ID,支付金额,代币数量,购买时间
2077702,202018922,ape_4999_cd_oap_month2,49.99,5000.0,2026-04-15 00:04:43.262
2077702,202018922,ape_1999_cd_oap2,19.99,2100.0,2026-04-15 00:05:01.612
2077702,202018922,ape_0999_cd_oap2,9.99,1050.0,2026-04-15 00:05:18.355
2007202,24006343,ape_9999_cd_oap2,99.99,10500.0,2026-04-15 00:08:03.388
2012402,9125892,ape_0999_cd_oap2,9.99,1050.0,2026-04-15 00:08:08.016
2062602,65916752,ape_1999_cd_oap2,19.99,2100.0,2026-04-15 00:09:05.079
2062602,14808266,ape_9999_cd_oap2,99.99,10500.0,2026-04-15 00:09:51.263
2006402,11113666,ape_0999_cd_oap2,9.99,1050.0,2026-04-15 00:10:36.900
2090802,217110616,ape_9999_cd_oap2,99.99,10500.0,2026-04-15 00:11:14.383
2026002,20222125,ape_1999_cd_oap2,19.99,2100.0,2026-04-15 00:14:27.638
2079302,86833054,ape_1999_cd_oap2,19.99,2100.0,2026-04-15 00:20:29.892
2041002,33022488,ape_9999_cd_oap2,99.99,10500.0,2026-04-15 00:30:41.628
2022002,14975520,ape_1999_cd_oap2,19.99,2100.0,2026-04-15 00:38:39.981
2056102,48669632,ape_4999_cd_oap2,49.99,5250.0,2026-04-15 00:49:43.555
2032002,28268584,ape_4999_cd_oap2,49.99,5250.0,2026-04-15 00:49:58.641
2600602,120844941,ape_0999_cd_oap2_cn,9.99,1050.0,2026-04-15 00:53:25.483
2012402,5568819,ape_0999_cd_oap2,9.99,1050.0,2026-04-15 00:56:26.164
2077102,82629288,ape_19999_cd_oap2,199.99,21000.0,2026-04-15 01:01:25.519
2060902,59961124,ape_19999_cd_oap2,199.99,21000.0,2026-04-15 01:06:39.568
2079302,88691934,ape_1999_cd_oap2,19.99,2100.0,2026-04-15 01:07:33.660
2041002,32624088,ape_1999_cd_oap2,19.99,2100.0,2026-04-15 01:12:25.698
2018602,19846321,ape_1999_cd_oap2,19.99,2100.0,2026-04-15 01:14:16.938
2052502,43788487,ape_1999_cd_oap2,19.99,2100.0,2026-04-15 01:18:09.228
2060302,57045506,ape_0999_cd_oap2,9.99,1050.0,2026-04-15 01:18:42.385
2006102,3956815,ape_4999_cd_oap2,49.99,5250.0,2026-04-15 01:19:08.941
2016902,13368196,ape_1999_cd_oap2,19.99,2100.0,2026-04-15 01:19:26.696
2061402,58993301,ape_1999_cd_oap2,19.99,2100.0,2026-04-15 01:21:25.728
2016902,13368196,ape_1999_cd_oap2,19.99,2100.0,2026-04-15 01:21:26.912
2013402,9570697,ape_4999_cd_oap2,49.99,5250.0,2026-04-15 01:22:39.457
2010108,213565997,ape_4999_cd_oap2,49.99,5250.0,2026-04-15 01:24:19.195
2028602,19943798,ape_4999_cd_oap2,49.99,5250.0,2026-04-15 01:28:39.224
2604402,205775862,ape_0999_cd_oap2_cn,9.99,1050.0,2026-04-15 01:32:19.448
2037402,35627759,ape_99999_cd_oap2,999.99,105000.0,2026-04-15 01:37:44.028
2079102,14422450,ape_0999_cd_oap2,9.99,1050.0,2026-04-15 01:40:38.531
2041002,31880617,ape_4999_cd_oap2,49.99,5250.0,2026-04-15 01:41:50.347
2028602,15772239,ape_0999_cd_oap2,9.99,1050.0,2026-04-15 01:50:16.241
2077002,200190855,ape_1999_cd_oap2,19.99,2100.0,2026-04-15 01:52:10.539
2077102,80050101,ape_0999_cd_oap2,9.99,1050.0,2026-04-15 01:56:39.774
2077102,202943605,ape_49999_cd_oap2,499.99,52500.0,2026-04-15 02:01:14.468
2094502,223152591,ape_1999_cd_oap2,19.99,2100.0,2026-04-15 02:15:06.004
2006402,7269873,ape_9999_cd_oap2,99.99,10500.0,2026-04-15 02:16:49.132
2016902,5819504,ape_1999_cd_oap2,19.99,2100.0,2026-04-15 02:17:56.727
2084102,205159799,ape_0999_cd_oap2,9.99,1050.0,2026-04-15 02:18:01.770
2051302,49040177,ape_1999_cd_oap2,19.99,2100.0,2026-04-15 02:18:03.187
2033902,26299144,ape_1999_cd_oap2,19.99,2100.0,2026-04-15 02:18:36.570
2055302,42280415,ape_9999_cd_oap2,99.99,10500.0,2026-04-15 02:21:55.920
2058302,51762046,ape_1999_cd_oap2,19.99,2100.0,2026-04-15 02:22:39.790
2006102,8302676,ape_4999_cd_oap2,49.99,5250.0,2026-04-15 02:23:48.886
2006102,8302676,ape_1999_cd_oap2,19.99,2100.0,2026-04-15 02:24:01.976
2093102,221031529,ape_1999_cd_oap2,19.99,2100.0,2026-04-15 02:26:51.666
2025502,20922229,ape_0999_cd_oap2,9.99,1050.0,2026-04-15 02:30:07.378
2018202,36779265,ape_0999_cd_oap2,9.99,1050.0,2026-04-15 02:30:52.251
2037402,35627759,ape_19999_cd_oap2,199.99,21000.0,2026-04-15 02:31:31.037
2029902,22979091,ape_9999_cd_oap2,99.99,10500.0,2026-04-15 02:34:14.763
2056102,48669632,ape_1999_cd_oap2,19.99,2100.0,2026-04-15 02:34:39.114
2094802,223407952,ape_1999_cd_oap2,19.99,2100.0,2026-04-15 02:36:25.151
2058802,49930221,ape_1999_cd_oap2,19.99,2100.0,2026-04-15 02:37:43.373
2058402,47584026,ape_0999_cd_oap2,9.99,1050.0,2026-04-15 02:40:12.581
2058302,51762046,ape_0999_cd_oap2,9.99,1050.0,2026-04-15 02:40:16.635
2024402,20795899,ape_9999_cd_oap2,99.99,10500.0,2026-04-15 02:42:56.667
2032002,7886969,ape_0999_cd_oap2,9.99,1050.0,2026-04-15 02:44:54.292
2015702,15854387,ape_0999_cd_oap2,9.99,1050.0,2026-04-15 02:46:12.433
2058302,50457286,ape_1999_cd_oap2,19.99,2100.0,2026-04-15 02:46:48.076
2060302,66093330,ape_0999_cd_oap2,9.99,1050.0,2026-04-15 02:48:33.559
2077002,202060491,ape_0999_cd_oap2,9.99,1050.0,2026-04-15 02:50:11.618
2058802,45243473,ape_0999_cd_oap2,9.99,1050.0,2026-04-15 02:52:21.731
2025502,20922229,ape_1999_cd_oap2,19.99,2100.0,2026-04-15 03:00:10.423
2095002,223637523,ape_1999_cd_oap2,19.99,2100.0,2026-04-15 03:02:40.414
2079302,86833054,ape_1999_cd_oap2,19.99,2100.0,2026-04-15 03:04:54.039
2007202,23709193,ape_4999_cd_oap2,49.99,5250.0,2026-04-15 03:05:38.248
2058302,51762046,ape_4999_cd_oap2,49.99,5250.0,2026-04-15 03:06:41.507
2000808,219012183,ape_19999_cd_oap2,199.99,21000.0,2026-04-15 03:07:05.857
2024702,19987206,ape_0999_cd_oap2,9.99,1050.0,2026-04-15 03:07:56.296
2093202,221282881,ape_0999_cd_oap2,9.99,1050.0,2026-04-15 03:13:17.731
2054202,47084081,ape_4999_cd_oap2,49.99,5250.0,2026-04-15 03:14:33.063
2044602,36570673,ape_1999_cd_oap2,19.99,2100.0,2026-04-15 03:15:06.556
2086302,208392743,ape_9999_cd_oap2,99.99,10500.0,2026-04-15 03:15:33.133
2091102,217397009,ape_4999_cd_oap2,49.99,5250.0,2026-04-15 03:15:53.162
2054202,47084081,ape_4999_cd_oap2,49.99,5250.0,2026-04-15 03:19:16.835
2054202,47084081,ape_0999_cd_oap2,9.99,1050.0,2026-04-15 03:21:26.859
2058302,51762046,ape_9999_cd_oap2,99.99,10500.0,2026-04-15 03:21:33.279
2028602,15655945,ape_1999_cd_oap2,19.99,2100.0,2026-04-15 03:24:15.824
2075802,79295807,ape_9999_cd_oap2,99.99,10500.0,2026-04-15 03:24:21.863
2024402,18118245,ape_1999_cd_oap2,19.99,2100.0,2026-04-15 03:24:26.991
2044602,36570673,ape_0999_cd_oap2,9.99,1050.0,2026-04-15 03:25:08.182
2058302,51762046,ape_1999_cd_oap2,19.99,2100.0,2026-04-15 03:25:48.281
2007202,23709193,ape_1999_cd_oap2,19.99,2100.0,2026-04-15 03:32:35.139
2041002,13918668,ape_1999_cd_oap2,19.99,2100.0,2026-04-15 03:35:02.516
2041002,23520982,ape_9999_cd_oap2,99.99,10500.0,2026-04-15 03:35:17.626
2091102,217403862,ape_0999_cd_oap2,9.99,1050.0,2026-04-15 03:35:44.116
2037402,24952300,ape_9999_cd_oap2,99.99,10500.0,2026-04-15 03:35:53.883
2055802,48891507,ape_1999_cd_oap2,19.99,2100.0,2026-04-15 03:37:21.360
2058302,51762046,ape_4999_cd_oap2,49.99,5250.0,2026-04-15 03:37:37.060
