user_id,max_activity_score
10002932,26750
10043219,8000
10056110,1250
10057595,1250
10065420,20250
10087146,6250
10111699,36500
10214923,13000
10217197,750
10221651,500
10241303,3750
10249527,5750
10270169,62500
10339843,10000
10354535,1250
10421505,61750
10423260,750
10473870,64250
10585870,151000
10597059,7500
10648389,14000
10666923,5750
10724076,2000
1073511,92500
10747564,35250
10765425,3250
10790442,3250
10845039,27250
10852862,1750
10855709,67250
10856314,3750
10866326,1250
10878467,120250
10900179,11750
10927136,9750
10955629,2000
11001270,17250
11040745,1250
11045180,1000
11050556,7250
11074843,106250
11077109,1500
11092474,1250
11096634,14500
11103492,750
11106826,13500
11113666,5250
11121243,11250
11129004,8250
11139491,13500
11167941,13750
11173023,21000
11187183,3250
11198746,250
11225640,34500
11250492,5000
11254755,1250
11255957,4500
11268607,1250
11290511,26000
11296566,3500
11348955,1250
11362043,9250
11380910,13750
11386897,26500
11435094,2500
11438223,6750
11450019,5750
11469430,67250
11534557,504750
11595623,1250
11612016,14750
11665893,42250
11683847,19000
11698212,95750
11698989,3500
11708724,103750
11714656,750
11773721,2750
11787396,6000
11828839,1500
11835901,750
11847756,1250
11850322,15000
11854728,2000
11929446,500
11930273,25000
11969620,2500
120045477,1250
12006488,1250
120137150,1250
120161545,30750
120178119,23250
120211762,10000
120275407,2250
120308116,2000
120353759,17500
120354088,12500
120375304,4250
120402648,1500
120455354,10000
12051616,2500
120542175,500
120552916,25000
120645004,5250
120740476,2500
120754209,1750
120835995,1750
120844941,6250
120863822,500
120907074,500
120907186,1250
120911256,500
120928636,2000
120947546,500
120956657,41000
120959041,500
121001046,25000
121144107,500
12122284,54250
121225267,500
121266996,3750
121268589,13500
121289528,8250
12135801,28000
121412293,1750
12143109,48000
12146857,19000
12151472,160500
12153300,750
121534546,1500
121676652,750
12170808,10000
12193779,3000
12196847,77500
12201820,2500
12210316,39250
122211476,5500
122220431,1500
122290138,1500
12231841,1750
122336233,1250
12243986,14750
12259144,17250
12265633,1000
12270647,4000
122712877,500
12284045,15500
12303500,18250
123245731,21500
