服务器ID,玩家ID,事件次数
2020108,55531402,4225
2020208,43780156,3475
2020108,11534557,1498
2021108,26453322,1459
2020108,63778994,1256
2020808,23865614,1161
2020208,17676293,850
2020408,22901682,831
2020408,38749156,773
2020908,80491185,714
2020108,30122349,713
2020408,63799212,679
2020108,48300940,567
2020808,85219672,556
2020108,16303419,552
2021108,7378760,515
2021008,211904728,511
2001408,218155358,506
2021108,19535546,489
2020908,82785902,470
2020108,47200242,461
2020608,7473273,449
2020808,80744637,441
2020608,8295861,429
2021108,58987288,423
2020108,35875544,416
2020908,202176747,412
2021108,25225869,394
2020608,48205250,376
2020608,42367164,363
2021008,211423534,319
2021108,38319980,301
2020108,31952856,300
2020108,8151531,297
2020808,84957257,295
2021108,22023288,294
2020608,44931151,290
2020608,37311632,285
2021108,59231397,281
2020808,80312485,281
2020408,22438308,266
2020408,26072040,263
2020608,40671256,263
2020908,80758401,262
2020108,120956657,262
2020608,59961124,256
2021108,64771681,256
2020108,19981811,252
2020408,71916001,248
2021108,66718790,248
2021208,7568871,246
2020208,2968081,239
2020208,11129004,234
2090402,216198135,231
2020108,35216582,230
2020608,37784995,229
2020808,81856946,227
2021108,13083476,221
2020708,24608076,220
2020608,8654000,219
2020408,299630,218
2020808,83319984,218
2020208,49825474,211
2020808,82629288,209
2020608,38893932,208
2021108,7046415,207
2020108,8815955,205
2020108,70971660,202
2020608,45715010,201
2020808,79782981,201
2021108,56305413,198
2020708,9511124,197
2020108,8673338,197
2020608,53950953,193
2020608,73588812,192
2020808,35549372,190
2021108,22435751,187
2020408,8883313,187
2090002,215520292,183
2020708,23245080,180
2020108,50494222,180
2021008,208392743,177
2020908,78119608,167
2021108,20302898,167
2020708,23305159,166
2020608,24196485,165
2606502,214679593,164
2020608,22627293,162
2020608,29972957,162
2020708,13173590,162
2020608,6454041,160
2021108,63082603,156
2021008,209131868,155
2020608,67836518,154
2020108,44510856,154
2020208,41093570,151
2021208,53207534,151
2020708,16152700,150
2021108,12301610,148
2020608,40514320,147
2020208,52436180,146
2020608,38095618,145
2020108,46662749,145
2020108,49831730,142
2020908,205211705,139
2020208,40712395,139
2020708,17655371,138
2020208,17412891,137
2021008,208910409,136
2020808,80141190,130
2020708,36422175,129
2020808,83457219,129
2020608,70142578,129
2020808,77953241,128
2020908,79480736,128
2020408,38743885,127
2020108,31050334,127
2020608,9126115,127
2021008,210993055,125
2021108,57366251,125
2021108,58261482,123
2021108,13270858,121
2020108,169859,120
2021108,37744135,119
2021008,209538568,119
2020108,37962654,118
2020108,55921654,117
2020108,17576281,116
2020608,73660558,115
2020108,8873732,113
2020808,200004383,113
2020708,23829638,112
2020108,31776438,112
2021108,12346315,112
2020108,29339355,112
2020208,4829598,111
2020108,31692115,110
2020708,48056970,109
2020208,11074843,109
2020208,4239086,109
2020208,9442327,107
2020408,27777369,107
2020808,79751925,105
2020808,83376996,102
2020208,12735607,101
2021108,67260187,100
2021108,37781144,100
2020108,62784017,99
2020208,41008032,97
2020608,4980186,97
2020708,23973385,96
2021108,37279442,96
2020108,28916716,96
2020408,7879896,96
2020108,32002545,94
2020708,23353445,93
2020108,32281739,93
2021008,206872234,93
2020608,36439403,91
2021008,218733227,90
2020708,13186631,89
2020408,21271458,89
2021208,13540193,89
2020408,49616690,88
2020808,80263555,88
2020108,75730356,88
2021108,62439790,88
2020808,81093831,87
2020708,16251092,87
2020808,80653261,86
2020408,23033741,86
2020808,201981039,86
2020408,18163099,85
2020108,32377577,84
2021208,9254415,84
2020408,14597583,83
2021108,26480103,83
2020108,6865857,82
2021108,37285953,82
2020208,44659425,82
2021108,11698212,81
2020208,27820337,81
2020108,34642494,80
2020108,31558571,80
2020808,79702191,80
2020108,75449739,79
2020108,35936585,79
2020608,46290546,79
2020608,5003925,79
2020208,8159597,79
2020608,42817421,79
2021008,207477871,79
2020708,41352787,78
2020708,38804811,78
2020408,22979091,77
2021108,54937851,77
2020808,76226595,76
2020608,48352269,75
2021108,9692226,75
2020908,78174244,74
2020708,20846516,74
2020208,4861422,74
2020408,69442044,73
2020708,5732467,72
2021108,60169402,72
2020208,17730425,71
2020708,10339843,71
2020408,25599199,70
2020608,45934275,70
2020208,37399438,69
2020608,42280415,69
2020608,45629654,69
2020808,78675335,69
2020808,202863679,69
2020408,51765158,68
2020608,48073539,67
2021108,62553613,67
2020208,19448494,67
2020908,82844475,66
2020108,7460872,66
2020208,41040836,65
2020708,39687811,65
2021108,62448257,65
2020608,7182003,65
2021108,56756635,65
2020808,83880780,64
2021108,42218918,64
2020108,75899123,64
2020108,52990199,64
2020408,13830921,64
2020108,19970226,62
2020608,42724579,62
2020108,31770614,62
2020108,25491019,62
2020608,44961939,62
2020808,81432331,62
2020108,14034509,61
2020708,8688734,61
2021208,13054661,61
2020408,8744861,61
2021108,57411895,61
2020608,38478123,60
2020108,43351980,60
2020808,81827083,60
2020108,46419793,60
2020208,11173023,60
2021208,9338034,60
2020408,120860544,60
2020608,41338112,60
2020108,56262169,59
2020108,58251878,59
2020108,43973432,59
2020608,47061761,59
2021108,74426538,58
2020208,14975520,58
2021008,208577966,58
2020108,63583576,58
2021008,206316838,57
2020808,81972838,57
2020608,25764590,57
2020108,29342093,56
2021108,65661392,56
2020208,16849761,56
2020608,37623137,56
2020608,45319593,56
2021108,66019170,56
2021108,11296566,55
2001408,218225863,55
2021008,210290432,55
2020408,8257034,55
2021108,24064804,55
2020108,36195039,55
2020608,73311678,54
2020708,46604522,54
2020408,72176930,54
2020208,23748897,53
2021108,60105779,53
2021208,25799691,53
2020708,6881205,53
2020608,50416621,53
2020108,71446593,52
2021208,13755035,52
2020108,11969620,52
2020108,32116408,52
2020608,4472194,52
2020208,17398189,52
2020108,43953490,51
2021108,62211123,50
2020708,40247006,50
2020808,81192725,50
2020208,41013725,50
2020208,52385318,50
2021008,207982180,50
2020608,73271573,50
2020108,34115204,49
2020608,67962623,49
2020708,17172657,49
2020608,46920911,48
2020608,40572960,48
2021108,11040745,48
2020708,43365752,48
2020208,18609775,48
2020708,50681822,48
2020108,59391335,47
2020408,21250520,47
2020608,40911248,47
2020608,44977601,47
2020108,31997232,47
2020208,18436020,47
2021208,8772801,47
2020208,17523263,47
2021208,23109672,47
2021008,209900380,46
2020408,15692128,46
2021008,209520756,46
2020108,28505678,46
2020208,5227772,46
2020608,47842355,46
2020608,22568975,46
2021108,60253573,45
2020708,6084170,45
2021208,6615671,45
2020708,13245861,45
2020708,20440680,45
2020408,208990330,45
2020408,70315956,44
2020208,49833858,44
2021208,19338868,44
2021108,19013130,44
2020608,23520972,44
2020608,50064911,44
2021108,21065782,44
2020708,48591626,44
2020708,50484405,44
2020108,71532491,43
2021108,55843654,43
2020608,34592975,43
2020108,47704680,43
2020808,203236673,43
2020808,79142355,42
2020208,44663519,42
2020608,42743959,42
2020408,53038420,42
2020108,30429272,42
2020208,41121780,42
2020908,205043592,41
2021108,58866450,41
2020208,14365010,41
2020608,7794408,41
2020208,16473350,40
2020208,4867326,40
2020408,413420,40
2020208,25054780,40
2020608,44132356,40
2020108,45548775,40
2020608,7972651,39
2020608,45310161,39
2020708,11380910,39
2020108,42220700,39
2021108,66874900,38
2020408,50457286,38
2021108,41618935,38
2020408,39589996,38
2020608,46019951,38
2021108,59160248,38
2020108,33022488,38
2020108,55522266,38
2020108,17700646,38
2020808,201153927,38
2020108,11225640,37
2021108,23844493,37
2020408,23514668,37
2021108,65582555,37
2021108,61658100,37
2020208,43694202,36
2021208,28562228,36
2020808,84223984,36
2020108,83456158,36
2020608,6064926,36
2020608,73646526,36
2021108,65816233,36
2020608,37250473,36
2020808,201565207,36
2020108,57851814,36
