服务器ID,玩家ID,事件次数
2020108,55531402,1153
2020108,63778994,521
2020808,80744637,440
2020108,11534557,338
2021008,211904728,334
2090402,216198135,231
2001408,218155358,230
2021108,7378760,211
2020408,71916001,200
2020208,43780156,197
2090002,215520292,183
2020108,8815955,172
2020108,50494222,168
2020408,38749156,165
2020608,24196485,164
2606502,214679593,164
2020908,202176747,161
2020608,6454041,153
2020208,11129004,137
2020808,80312485,120
2020708,13173590,117
2020108,19981811,88
2020208,17412891,87
2020908,80758401,85
2020608,29972957,83
2021208,13540193,77
2020408,27777369,77
2020108,35216582,75
2021108,26453322,74
2020108,47200242,74
2020108,16303419,74
2020808,85219672,70
2020108,169859,68
2020208,12735607,65
2020808,80653261,61
2020108,35936585,58
2021108,59231397,57
2020108,8151531,56
2020208,52436180,56
2020608,37784995,55
2021108,65661392,55
2021008,211423534,55
2020808,82629288,55
2021108,54937851,54
2020708,13186631,53
2020108,35875544,53
2021108,12346315,51
2020608,40671256,50
2020608,53950953,49
2020608,44931151,49
2021208,13054661,48
2021108,12301610,48
2021008,218733227,47
2020108,43953490,47
2020208,41008032,47
2020908,82785902,45
2020608,4472194,43
2020708,6084170,43
2021108,56305413,43
2021108,55843654,42
2021108,37744135,42
2020108,37962654,41
2021108,66019170,40
2020608,42367164,40
2020608,48073539,39
2020408,25599199,39
2021108,41618935,38
2020708,17655371,38
2020108,33022488,38
2020408,8257034,38
2020108,43351980,37
2021108,61658100,37
2020708,24608076,36
2020808,81827083,36
2020408,8883313,36
2020108,8873732,36
2021008,209520756,36
2020608,59961124,36
2020708,21369105,35
2020808,83457219,35
2020608,8654000,34
2020808,77953241,34
2020408,8980498,34
2020408,22438308,34
2020408,18163099,34
2021008,209538568,33
2020408,22901682,33
2021108,38319980,33
2020608,37311632,33
2020608,7473273,33
2021108,37279442,32
2021108,9658942,32
2089202,213078289,32
2021108,20302898,32
2020208,4405710,31
2020608,24524264,31
2020608,42817421,31
2020108,48300940,30
2021008,208392743,30
2092802,220553191,30
2021008,212430974,30
2021008,206316838,29
2021108,57366251,29
2020208,9428992,29
2020908,80491185,29
2020608,73660558,29
2021108,19535546,29
2020608,38095618,29
2020908,78174244,29
2021108,74426538,29
2020808,23865614,28
2020208,17730425,28
2020808,81093831,28
2020608,40514320,28
2021208,19338868,28
2020808,203236673,28
2020408,37925278,28
2020808,81856946,28
2021108,25225869,28
2021108,11296566,27
2020108,30344310,27
2020108,32281739,27
2020108,33904862,27
2020608,48352269,26
2020608,37250473,26
2020408,14597583,26
2021108,13270858,26
2020208,19448494,26
2020808,79023038,26
2020108,9076256,25
2020608,71227328,25
2021208,25799691,25
2020708,48591626,25
2021108,62923015,25
2021208,53207534,24
2021208,7568871,24
2020408,71718548,24
2020408,23033741,24
2020708,46604522,24
2020208,17676293,24
2020708,48056970,24
2020408,25602497,24
2020408,299630,23
2021108,62211123,23
2020208,49825474,23
2021108,56888148,23
2020408,58140678,23
2020808,202863679,23
2020108,31952856,23
2021108,66718790,22
2020908,205164055,22
2020908,79480736,22
2089202,213759320,22
2020608,48205250,22
2020608,24512843,22
2020408,70315956,22
2020408,38743885,22
2020808,78285576,21
2021008,210290432,21
2021108,19013130,21
2020808,83376996,21
2021108,64771681,21
2020408,14735155,21
2020408,6217802,21
2020208,37399438,21
2020108,68764292,21
2020108,71532491,21
2091102,217397009,20
2020108,30122349,20
2020408,51765158,20
2021008,213149047,20
2020208,2959905,20
2021108,19928862,19
2020108,124010515,19
2020808,200004383,19
2021108,58790686,19
2021008,209900380,19
2021108,62553613,19
2020608,67836518,19
2020408,69442044,19
2020808,85532021,19
2020808,74572602,19
2021108,63187633,19
2020208,17398189,19
2020108,17576281,19
2021208,4915991,18
2021108,13083476,18
2020708,26102531,18
2021108,22435751,18
2021108,67260187,18
2020708,13255167,18
2020808,84490801,18
2020208,49833858,18
2020208,41040836,18
2021108,57411895,18
2020608,67962623,18
2020808,83880780,18
2020608,45629654,17
2021208,9254415,17
2021108,63082603,17
2020608,46235249,17
2020808,81972838,17
2020108,53727285,17
2020808,85246118,17
2020408,70289120,17
2020208,23053094,17
2020808,79702191,17
2020408,10586403,17
2020608,46437212,17
2020708,50681822,17
2020108,30429272,17
2020808,84641297,17
2023502,17137448,17
2020608,59134318,17
2021108,7046415,17
2021108,65324859,16
2021108,67316961,16
2021208,8763321,16
2020808,84238642,16
2088902,213623183,16
2021108,9692226,16
2020708,5732467,16
2020208,4239086,16
2020608,45715010,16
2020208,8159597,16
2020608,73604891,16
2020708,13245861,16
2020708,23973385,16
2092102,221086305,15
2020108,46662749,15
2020208,17757619,15
2020108,45469827,15
2020808,47967993,15
2020108,52880077,15
2020408,7879896,15
2020808,79751925,15
2020108,16237920,15
2020608,4980186,15
2020808,80246621,15
2020208,44361334,15
2020208,43788487,15
2020108,70971660,15
2020608,38007973,15
2020808,84303672,14
2020108,54055764,14
2020808,86009749,14
2021108,58164604,14
2020608,44977601,14
2021208,11930273,14
2020708,23305159,14
2062602,64442454,14
2020108,52990199,14
2021208,15795229,14
2020108,76395205,14
2021108,10747564,14
2020108,44510856,14
2020908,80496126,14
2021208,22835734,13
2021108,38172050,13
2089802,216143452,13
2020408,208990330,13
2001408,218225863,13
2020208,18436020,13
2088802,213378898,13
2020608,73588812,13
2020708,43365752,13
2021008,206872234,13
2020808,201153927,13
2020808,76226595,13
2020108,75899123,13
2020108,55807692,13
2020608,5003925,13
2020208,44663519,13
2020708,11380910,13
2020908,205211705,12
2020408,18220669,12
2020708,20440680,12
2020808,83940666,12
2020108,43959427,12
2021108,66874900,12
2020108,11969620,12
2021208,3879641,12
2020408,49616690,12
2021208,13714007,12
2021108,26627671,12
2020608,24208183,12
2020608,48550785,12
2021108,39090702,12
2021108,58987288,12
2001408,218151732,12
2020408,20721207,12
2020108,6868129,12
2020208,2968081,12
2020408,21271458,11
2021208,13603777,11
2020808,79782981,11
2021108,58261482,11
2020608,41314505,11
2020208,4861422,11
2020108,30854386,11
2021108,23844493,11
2020208,37621689,11
2020408,51324872,11
2020108,33160780,11
2020408,21431723,11
2020908,200690715,11
2021208,220148822,11
2020908,78597585,11
2020108,31553938,11
2020608,36439403,11
2021008,209432631,11
2020108,9083671,11
2020708,23353445,11
2020708,39485735,11
2020208,9877941,11
2021208,13533643,11
2020608,8302676,10
2020708,40247006,10
2020108,32405736,10
2021108,58861275,10
2020108,8673338,10
2020608,40889719,10
2021108,60105779,10
2021108,59586093,10
2020608,45215660,10
2020108,43973432,10
2001408,218655117,10
2020408,16181251,10
2021008,211641491,10
2020608,50416621,10
2021008,207982180,10
2020208,26747971,10
2020708,6881205,10
2021008,212325782,10
2020108,32223000,10
2020708,15691199,10
2020608,46446795,10
2089802,215412086,10
2020708,36422175,10
2021108,56756635,10
2021208,10241303,10
2001408,218109905,10
2020108,32366679,10
2090002,216595247,9
2020108,23563391,9
2020408,51591414,9
2020108,14034509,9
2020908,80513657,9
2021108,62439790,9
2020208,40712395,9
2020408,53038420,9
2020708,7651372,9
2020808,84957257,9
2020408,69132095,9
2020108,33372137,9
2039502,31747215,9
2020808,35549372,9
2020608,3976434,9
2020208,7269873,9
2021008,208769033,9
