服务器ID,玩家ID,事件次数
2020108,55531402,1943
2020108,11534557,703
2020108,63778994,596
2021008,211904728,462
2020208,43780156,406
2020908,202176747,350
2020808,80744637,349
2021108,7378760,318
2001408,218155358,233
2020108,16303419,226
2020408,71916001,209
2020108,8815955,192
2020408,38749156,186
2020108,8151531,164
2020708,24608076,163
2020208,11129004,161
2020608,29972957,134
2020108,50494222,133
2020108,47200242,128
2020608,44931151,126
2020608,24196485,126
2020908,80758401,126
2020408,22901682,122
2020808,80312485,120
2020208,17676293,120
2020908,82785902,117
2020208,17412891,115
2090002,215520292,108
2020108,19981811,101
2020608,53950953,98
2020608,40671256,98
2021008,211423534,96
2020608,37784995,93
2020608,42367164,93
2020608,8654000,92
2020608,6454041,90
2021108,59231397,89
2020408,27777369,87
2020108,35216582,85
2021108,26453322,85
2021208,13540193,84
2020808,85219672,83
2020408,38743885,83
2021108,12301610,83
2020208,12735607,82
2021008,210993055,82
2020908,80491185,79
2020808,82629288,78
2020708,13186631,76
2020808,80653261,75
2020208,41008032,74
2020108,35875544,74
2020108,35936585,73
2020708,13173590,73
2021108,12346315,72
2021108,13083476,71
2020408,8883313,70
2021108,63082603,68
2021108,22435751,67
2021108,64771681,66
2020408,14597583,65
2020708,23305159,63
2021108,54937851,62
2020408,63799212,61
2021108,20302898,61
2020108,169859,60
2020608,59961124,60
2020108,8873732,60
2020608,42817421,59
2021208,13054661,58
2021108,37279442,57
2020708,17655371,56
2020608,48205250,55
2020108,37962654,55
2021108,56305413,55
2020408,22438308,55
2021208,53207534,54
2020608,67836518,54
2020408,8257034,52
2020808,81856946,52
2020108,29339355,51
2021108,13270858,51
2021008,218733227,51
2020108,43351980,50
2020208,19448494,49
2020808,77953241,49
2020208,17730425,49
2021008,209538568,49
2020408,25599199,48
2020808,81827083,48
2020608,48073539,48
2020708,48056970,48
2021108,19535546,48
2020608,38095618,47
2020908,78174244,47
2020808,79702191,47
2020608,4472194,46
2090402,216198135,45
2020908,79480736,44
2020408,18163099,44
2021008,209520756,44
2021108,38319980,44
2020808,83457219,43
2020808,23865614,42
2021008,206316838,42
2020708,6084170,42
2020108,30429272,41
2020408,299630,41
2020608,7473273,41
2020608,40514320,40
2020608,46290546,40
2020708,50681822,39
2021108,57366251,39
2021208,19338868,39
2021208,7568871,38
2021108,37744135,38
2020108,17576281,38
2020208,41040836,38
2020808,81093831,37
2020608,73660558,37
2020708,48591626,37
2021108,55843654,36
2020108,43953490,36
2020208,52436180,35
2021008,209900380,35
2021108,65661392,34
2020408,8980498,34
2020208,9428992,33
2020408,51765158,33
2020608,67962623,33
2020208,37399438,32
2020808,76226595,32
2020708,21369105,32
2021208,25799691,32
2020808,83880780,31
2020108,83456158,31
2020108,46662749,31
2020208,49825474,31
2020408,69132095,31
2020208,49833858,31
2020208,17398189,31
2020408,69442044,31
2020108,44510856,31
2020708,46604522,30
2020808,78285576,30
2021108,61658100,30
2021108,62923015,30
2020108,68764292,30
2021108,57411895,30
2020808,81972838,30
2020408,70315956,30
2021108,9658942,29
2020608,24512843,29
2021108,7046415,29
2020208,17757619,29
2020708,23973385,29
2020708,36422175,28
2021108,74426538,28
2020808,79023038,28
2020108,9076256,28
2021108,62211123,28
2020108,16237920,28
2020108,32281739,28
2020808,203236673,28
2020608,46235249,27
2020608,59134318,27
2021108,58866450,27
2020408,39589996,27
2020608,7794408,27
2020408,6217802,27
2020108,52880077,27
2020108,28916716,27
2020408,71718548,26
2020808,83376996,26
2020608,45629654,26
2021008,210290432,26
2020608,50416621,26
2020408,23033741,26
2021108,65324859,26
2020808,201153927,26
2020808,200004383,26
2021108,41618935,26
2020808,202863679,26
2021208,3879641,26
2021008,206872234,26
2021108,11296566,25
2020608,48352269,25
2020808,47967993,25
2020708,13255167,25
2021108,62553613,25
2021208,11930273,25
2020608,37250473,25
2021008,212430974,24
2001408,218610415,24
2020108,52990199,24
2021008,208392743,24
2020208,2959905,23
2020608,5003925,23
2020108,71532491,23
2020108,33904862,23
2020208,23053094,23
2020408,23514668,23
2020208,4405710,23
2020808,84641297,23
2001408,218225863,23
2020108,76395205,23
2020108,30344310,23
2020408,7879896,23
2021108,19013130,22
2020708,43365752,22
2020808,79782981,22
2020108,31952856,22
2020408,70289120,22
2020608,73588812,22
2020608,37311632,22
2020808,79751925,22
2020208,8159597,22
2020908,205164055,22
2020408,25602497,22
2020408,208990330,21
2020908,200690715,21
2020608,45715010,21
2020108,34115204,21
2020708,11380910,21
2021208,13533643,21
2020108,53727285,21
2021108,56888148,20
2021208,9254415,20
2020408,14735155,20
2020208,44663519,20
2020208,27820337,20
2020208,9877941,20
2020408,58140678,19
2021108,67260187,19
2021108,58790686,19
2020208,44361334,19
2021108,59115255,19
2020108,48300940,19
2021108,63187633,19
2020708,10339843,19
2020608,8302676,19
2020708,40247006,19
2020108,54055764,19
2020608,42724579,19
2021108,37781144,19
2020108,57851814,18
2021108,58261482,18
2020708,23568177,18
2021108,66718790,18
2020408,37925278,18
2020208,4239086,18
2020908,80513657,18
2021208,13755035,18
2021108,9692226,18
2020708,20440680,18
2020108,8654505,17
2020908,205211705,17
2020708,50191697,17
2020208,40712395,17
2020208,2796424,17
2020108,28505678,17
2020208,37621689,17
2020708,12210316,17
2020208,4829598,17
2020808,85246118,17
2021108,7045817,17
2020408,49616690,17
2021108,38172050,17
2020608,36439403,17
2020808,81432331,17
2020408,10586403,17
2001408,218655117,16
2020808,84238642,16
2021208,22835734,16
2020108,31008190,16
2020608,4980186,16
2020408,51591414,16
2020408,20721207,16
2001408,218151732,16
2020108,6865857,16
2020108,31558571,16
2020408,22979091,16
2021108,26627671,15
2020208,43788487,15
2020708,17205050,15
2021108,38308190,15
2020608,41338112,15
2020108,45469827,15
2021108,58164604,15
2020108,35847621,15
2020808,80889242,15
2020108,14034509,15
2020108,32377577,15
2021208,28562228,15
2020108,30854386,15
2021208,13396967,15
2020608,42402836,15
2020208,7269873,15
2021108,56756635,15
2020608,44977601,15
2020708,26102531,15
2020908,78119608,15
2020808,84223984,15
2021108,60105779,15
2021108,19928862,15
2020808,86009749,15
2020208,49504220,15
2020608,73604891,15
2020708,5732467,15
2020708,6881205,15
2020608,71227328,14
2020408,21431723,14
2020108,11969620,14
2021108,62439790,14
2020808,80246621,14
2020608,54525546,14
2020808,201981039,14
2021208,15795229,14
2020408,21271458,14
2021108,23844493,14
2021108,41690592,14
2021108,59160248,14
2020708,38804811,14
2020108,75899123,14
2020208,18436020,14
2021108,10747564,14
2020208,26747971,14
2020208,18609775,13
2020708,13245861,13
2020608,42280415,13
2021208,6615671,13
2020108,8673338,13
2020408,28240512,13
2020208,23748897,13
2020108,32366679,13
2020108,58683447,13
2020208,6149384,13
2021008,208910409,13
2021208,6634097,13
2020108,55807692,13
2021108,24064804,13
2020208,19571076,13
2020608,23520972,13
2020808,84303672,13
2021008,213149047,13
2020808,83319984,13
2021108,25225869,13
2020608,46437212,13
2021108,67316961,13
2020608,49993613,13
2020108,56262169,13
2020108,32542208,12
2020108,31553938,12
2020908,124186828,12
2020808,74572602,12
2020708,39485735,12
2020408,18720026,12
2020408,53038420,12
2020708,55180850,12
2020808,78675335,12
2021208,13735029,12
2020908,80504175,12
2020808,200921156,12
2020108,35358256,12
2020908,205043592,12
2021008,212331358,12
2021208,220148822,12
2020108,33503495,12
2020108,31770614,11
2020808,84490801,11
2020608,41314505,11
2021108,7541238,11
2020108,43973432,11
2020108,6868129,11
2020408,52640973,11
2021208,27365152,11
2020408,26186173,11
2021108,59586093,11
2020908,80496126,11
2021108,58861275,11
2020608,37263988,11
2020808,84957257,11
2020408,18220669,11
2020708,53698855,11
2020108,55921654,11
2020108,33160780,11
2020208,4861422,11
2020708,23814762,11
2020908,78597585,11
2021108,42219379,11
2021108,58987288,11
2021208,4915991,11
2021208,10241303,11
2020408,21185947,11
2020708,23353445,11
2020108,32405736,11
2020208,4405013,11
2020608,7182003,11
2020908,79841661,11
2020608,24208183,11
2021208,13714007,11
2020808,85239241,11
2020208,26388823,11
2020808,83940666,11
2020608,70142578,10
2020408,120308116,10
2021108,66273046,10
2020408,15692128,10
2020108,30733083,10
2020608,41884475,10
2021108,39038951,10
2020708,15691199,10
2020108,30187813,10
2020808,80141190,10
2020608,70388674,10
2020708,7658111,10
2020208,14286014,10
2020908,80742310,10
2020108,70971660,10
2020408,120872655,10
2021008,209432631,10
2020708,20846516,10
2020208,9442327,10
2020108,55522266,10
2021008,207982180,10
2020708,12265633,10
2020608,48550785,10
2020208,2968081,10
2020408,8744861,10
2020808,77312159,10
2020408,14486887,10
2020608,45215660,10
2020408,8525883,10
2001408,218920888,10
2020708,122066043,9
2020108,45548775,9
2021008,208341661,9
2021108,20031369,9
2020408,16181251,9
2020108,9083671,9
2021108,66874900,9
2020808,79776397,9
2020608,37623137,9
2020108,33372137,9
2020408,51324872,9
2020108,24540830,9
2020608,46446795,9
2021008,212325782,9
2020608,68008234,9
2021208,8763321,9
2020708,16319032,9
2021108,39090702,9
2020608,7972651,9
2020708,16836715,9
2020708,39687811,9
2021108,61036709,9
2020708,6081875,9
2020708,38752325,9
2020408,20871336,9
2020208,24993885,9
2020108,29194654,9
2021208,7394435,9
2020608,3976434,9
2021208,13603777,9
2020808,84386547,9
2020908,200190855,9
2020408,123245731,9
2020108,23563391,9
2021008,208769033,9
2021008,209131868,9
2021008,207477871,9
2020108,33641525,9
2020608,43717191,8
2020908,124194698,8
2020208,25154055,8
2021108,59065012,8
2020108,30122349,8
2020908,200209343,8
2020808,82717800,8
2021208,8772801,8
2020608,44961939,8
2021108,11040745,8
2020608,4200722,8
2020808,87587816,8
2020608,40889719,8
2020908,87033267,8
2021208,23046730,8
2020108,31656932,8
2021108,43207454,8
2020208,21987936,8
2020608,67737031,8
2020208,43774463,8
2021108,37959383,8
2020708,23829638,8
2020208,3060792,8
2020108,43959427,8
2020408,51672058,8
2020108,31692115,8
2020708,38719209,8
2020108,62784017,8
2020608,34785160,8
2020208,15407568,8
2021008,208577966,8
2021108,42218918,8
2021008,211641491,8
2020108,63999387,8
2020108,44782814,8
2020108,33024369,8
2021208,13600351,8
2020608,34352513,8
2020408,70373765,8
2020608,50159755,8
2020108,35795613,8
2020108,75730356,8
2020608,73531147,8
2020608,47431547,7
2020608,46390566,7
2020208,14796417,7
2021108,58993301,7
2020408,19316296,7
2020108,34683790,7
2021008,209523409,7
2020208,16378851,7
2021108,37988048,7
2020808,83676575,7
2020208,43803737,7
2020808,82658567,7
2020608,45319593,7
2020108,5642722,7
2020108,57503448,7
2020708,6028420,7
2020608,7087738,7
2020108,70367218,7
2020608,45310161,7
2020108,9130127,7
2020908,79815782,7
2021108,42080759,7
2020208,11106826,7
2020108,35749819,7
2020608,48369091,7
2020708,17171480,7
2020108,34880338,7
2020808,85754685,7
2021108,42878232,7
2020708,16152700,7
2021108,65582555,7
2020108,20665385,7
2020808,221229293,7
2020108,32764581,7
2020808,74577634,7
2020108,49831730,7
2020408,16391114,7
2020608,37314067,7
2021108,21071657,6
2020108,68307090,6
2021008,209989850,6
2020108,72635989,6
2020408,72848715,6
2021008,206802275,6
2020608,38518128,6
2020208,4867326,6
2021008,208909671,6
2020408,6561284,6
2020808,74603886,6
2021108,39378218,6
2020208,41013725,6
2021208,15854387,6
2021108,26480103,6
2020408,22165551,6
2020608,67712282,6
2020608,4442310,6
2020808,85667476,6
2021108,37693967,6
2020108,29126810,6
2021108,65138135,6
2020108,32116408,6
2020808,203681405,6
2020208,14365010,6
2020608,40824286,6
2020208,17523263,6
2020608,40606596,6
2020608,67835639,6
2020708,12925622,6
2021208,10944915,6
2020808,85485575,6
2020608,50072583,6
2020108,33449318,6
2020108,35740144,6
2020808,85888980,6
2021208,9338034,6
2021108,7501032,6
2001408,218390057,6
2020808,41440335,6
2021108,62448257,6
2020908,81600916,6
2021108,9570697,6
2606502,214679593,6
2021008,210267883,6
2020908,205159799,6
2020608,38007973,6
2020208,27214385,6
2020108,31017119,6
2020208,16849761,6
2020608,22568975,6
2020608,44050877,6
2020708,34586941,6
2020108,9084499,6
2020808,203420284,6
2020208,6382754,6
2020608,8638645,6
2021008,207939651,6
2021008,211765402,6
2020608,42284682,5
2020108,32002545,5
2001408,218791480,5
2020208,12762011,5
2021008,207820001,5
2021108,14808266,5
2021108,19480888,5
2020708,21938529,5
2020208,4718092,5
2020108,77154558,5
2020708,36153809,5
2020408,20746522,5
2020808,83788628,5
2021108,62293113,5
2020108,29350329,5
2020708,23839143,5
2020608,47061761,5
2020208,55411106,5
2020108,6244615,5
2020208,12411428,5
2021208,13423088,5
2020208,14975520,5
2021108,53568722,5
2020608,47239784,5
2020108,44481882,5
2020608,48201103,5
2020208,18735877,5
2020408,120860544,5
2020608,45845602,5
2020708,7034318,5
2020108,3781116,5
2020808,79164685,5
2020408,20473021,5
2020208,6475871,5
2021208,13088875,5
