服务器 ID,玩家 ID,玩家信息,标题信息,附件资产信息,自定义
1780,1457752,,,"[{""assetType"":""item"",""id"":1002,""amount"":2500}]",
1780,1458121,,,"[{""assetType"":""item"",""id"":1002,""amount"":1000}]",
1780,1458376,,,"[{""assetType"":""item"",""id"":1002,""amount"":2500}]",
1780,1458793,,,"[{""assetType"":""item"",""id"":1002,""amount"":1500}]",
1780,1460645,,,"[{""assetType"":""item"",""id"":1002,""amount"":2500}]",
1780,1461759,,,"[{""assetType"":""item"",""id"":1002,""amount"":2500}]",
1780,1462714,,,"[{""assetType"":""item"",""id"":1002,""amount"":2000}]",
1780,1464714,,,"[{""assetType"":""item"",""id"":1002,""amount"":1000}]",
1780,1466937,,,"[{""assetType"":""item"",""id"":1002,""amount"":2500}]",
1780,1467169,,,"[{""assetType"":""item"",""id"":1002,""amount"":2500}]",
1780,1467360,,,"[{""assetType"":""item"",""id"":1002,""amount"":2500}]",
1780,1469895,,,"[{""assetType"":""item"",""id"":1002,""amount"":2500}]",
1780,1470629,,,"[{""assetType"":""item"",""id"":1002,""amount"":2500}]",
1780,1470631,,,"[{""assetType"":""item"",""id"":1002,""amount"":2000}]",
1780,1471404,,,"[{""assetType"":""item"",""id"":1002,""amount"":2500}]",
1780,1471522,,,"[{""assetType"":""item"",""id"":1002,""amount"":2500}]",
1780,1489749,,,"[{""assetType"":""item"",""id"":1002,""amount"":1000}]",
1780,1459672,,,"[{""assetType"":""item"",""id"":19003,""amount"":25}]",
1790,1477185,,,"[{""assetType"":""item"",""id"":19003,""amount"":10}]",
1790,1477185,,,"[{""assetType"":""item"",""id"":19003,""amount"":20}]",
1790,1474665,,,"[{""assetType"":""item"",""id"":19003,""amount"":25}]",
