服务器 ID,玩家 ID,道具信息,礼包信息,虚拟资产信息,自定义
1780,1457752,[1002*2500],,,
1780,1458121,[1002*1000],,,
1780,1458376,[1002*2500],,,
1780,1458793,[1002*1500],,,
1780,1460645,[1002*2500],,,
1780,1461759,[1002*2500],,,
1780,1462714,[1002*2000],,,
1780,1464714,[1002*1000],,,
1780,1466937,[1002*2500],,,
1780,1467169,[1002*2500],,,
1780,1467360,[1002*2500],,,
1780,1469895,[1002*2500],,,
1780,1470629,[1002*2500],,,
1780,1470631,[1002*2000],,,
1780,1471404,[1002*2500],,,
1780,1471522,[1002*2500],,,
1780,1489749,[1002*1000],,,
1780,1459672,[19003*25],,,
1790,1477185,[19003*10],,,
1790,1477185,[19003*20],,,
1790,1474665,[19003*25],,,
