"服务器 ID","玩家 ID","道具信息","礼包信息","虚拟资产信息","自定义","状态","失败原因"
2006102	,3977558	,--	,--	,--	,"[
    {
        ""amount"": 750,
        ""id"": ""11631001"",
        ""assetType"": ""innercoin""
    }
]"	,已发送	,	
2006102	,4442310	,--	,--	,--	,"[
    {
        ""amount"": 750,
        ""id"": ""11631001"",
        ""assetType"": ""innercoin""
    }
]"	,已发送	,	
2006102	,4501842	,--	,--	,--	,"[
    {
        ""amount"": 750,
        ""id"": ""11631001"",
        ""assetType"": ""innercoin""
    }
]"	,已发送	,	
2006102	,4984657	,--	,--	,--	,"[
    {
        ""amount"": 750,
        ""id"": ""11631001"",
        ""assetType"": ""innercoin""
    }
]"	,已发送	,	
2006102	,5986546	,--	,--	,--	,"[
    {
        ""amount"": 750,
        ""id"": ""11631001"",
        ""assetType"": ""innercoin""
    }
]"	,已发送	,	
2006102	,62553613	,--	,--	,--	,"[
    {
        ""amount"": 750,
        ""id"": ""11631001"",
        ""assetType"": ""innercoin""
    }
]"	,已发送	,	
2006102	,6454041	,--	,--	,--	,"[
    {
        ""amount"": 750,
        ""id"": ""11631001"",
        ""assetType"": ""innercoin""
    }
]"	,已发送	,	
2006102	,7536707	,--	,--	,--	,"[
    {
        ""amount"": 750,
        ""id"": ""11631001"",
        ""assetType"": ""innercoin""
    }
]"	,已发送	,	
2006102	,8338915	,--	,--	,--	,"[
    {
        ""amount"": 750,
        ""id"": ""11631001"",
        ""assetType"": ""innercoin""
    }
]"	,已发送	,	
2006402	,11092474	,--	,--	,--	,"[
    {
        ""amount"": 750,
        ""id"": ""11631001"",
        ""assetType"": ""innercoin""
    }
]"	,已发送	,	
2006402	,4239086	,--	,--	,--	,"[
    {
        ""amount"": 750,
        ""id"": ""11631001"",
        ""assetType"": ""innercoin""
    }
]"	,已发送	,	
2006402	,6346507	,--	,--	,--	,"[
    {
        ""amount"": 750,
        ""id"": ""11631001"",
        ""assetType"": ""innercoin""
    }
]"	,已发送	,	
2006402	,7196041	,--	,--	,--	,"[
    {
        ""amount"": 750,
        ""id"": ""11631001"",
        ""assetType"": ""innercoin""
    }
]"	,已发送	,	
