服务器 ID,玩家 ID,玩家信息,标题信息,附件资产信息,自定义
2006102,5971370,,,,"[{""assetType"": ""item"", ""id"": 111110264, ""amount"": 5}]"
2006102,62553613,,,,"[{""assetType"": ""item"", ""id"": 111110264, ""amount"": 5}]"
2006102,6454041,,,,"[{""assetType"": ""item"", ""id"": 111110264, ""amount"": 5}]"
2006102,7536707,,,,"[{""assetType"": ""item"", ""id"": 111110264, ""amount"": 5}]"
2006102,7932095,,,,"[{""assetType"": ""item"", ""id"": 111110264, ""amount"": 5}]"
2006402,5849885,,,,"[{""assetType"": ""item"", ""id"": 111110264, ""amount"": 5}]"
2006402,7250474,,,,"[{""assetType"": ""item"", ""id"": 111110264, ""amount"": 5}]"
2006502,2802036,,,,"[{""assetType"": ""item"", ""id"": 111110264, ""amount"": 5}]"
2006502,4596249,,,,"[{""assetType"": ""item"", ""id"": 111110264, ""amount"": 5}]"
2006702,7351210,,,,"[{""assetType"": ""item"", ""id"": 111110264, ""amount"": 5}]"
2007202,20540315,,,,"[{""assetType"": ""item"", ""id"": 111110264, ""amount"": 5}]"
2007202,22627293,,,,"[{""assetType"": ""item"", ""id"": 111110264, ""amount"": 5}]"
2007202,23809498,,,,"[{""assetType"": ""item"", ""id"": 111110264, ""amount"": 5}]"
2007202,258957,,,,"[{""assetType"": ""item"", ""id"": 111110264, ""amount"": 5}]"
2007202,266079,,,,"[{""assetType"": ""item"", ""id"": 111110264, ""amount"": 5}]"
2007202,3182561,,,,"[{""assetType"": ""item"", ""id"": 111110264, ""amount"": 5}]"
2007202,5302387,,,,"[{""assetType"": ""item"", ""id"": 111110264, ""amount"": 5}]"
2007202,6314102,,,,"[{""assetType"": ""item"", ""id"": 111110264, ""amount"": 5}]"
2008502,5689188,,,,"[{""assetType"": ""item"", ""id"": 111110264, ""amount"": 5}]"
2010108,213445284,,,,"[{""assetType"": ""item"", ""id"": 111110264, ""amount"": 5}]"
2010108,213565997,,,,"[{""assetType"": ""item"", ""id"": 111110264, ""amount"": 5}]"
2010108,215520292,,,,"[{""assetType"": ""item"", ""id"": 111110264, ""amount"": 5}]"
