服务器ID,玩家ID,扣回宝箱数
2016902,11469430,-10
2017802,11665893,-1
2016902,12051616,-4
2018602,12411428,-10
2018502,12645899,-1
2018502,12735607,-3
2014502,12991657,-10
2062602,13083476,-4
2023502,13245861,-1
2038602,13260793,-4
2021902,14408898,-14
2021902,14689811,-14
2021902,14712628,-3
2041002,14915437,-86
2028602,15059308,-1
2012402,16182800,-51
2023502,16274477,-3
2041002,16303419,-107
2025502,17299565,-40
2023502,17655371,-1
2041002,17752433,-160
2012402,17801912,-36
2018502,17856863,-3
2025502,18047958,-3
2025502,18163099,-86
2025502,18548432,-11
2037402,18703214,-161
2023502,19448494,-22
2024502,19571076,-10
2012402,19981811,-159
2079302,200117375,-73
2077002,200209343,-1
2077702,200308757,-1
2077002,200554283,-23
2024702,20074257,-1
2077702,200981160,-10
2077702,201058202,-170
2077702,201989156,-1
2604002,202176747,-85
2026002,20222125,-1
2079102,203615719,-10
2027002,20461740,-3
2084102,205172615,-1
2085302,207180683,-10
2086302,208392743,-14
2085302,208909340,-85
2605902,210267883,-1
2087402,210640850,-1
2023502,21076020,-1
2033902,21176447,-1
2088202,211904728,-85
2605902,213270020,-1
2010108,213445284,-14
2039502,21513924,-4
2010108,215520292,-163
2050802,21635172,-53
2010108,216595247,-22
2075202,21913740,-1
2092702,220519286,-76
2038602,22245308,-13
2024502,22464954,-36
2007202,22627293,-13
2030002,22873602,-4
2007202,23809498,-11
2031402,23936740,-23
2041002,23984226,-33
2031402,24196485,-75
2031402,24265128,-1
2031402,24630904,-1
2062602,24836888,-10
2037402,24952300,-48
2033902,25225869,-1
2016902,25491019,-85
2007202,258957,-4
2038602,26391637,-32
2007202,266079,-10
2030002,27138261,-14
2033202,27214385,-1
2077002,27608534,-13
2077002,27610334,-1
2032402,27661733,-1
2032402,27777369,-1
2032402,27801143,-1
2032402,27837911,-4
2032402,28497456,-25
2063202,28877038,-62
2041002,28887939,-161
2043802,29126810,-4
2038602,29222591,-3
2041002,29241979,-161
2054002,30122349,-161
2037402,30243105,-85
2043802,30390058,-1
2041002,3049723,-86
2041002,31184730,-3
2041002,31230922,-96
2039502,31770614,-4
2038602,31776438,-1
2007202,3182561,-99
2039502,32366679,-10
2041002,32404815,-3
2041002,32624088,-14
2041002,33031473,-33
2041002,33103912,-1
2043802,33648452,-4
2041002,33904862,-10
2041002,34038613,-22
2039502,3475074,-14
2068602,34839533,-160
2043802,34930342,-1
2054002,35216582,-125
2041002,35460831,-151
2037402,35611031,-2
2037402,35833980,-1
2079102,35911528,-10
2044602,36072891,-1
2033202,37139980,-36
2046502,37569323,-3
2049702,38613945,-14
2047102,39090702,-23
2047102,39279586,-63
2041002,39498266,-151
2077702,40420894,-1
2051002,40506099,-86
2023502,40761300,-1
2038602,41164302,-66
2049702,41821861,-14
2054002,42220700,-14
2016902,42481373,-3
2055302,42746753,-85
2051302,43142161,-1
2052502,43694202,-1
2052502,43788487,-4
2054202,44931151,-1
2054002,45548775,-22
2054202,45826788,-22
2058802,45958168,-1
2006502,4596249,-1
2058802,46050237,-1
2041002,46080690,-161
2016902,47557017,-14
2055802,48319936,-14
2055802,48891507,-1
2055802,48892343,-1
2052502,49509683,-3
2016902,49649406,-32
2052502,49828160,-4
2058402,49976038,-3
2058302,50457286,-1
2054002,52172725,-2
2052502,52359983,-10
2058302,52621737,-1
2007202,5302387,-10
2058402,53358481,-13
2058402,53558809,-86
2051302,53645102,-126
2051302,54295305,-76
2058402,54854589,-4
2047102,55554306,-4
2054002,55747241,-3
2058402,55921654,-108
2054002,56189517,-3
2056102,56267635,-10
2058302,56636784,-4
2008502,5689188,-1
2006402,5849885,-3
2061402,58790686,-14
2060302,58882735,-14
2006102,5971370,-10
2060902,60064426,-1
2062602,60749441,-1
2062602,60749528,-1
2062602,62211123,-10
2062602,62911328,-14
2007202,6314102,-14
2063202,63317101,-10
2058402,63494106,-14
2063202,63523487,-10
2038602,6360346,-14
2063202,63999387,-3
2063202,64019260,-4
2006102,6454041,-161
2062602,64785139,-14
2060302,65065503,-13
2062602,65916752,-1
2062602,66718790,-161
2066102,67836518,-10
2069702,67919423,-4
2066102,71075267,-4
2068602,71253075,-36
2068602,71883863,-1
2069702,71916001,-32
2069702,72335177,-3
2006402,7250474,-11
2073702,73474771,-85
2006702,7351210,-3
2066102,73772199,-4
2039502,74334720,-148
2074702,77953241,-14
2075802,79295807,-14
2006102,7932095,-1
2077002,79815782,-1
2077002,79833322,-10
2077002,79878389,-1
2077102,80050101,-1
2077002,80513657,-4
2077102,80716692,-85
2077002,80730220,-16
2077102,81093831,-14
2012402,8135146,-4
2010302,8278408,-22
2077702,83376996,-3
2079102,83940666,-1
2079302,84903313,-1
2079302,85008796,-13
2012402,8654505,-26
2012302,9023001,-1
2013402,9570697,-13
