服务器 ID,玩家 ID,玩家信息,标题信息,附件资产信息,自定义
2006102,5971370,,,,"[{""assetType"": ""innercoin"", ""id"": 11631001, ""amount"": -5000}, {""assetType"": ""item"", ""id"": 111110264, ""amount"": -10}]"
2006102,62553613,,,,"[{""assetType"": ""innercoin"", ""id"": 11631001, ""amount"": -2500}]"
2006102,6454041,,,,"[{""assetType"": ""innercoin"", ""id"": 11631001, ""amount"": -58500}, {""assetType"": ""item"", ""id"": 111110264, ""amount"": -161}]"
2006102,7536707,,,,"[{""assetType"": ""innercoin"", ""id"": 11631001, ""amount"": -1000}]"
2006102,7932095,,,,"[{""assetType"": ""innercoin"", ""id"": 11631001, ""amount"": -1000}, {""assetType"": ""item"", ""id"": 111110264, ""amount"": -1}]"
2006402,5849885,,,,"[{""assetType"": ""innercoin"", ""id"": 11631001, ""amount"": -2500}, {""assetType"": ""item"", ""id"": 111110264, ""amount"": -3}]"
2006402,7250474,,,,"[{""assetType"": ""innercoin"", ""id"": 11631001, ""amount"": -5000}, {""assetType"": ""item"", ""id"": 111110264, ""amount"": -11}]"
2006502,2802036,,,,"[{""assetType"": ""innercoin"", ""id"": 11631001, ""amount"": -5000}]"
2006502,4596249,,,,"[{""assetType"": ""innercoin"", ""id"": 11631001, ""amount"": -1000}, {""assetType"": ""item"", ""id"": 111110264, ""amount"": -1}]"
2006702,7351210,,,,"[{""assetType"": ""innercoin"", ""id"": 11631001, ""amount"": -2500}, {""assetType"": ""item"", ""id"": 111110264, ""amount"": -3}]"
2007202,20540315,,,,"[{""assetType"": ""innercoin"", ""id"": 11631001, ""amount"": -1000}]"
2007202,22627293,,,,"[{""assetType"": ""innercoin"", ""id"": 11631001, ""amount"": -8500}, {""assetType"": ""item"", ""id"": 111110264, ""amount"": -13}]"
2007202,23809498,,,,"[{""assetType"": ""innercoin"", ""id"": 11631001, ""amount"": -8500}, {""assetType"": ""item"", ""id"": 111110264, ""amount"": -11}]"
2007202,258957,,,,"[{""assetType"": ""innercoin"", ""id"": 11631001, ""amount"": -3500}, {""assetType"": ""item"", ""id"": 111110264, ""amount"": -4}]"
2007202,266079,,,,"[{""assetType"": ""innercoin"", ""id"": 11631001, ""amount"": -5000}, {""assetType"": ""item"", ""id"": 111110264, ""amount"": -10}]"
2007202,3182561,,,,"[{""assetType"": ""innercoin"", ""id"": 11631001, ""amount"": -33500}, {""assetType"": ""item"", ""id"": 111110264, ""amount"": -99}]"
2007202,5302387,,,,"[{""assetType"": ""innercoin"", ""id"": 11631001, ""amount"": -5000}, {""assetType"": ""item"", ""id"": 111110264, ""amount"": -10}]"
2007202,6314102,,,,"[{""assetType"": ""innercoin"", ""id"": 11631001, ""amount"": -8500}, {""assetType"": ""item"", ""id"": 111110264, ""amount"": -14}]"
2008502,5689188,,,,"[{""assetType"": ""innercoin"", ""id"": 11631001, ""amount"": -1000}, {""assetType"": ""item"", ""id"": 111110264, ""amount"": -1}]"
