服务器ID,玩家ID,记录类型,说明,猿猴币数量,自选宝箱数量,时间
2038602,11050556,充值购买,"礼包2013511021, 花费$49.99",5000,,2026-04-15 17:37:16.567
2038602,11050556,充值购买,"礼包2013511020, 花费$19.99",2000,,2026-04-15 17:41:19.507
2038602,11050556,兑换消耗,花费2000猿猴币兑换奖励,-2000,,2026-04-15 17:40:29.122
2038602,11050556,已领取-阶段一返还,返还1000猿猴币+1个自选宝箱,1000,1,2026-04-18 08:11:53.297
2038602,11050556,已领取-阶段一返还,返还5000猿猴币+10个自选宝箱,5000,10,2026-04-18 08:11:56.830
2038602,11050556,需补发-阶段二未发放,"兑换2000档位, 阶段二未发放x1次",1000,1,
2016902,11469430,兑换消耗,花费10000猿猴币兑换奖励,-10000,,2026-04-16 02:55:48.471
2016902,11469430,已领取-阶段一返还,返还5000猿猴币+10个自选宝箱,5000,10,2026-04-18 16:16:06.040
2016902,11469430,需补发-阶段二未发放,"兑换10000档位, 阶段二未发放x1次",5000,10,
2017802,11665893,充值购买,"礼包2013511020, 花费$19.99",2000,,2026-04-16 08:26:10.519
2017802,11665893,兑换消耗,花费2000猿猴币兑换奖励,-2000,,2026-04-16 08:26:19.335
2017802,11665893,已领取-阶段一返还,返还1000猿猴币+1个自选宝箱,1000,1,2026-04-18 12:49:22.642
2017802,11665893,需补发-阶段二未发放,"兑换2000档位, 阶段二未发放x1次",1000,1,
2016902,12051616,充值购买,"礼包2013511020, 花费$19.99",2000,,2026-04-16 03:21:33.226
2016902,12051616,充值购买,"礼包2013511021, 花费$49.99",5000,,2026-04-16 03:38:47.964
2016902,12051616,兑换消耗,花费2000猿猴币兑换奖励,-2000,,2026-04-16 03:24:03.330
2016902,12051616,兑换消耗,花费5000猿猴币兑换奖励,-5000,,2026-04-16 03:40:05.634
2016902,12051616,已领取-阶段一返还,返还1000猿猴币+1个自选宝箱,1000,1,2026-04-18 08:01:38.556
2016902,12051616,已领取-阶段一返还,返还2500猿猴币+3个自选宝箱,2500,3,2026-04-18 08:01:42.626
2016902,12051616,需补发-阶段二未发放,"兑换2000档位, 阶段二未发放x1次",1000,1,
2016902,12051616,需补发-阶段二未发放,"兑换5000档位, 阶段二未发放x1次",2500,3,
2018202,12303500,兑换消耗,花费10000猿猴币兑换奖励,-10000,,2026-04-15 10:44:14.361
2018202,12303500,已领取-阶段一返还,返还5000猿猴币+10个自选宝箱,5000,10,2026-04-18 08:49:01.551
2018202,12303500,需补发-阶段二未发放,"兑换10000档位, 阶段二未发放x1次",5000,10,
2018602,12411428,充值购买,"礼包2013511021, 花费$49.99",5000,,2026-04-17 03:47:19.973
2018602,12411428,兑换消耗,花费10000猿猴币兑换奖励,-10000,,2026-04-17 03:49:29.999
2018602,12411428,已领取-阶段一返还,返还5000猿猴币+10个自选宝箱,5000,10,2026-04-18 08:04:26.798
2018602,12411428,需补发-阶段二未发放,"兑换10000档位, 阶段二未发放x1次",5000,10,
2018502,12645899,兑换消耗,花费2000猿猴币兑换奖励,-2000,,2026-04-16 06:32:13.008
2018502,12645899,已领取-阶段一返还,返还1000猿猴币+1个自选宝箱,1000,1,2026-04-18 08:27:29.835
2018502,12645899,需补发-阶段二未发放,"兑换2000档位, 阶段二未发放x1次",1000,1,
2018502,12735607,兑换消耗,花费5000猿猴币兑换奖励,-5000,,2026-04-15 20:52:29.378
2018502,12735607,已领取-阶段一返还,返还2500猿猴币+3个自选宝箱,2500,3,2026-04-18 08:26:06.796
2018502,12735607,需补发-阶段二未发放,"兑换5000档位, 阶段二未发放x1次",2500,3,
2014502,12991657,充值购买,"礼包2013511022, 花费$99.99",10000,,2026-04-16 01:13:33.073
2014502,12991657,兑换消耗,花费10000猿猴币兑换奖励,-10000,,2026-04-16 01:15:55.437
2014502,12991657,已领取-阶段一返还,返还5000猿猴币+10个自选宝箱,5000,10,2026-04-18 14:36:29.802
2014502,12991657,需补发-阶段二未发放,"兑换10000档位, 阶段二未发放x1次",5000,10,
2062602,13083476,兑换消耗,花费2000猿猴币兑换奖励,-2000,,2026-04-17 06:42:33.047
2062602,13083476,兑换消耗,花费5000猿猴币兑换奖励,-5000,,2026-04-18 07:47:44.513
2062602,13083476,已领取-阶段一返还,返还1000猿猴币+1个自选宝箱,1000,1,2026-04-18 08:00:42.353
2062602,13083476,已领取-阶段一返还,返还2500猿猴币+3个自选宝箱,2500,3,2026-04-18 08:00:47.163
2062602,13083476,需补发-阶段二未发放,"兑换2000档位, 阶段二未发放x1次",1000,1,
2062602,13083476,需补发-阶段二未发放,"兑换5000档位, 阶段二未发放x1次",2500,3,
2023502,13173406,兑换消耗,花费50000猿猴币兑换奖励,-50000,,2026-04-15 09:51:46.477
2023502,13173406,已领取-阶段一返还,返还25000猿猴币+85个自选宝箱,25000,85,2026-04-18 09:03:04.019
2023502,13173406,需补发-阶段二未发放,"兑换50000档位, 阶段二未发放x1次",25000,85,
