server_id,player_id,exchange_detail,s1_delivered_coins,s1_delivered_boxes,s1_missing_coins,s1_missing_boxes,s2_owed_coins,s2_owed_boxes,total_comp_coins,total_comp_boxes,compensation_items
2000808,219012183,"2000x1, 5000x1, 10000x1, 20000x1, 30000x1, 50000x1",58500,161,0,0,58500,161,58500,161,"11631001:58500, 111110264:161"
2000808,219915914,"2000x1, 5000x1",3500,4,0,0,3500,4,3500,4,"11631001:3500, 111110264:4"
2006102,5971370,10000x1,5000,10,0,0,5000,10,5000,10,"11631001:5000, 111110264:10"
2006102,62553613,5000x1,2500,3,0,0,2500,3,2500,3,"11631001:2500, 111110264:3"
2006102,6454041,"2000x1, 5000x1, 10000x1, 20000x1, 30000x1, 50000x1",58500,161,0,0,58500,161,58500,161,"11631001:58500, 111110264:161"
2006102,7536707,2000x1,1000,1,0,0,1000,1,1000,1,"11631001:1000, 111110264:1"
2006102,7932095,2000x1,1000,1,0,0,1000,1,1000,1,"11631001:1000, 111110264:1"
2006402,5849885,5000x1,2500,3,0,0,2500,3,2500,3,"11631001:2500, 111110264:3"
2006402,7250474,10000x1,5000,10,0,0,5000,10,5000,10,"11631001:5000, 111110264:10"
2006502,2802036,10000x1,5000,10,0,0,5000,10,5000,10,"11631001:5000, 111110264:10"
2006502,4596249,2000x1,1000,1,0,0,1000,1,1000,1,"11631001:1000, 111110264:1"
2006702,7351210,5000x1,2500,3,0,0,2500,3,2500,3,"11631001:2500, 111110264:3"
2007202,20540315,2000x1,1000,1,0,0,1000,1,1000,1,"11631001:1000, 111110264:1"
2007202,22627293,"2000x1, 5000x1, 10000x1",8500,14,0,0,8500,14,8500,14,"11631001:8500, 111110264:14"
2007202,23809498,10000x1,5000,10,0,0,5000,10,5000,10,"11631001:5000, 111110264:10"
2007202,258957,2000x1,1000,1,0,0,1000,1,1000,1,"11631001:1000, 111110264:1"
2007202,266079,10000x1,5000,10,0,0,5000,10,5000,10,"11631001:5000, 111110264:10"
2007202,3182561,"2000x1, 5000x1, 10000x1, 50000x1",33500,99,0,0,33500,99,33500,99,"11631001:33500, 111110264:99"
2007202,5302387,10000x1,5000,10,0,0,5000,10,5000,10,"11631001:5000, 111110264:10"
2007202,6314102,"5000x1, 10000x1",7500,13,0,0,7500,13,7500,13,"11631001:7500, 111110264:13"
2008502,5689188,2000x1,1000,1,0,0,1000,1,1000,1,"11631001:1000, 111110264:1"
2010108,213445284,"2000x1, 5000x1, 10000x1",8500,14,0,0,8500,14,8500,14,"11631001:8500, 111110264:14"
2010108,213565997,2000x1,1000,1,0,0,1000,1,1000,1,"11631001:1000, 111110264:1"
2010108,215520292,"2000x1, 5000x1, 10000x1, 30000x1",23500,54,0,0,23500,54,23500,54,"11631001:23500, 111110264:54"
2010108,216595247,20000x1,10000,22,0,0,10000,22,10000,22,"11631001:10000, 111110264:22"
2010302,8278408,20000x1,10000,22,0,0,10000,22,10000,22,"11631001:10000, 111110264:22"
2012302,9023001,2000x1,1000,1,0,0,1000,1,1000,1,"11631001:1000, 111110264:1"
2012402,16182800,2000x1,1000,1,0,0,1000,1,1000,1,"11631001:1000, 111110264:1"
2012402,17801912,20000x1,10000,22,0,0,10000,22,10000,22,"11631001:10000, 111110264:22"
2012402,19981811,"2000x1, 10000x1",6000,11,0,0,6000,11,6000,11,"11631001:6000, 111110264:11"
2012402,8135146,5000x1,2500,3,0,0,2500,3,2500,3,"11631001:2500, 111110264:3"
2012402,8654505,"2000x1, 5000x1, 10000x1",8500,14,0,0,8500,14,8500,14,"11631001:8500, 111110264:14"
2013402,9570697,2000x1,1000,1,0,0,1000,1,1000,1,"11631001:1000, 111110264:1"
2013602,9375402,"5000x1, 10000x1",7500,13,0,0,7500,13,7500,13,"11631001:7500, 111110264:13"
2014502,12991657,10000x1,5000,10,0,0,5000,10,5000,10,"11631001:5000, 111110264:10"
2016902,11469430,10000x1,5000,10,0,0,5000,10,5000,10,"11631001:5000, 111110264:10"
2016902,12051616,"2000x1, 5000x1",3500,4,0,0,3500,4,3500,4,"11631001:3500, 111110264:4"
2016902,25491019,50000x1,25000,85,0,0,25000,85,25000,85,"11631001:25000, 111110264:85"
2016902,42481373,5000x1,2500,3,0,0,2500,3,2500,3,"11631001:2500, 111110264:3"
2016902,47557017,"2000x1, 5000x1, 10000x1",8500,14,0,0,8500,14,8500,14,"11631001:8500, 111110264:14"
2016902,49649406,20000x1,10000,22,0,0,10000,22,10000,22,"11631001:10000, 111110264:22"
2016902,56262169,10000x1,5000,10,0,0,5000,10,5000,10,"11631001:5000, 111110264:10"
2016902,6774573,"10000x1, 20000x1, 30000x1, 50000x1",55000,157,0,0,55000,157,55000,157,"11631001:55000, 111110264:157"
2017802,11665893,2000x1,1000,1,0,0,1000,1,1000,1,"11631001:1000, 111110264:1"
2018202,12303500,10000x1,5000,10,0,0,5000,10,5000,10,"11631001:5000, 111110264:10"
2018502,12645899,2000x1,1000,1,0,0,1000,1,1000,1,"11631001:1000, 111110264:1"
2018502,12735607,5000x1,2500,3,0,0,2500,3,2500,3,"11631001:2500, 111110264:3"
2018502,17649139,5000x1,2500,3,0,0,2500,3,2500,3,"11631001:2500, 111110264:3"
2018502,17856863,5000x1,2500,3,0,0,2500,3,2500,3,"11631001:2500, 111110264:3"
2018602,12411428,10000x1,5000,10,0,0,5000,10,5000,10,"11631001:5000, 111110264:10"
2021902,13921898,2000x1,1000,1,0,0,1000,1,1000,1,"11631001:1000, 111110264:1"
2021902,14408898,"2000x1, 5000x1",3500,4,0,0,3500,4,3500,4,"11631001:3500, 111110264:4"
2021902,14689811,10000x1,5000,10,0,0,5000,10,5000,10,"11631001:5000, 111110264:10"
2021902,14712628,5000x1,2500,3,0,0,2500,3,2500,3,"11631001:2500, 111110264:3"
2021902,15692128,20000x1,10000,22,0,0,10000,22,10000,22,"11631001:10000, 111110264:22"
2023502,13173406,50000x1,25000,85,0,0,25000,85,25000,85,"11631001:25000, 111110264:85"
2023502,13245861,2000x1,1000,1,0,0,1000,1,1000,1,"11631001:1000, 111110264:1"
2023502,16274477,5000x1,2500,3,0,0,2500,3,2500,3,"11631001:2500, 111110264:3"
2023502,17655371,2000x1,1000,1,0,0,1000,1,1000,1,"11631001:1000, 111110264:1"
2023502,19448494,20000x1,10000,22,0,0,10000,22,10000,22,"11631001:10000, 111110264:22"
2023502,21076020,2000x1,1000,1,0,0,1000,1,1000,1,"11631001:1000, 111110264:1"
2023502,40761300,2000x1,1000,1,0,0,1000,1,1000,1,"11631001:1000, 111110264:1"
2024502,19571076,10000x1,5000,10,0,0,5000,10,5000,10,"11631001:5000, 111110264:10"
2024502,19682301,10000x1,5000,10,0,0,5000,10,5000,10,"11631001:5000, 111110264:10"
2024502,22464954,"2000x1, 5000x1, 10000x1, 20000x1",18500,36,0,0,18500,36,18500,36,"11631001:18500, 111110264:36"
2024702,20074257,2000x1,1000,1,0,0,1000,1,1000,1,"11631001:1000, 111110264:1"
2025502,17299565,30000x1,15000,40,0,0,15000,40,15000,40,"11631001:15000, 111110264:40"
2025502,18047958,5000x1,2500,3,0,0,2500,3,2500,3,"11631001:2500, 111110264:3"
2025502,18163099,"2000x1, 50000x1",26000,86,0,0,26000,86,26000,86,"11631001:26000, 111110264:86"
2025502,18548432,10000x1,5000,10,0,0,5000,10,5000,10,"11631001:5000, 111110264:10"
2026002,20222125,2000x1,1000,1,0,0,1000,1,1000,1,"11631001:1000, 111110264:1"
2027002,20273346,2000x1,1000,1,0,0,1000,1,1000,1,"11631001:1000, 111110264:1"
2027002,20461740,5000x1,2500,3,0,0,2500,3,2500,3,"11631001:2500, 111110264:3"
2028602,15059308,2000x1,1000,1,0,0,1000,1,1000,1,"11631001:1000, 111110264:1"
2029902,21167199,5000x1,2500,3,0,0,2500,3,2500,3,"11631001:2500, 111110264:3"
2030002,22873602,5000x1,2500,3,0,0,2500,3,2500,3,"11631001:2500, 111110264:3"
2030002,27138261,"5000x1, 10000x1",7500,13,0,0,7500,13,7500,13,"11631001:7500, 111110264:13"
2030002,27365152,2000x1,1000,1,0,0,1000,1,1000,1,"11631001:1000, 111110264:1"
2031402,23936740,20000x1,10000,22,0,0,10000,22,10000,22,"11631001:10000, 111110264:22"
2031402,24196485,"5000x1, 50000x1",27500,88,0,0,27500,88,27500,88,"11631001:27500, 111110264:88"
2031402,24265128,"2000x1, 5000x1",3500,4,0,0,3500,4,3500,4,"11631001:3500, 111110264:4"
2031402,24630904,2000x1,1000,1,0,0,1000,1,1000,1,"11631001:1000, 111110264:1"
2032402,27652679,"2000x1, 10000x1",6000,11,0,0,6000,11,6000,11,"11631001:6000, 111110264:11"
2032402,27661733,2000x1,1000,1,0,0,1000,1,1000,1,"11631001:1000, 111110264:1"
2032402,27777369,2000x1,1000,1,0,0,1000,1,1000,1,"11631001:1000, 111110264:1"
2032402,27801143,2000x1,1000,1,0,0,1000,1,1000,1,"11631001:1000, 111110264:1"
2032402,27837911,5000x1,2500,3,0,0,2500,3,2500,3,"11631001:2500, 111110264:3"
2032402,28497456,20000x1,10000,22,0,0,10000,22,10000,22,"11631001:10000, 111110264:22"
2033202,26422876,20000x1,10000,22,0,0,10000,22,10000,22,"11631001:10000, 111110264:22"
2033202,27214385,2000x1,1000,1,0,0,1000,1,1000,1,"11631001:1000, 111110264:1"
2033202,37139980,"2000x1, 5000x1, 10000x1",8500,14,0,0,8500,14,8500,14,"11631001:8500, 111110264:14"
2033902,19928862,2000x1,1000,1,0,0,1000,1,1000,1,"11631001:1000, 111110264:1"
2033902,21176447,2000x1,1000,1,0,0,1000,1,1000,1,"11631001:1000, 111110264:1"
2033902,25225869,2000x1,1000,1,0,0,1000,1,1000,1,"11631001:1000, 111110264:1"
2037402,18703214,2000x1,1000,1,0,0,1000,1,1000,1,"11631001:1000, 111110264:1"
2037402,24952300,"2000x1, 5000x1, 10000x1",8500,14,0,0,8500,14,8500,14,"11631001:8500, 111110264:14"
2037402,30243105,50000x1,25000,85,0,0,25000,85,25000,85,"11631001:25000, 111110264:85"
2037402,35611031,2000x1,0,0,1000,1,1000,1,2000,2,"11631001:2000, 111110264:2"
2037402,35833980,2000x1,1000,1,0,0,1000,1,1000,1,"11631001:1000, 111110264:1"
2038602,11050556,2000x1,1000,1,0,0,1000,1,1000,1,"11631001:1000, 111110264:1"
2038602,13260793,"2000x1, 5000x1",3500,4,0,0,3500,4,3500,4,"11631001:3500, 111110264:4"
2038602,22245308,10000x1,5000,10,0,0,5000,10,5000,10,"11631001:5000, 111110264:10"
2038602,26391637,10000x1,5000,10,0,0,5000,10,5000,10,"11631001:5000, 111110264:10"
2038602,29222591,10000x1,5000,10,0,0,5000,10,5000,10,"11631001:5000, 111110264:10"
2038602,31776438,2000x1,1000,1,0,0,1000,1,1000,1,"11631001:1000, 111110264:1"
