server_id,player_id,purchased_coins,compensation_items,total_coins,total_boxes_111110264
2006102,4200722,2000x1,"monkey_coin:2000, 111110264:2",2000,2
2006102,6151149,2000x1,"monkey_coin:2000, 111110264:2",2000,2
2006102,6454041,"2000x5, 5000x1, 10000x3","monkey_coin:45000, 111110264:76",45000,76
2006102,8302676,2000x1,"monkey_coin:2000, 111110264:2",2000,2
2006402,8159597,2000x1,"monkey_coin:2000, 111110264:2",2000,2
2008502,6449571,2000x1,"monkey_coin:2000, 111110264:2",2000,2
2010302,8278408,10000x1,"monkey_coin:10000, 111110264:20",10000,20
2010302,8763161,"2000x4, 10000x4","monkey_coin:48000, 111110264:88",48000,88
2012302,7893728,2000x1,"monkey_coin:2000, 111110264:2",2000,2
2012302,8936675,5000x1,"monkey_coin:5000, 111110264:6",5000,6
2012402,20665385,10000x1,"monkey_coin:10000, 111110264:20",10000,20
2012402,6167859,10000x1,"monkey_coin:10000, 111110264:20",10000,20
2012402,8654505,10000x1,"monkey_coin:10000, 111110264:20",10000,20
2012402,8873732,2000x1,"monkey_coin:2000, 111110264:2",2000,2
2013402,9635432,10000x1,"monkey_coin:10000, 111110264:20",10000,20
2015702,15854387,2000x1,"monkey_coin:2000, 111110264:2",2000,2
2016902,12143109,"2000x2, 10000x1","monkey_coin:14000, 111110264:24",14000,24
2016902,19751733,10000x1,"monkey_coin:10000, 111110264:20",10000,20
2016902,50494222,10000x2,"monkey_coin:20000, 111110264:40",20000,40
2016902,6774573,10000x10,"monkey_coin:100000, 111110264:200",100000,200
2022002,16780991,5000x1,"monkey_coin:5000, 111110264:6",5000,6
2023502,19404305,2000x2,"monkey_coin:4000, 111110264:4",4000,4
2024402,16152700,5000x1,"monkey_coin:5000, 111110264:6",5000,6
2024402,18153003,2000x1,"monkey_coin:2000, 111110264:2",2000,2
2024502,22464954,10000x2,"monkey_coin:20000, 111110264:40",20000,40
2024702,20074257,2000x1,"monkey_coin:2000, 111110264:2",2000,2
2025502,18322103,10000x1,"monkey_coin:10000, 111110264:20",10000,20
2030002,27138261,2000x1,"monkey_coin:2000, 111110264:2",2000,2
2030002,27365152,"2000x1, 5000x1","monkey_coin:7000, 111110264:8",7000,8
2031402,23599062,10000x1,"monkey_coin:10000, 111110264:20",10000,20
2031402,24196485,10000x3,"monkey_coin:30000, 111110264:60",30000,60
2032402,27633916,"2000x1, 5000x1, 10000x1","monkey_coin:17000, 111110264:28",17000,28
2032402,27652679,2000x2,"monkey_coin:4000, 111110264:4",4000,4
2033902,27230447,10000x1,"monkey_coin:10000, 111110264:20",10000,20
2037402,24952300,"2000x1, 10000x2","monkey_coin:22000, 111110264:42",22000,42
2037402,35627759,"2000x2, 5000x2, 10000x3","monkey_coin:44000, 111110264:76",44000,76
2038602,13260793,10000x1,"monkey_coin:10000, 111110264:20",10000,20
2038602,17841602,10000x1,"monkey_coin:10000, 111110264:20",10000,20
2038602,22761036,10000x2,"monkey_coin:20000, 111110264:40",20000,40
2038602,26391637,10000x2,"monkey_coin:20000, 111110264:40",20000,40
2038602,28707236,5000x1,"monkey_coin:5000, 111110264:6",5000,6
2038602,31331145,2000x1,"monkey_coin:2000, 111110264:2",2000,2
2038602,32389590,2000x1,"monkey_coin:2000, 111110264:2",2000,2
2038602,34047313,10000x3,"monkey_coin:30000, 111110264:60",30000,60
2038602,34210976,10000x1,"monkey_coin:10000, 111110264:20",10000,20
2038602,34215583,2000x2,"monkey_coin:4000, 111110264:4",4000,4
2038602,36213003,10000x1,"monkey_coin:10000, 111110264:20",10000,20
2038602,36380670,10000x4,"monkey_coin:40000, 111110264:80",40000,80
2038602,41164302,"2000x1, 10000x3","monkey_coin:32000, 111110264:62",32000,62
2038602,6360346,10000x2,"monkey_coin:20000, 111110264:40",20000,40
2041002,14358374,10000x1,"monkey_coin:10000, 111110264:20",10000,20
2041002,18528711,2000x1,"monkey_coin:2000, 111110264:2",2000,2
2041002,19068760,5000x1,"monkey_coin:5000, 111110264:6",5000,6
2041002,3049723,10000x5,"monkey_coin:50000, 111110264:100",50000,100
2041002,31952856,10000x5,"monkey_coin:50000, 111110264:100",50000,100
2041002,32404815,2000x1,"monkey_coin:2000, 111110264:2",2000,2
2041002,32764581,5000x1,"monkey_coin:5000, 111110264:6",5000,6
2041002,33160780,2000x2,"monkey_coin:4000, 111110264:4",4000,4
2041002,33904862,10000x1,"monkey_coin:10000, 111110264:20",10000,20
2043802,29126810,5000x1,"monkey_coin:5000, 111110264:6",5000,6
2043802,36682916,5000x1,"monkey_coin:5000, 111110264:6",5000,6
2043802,50347545,5000x1,"monkey_coin:5000, 111110264:6",5000,6
2044602,34700327,2000x1,"monkey_coin:2000, 111110264:2",2000,2
2050502,41248658,5000x1,"monkey_coin:5000, 111110264:6",5000,6
2050802,21635172,10000x3,"monkey_coin:30000, 111110264:60",30000,60
2050802,41352787,2000x1,"monkey_coin:2000, 111110264:2",2000,2
2050802,55023865,10000x1,"monkey_coin:10000, 111110264:20",10000,20
2051302,42219379,10000x1,"monkey_coin:10000, 111110264:20",10000,20
2054002,23084111,10000x1,"monkey_coin:10000, 111110264:20",10000,20
2054002,30122349,10000x11,"monkey_coin:110000, 111110264:220",110000,220
