服务器ID,玩家ID,资产类型,资产id,资产数量
2038602,11050556,innercoin,11631001,-6000
2016902,11469430,innercoin,11631001,-5000
2016902,11469430,item,111110264,-10
2017802,11665893,innercoin,11631001,-1000
2017802,11665893,item,111110264,-1
2016902,12051616,innercoin,11631001,-3500
2016902,12051616,item,111110264,-4
2018202,12303500,innercoin,11631001,-5000
2018602,12411428,innercoin,11631001,-5000
2018602,12411428,item,111110264,-10
2018502,12645899,innercoin,11631001,-1000
2018502,12645899,item,111110264,-1
2018502,12735607,innercoin,11631001,-2500
2018502,12735607,item,111110264,-3
2014502,12991657,innercoin,11631001,-5000
2014502,12991657,item,111110264,-10
2062602,13083476,innercoin,11631001,-3500
2062602,13083476,item,111110264,-4
2023502,13173406,innercoin,11631001,-25000
2023502,13245861,innercoin,11631001,-1000
2023502,13245861,item,111110264,-1
2038602,13260793,innercoin,11631001,-3500
2038602,13260793,item,111110264,-4
2021902,13921898,innercoin,11631001,-1000
2021902,14408898,innercoin,11631001,-8500
2021902,14408898,item,111110264,-14
2021902,14689811,innercoin,11631001,-8500
2021902,14689811,item,111110264,-14
2021902,14712628,innercoin,11631001,-2500
2021902,14712628,item,111110264,-3
2041002,14915437,innercoin,11631001,-26000
2041002,14915437,item,111110264,-86
2028602,15059308,innercoin,11631001,-1000
2028602,15059308,item,111110264,-1
2021902,15692128,innercoin,11631001,-10000
2012402,16182800,innercoin,11631001,-21000
2012402,16182800,item,111110264,-51
2023502,16274477,innercoin,11631001,-2500
2023502,16274477,item,111110264,-3
2041002,16303419,innercoin,11631001,-35000
2041002,16303419,item,111110264,-107
2025502,17299565,innercoin,11631001,-15000
2025502,17299565,item,111110264,-40
2018502,17649139,innercoin,11631001,-2500
2023502,17655371,innercoin,11631001,-1000
2023502,17655371,item,111110264,-1
2041002,17752433,innercoin,11631001,-57500
2041002,17752433,item,111110264,-160
2012402,17801912,innercoin,11631001,-18500
2012402,17801912,item,111110264,-36
2018502,17856863,innercoin,11631001,-2500
2018502,17856863,item,111110264,-3
2025502,18047958,innercoin,11631001,-2500
2025502,18047958,item,111110264,-3
2025502,18163099,innercoin,11631001,-26000
2025502,18163099,item,111110264,-86
2025502,18548432,innercoin,11631001,-6000
2025502,18548432,item,111110264,-11
2037402,18703214,innercoin,11631001,-58500
2037402,18703214,item,111110264,-161
2023502,19448494,innercoin,11631001,-10000
2023502,19448494,item,111110264,-22
2024502,19571076,innercoin,11631001,-5000
2024502,19571076,item,111110264,-10
2054002,19893734,innercoin,11631001,-58500
2033902,19928862,innercoin,11631001,-3500
2012402,19981811,innercoin,11631001,-58500
2012402,19981811,item,111110264,-159
2079302,200117375,innercoin,11631001,-33500
2079302,200117375,item,111110264,-73
2077002,200209343,innercoin,11631001,-1000
2077002,200209343,item,111110264,-1
2077702,200308757,innercoin,11631001,-1000
2077702,200308757,item,111110264,-1
2077002,200554283,innercoin,11631001,-10000
2077002,200554283,item,111110264,-23
2024702,20074257,innercoin,11631001,-1000
2024702,20074257,item,111110264,-1
2077702,200981160,innercoin,11631001,-5000
2077702,200981160,item,111110264,-10
2077702,201058202,innercoin,11631001,-50000
2077702,201058202,item,111110264,-170
2077702,201989156,innercoin,11631001,-1000
2077702,201989156,item,111110264,-1
2604002,202176747,innercoin,11631001,-25000
2604002,202176747,item,111110264,-85
2026002,20222125,innercoin,11631001,-1000
2026002,20222125,item,111110264,-1
2079402,203288965,innercoin,11631001,-5000
2041002,20344682,innercoin,11631001,-10000
2079102,203615719,innercoin,11631001,-5000
2079102,203615719,item,111110264,-10
2027002,20461740,innercoin,11631001,-2500
2027002,20461740,item,111110264,-3
2084102,204670965,innercoin,11631001,-1000
2084102,205172615,innercoin,11631001,-1000
2084102,205172615,item,111110264,-1
2007202,20540315,innercoin,11631001,-1000
2085302,207180683,innercoin,11631001,-5000
2085302,207180683,item,111110264,-10
2086302,207982806,innercoin,11631001,-25000
2086302,208392743,innercoin,11631001,-8500
