·þÎñÆ÷ID,Íæ¼ÒID,¿Û»ØÔ³ºï±Ò,¿Û»Ø±¦Ïä
2038602,11050556,-6000,0
2016902,11469430,-5000,-10
2017802,11665893,-1000,-1
2016902,12051616,-3500,-4
2018202,12303500,-5000,0
2018602,12411428,-5000,-10
2018502,12645899,-1000,-1
2018502,12735607,-2500,-3
2014502,12991657,-5000,-10
2062602,13083476,-3500,-4
2023502,13173406,-25000,0
2023502,13245861,-1000,-1
2038602,13260793,-3500,-4
2021902,13921898,-1000,0
2021902,14408898,-8500,-14
2021902,14689811,-8500,-14
2021902,14712628,-2500,-3
2041002,14915437,-26000,-86
2028602,15059308,-1000,-1
2021902,15692128,-10000,0
2012402,16182800,-21000,-51
2023502,16274477,-2500,-3
2041002,16303419,-35000,-107
2025502,17299565,-15000,-40
2018502,17649139,-2500,0
2023502,17655371,-1000,-1
2041002,17752433,-57500,-160
2012402,17801912,-18500,-36
2018502,17856863,-2500,-3
2025502,18047958,-2500,-3
2025502,18163099,-26000,-86
2025502,18548432,-6000,-11
2037402,18703214,-58500,-161
2023502,19448494,-10000,-22
2024502,19571076,-5000,-10
2054002,19893734,-58500,0
2033902,19928862,-3500,0
2012402,19981811,-58500,-159
2079302,200117375,-33500,-73
2077002,200209343,-1000,-1
2077702,200308757,-1000,-1
2077002,200554283,-10000,-23
2024702,20074257,-1000,-1
2077702,200981160,-5000,-10
2077702,201058202,-50000,-170
2077702,201989156,-1000,-1
2604002,202176747,-25000,-85
2026002,20222125,-1000,-1
2079402,203288965,-5000,0
2041002,20344682,-10000,0
2079102,203615719,-5000,-10
2027002,20461740,-2500,-3
2084102,204670965,-1000,0
2084102,205172615,-1000,-1
2007202,20540315,-1000,0
2085302,207180683,-5000,-10
2086302,207982806,-25000,0
2086302,208392743,-8500,-14
2085302,208909340,-25000,-85
2084502,209538568,-15000,0
2605902,210267883,-1000,-1
2088302,210290432,-5000,0
2087402,210640850,-1000,-1
2023502,21076020,-1000,-1
2088302,211456327,-1000,0
2029902,21167199,-2500,0
2033902,21176447,-1000,-1
2088202,211904728,-25000,-85
2605902,213270020,-1000,-1
2010108,213445284,-8500,-14
2010108,213565997,-1000,0
2606502,214679593,-8500,0
2039502,21513924,-3500,-4
2010108,215520292,-58500,-163
2050802,21635172,-22500,-53
2010108,216595247,-10000,-22
2075202,21913740,-1000,-1
2092702,220519286,-33500,-76
2038602,22245308,-7500,-13
