服务器 ID,玩家 ID,玩家信息,标题信息,附件资产信息,自定义
2010302,7803646,,,,"[{""assetType"":""item"",""id"":11117297,""amount"":85}]"
2091102,218427028,,,,"[{""assetType"":""item"",""id"":11117297,""amount"":2}]"
2091102,218976733,,,,"[{""assetType"":""item"",""id"":11117297,""amount"":1}]"
2092002,219102314,,,,"[{""assetType"":""item"",""id"":11117297,""amount"":2}]"
2092102,219335281,,,,"[{""assetType"":""item"",""id"":11117297,""amount"":1}]"
2093702,222107889,,,,"[{""assetType"":""item"",""id"":11117297,""amount"":3}]"
2093802,222273856,,,,"[{""assetType"":""item"",""id"":11117297,""amount"":7}]"
2094302,222870109,,,,"[{""assetType"":""item"",""id"":11117297,""amount"":4}]"
2094302,222887193,,,,"[{""assetType"":""item"",""id"":11117297,""amount"":1}]"
2094302,222932462,,,,"[{""assetType"":""item"",""id"":11117297,""amount"":1}]"
2094502,223145200,,,,"[{""assetType"":""item"",""id"":11117297,""amount"":1}]"
2094502,223148846,,,,"[{""assetType"":""item"",""id"":11117297,""amount"":1}]"
2094502,223187617,,,,"[{""assetType"":""item"",""id"":11117297,""amount"":2}]"
2094602,223264799,,,,"[{""assetType"":""item"",""id"":11117297,""amount"":3}]"
2094702,223382118,,,,"[{""assetType"":""item"",""id"":11117297,""amount"":2}]"
2094702,223398035,,,,"[{""assetType"":""item"",""id"":11117297,""amount"":1}]"
2094702,223402558,,,,"[{""assetType"":""item"",""id"":11117297,""amount"":1}]"
2094802,223451950,,,,"[{""assetType"":""item"",""id"":11117297,""amount"":1}]"
2094802,223479270,,,,"[{""assetType"":""item"",""id"":11117297,""amount"":1}]"
2094902,223558761,,,,"[{""assetType"":""item"",""id"":11117297,""amount"":1}]"
2094902,223600253,,,,"[{""assetType"":""item"",""id"":11117297,""amount"":8}]"
2094902,223606976,,,,"[{""assetType"":""item"",""id"":11117297,""amount"":1}]"
2095002,223630404,,,,"[{""assetType"":""item"",""id"":11117297,""amount"":1}]"
2095002,223640648,,,,"[{""assetType"":""item"",""id"":11117297,""amount"":1}]"
2095002,223677402,,,,"[{""assetType"":""item"",""id"":11117297,""amount"":2}]"
2095002,223692790,,,,"[{""assetType"":""item"",""id"":11117297,""amount"":9}]"
2095002,223693907,,,,"[{""assetType"":""item"",""id"":11117297,""amount"":3}]"
2095002,223701637,,,,"[{""assetType"":""item"",""id"":11117297,""amount"":2}]"
2095002,223789226,,,,"[{""assetType"":""item"",""id"":11117297,""amount"":6}]"
2095102,223732681,,,,"[{""assetType"":""item"",""id"":11117297,""amount"":1}]"
