服务器 ID,玩家 ID,玩家信息,标题信息,附件资产信息,自定义
2000202,221769285,,,,"[{""assetType"":""item"",""id"":11117297,""amount"":1}]"
2000808,219002141,,,,"[{""assetType"":""item"",""id"":11117297,""amount"":3}]"
2000808,219012300,,,,"[{""assetType"":""item"",""id"":11117297,""amount"":10}]"
2000808,219023667,,,,"[{""assetType"":""item"",""id"":11117297,""amount"":10}]"
2000808,219034375,,,,"[{""assetType"":""item"",""id"":11117297,""amount"":1}]"
2000808,219056827,,,,"[{""assetType"":""item"",""id"":11117297,""amount"":1}]"
2000808,219075914,,,,"[{""assetType"":""item"",""id"":11117297,""amount"":10}]"
2000808,219077702,,,,"[{""assetType"":""item"",""id"":11117297,""amount"":3}]"
2000808,219079180,,,,"[{""assetType"":""item"",""id"":11117297,""amount"":10}]"
2000808,219119828,,,,"[{""assetType"":""item"",""id"":11117297,""amount"":9}]"
2000808,219153317,,,,"[{""assetType"":""item"",""id"":11117297,""amount"":2}]"
2000808,219272616,,,,"[{""assetType"":""item"",""id"":11117297,""amount"":3}]"
2000808,219297162,,,,"[{""assetType"":""item"",""id"":11117297,""amount"":5}]"
2000808,219324922,,,,"[{""assetType"":""item"",""id"":11117297,""amount"":2}]"
2000808,219335478,,,,"[{""assetType"":""item"",""id"":11117297,""amount"":13}]"
2000808,219355646,,,,"[{""assetType"":""item"",""id"":11117297,""amount"":9}]"
2000808,219378551,,,,"[{""assetType"":""item"",""id"":11117297,""amount"":10}]"
2000808,219378732,,,,"[{""assetType"":""item"",""id"":11117297,""amount"":9}]"
2000808,219414478,,,,"[{""assetType"":""item"",""id"":11117297,""amount"":17}]"
2000808,219490874,,,,"[{""assetType"":""item"",""id"":11117297,""amount"":4}]"
2000808,219508585,,,,"[{""assetType"":""item"",""id"":11117297,""amount"":19}]"
2000808,219516588,,,,"[{""assetType"":""item"",""id"":11117297,""amount"":3}]"
2000808,219521262,,,,"[{""assetType"":""item"",""id"":11117297,""amount"":10}]"
2000808,219532519,,,,"[{""assetType"":""item"",""id"":11117297,""amount"":1}]"
2000808,219552719,,,,"[{""assetType"":""item"",""id"":11117297,""amount"":17}]"
2000808,219569637,,,,"[{""assetType"":""item"",""id"":11117297,""amount"":6}]"
2000808,219577861,,,,"[{""assetType"":""item"",""id"":11117297,""amount"":3}]"
2000808,219588717,,,,"[{""assetType"":""item"",""id"":11117297,""amount"":4}]"
2000808,219591452,,,,"[{""assetType"":""item"",""id"":11117297,""amount"":11}]"
2000808,219604507,,,,"[{""assetType"":""item"",""id"":11117297,""amount"":1}]"
2000808,219621681,,,,"[{""assetType"":""item"",""id"":11117297,""amount"":1}]"
2000808,219626763,,,,"[{""assetType"":""item"",""id"":11117297,""amount"":10}]"
2000808,219637912,,,,"[{""assetType"":""item"",""id"":11117297,""amount"":10}]"
2000808,219692862,,,,"[{""assetType"":""item"",""id"":11117297,""amount"":10}]"
2000808,219708276,,,,"[{""assetType"":""item"",""id"":11117297,""amount"":2}]"
2000808,219719665,,,,"[{""assetType"":""item"",""id"":11117297,""amount"":6}]"
2000808,219751964,,,,"[{""assetType"":""item"",""id"":11117297,""amount"":3}]"
2000808,219813830,,,,"[{""assetType"":""item"",""id"":11117297,""amount"":5}]"
