服务器ID,玩家ID,夺宝游戏币补偿数量,点金手补偿数量,补偿说明
2001008,220212659,1,0,夺宝游戏币x1
2001008,220213133,2,0,夺宝游戏币x2
2001008,220218615,2,0,夺宝游戏币x2
2001508,221138741,1,0,夺宝游戏币x1
2001508,221148118,101,2,夺宝游戏币x101、点金手x2
2001508,221175018,1,0,夺宝游戏币x1
2001508,221202036,1,0,夺宝游戏币x1
2001508,221208336,1,0,夺宝游戏币x1
2001508,221212835,1,0,夺宝游戏币x1
2001508,221212899,1,0,夺宝游戏币x1
2001508,221227265,1,0,夺宝游戏币x1
2001508,221241156,25,0,夺宝游戏币x25
2001508,221333070,1,0,夺宝游戏币x1
2001508,221340880,1,0,夺宝游戏币x1
2001508,221343735,1,0,夺宝游戏币x1
2001508,221460680,2,0,夺宝游戏币x2
2001508,221467626,1,0,夺宝游戏币x1
2001508,221471521,1,0,夺宝游戏币x1
2001508,221484495,1,0,夺宝游戏币x1
2001508,221491862,1,0,夺宝游戏币x1
2001508,221492097,1,0,夺宝游戏币x1
2001508,221495796,1,0,夺宝游戏币x1
2001508,221496825,1,0,夺宝游戏币x1
2001508,221530776,1,0,夺宝游戏币x1
2001508,221534705,1,0,夺宝游戏币x1
2001508,221551968,1,0,夺宝游戏币x1
2001508,221565042,1,0,夺宝游戏币x1
2001508,221574792,1,0,夺宝游戏币x1
2001508,221592737,1,0,夺宝游戏币x1
2001508,221615297,1,0,夺宝游戏币x1
2001508,221617248,76,0,夺宝游戏币x76
2001508,221632231,2,0,夺宝游戏币x2
2001508,221651823,1,0,夺宝游戏币x1
2001508,221653851,2,0,夺宝游戏币x2
2001508,221655718,1,0,夺宝游戏币x1
2001508,221657739,1,0,夺宝游戏币x1
2001508,221657863,1,0,夺宝游戏币x1
2001508,221669789,1,0,夺宝游戏币x1
2001508,221684888,1,0,夺宝游戏币x1
2001508,221688419,2,0,夺宝游戏币x2
2001508,221704273,26,0,夺宝游戏币x26
2001508,221708307,2,0,夺宝游戏币x2
2001508,221716957,1,0,夺宝游戏币x1
2001508,221718067,1,0,夺宝游戏币x1
2001508,221720574,2,0,夺宝游戏币x2
2001508,221724577,1,0,夺宝游戏币x1
2001508,221725565,1,0,夺宝游戏币x1
2001508,221732884,1,0,夺宝游戏币x1
2001508,221747275,1,0,夺宝游戏币x1
2001508,221758789,1,0,夺宝游戏币x1
2001508,221760305,1,0,夺宝游戏币x1
2001508,221760746,1,0,夺宝游戏币x1
2001508,221760780,2,0,夺宝游戏币x2
