码	国	EmoticonsID	ItemID	DK_bytes	DK_icon
ALG	阿尔及利亚	Emo:300	Item:15420	DK_WC_ALG	DK_icon_global_WC_ALG
ARG	阿根廷	Emo:301	Item:15421	DK_WC_ARG	DK_icon_global_WC_ARG
AUS	澳大利亚	Emo:302	Item:15422	DK_WC_AUS	DK_icon_global_WC_AUS
AUT	奥地利	Emo:303	Item:15423	DK_WC_AUT	DK_icon_global_WC_AUT
BEL	比利时	Emo:304	Item:15424	DK_WC_BEL	DK_icon_global_WC_BEL
BIH	波黑	Emo:305	Item:15425	DK_WC_BIH	DK_icon_global_WC_BIH
BRA	巴西	Emo:306	Item:15426	DK_WC_BRA	DK_icon_global_WC_BRA
CAN	加拿大	Emo:307	Item:15427	DK_WC_CAN	DK_icon_global_WC_CAN
CIV	科特迪瓦	Emo:308	Item:15428	DK_WC_CIV	DK_icon_global_WC_CIV
COD	刚果金	Emo:309	Item:15429	DK_WC_COD	DK_icon_global_WC_COD
COL	哥伦比亚	Emo:310	Item:15430	DK_WC_COL	DK_icon_global_WC_COL
CPV	佛得角	Emo:311	Item:15431	DK_WC_CPV	DK_icon_global_WC_CPV
CRO	克罗地亚	Emo:312	Item:15432	DK_WC_CRO	DK_icon_global_WC_CRO
CUW	库拉索	Emo:313	Item:15433	DK_WC_CUW	DK_icon_global_WC_CUW
CZE	捷克	Emo:314	Item:15434	DK_WC_CZE	DK_icon_global_WC_CZE
ECU	厄瓜多尔	Emo:315	Item:15435	DK_WC_ECU	DK_icon_global_WC_ECU
EGY	埃及	Emo:316	Item:15436	DK_WC_EGY	DK_icon_global_WC_EGY
ENG	英格兰	Emo:317	Item:15437	DK_WC_ENG	DK_icon_global_WC_ENG
ESP	西班牙	Emo:318	Item:15438	DK_WC_ESP	DK_icon_global_WC_ESP
FRA	法国	Emo:319	Item:15439	DK_WC_FRA	DK_icon_global_WC_FRA
GER	德国	Emo:320	Item:15440	DK_WC_GER	DK_icon_global_WC_GER
GHA	加纳	Emo:321	Item:15441	DK_WC_GHA	DK_icon_global_WC_GHA
HAI	海地	Emo:322	Item:15442	DK_WC_HAI	DK_icon_global_WC_HAI
IRN	伊朗	Emo:323	Item:15443	DK_WC_IRN	DK_icon_global_WC_IRN
IRQ	伊拉克	Emo:324	Item:15444	DK_WC_IRQ	DK_icon_global_WC_IRQ
JOR	约旦	Emo:325	Item:15445	DK_WC_JOR	DK_icon_global_WC_JOR
JPN	日本	Emo:326	Item:15446	DK_WC_JPN	DK_icon_global_WC_JPN
KOR	韩国	Emo:327	Item:15447	DK_WC_KOR	DK_icon_global_WC_KOR
KSA	沙特	Emo:328	Item:15448	DK_WC_KSA	DK_icon_global_WC_KSA
MAR	摩洛哥	Emo:329	Item:15449	DK_WC_MAR	DK_icon_global_WC_MAR
MEX	墨西哥	Emo:330	Item:15450	DK_WC_MEX	DK_icon_global_WC_MEX
NED	荷兰	Emo:331	Item:15451	DK_WC_NED	DK_icon_global_WC_NED
NOR	挪威	Emo:332	Item:15452	DK_WC_NOR	DK_icon_global_WC_NOR
NZL	新西兰	Emo:333	Item:15453	DK_WC_NZL	DK_icon_global_WC_NZL
PAN	巴拿马	Emo:334	Item:15454	DK_WC_PAN	DK_icon_global_WC_PAN
PAR	巴拉圭	Emo:335	Item:15455	DK_WC_PAR	DK_icon_global_WC_PAR
POR	葡萄牙	Emo:336	Item:15456	DK_WC_POR	DK_icon_global_WC_POR
QAT	卡塔尔	Emo:337	Item:15457	DK_WC_QAT	DK_icon_global_WC_QAT
RSA	南非	Emo:338	Item:15458	DK_WC_RSA	DK_icon_global_WC_RSA
SCO	苏格兰	Emo:339	Item:15459	DK_WC_SCO	DK_icon_global_WC_SCO
SEN	塞内加尔	Emo:340	Item:15460	DK_WC_SEN	DK_icon_global_WC_SEN
SUI	瑞士	Emo:341	Item:15461	DK_WC_SUI	DK_icon_global_WC_SUI
SWE	瑞典	Emo:342	Item:15462	DK_WC_SWE	DK_icon_global_WC_SWE
TUN	突尼斯	Emo:343	Item:15463	DK_WC_TUN	DK_icon_global_WC_TUN
TUR	土耳其	Emo:344	Item:15464	DK_WC_TUR	DK_icon_global_WC_TUR
URU	乌拉圭	Emo:345	Item:15465	DK_WC_URU	DK_icon_global_WC_URU
USA	美国	Emo:346	Item:15466	DK_WC_USA	DK_icon_global_WC_USA
UZB	乌兹别克	Emo:347	Item:15467	DK_WC_UZB	DK_icon_global_WC_UZB
