服务器 ID,玩家 ID,玩家信息,标题信息,附件资产信息,自定义
1003702,97139,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":15}]"
1003702,100446,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":5}]"
1003702,137384,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":5}]"
1003702,138518,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":10}]"
1003702,155699,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":10}]"
1003702,212519,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":5}]"
1003702,232335,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":10}]"
1003702,243228,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":5}]"
1003702,331191,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":34}]"
1003702,335783,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":5}]"
1003702,344989,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":5}]"
1003702,345576,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":5}]"
1003702,352774,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":5}]"
1003702,390700,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":15}]"
1003702,416536,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":5}]"
1003702,447405,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":10}]"
1003702,458765,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":4}]"
1003702,459091,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":10}]"
1003702,467320,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":5}]"
1003702,467378,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":15}]"
1003702,471185,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":5}]"
1004502,472762,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":15}]"
1004502,482464,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":5}]"
1004502,488502,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":45}]"
1004502,494436,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":15}]"
1004502,506076,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":76}]"
1004502,507924,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":8}]"
1004502,517960,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":19}]"
1004502,524183,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":10}]"
1004502,529754,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":5}]"
1004502,538134,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":49}]"
1004502,541296,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":5}]"
1004502,548478,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":5}]"
1004502,553892,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":5}]"
1004502,557434,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":15}]"
1004502,559414,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":15}]"
1004502,574693,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":5}]"
1004502,578814,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":5}]"
1004502,588018,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":17}]"
1004502,989286,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":5}]"
1005302,626110,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":5}]"
1005302,646449,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":10}]"
1005302,654117,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":8}]"
1005302,660309,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":5}]"
1005302,663123,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":18}]"
1005302,672175,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":10}]"
1005302,682018,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":10}]"
1005302,694866,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":15}]"
1005302,698389,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":10}]"
1005302,701781,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":10}]"
1005302,704303,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":10}]"
1005302,706260,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":10}]"
1005302,708090,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":5}]"
1005302,714172,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":5}]"
1005302,717626,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":10}]"
1005302,717815,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":5}]"
1005302,718583,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":10}]"
1005302,726797,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":6}]"
1005302,728384,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":10}]"
1005302,731649,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":5}]"
1005302,732180,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":10}]"
1005302,733889,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":15}]"
1005302,734388,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":5}]"
1005302,737706,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":9}]"
1005302,741009,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":15}]"
1005302,742567,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":15}]"
1006102,743860,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":805}]"
1006102,749181,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":1}]"
1006102,751222,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":5}]"
1006102,757589,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":15}]"
1006102,761929,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":6}]"
1006102,775395,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":10}]"
1006102,782862,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":4}]"
1006102,804788,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":9}]"
1006102,809967,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":15}]"
1006102,819921,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":5}]"
1006102,821934,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":10}]"
1006102,838993,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":71}]"
1006102,843507,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":5}]"
1006102,852269,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":10}]"
1006102,860169,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":12}]"
1006102,867914,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":74}]"
1006102,872958,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":15}]"
1006102,883033,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":5}]"
1006102,884505,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":10}]"
1006102,889182,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":17}]"
1006102,891189,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":10}]"
1006102,894982,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":5}]"
1006102,897249,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":11}]"
1006102,897546,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":15}]"
1006102,900564,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":5}]"
1006102,901865,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":9}]"
1006102,909860,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":5}]"
1006502,920120,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":19}]"
1006502,925874,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":16}]"
1006502,930958,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":15}]"
1006502,947662,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":6}]"
1006502,961150,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":43}]"
1006902,979222,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":5}]"
1006902,992614,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":10}]"
1006902,992688,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":15}]"
1006902,1003103,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":10}]"
1006902,1008410,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":15}]"
1006902,1013163,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":10}]"
1006902,1029011,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":5}]"
1006902,1031039,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":5}]"
1006902,1035659,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":12}]"
1007302,1049464,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":15}]"
1007302,1050039,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":10}]"
1007302,1053689,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":10}]"
1007302,1059369,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":15}]"
1007302,1060974,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":5}]"
1007302,1061355,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":10}]"
1007302,1065642,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":10}]"
1007302,1066940,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":5}]"
1007302,1072097,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":1}]"
1007302,1073501,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":11}]"
1007302,1086651,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":5}]"
1007502,1094378,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":1}]"
1007502,1094644,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":10}]"
1007502,1098552,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":15}]"
1007502,1099650,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":10}]"
1007502,1100938,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":25}]"
1007502,1103859,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":15}]"
1007502,1116703,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":5}]"
1007702,1121673,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":5}]"
1007702,1126547,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":5}]"
1007702,1127653,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":10}]"
1007702,1130656,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":10}]"
1007702,1136485,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":15}]"
1007702,1139867,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":10}]"
1007702,1148011,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":5}]"
1007902,1155322,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":68}]"
1007902,1156326,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":15}]"
1007902,1158343,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":5}]"
1007902,1160311,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":15}]"
1007902,1166224,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":10}]"
1007902,1168493,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":5}]"
1007902,1169297,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":5}]"
1007902,1178311,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":10}]"
1007902,1179696,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":10}]"
1007902,1181450,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":10}]"
1007902,1184024,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":1}]"
1007902,1186074,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":1}]"
1007902,1186613,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":25}]"
1007902,1187116,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":10}]"
1007902,1190093,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":10}]"
1007902,1190701,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":15}]"
1008102,1192052,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":15}]"
1008102,1194407,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":15}]"
1008102,1198015,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":15}]"
1008102,1200667,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":5}]"
1008102,1204532,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":10}]"
1008102,1209673,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":5}]"
1008102,1210974,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":15}]"
1008102,1215029,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":5}]"
1008102,1215103,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":10}]"
1008102,1218150,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":11}]"
1008102,1218975,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":6}]"
1008102,1219577,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":10}]"
1008102,1226355,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":15}]"
1008302,1227797,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":15}]"
1008302,1229056,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":15}]"
1008302,1234068,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":5}]"
1008302,1235777,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":1}]"
1008302,1235973,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":48}]"
1008302,1243431,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":15}]"
1008302,1245542,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":103}]"
1008302,1245787,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":76}]"
1008302,1246071,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":10}]"
1008302,1248585,,,,"[{""assetType"":""item"",""id"":111111315,""amount"":15}]"
