服务器 ID,玩家 ID,道具信息,礼包信息,虚拟资产信息,自定义
1980,1782978,"[1146*5]",,,
1980,1783016,"[1146*6]",,,
1980,1783048,"[1146*1]",,,
1980,1784847,"[1146*2]",,,
1980,1785190,"[1146*6]",,,
1980,1785675,"[1146*6]",,,
1980,1786435,"[1146*4]",,,
1980,1787780,"[1146*6]",,,
1980,1788891,"[1146*6]",,,
1980,1790360,"[1146*6]",,,
1990,1794538,"[1146*6]",,,
1990,1795442,"[1146*6]",,,
1990,1795637,"[1146*6]",,,
1990,1797560,"[1146*1]",,,
1990,1797807,"[1146*6]",,,
1990,1798487,"[1146*6]",,,
1990,1798797,"[1146*6]",,,
1990,1798927,"[1146*6]",,,
1990,1799109,"[1146*6]",,,
1990,1800623,"[1146*6]",,,
1990,1800663,"[1146*6]",,,
2000,1801888,"[1146*3]",,,
2000,1802644,"[1146*6]",,,
2000,1803694,"[1146*4]",,,
2000,1812764,"[1146*6]",,,
2000,1813383,"[1146*6]",,,
2000,1821910,"[1146*6]",,,
2000,1828124,"[1146*4]",,,
2000,1898596,"[1146*1]",,,
2010,1804373,"[1146*6]",,,
2010,1805331,"[1146*6]",,,
2010,1810899,"[1146*6]",,,
2010,1811005,"[1146*2]",,,
2010,1813582,"[1146*6]",,,
2020,1819357,"[1146*5]",,,
2020,1820494,"[1146*3]",,,
2020,1825673,"[1146*6]",,,
2020,1825763,"[1146*6]",,,
2020,1827230,"[1146*6]",,,
2020,1827776,"[1146*6]",,,
2020,1830061,"[1146*6]",,,
2020,1831826,"[1146*6]",,,
2020,1832595,"[1146*6]",,,
2020,1832767,"[1146*4]",,,
2020,1837528,"[1146*6]",,,
2020,1837822,"[1146*6]",,,
2030,1818932,"[1146*6]",,,
2030,1828465,"[1146*6]",,,
2030,1829853,"[1146*1]",,,
2030,1831071,"[1146*6]",,,
2030,1834025,"[1146*6]",,,
2030,2024948,"[1146*6]",,,
2040,1838561,"[1146*2]",,,
2040,1840331,"[1146*6]",,,
2040,1840953,"[1146*1]",,,
2040,1841889,"[1146*5]",,,
2040,1842120,"[1146*6]",,,
2040,1843649,"[1146*6]",,,
2040,1843956,"[1146*6]",,,
2040,1844202,"[1146*6]",,,
2040,1851755,"[1146*1]",,,
2040,1851843,"[1146*6]",,,
2040,1853607,"[1146*6]",,,
2040,1854208,"[1146*6]",,,
2040,1854475,"[1146*6]",,,
2040,1856151,"[1146*6]",,,
2040,1856529,"[1146*6]",,,
2040,1856658,"[1146*2]",,,
2040,1857806,"[1146*5]",,,
2050,1839099,"[1146*6]",,,
2050,1839299,"[1146*6]",,,
2050,1840854,"[1146*6]",,,
2050,1840975,"[1146*1]",,,
2050,1841107,"[1146*6]",,,
2050,1842395,"[1146*6]",,,
2050,1847311,"[1146*6]",,,
2050,1848775,"[1146*6]",,,
2050,1848973,"[1146*6]",,,
2050,1849528,"[1146*6]",,,
2050,1850486,"[1146*6]",,,
2050,1852792,"[1146*6]",,,
2050,1854785,"[1146*6]",,,
2050,1856873,"[1146*3]",,,
2050,1857300,"[1146*4]",,,
